from date,BP,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,station
04-Oct-2020 - 00:00,999.4,290.55,25.49,68.45,25.47,-0.44,164.75,0.67,0.91,61.22,28.64,4.21,25.19,31.77,05-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
05-Oct-2020 - 00:00,999.06,260.18,36.3,61.95,52.99,-0.45,185.56,0.58,0.45,68.61,39.11,4.3,35.83,35.8,06-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
06-Oct-2020 - 00:00,999.11,290.74,46.86,68.34,55.66,-0.45,132.7,0.58,1.09,66.48,37.43,4.26,34.98,40.8,07-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
07-Oct-2020 - 00:00,999.15,321.31,47.23,74.72,243.46,-0.44,110.02,0.72,1.2,59.43,27.08,3.97,25.14,42.07,08-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
08-Oct-2020 - 00:00,999.11,366.75,34.97,85.56,298.75,-0.44,76.27,0.72,1.15,55.69,23.01,3.58,21.46,7.97,09-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
09-Oct-2020 - 00:00,999.44,316.04,39.44,73.87,37.71,-0.45,109.98,0.62,1.46,59.2,27.59,3.89,25.75,4.72,10-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
10-Oct-2020 - 00:00,999.65,351.21,33.93,81.05,164.22,-0.46,214.84,0.66,1.14,58.98,26.5,4.58,23.29,10.89,11-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
11-Oct-2020 - 00:00,998.89,340.1,25.74,78.82,276.07,-0.46,215.7,0.6,1.27,47.34,10.93,3.12,7.93,7.09,12-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
12-Oct-2020 - 00:00,997.82,345.82,21.67,80.0,304.88,-0.46,166.4,0.55,1.56,50.67,15.22,3.46,11.9,5.5,13-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
13-Oct-2020 - 00:00,996.59,298.69,21.45,69.98,296.71,-0.42,150.32,0.88,1.37,51.87,16.87,3.24,13.78,8.51,14-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
14-Oct-2020 - 00:00,997.92,255.22,36.78,60.84,310.67,-0.43,123.8,0.79,1.72,54.0,19.73,3.23,16.59,4.02,15-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
15-Oct-2020 - 00:00,998.92,260.11,33.63,61.84,311.46,-0.44,110.26,0.71,1.18,49.47,13.91,2.94,11.19,4.01,16-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
16-Oct-2020 - 00:00,998.87,350.18,34.91,80.89,102.61,-0.46,213.82,0.54,1.51,51.31,15.75,3.78,12.03,3.32,17-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
17-Oct-2020 - 00:00,999.2,393.76,34.38,90.19,50.9,-0.46,253.93,0.74,1.62,50.46,15.62,2.82,13.13,2.38,18-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
18-Oct-2020 - 00:00,999.12,427.59,30.26,97.3,51.11,-0.48,228.67,0.46,1.86,51.66,16.33,3.5,13.0,,19-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
19-Oct-2020 - 00:00,999.22,380.21,35.25,87.21,74.79,-0.47,218.88,0.56,1.91,53.15,17.69,6.34,12.09,4.46,20-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
20-Oct-2020 - 00:00,999.29,416.16,38.8,94.65,49.26,-0.48,217.47,0.48,1.06,51.55,15.41,4.64,11.04,12.05,21-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
21-Oct-2020 - 00:00,999.48,390.73,39.11,89.46,23.32,-0.46,264.63,0.63,1.48,51.61,15.29,5.61,9.88,18.83,22-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
22-Oct-2020 - 00:00,998.57,386.72,68.6,88.64,49.63,-0.45,179.14,0.69,1.51,55.78,19.69,7.44,12.34,11.83,23-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
23-Oct-2020 - 00:00,999.0,374.75,66.37,86.15,53.11,-0.45,169.11,0.6,0.97,51.65,16.83,3.14,14.01,25.58,24-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
24-Oct-2020 - 00:00,999.87,359.33,47.22,82.71,30.82,-0.45,180.93,0.65,1.44,52.5,16.74,5.09,11.71,16.29,25-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
25-Oct-2020 - 00:00,,359.19,56.6,82.91,25.08,-0.46,279.32,0.72,1.08,50.53,14.72,4.09,10.92,39.39,26-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
26-Oct-2020 - 00:00,,349.09,56.54,80.77,31.32,-0.45,279.31,0.8,1.24,49.87,14.49,3.15,11.8,41.86,27-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
27-Oct-2020 - 00:00,,355.06,61.24,82.1,22.95,-0.44,284.2,0.86,1.01,51.16,16.46,3.18,13.84,48.48,28-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
28-Oct-2020 - 00:00,,397.09,51.27,90.98,16.11,-0.45,273.34,0.73,0.98,49.74,14.39,2.9,12.08,51.95,29-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
29-Oct-2020 - 00:00,,406.6,45.08,93.1,13.47,-0.45,252.08,0.71,1.11,51.47,16.3,3.28,13.28,35.83,30-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
30-Oct-2020 - 00:00,,335.93,54.79,78.12,32.61,-0.44,282.88,0.88,0.73,56.68,23.53,3.19,20.66,35.85,31-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
31-Oct-2020 - 00:00,,337.17,68.03,78.44,35.56,-0.46,250.74,0.67,0.87,54.14,19.7,3.27,17.03,31.19,01-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
01-Nov-2020 - 00:00,,353.96,57.35,81.99,30.13,-0.47,261.74,0.63,1.19,54.57,20.45,3.56,17.29,16.32,02-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
02-Nov-2020 - 00:00,,360.33,57.45,83.23,30.36,-0.46,267.34,0.65,1.16,50.59,15.62,2.91,13.1,19.96,03-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
03-Nov-2020 - 00:00,,364.91,85.95,84.07,22.96,-0.45,297.07,0.81,0.89,52.92,19.32,3.38,16.21,14.04,04-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
04-Nov-2020 - 00:00,,398.19,45.39,91.16,21.36,-0.45,278.35,0.79,1.13,50.61,14.94,3.55,11.41,37.29,05-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
05-Nov-2020 - 00:00,,382.94,34.09,87.95,39.57,-0.45,260.78,0.85,1.19,49.6,13.35,3.89,9.49,11.81,06-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
06-Nov-2020 - 00:00,,367.04,23.18,84.56,42.08,-0.44,286.84,0.8,0.97,50.02,13.14,5.03,8.14,15.35,07-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
07-Nov-2020 - 00:00,,399.86,22.86,91.51,39.4,-0.45,277.91,0.79,1.04,52.46,16.62,5.32,11.33,17.03,08-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
08-Nov-2020 - 00:00,,346.6,77.45,80.35,23.97,-0.42,289.07,1.06,1.63,49.65,14.16,2.84,11.59,17.74,09-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
09-Nov-2020 - 00:00,,289.63,96.52,68.38,31.63,-0.37,287.26,1.67,0.93,54.22,19.9,3.43,16.54,17.36,10-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
10-Nov-2020 - 00:00,800.2,302.33,89.68,70.84,28.3,-0.39,271.92,1.47,0.92,51.6,16.71,2.88,14.63,16.67,11-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
11-Nov-2020 - 00:00,,379.14,73.21,87.47,13.79,-0.43,282.9,0.98,0.71,49.4,13.73,3.06,10.74,37.64,12-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
12-Nov-2020 - 00:00,,436.81,36.2,99.53,11.4,-0.47,290.12,0.78,1.25,50.13,14.34,3.61,10.77,31.47,13-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
13-Nov-2020 - 00:00,,377.72,45.33,86.95,33.84,-0.41,301.9,1.11,0.99,48.89,12.6,3.66,8.98,16.38,14-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
14-Nov-2020 - 00:00,,340.46,60.85,79.09,35.88,-0.38,301.76,1.51,1.07,47.51,18.35,5.41,13.07,26.23,15-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
15-Nov-2020 - 00:00,,404.34,95.72,92.61,15.44,-0.41,303.61,1.08,0.88,49.31,21.06,6.98,13.68,14.51,16-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
16-Nov-2020 - 00:00,,425.36,20.18,97.18,18.33,-0.46,202.34,0.81,0.58,48.95,15.89,4.66,11.23,36.28,17-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
17-Nov-2020 - 00:00,,404.35,49.64,92.61,29.82,-0.44,267.13,0.89,0.95,57.41,21.2,6.74,14.5,15.08,18-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
18-Nov-2020 - 00:00,,390.36,27.33,89.6,29.35,-0.44,250.23,0.93,0.99,50.7,15.0,5.51,9.52,2.29,19-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
19-Nov-2020 - 00:00,827.14,356.86,41.76,82.1,57.91,-0.43,307.29,0.91,0.64,43.95,11.99,3.9,8.09,4.37,20-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
20-Nov-2020 - 00:00,802.12,,56.17,81.79,279.85,-0.44,287.59,0.83,0.57,44.58,6.32,4.42,1.9,8.19,21-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
21-Nov-2020 - 00:00,820.34,246.9,64.72,79.19,213.14,-0.43,281.58,0.97,0.82,42.76,5.18,3.45,1.97,9.02,22-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
22-Nov-2020 - 00:00,955.29,,58.4,79.67,284.02,-0.42,260.87,1.01,0.39,44.51,5.49,3.72,1.77,9.16,23-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
23-Nov-2020 - 00:00,987.28,,67.6,83.87,272.17,-0.41,287.06,1.27,0.69,42.69,5.03,4.14,1.19,8.38,24-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
24-Nov-2020 - 00:00,987.68,431.61,49.89,94.35,255.49,-0.39,282.3,1.56,0.81,44.01,5.57,4.49,1.09,8.09,25-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
25-Nov-2020 - 00:00,987.59,431.49,22.34,98.0,250.45,-0.36,288.87,1.98,0.77,44.04,5.58,4.53,1.03,7.4,26-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
26-Nov-2020 - 00:00,980.06,413.01,11.6,93.84,269.99,-0.31,128.63,2.06,0.92,39.48,5.32,4.22,2.07,8.57,27-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
27-Nov-2020 - 00:00,979.88,374.76,14.97,86.08,279.23,-0.43,165.3,0.84,1.25,43.34,6.11,3.75,2.79,8.78,28-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
28-Nov-2020 - 00:00,,395.02,20.78,90.42,265.16,-0.45,286.29,0.82,0.62,41.9,5.06,3.95,2.18,10.71,29-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
29-Nov-2020 - 00:00,,417.24,18.52,94.86,276.13,-0.4,281.08,1.24,0.57,42.27,4.65,3.86,1.62,8.18,30-Nov-2020 - 00:00,"Manali, Chennai - CPCB"
30-Nov-2020 - 00:00,995.4,380.61,25.48,87.07,289.87,-0.4,287.46,1.37,0.92,45.3,7.01,4.48,2.62,7.58,01-Dec-2020 - 00:00,"Manali, Chennai - CPCB"
01-Dec-2020 - 00:00,,370.0,32.09,85.25,239.0,-0.45,275.07,0.79,0.94,45.39,6.96,3.95,3.02,7.18,02-Dec-2020 - 00:00,"Manali, Chennai - CPCB"
