from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
04-Apr-2020 - 00:00,23.6,65.01,19.69,0.95,11.24,8.67,8.29,0.45,72.41,30.5,1.11,151.81,33.64,715.75,147.15,0.0,05-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
05-Apr-2020 - 00:00,33.73,70.94,22.78,0.92,12.87,9.33,7.48,0.45,58.26,31.12,0.95,147.55,38.64,716.31,151.75,0.0,06-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
06-Apr-2020 - 00:00,35.14,66.03,18.66,0.86,10.61,8.66,5.93,0.45,50.11,25.8,1.14,175.53,40.56,716.0,66.31,0.0,07-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
07-Apr-2020 - 00:00,34.71,66.21,18.09,1.47,10.81,8.87,7.95,0.27,81.97,35.69,1.26,174.41,30.91,711.79,203.14,0.0,08-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
08-Apr-2020 - 00:00,32.16,77.3,15.53,1.42,9.42,7.6,6.23,0.32,85.76,32.41,1.59,202.04,34.19,712.57,153.4,0.0,09-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
09-Apr-2020 - 00:00,38.2,87.6,20.78,1.53,12.3,7.64,7.52,0.39,65.9,31.89,0.97,145.74,32.93,714.1,158.48,0.0,10-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
10-Apr-2020 - 00:00,47.65,115.18,24.56,1.6,14.36,9.08,7.19,0.51,51.32,32.69,0.89,160.0,26.57,715.44,154.31,0.0,11-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
11-Apr-2020 - 00:00,39.22,89.79,22.72,1.5,13.3,9.03,6.62,0.48,53.05,32.61,1.1,171.36,29.21,716.69,153.88,0.0,12-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
12-Apr-2020 - 00:00,45.61,117.17,24.68,1.53,14.37,9.86,5.71,0.5,55.61,33.8,1.15,169.15,28.66,714.51,157.84,0.0,13-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
13-Apr-2020 - 00:00,45.4,112.43,25.44,1.65,14.87,10.58,6.13,0.51,46.73,34.36,1.04,160.41,26.76,713.31,153.97,0.0,14-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
14-Apr-2020 - 00:00,30.68,89.44,19.95,1.51,11.84,10.2,5.65,0.34,54.29,33.94,1.47,170.74,30.42,713.65,140.47,0.0,15-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
15-Apr-2020 - 00:00,25.0,60.51,18.35,1.41,10.91,9.91,5.72,0.32,70.34,34.06,1.45,177.91,34.22,714.01,142.15,0.0,16-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
16-Apr-2020 - 00:00,36.17,80.92,22.39,1.58,13.19,9.08,6.29,0.42,70.37,34.83,1.33,201.17,30.31,711.7,155.24,0.0,17-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
17-Apr-2020 - 00:00,69.59,128.11,30.01,1.65,17.31,10.35,8.96,0.74,60.08,35.35,1.06,215.77,26.04,710.79,146.2,0.0,18-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
18-Apr-2020 - 00:00,53.19,127.3,29.89,1.73,17.32,12.64,6.89,0.6,54.02,32.56,1.01,169.59,34.56,712.85,124.34,0.0,19-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
19-Apr-2020 - 00:00,39.84,86.58,25.41,1.54,14.77,12.69,7.3,0.37,53.83,32.86,1.46,198.6,34.95,712.77,144.73,0.0,20-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
20-Apr-2020 - 00:00,37.59,88.65,22.29,1.53,13.11,11.33,6.76,0.33,64.11,33.29,1.45,215.69,36.74,712.11,152.99,0.0,21-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
21-Apr-2020 - 00:00,37.46,119.21,22.04,1.61,13.04,9.96,6.33,0.26,61.02,32.96,1.21,142.1,33.02,711.97,155.97,0.0,22-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
22-Apr-2020 - 00:00,40.83,104.86,27.46,1.6,15.9,11.6,7.24,0.61,48.83,31.37,0.84,164.94,38.15,712.18,93.26,0.0,23-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
23-Apr-2020 - 00:00,31.93,89.56,21.33,1.54,12.6,10.7,8.59,0.66,66.42,34.01,1.27,143.38,29.21,711.11,151.03,0.0,24-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
24-Apr-2020 - 00:00,35.59,90.9,24.69,1.57,14.41,11.53,8.53,0.74,60.37,33.98,1.12,157.92,32.19,709.57,155.07,0.0,25-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
25-Apr-2020 - 00:00,31.86,82.77,21.81,1.59,12.9,10.75,6.73,0.62,63.88,34.3,1.23,213.03,36.15,709.41,148.7,0.0,26-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
26-Apr-2020 - 00:00,32.72,80.22,17.32,1.41,10.37,10.31,8.76,0.61,78.82,32.69,1.55,170.85,42.86,710.92,150.99,0.0,27-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
27-Apr-2020 - 00:00,15.42,34.4,16.23,1.45,9.8,8.47,8.11,0.63,78.86,29.8,1.6,165.89,52.59,714.51,144.27,0.05,28-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
28-Apr-2020 - 00:00,25.31,50.2,25.04,1.63,14.65,10.04,5.3,0.73,64.95,30.82,0.99,169.82,50.86,713.99,144.22,0.01,29-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
