from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
13-May-2020 - 00:00,31.92,82.06,17.34,10.07,1.05,18.02,17.04,0.68,67.26,29.86,0.95,217.74,46.5,732.92,351.56,0.0,14-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-May-2020 - 00:00,41.32,104.23,19.98,11.86,1.53,17.91,16.37,0.73,73.34,32.58,0.55,190.4,43.77,732.5,362.22,0.0,15-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-May-2020 - 00:00,43.7,127.02,12.52,7.36,0.87,18.23,16.54,0.63,100.67,33.65,0.83,208.39,38.7,731.38,354.3,0.0,16-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-May-2020 - 00:00,43.23,124.6,19.89,11.35,0.97,16.33,16.61,0.67,93.63,32.53,0.86,255.85,37.49,731.26,364.64,0.0,17-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-May-2020 - 00:00,39.6,117.17,18.75,10.74,0.95,16.4,17.6,0.65,89.06,33.48,0.63,200.23,33.6,729.79,351.58,0.0,18-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-May-2020 - 00:00,35.15,113.57,21.51,12.48,1.28,15.38,16.33,0.64,91.8,33.43,0.83,253.4,30.17,728.61,357.12,0.0,19-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-May-2020 - 00:00,38.25,133.18,19.06,11.23,1.34,13.93,17.15,0.63,87.66,33.42,0.82,245.85,27.29,727.94,365.55,0.0,20-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-May-2020 - 00:00,40.86,125.35,22.0,12.45,0.92,14.66,16.17,0.64,97.73,32.12,0.78,248.27,28.3,727.31,363.04,0.0,21-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-May-2020 - 00:00,39.46,133.77,27.15,15.61,1.45,15.43,17.13,0.68,84.68,32.08,1.08,234.8,27.45,727.71,363.77,0.0,22-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-May-2020 - 00:00,33.71,131.76,24.56,13.94,1.09,15.93,15.71,0.61,69.6,34.71,1.11,231.27,22.69,727.49,360.56,0.0,23-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-May-2020 - 00:00,37.36,182.47,19.43,11.29,1.21,16.12,18.63,0.57,51.37,36.52,1.53,257.57,24.3,728.6,358.29,0.0,24-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-May-2020 - 00:00,31.8,150.02,15.22,9.05,1.21,14.47,12.31,0.49,62.47,37.45,1.41,263.39,23.14,729.14,359.07,0.0,25-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-May-2020 - 00:00,25.76,113.06,17.58,10.46,1.36,15.33,17.38,0.59,64.18,36.63,1.25,257.14,21.76,728.85,361.59,0.0,26-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-May-2020 - 00:00,25.85,140.42,15.5,9.73,1.83,17.26,24.57,0.49,50.68,36.49,1.54,237.92,26.56,727.73,357.52,0.0,27-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-May-2020 - 00:00,25.47,162.76,10.62,6.91,1.56,13.89,24.49,0.43,65.62,37.44,1.86,247.11,23.41,725.61,357.98,0.0,28-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-May-2020 - 00:00,30.08,163.67,8.03,5.52,1.52,18.29,23.33,0.59,84.13,34.74,0.96,135.12,36.31,726.16,358.15,0.0,29-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-May-2020 - 00:00,22.75,69.75,8.56,5.87,1.62,25.45,20.87,0.54,91.0,30.3,1.14,134.2,62.01,729.89,361.72,0.2,30-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-May-2020 - 00:00,14.34,31.47,9.18,6.11,1.52,19.98,21.8,0.49,95.35,27.69,1.13,132.64,65.07,732.18,367.65,0.0,31-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-May-2020 - 00:00,15.1,34.29,8.83,5.9,1.48,17.26,14.58,0.52,90.11,28.21,1.17,226.39,66.09,733.68,366.73,0.06,01-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Jun-2020 - 00:00,22.53,62.3,11.86,7.58,1.57,19.06,10.05,0.57,100.85,29.8,0.96,195.35,58.8,733.9,363.2,0.06,02-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Jun-2020 - 00:00,19.48,52.88,14.49,9.03,1.63,20.7,15.21,0.56,99.53,30.89,0.8,204.01,51.01,732.5,377.16,0.0,03-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Jun-2020 - 00:00,24.11,74.89,12.6,7.94,1.52,18.51,18.66,0.56,94.08,31.05,0.7,184.16,49.45,730.45,345.25,0.0,04-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Jun-2020 - 00:00,16.17,39.42,11.41,7.3,1.51,26.21,17.86,0.59,52.07,26.37,0.53,176.08,72.96,730.36,272.38,0.03,05-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Jun-2020 - 00:00,14.82,36.25,9.52,6.32,1.54,20.78,12.56,0.55,87.9,28.35,0.93,201.73,63.24,730.27,363.26,0.28,06-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Jun-2020 - 00:00,13.22,42.58,11.87,7.59,1.57,15.26,11.59,0.62,92.24,28.01,0.84,199.18,64.07,729.64,374.67,0.0,07-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Jun-2020 - 00:00,21.98,70.21,14.86,9.27,1.67,20.06,13.92,0.57,76.81,29.11,1.07,206.51,62.59,729.06,342.21,0.0,08-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Jun-2020 - 00:00,18.51,72.08,19.77,12.68,2.67,17.28,19.68,0.68,73.19,30.93,0.87,222.32,54.06,728.73,372.3,0.0,09-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Jun-2020 - 00:00,30.89,113.86,19.39,12.4,2.57,19.73,17.72,0.65,77.36,32.82,0.98,224.46,49.04,728.31,370.64,0.0,10-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Jun-2020 - 00:00,37.36,127.38,16.17,9.87,1.56,19.5,33.06,0.68,85.33,34.08,0.84,196.02,46.51,727.55,351.69,0.0,11-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Jun-2020 - 00:00,37.61,146.04,12.55,7.81,1.39,19.37,28.57,0.63,93.75,34.55,0.8,185.63,48.26,726.46,369.42,0.0,12-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Jun-2020 - 00:00,41.41,94.46,11.63,7.38,1.47,19.63,24.93,0.75,95.57,34.89,0.62,156.17,52.14,725.04,366.52,0.0,13-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Jun-2020 - 00:00,27.05,69.25,12.1,7.63,1.47,16.39,25.91,0.63,79.26,34.59,0.9,178.12,53.39,725.24,355.88,0.02,14-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Jun-2020 - 00:00,11.85,34.5,10.77,7.03,1.61,16.24,30.39,0.56,72.35,32.15,0.79,161.47,63.61,727.33,373.97,0.02,15-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Jun-2020 - 00:00,16.09,45.24,9.97,6.49,1.46,17.51,23.79,0.59,86.03,33.71,0.99,213.28,57.89,726.03,368.44,0.0,16-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Jun-2020 - 00:00,19.02,60.05,9.01,5.99,1.48,13.04,32.31,0.53,106.3,35.24,0.79,182.9,46.92,723.57,344.99,0.0,17-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Jun-2020 - 00:00,15.26,59.2,8.71,5.71,1.32,12.69,25.53,0.53,92.73,34.92,0.85,163.45,49.61,723.12,354.98,0.0,18-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Jun-2020 - 00:00,21.39,90.8,9.68,6.34,1.46,12.51,26.63,0.54,89.64,35.87,1.17,207.21,47.65,723.7,359.12,0.0,19-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Jun-2020 - 00:00,26.16,125.3,9.6,6.36,1.54,12.54,31.12,0.54,72.04,34.54,1.55,217.96,52.78,725.47,320.73,0.01,20-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Jun-2020 - 00:00,20.69,90.51,9.65,6.36,1.51,14.02,18.89,0.48,81.5,33.34,1.78,241.35,51.55,727.32,289.28,0.0,21-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Jun-2020 - 00:00,18.89,68.04,7.56,5.21,1.46,14.47,23.52,0.47,84.47,33.17,1.28,227.86,54.03,726.99,290.06,0.0,22-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Jun-2020 - 00:00,18.05,73.44,9.07,6.07,1.55,13.79,16.05,0.52,77.58,33.42,1.02,196.7,52.91,726.4,299.59,0.0,23-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Jun-2020 - 00:00,11.26,33.71,10.33,6.83,1.64,14.38,18.26,0.62,43.76,30.15,0.65,156.81,74.65,728.32,203.96,0.41,24-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Jun-2020 - 00:00,18.25,38.4,11.72,7.58,1.65,20.17,22.66,0.59,56.19,29.17,0.63,200.33,81.1,730.12,239.29,0.01,25-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Jun-2020 - 00:00,16.02,41.64,11.8,7.55,1.57,15.55,23.1,0.62,69.24,31.49,1.13,240.75,70.12,728.9,291.95,0.0,26-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Jun-2020 - 00:00,26.86,110.76,9.02,6.08,1.57,12.64,24.21,0.48,76.36,32.09,1.62,262.24,60.17,728.19,245.34,0.0,27-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Jun-2020 - 00:00,16.05,45.23,6.89,4.9,1.52,10.83,26.39,0.46,70.93,31.0,1.64,221.16,65.16,728.28,274.5,0.0,28-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Jun-2020 - 00:00,25.24,103.55,8.9,6.08,1.65,9.93,17.01,0.46,57.68,34.85,1.89,266.16,51.4,727.09,300.09,0.0,29-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Jun-2020 - 00:00,21.66,75.96,8.14,5.59,1.54,9.13,18.23,0.44,73.69,34.61,1.56,240.14,51.99,727.94,274.82,0.0,30-Jun-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Jun-2020 - 00:00,21.64,70.66,8.31,5.61,1.46,9.82,22.1,0.52,89.9,32.75,0.75,158.91,59.95,729.08,298.88,0.0,01-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Jul-2020 - 00:00,29.21,88.25,7.43,5.06,1.36,12.12,12.45,0.51,81.68,34.26,0.84,164.9,59.03,727.65,302.91,0.0,02-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Jul-2020 - 00:00,31.27,89.08,11.61,7.43,1.54,10.92,20.79,0.56,74.59,34.53,0.89,185.21,55.61,725.61,269.56,0.0,03-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Jul-2020 - 00:00,31.93,93.76,7.61,5.25,1.48,13.29,22.03,0.52,86.61,35.38,1.03,203.78,52.58,725.27,273.67,0.0,04-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Jul-2020 - 00:00,26.91,66.21,6.87,4.74,1.33,12.83,32.04,0.53,82.54,33.49,0.84,176.01,59.67,725.47,295.68,0.0,05-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Jul-2020 - 00:00,29.81,53.16,6.58,4.67,1.42,11.22,16.91,0.56,72.07,31.7,0.78,131.05,68.04,725.67,267.32,0.0,06-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Jul-2020 - 00:00,18.48,38.77,6.33,4.5,1.39,8.26,22.08,0.51,65.25,30.88,0.94,171.15,68.53,725.81,277.78,0.0,07-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Jul-2020 - 00:00,12.55,30.38,6.99,4.95,1.51,7.21,13.94,0.53,51.99,29.15,0.6,141.95,79.12,727.99,262.82,0.31,08-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Jul-2020 - 00:00,11.99,30.07,8.61,5.87,1.6,11.15,13.03,0.56,37.56,29.47,0.62,151.81,78.31,729.76,244.86,0.0,09-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Jul-2020 - 00:00,14.09,34.76,10.18,6.76,1.65,10.32,13.85,0.52,44.54,29.94,1.05,232.12,74.46,727.57,245.36,0.09,10-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Jul-2020 - 00:00,13.54,44.43,11.63,7.86,2.05,11.11,12.72,0.49,48.81,30.61,1.33,243.67,69.84,726.33,273.69,0.0,11-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Jul-2020 - 00:00,14.36,45.09,10.16,6.76,1.66,9.27,8.93,0.49,52.26,31.43,1.51,236.83,64.55,726.33,283.8,0.01,12-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Jul-2020 - 00:00,11.24,27.79,10.46,7.01,1.78,8.65,10.84,0.46,44.81,29.74,1.46,241.12,71.17,727.23,225.86,0.44,13-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Jul-2020 - 00:00,10.59,33.45,13.47,8.9,2.13,9.33,10.03,0.47,50.7,31.23,1.34,269.82,65.78,727.38,292.34,0.0,14-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Jul-2020 - 00:00,21.89,81.04,12.09,7.99,1.91,9.28,39.54,0.47,58.24,32.37,0.95,215.47,63.09,728.17,269.24,0.0,15-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Jul-2020 - 00:00,20.91,50.2,10.01,6.58,1.55,10.68,15.85,0.53,73.5,30.59,0.73,152.52,68.92,728.07,267.18,0.01,16-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Jul-2020 - 00:00,24.56,42.49,9.33,6.45,1.84,14.71,17.71,0.58,45.58,28.89,0.72,129.73,81.72,726.85,220.49,0.08,17-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Jul-2020 - 00:00,27.76,47.56,9.1,6.49,2.03,18.47,15.26,0.53,49.84,31.59,0.72,136.39,71.24,727.65,302.95,0.0,18-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Jul-2020 - 00:00,25.75,48.4,12.39,7.96,1.69,8.79,17.15,0.58,51.45,32.08,0.62,210.66,67.79,729.07,278.39,0.0,19-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Jul-2020 - 00:00,17.2,38.43,11.72,7.73,1.84,9.57,15.36,0.51,54.26,30.93,1.35,252.39,71.31,728.35,258.06,0.06,20-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Jul-2020 - 00:00,12.08,25.2,9.24,6.34,1.76,11.12,15.95,0.5,53.63,27.31,1.07,222.96,84.01,727.64,174.28,0.37,21-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Jul-2020 - 00:00,12.31,30.91,9.36,6.47,1.82,8.47,17.5,0.42,45.67,28.32,1.1,213.29,78.82,729.74,248.05,0.01,22-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Jul-2020 - 00:00,12.26,34.05,11.8,8.03,2.15,7.96,20.56,0.59,38.09,27.79,0.97,233.68,81.75,730.77,253.67,0.09,23-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Jul-2020 - 00:00,14.52,41.33,14.62,9.67,2.33,9.99,20.45,0.68,50.31,28.71,0.93,230.94,75.24,730.16,297.7,0.0,24-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Jul-2020 - 00:00,13.24,39.59,10.91,7.2,1.71,9.89,14.63,0.43,70.19,30.55,0.77,193.4,67.03,732.06,294.32,0.0,25-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Jul-2020 - 00:00,21.73,45.27,12.46,8.29,2.03,12.51,20.95,0.59,48.62,29.13,0.57,158.41,78.96,733.44,253.87,0.04,26-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Jul-2020 - 00:00,18.93,44.17,12.36,8.01,1.76,12.85,15.38,0.54,55.39,31.51,0.73,228.46,68.26,733.22,341.87,0.0,27-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Jul-2020 - 00:00,19.32,47.59,12.32,8.26,2.06,12.59,14.93,0.57,60.18,31.95,1.36,259.0,65.02,731.68,298.99,0.0,28-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Jul-2020 - 00:00,16.7,41.7,12.96,8.55,2.03,11.03,17.77,0.54,51.53,30.1,1.05,243.48,71.82,730.22,243.6,0.04,29-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Jul-2020 - 00:00,11.11,25.16,12.26,8.28,2.16,11.03,14.96,0.44,37.36,26.95,0.76,191.9,84.82,730.73,121.19,0.01,30-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Jul-2020 - 00:00,10.98,30.23,12.04,8.25,2.27,11.13,16.2,0.58,44.61,29.23,0.68,182.79,75.48,731.59,291.83,0.0,31-Jul-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-Jul-2020 - 00:00,22.15,53.59,14.87,9.75,2.27,14.06,21.86,0.58,34.58,29.26,0.64,218.28,78.15,730.9,218.36,0.0,01-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Aug-2020 - 00:00,18.84,40.62,12.56,8.3,2.0,16.3,13.51,0.66,26.19,28.87,0.67,176.91,79.72,730.4,248.84,0.02,02-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Aug-2020 - 00:00,11.71,36.4,11.43,7.68,1.98,15.34,15.01,0.53,36.53,30.68,0.91,243.8,71.83,728.71,281.58,0.0,03-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Aug-2020 - 00:00,11.72,29.89,9.38,6.43,1.78,12.27,14.3,,41.07,29.38,1.83,274.98,73.44,725.26,241.88,0.0,04-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Aug-2020 - 00:00,13.64,32.83,11.06,7.36,1.81,11.24,11.26,0.45,42.27,28.66,1.06,232.55,78.94,723.02,261.88,0.44,05-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Aug-2020 - 00:00,11.1,26.1,12.76,8.75,2.42,16.22,18.06,0.57,23.11,28.02,0.62,177.26,84.2,723.02,247.84,0.26,06-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Aug-2020 - 00:00,13.99,24.4,9.12,6.49,2.01,16.11,17.91,0.52,25.48,27.71,0.94,109.68,85.6,724.72,208.7,0.22,07-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Aug-2020 - 00:00,15.27,28.65,12.0,8.57,2.68,9.42,9.59,0.54,22.15,28.53,0.66,134.71,82.04,728.64,254.3,0.0,08-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Aug-2020 - 00:00,15.27,36.57,14.07,10.17,3.3,9.43,13.59,0.58,21.2,28.59,0.86,246.21,83.17,727.88,243.91,0.1,09-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Aug-2020 - 00:00,9.19,29.77,13.2,8.9,2.31,9.07,16.05,0.49,29.26,28.5,0.91,232.59,83.29,727.29,210.84,0.0,10-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Aug-2020 - 00:00,18.58,40.85,14.72,9.94,2.6,15.05,15.31,0.66,23.12,28.58,0.56,205.95,84.51,727.82,238.51,0.08,11-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Aug-2020 - 00:00,22.14,40.64,8.55,5.99,1.77,15.5,15.93,0.61,32.36,28.75,0.78,244.99,83.16,727.81,244.49,0.61,12-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Aug-2020 - 00:00,12.04,32.81,6.65,4.94,1.73,11.09,16.64,0.59,24.93,28.06,0.98,260.61,86.54,728.14,211.25,0.35,13-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Aug-2020 - 00:00,10.71,28.45,8.75,6.15,1.83,9.39,14.37,0.55,26.44,27.29,0.79,223.84,87.31,726.45,196.76,0.31,14-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Aug-2020 - 00:00,5.37,19.4,7.0,5.1,1.69,10.08,14.6,0.56,26.0,27.59,0.48,202.58,87.26,725.45,239.12,0.14,15-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Aug-2020 - 00:00,11.23,30.18,8.64,6.08,1.83,10.88,16.55,0.58,18.62,28.17,0.44,158.69,85.33,726.02,202.11,0.0,16-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Aug-2020 - 00:00,24.94,49.86,9.92,6.91,2.02,11.76,18.93,0.63,18.83,29.55,0.48,175.34,82.16,726.79,250.14,0.0,17-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Aug-2020 - 00:00,11.2,31.95,9.25,6.39,1.81,11.87,16.2,0.63,24.65,30.06,0.54,195.26,78.9,726.96,265.07,0.54,18-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Aug-2020 - 00:00,14.15,31.9,7.21,5.3,1.8,11.57,14.48,0.6,26.37,30.19,0.81,220.44,78.18,727.61,247.44,0.01,19-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Aug-2020 - 00:00,10.59,24.34,9.61,6.71,1.96,10.72,9.94,0.66,22.03,27.6,0.64,214.78,87.12,727.91,231.09,0.17,20-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Aug-2020 - 00:00,14.15,27.53,8.69,6.02,1.71,12.22,8.7,0.57,23.84,26.92,0.55,202.23,88.77,729.09,194.74,0.04,21-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Aug-2020 - 00:00,15.09,31.32,7.46,5.3,1.64,14.79,15.96,0.55,21.11,27.14,0.59,119.11,86.58,729.66,209.07,0.09,22-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Aug-2020 - 00:00,11.56,22.42,4.96,3.93,1.59,11.42,11.47,0.45,23.13,26.99,0.87,108.96,86.55,727.72,224.47,0.04,23-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Aug-2020 - 00:00,6.04,13.45,3.89,3.39,1.63,7.94,12.24,0.43,18.03,26.46,1.06,154.22,86.35,727.94,237.12,0.01,24-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Aug-2020 - 00:00,8.35,19.08,5.51,5.89,3.64,7.41,14.53,0.54,18.36,27.5,0.87,195.09,80.46,730.29,282.65,0.0,25-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Aug-2020 - 00:00,15.6,31.35,8.25,9.17,5.88,8.25,13.67,0.7,18.31,27.47,0.88,211.84,80.65,732.79,265.68,0.01,26-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Aug-2020 - 00:00,16.22,43.92,12.12,8.31,2.29,8.5,14.66,0.68,18.11,27.83,1.06,263.5,80.84,733.56,228.54,0.02,27-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Aug-2020 - 00:00,19.11,44.66,10.75,6.55,1.02,9.71,15.09,0.53,29.32,28.58,1.34,271.47,78.27,732.16,264.2,0.0,28-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Aug-2020 - 00:00,21.39,44.07,12.08,7.27,1.05,12.84,14.38,0.62,32.79,27.97,0.99,256.75,82.26,729.92,246.94,0.07,29-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Aug-2020 - 00:00,18.94,33.04,8.01,5.16,1.11,14.92,12.76,0.49,24.21,26.76,0.59,153.27,86.54,728.45,220.86,0.15,30-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Aug-2020 - 00:00,11.45,19.34,5.92,3.86,0.87,9.17,13.74,0.45,19.92,25.95,0.59,153.03,88.3,728.82,202.94,0.14,31-Aug-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-Aug-2020 - 00:00,9.01,23.36,7.66,5.06,1.24,7.28,12.38,0.45,18.77,27.35,0.78,192.71,79.56,733.08,261.41,0.0,01-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Sep-2020 - 00:00,18.66,42.6,9.62,6.19,1.32,7.32,19.73,0.5,24.97,27.65,0.98,228.27,76.46,734.72,270.36,0.0,02-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Sep-2020 - 00:00,13.17,38.66,9.8,5.98,0.94,7.2,11.31,0.51,30.43,27.94,0.92,222.03,78.38,735.64,246.56,0.0,03-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Sep-2020 - 00:00,14.15,24.69,8.27,5.24,1.03,9.92,12.72,0.6,22.76,26.96,0.46,149.01,88.43,735.05,215.71,0.55,04-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Sep-2020 - 00:00,15.67,33.72,9.75,6.15,1.19,7.04,12.61,0.64,22.08,28.48,0.6,190.66,79.8,734.77,265.27,0.0,05-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Sep-2020 - 00:00,18.2,42.95,10.8,6.64,1.1,7.42,8.85,0.66,24.77,28.99,0.95,259.36,76.16,733.47,257.4,0.0,06-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Sep-2020 - 00:00,24.45,56.35,11.58,7.05,1.1,9.73,24.94,0.61,26.3,29.16,0.83,250.62,75.43,732.36,259.79,0.0,07-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Sep-2020 - 00:00,20.82,49.95,11.15,6.96,1.28,10.54,16.63,0.55,26.73,29.97,0.61,207.54,73.1,732.71,255.78,0.0,08-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Sep-2020 - 00:00,21.64,48.44,12.85,8.21,1.69,8.96,12.08,0.62,28.31,29.42,0.74,219.26,76.09,733.34,252.65,0.0,09-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Sep-2020 - 00:00,42.58,85.14,15.02,9.03,1.28,13.13,10.22,0.7,39.25,30.16,0.7,234.98,74.19,733.08,262.58,0.0,10-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Sep-2020 - 00:00,39.42,86.8,19.15,11.51,1.62,14.65,14.2,0.78,36.29,29.98,0.71,235.27,71.68,730.92,269.32,0.0,11-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Sep-2020 - 00:00,43.93,103.29,20.81,12.65,1.95,14.32,16.03,0.75,34.7,29.93,0.53,179.75,70.51,731.25,258.61,0.0,12-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Sep-2020 - 00:00,44.56,104.56,22.25,14.6,3.4,17.23,17.72,0.83,34.59,30.33,0.43,155.74,69.22,733.38,262.2,0.0,13-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Sep-2020 - 00:00,42.4,93.34,10.6,6.32,0.83,15.61,11.42,0.67,49.05,30.71,0.45,166.23,69.56,733.32,266.95,0.0,14-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Sep-2020 - 00:00,51.3,104.43,16.39,9.63,1.12,13.91,18.64,0.86,37.74,30.31,0.49,174.5,72.18,732.24,259.41,0.0,15-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
