from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,WS,WD,NO,NO2,NOx,to date,station
16-Aug-2020 - 00:00,4.43,0.3,21.65,35.76,2.0,6.02,3.99,86.17,-0.0,749.57,241.24,3.01,0.63,140.79,2.63,2.7,1.16,17-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Aug-2020 - 00:00,5.49,0.35,13.66,41.32,1.99,6.02,3.99,91.9,-0.02,750.7,142.41,3.0,0.69,226.09,2.95,3.76,1.95,18-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Aug-2020 - 00:00,5.25,0.36,14.9,32.13,2.02,6.02,4.0,90.41,-0.05,752.04,155.61,2.99,0.53,238.81,3.05,3.35,1.9,19-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Aug-2020 - 00:00,5.3,0.31,7.8,28.7,2.0,6.01,3.99,93.58,-0.04,753.22,51.0,3.0,0.67,221.79,3.62,3.75,2.26,20-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Aug-2020 - 00:00,3.85,0.39,14.53,27.08,2.0,6.0,4.01,93.68,-0.0,756.51,97.4,3.0,0.89,146.91,2.97,2.94,1.52,21-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Aug-2020 - 00:00,4.52,0.34,17.91,29.03,1.99,6.0,3.99,85.47,0.06,757.81,176.25,3.0,1.23,130.31,2.99,2.78,1.45,22-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Aug-2020 - 00:00,3.84,0.37,26.37,24.54,2.0,5.98,4.01,82.64,0.17,756.29,222.44,2.99,1.77,99.48,2.8,1.99,0.91,23-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Aug-2020 - 00:00,3.97,0.3,28.56,26.73,2.0,6.0,3.99,88.76,0.19,754.38,182.54,2.99,1.98,104.86,2.8,1.62,0.7,24-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Aug-2020 - 00:00,5.12,0.18,14.36,25.08,1.99,6.01,4.0,93.48,0.1,755.56,106.95,3.0,1.4,137.67,4.15,2.23,2.11,25-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Aug-2020 - 00:00,5.74,0.44,10.12,22.36,1.99,5.99,3.99,91.6,-0.02,758.32,140.11,2.99,0.65,181.69,4.75,2.49,2.77,26-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Aug-2020 - 00:00,4.42,0.58,11.62,26.81,1.99,5.99,4.0,85.87,-0.07,760.17,138.68,3.0,0.49,228.29,3.36,2.75,1.73,27-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Aug-2020 - 00:00,3.12,0.37,18.46,31.0,2.0,6.02,4.02,79.51,-0.05,758.58,234.45,3.0,0.55,238.04,2.92,2.37,1.2,28-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Aug-2020 - 00:00,3.88,0.57,5.63,39.18,2.0,6.0,3.99,92.21,-0.05,757.05,68.19,2.98,0.67,191.17,3.61,3.0,2.09,29-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Aug-2020 - 00:00,6.35,0.62,31.68,34.23,2.0,5.98,4.01,81.18,0.01,755.37,171.82,3.0,0.91,141.2,3.0,2.51,1.32,30-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Aug-2020 - 00:00,3.96,0.35,27.03,28.13,1.99,6.01,4.01,90.48,0.2,755.86,99.31,3.0,1.98,105.2,2.78,1.94,0.88,31-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Aug-2020 - 00:00,2.54,0.32,20.03,21.8,2.0,6.0,4.01,85.24,0.04,758.48,173.41,3.0,0.81,156.42,2.37,2.1,1.07,01-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Sep-2020 - 00:00,2.68,0.37,20.4,25.42,2.01,6.0,3.98,76.73,-0.05,760.57,189.69,3.0,0.52,283.68,1.9,2.48,1.22,02-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Sep-2020 - 00:00,4.36,0.49,33.18,29.92,2.0,5.98,4.0,79.85,-0.06,763.39,175.68,2.99,0.52,223.83,2.08,2.51,1.38,03-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Sep-2020 - 00:00,6.34,0.4,38.61,43.03,2.0,6.0,3.99,81.92,0.11,764.05,190.59,3.0,1.57,123.79,2.0,2.29,1.2,04-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Sep-2020 - 00:00,4.85,0.47,32.39,42.29,1.99,5.98,4.0,85.45,0.02,762.41,169.86,3.01,0.91,151.53,1.98,2.44,1.26,05-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Sep-2020 - 00:00,7.09,0.94,45.9,50.86,2.0,6.0,4.0,80.84,-0.06,759.95,169.28,3.0,0.56,224.36,2.32,2.77,1.73,06-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Sep-2020 - 00:00,7.68,1.05,46.66,36.03,1.98,6.01,3.99,85.91,-0.07,753.93,250.88,3.0,0.49,215.3,2.11,2.29,1.29,07-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Sep-2020 - 00:00,6.6,1.0,27.63,56.5,2.01,5.99,4.02,90.93,-0.06,756.49,128.57,3.01,0.57,188.78,2.51,3.47,2.22,08-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Sep-2020 - 00:00,4.39,0.95,31.2,37.87,2.0,6.0,4.0,83.69,-0.08,755.87,219.69,2.99,0.48,213.93,1.74,2.2,0.97,09-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Sep-2020 - 00:00,8.15,1.54,39.06,65.68,2.0,5.98,4.02,80.55,-0.07,756.47,216.77,2.99,0.56,215.98,2.18,2.7,1.67,10-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Sep-2020 - 00:00,7.14,0.59,47.97,62.47,2.01,6.02,3.97,76.53,-0.07,753.5,221.47,3.0,0.59,210.57,2.3,2.78,1.71,11-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Sep-2020 - 00:00,7.85,1.06,43.15,82.77,1.99,5.99,3.99,65.22,-0.07,754.7,227.33,3.0,0.69,157.81,3.41,4.34,3.41,12-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Sep-2020 - 00:00,6.71,1.12,56.94,75.04,1.99,6.02,3.97,67.79,-0.07,758.64,170.58,2.99,0.68,146.6,4.5,4.18,4.23,13-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Sep-2020 - 00:00,8.97,0.96,50.7,79.98,2.0,5.99,3.99,75.01,-0.07,757.95,170.43,3.0,0.6,195.88,2.5,3.24,2.1,14-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Sep-2020 - 00:00,8.04,1.25,42.6,77.49,2.0,5.99,3.97,75.13,-0.07,756.44,193.95,3.0,0.57,201.25,2.79,3.37,2.41,15-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Sep-2020 - 00:00,7.52,1.16,43.12,75.52,2.0,6.01,4.04,74.45,-0.07,758.08,180.37,3.0,0.67,194.09,1.87,3.05,1.51,16-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Sep-2020 - 00:00,9.03,1.39,50.04,87.66,2.01,5.99,4.01,68.92,-0.07,757.62,167.72,2.99,0.56,198.08,2.55,3.28,2.16,17-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Sep-2020 - 00:00,4.49,1.49,47.8,58.98,2.01,6.01,4.01,63.29,-0.04,756.64,206.53,2.99,0.57,195.0,1.67,2.21,0.92,18-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Sep-2020 - 00:00,4.46,1.04,38.5,53.4,2.01,6.0,3.99,65.47,-0.03,755.46,201.54,3.0,0.6,186.65,2.07,2.51,1.39,19-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Sep-2020 - 00:00,5.67,0.73,49.56,58.98,2.0,6.0,4.01,67.98,-0.04,755.85,171.79,2.98,0.52,148.47,1.8,2.11,0.96,20-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Sep-2020 - 00:00,5.41,0.61,64.85,70.91,2.0,5.99,4.01,70.43,-0.03,755.44,174.64,3.0,0.52,210.7,2.03,2.14,1.16,21-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Sep-2020 - 00:00,5.64,0.66,48.01,73.77,2.01,5.99,3.99,72.88,-0.04,753.65,91.23,3.0,0.48,176.44,1.73,2.22,0.96,22-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Sep-2020 - 00:00,5.6,0.86,31.2,62.06,1.99,5.99,3.98,77.96,-0.02,754.31,156.97,3.01,0.72,160.75,2.08,2.68,1.47,23-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Sep-2020 - 00:00,4.47,0.53,25.91,36.95,2.01,6.0,4.02,76.47,-0.01,754.58,150.01,2.99,0.68,148.03,2.02,2.47,1.31,24-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Sep-2020 - 00:00,4.0,0.58,32.73,41.75,2.0,6.02,4.01,74.73,-0.03,757.82,153.7,3.01,0.64,177.96,2.85,2.7,2.62,25-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Sep-2020 - 00:00,6.39,0.97,46.8,65.19,2.0,5.99,4.03,65.39,-0.05,757.09,160.36,3.0,0.52,248.29,4.52,3.69,5.56,26-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Sep-2020 - 00:00,5.45,0.68,28.67,75.54,2.0,5.98,3.97,60.93,-0.04,757.94,104.53,3.0,0.59,219.93,5.58,4.22,6.68,27-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Sep-2020 - 00:00,5.7,0.56,40.09,47.14,2.0,6.0,3.98,57.41,-0.05,761.73,165.07,3.0,0.57,233.94,4.49,2.84,5.08,28-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Sep-2020 - 00:00,6.12,0.82,66.66,84.83,2.0,5.99,4.0,54.56,-0.04,762.99,173.78,3.01,0.64,189.72,5.15,3.61,6.01,29-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Sep-2020 - 00:00,6.5,0.74,58.42,81.78,2.0,6.0,4.01,59.54,-0.03,762.58,152.6,3.01,0.55,217.02,3.81,2.79,4.51,30-Sep-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Sep-2020 - 00:00,3.13,0.65,51.01,73.01,1.99,6.02,4.01,56.71,-0.03,761.34,155.38,3.0,0.6,210.06,3.52,2.96,4.35,01-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Oct-2020 - 00:00,2.42,0.76,42.88,78.54,2.01,6.01,4.0,51.87,-0.04,760.31,160.12,3.01,0.66,207.59,3.92,3.8,5.13,02-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Oct-2020 - 00:00,1.68,0.72,57.05,78.57,1.99,6.0,4.0,50.95,-0.05,761.27,161.89,2.99,0.61,218.53,3.77,2.97,4.57,03-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Oct-2020 - 00:00,3.1,0.72,57.38,100.11,1.99,5.99,3.99,54.18,-0.06,762.96,151.54,2.99,0.61,203.89,4.55,3.77,5.62,04-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Oct-2020 - 00:00,1.71,0.62,75.01,86.41,2.0,5.99,4.02,49.39,-0.05,764.45,151.61,3.01,0.56,223.43,4.68,3.12,5.39,05-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Oct-2020 - 00:00,2.52,0.89,60.57,87.91,2.0,5.98,3.98,47.31,-0.05,764.04,148.45,3.02,0.68,229.47,4.23,3.12,5.02,06-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Oct-2020 - 00:00,2.03,1.21,64.07,78.4,2.0,6.01,4.01,48.24,-0.06,764.72,159.25,3.0,0.66,217.73,5.45,4.69,6.82,07-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Oct-2020 - 00:00,2.53,1.29,63.78,99.8,1.99,6.01,4.01,46.98,-0.06,767.09,159.25,3.0,0.65,208.35,5.8,5.16,7.35,08-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Oct-2020 - 00:00,3.32,1.2,39.14,98.28,1.99,5.99,4.0,51.59,-0.05,767.84,139.98,3.01,0.64,203.83,4.59,4.67,6.13,09-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Oct-2020 - 00:00,2.97,0.71,66.53,95.23,1.99,6.02,4.02,48.06,-0.07,767.92,134.65,3.0,0.61,194.34,4.17,4.9,5.91,10-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Oct-2020 - 00:00,3.2,1.14,70.14,93.28,2.0,6.0,4.01,50.42,-0.07,766.12,131.62,3.0,0.68,209.48,4.27,4.16,5.6,11-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Oct-2020 - 00:00,3.29,1.04,59.78,87.79,2.01,6.01,4.0,52.83,-0.07,763.74,127.76,2.99,0.66,209.52,3.91,4.29,5.38,12-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Oct-2020 - 00:00,2.93,0.85,92.56,125.87,1.99,6.02,3.98,48.56,-0.07,761.23,169.4,2.99,0.64,212.48,5.33,5.59,7.2,13-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Oct-2020 - 00:00,5.37,1.6,45.99,140.19,2.0,6.01,4.0,56.81,-0.06,761.84,126.37,2.99,0.7,155.25,6.15,6.55,8.43,14-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Oct-2020 - 00:00,3.59,1.34,60.8,122.3,1.99,6.0,4.0,64.79,-0.07,764.19,117.89,3.0,0.7,143.99,4.74,7.3,7.62,15-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Oct-2020 - 00:00,4.05,1.29,52.97,141.65,1.99,5.99,3.99,42.41,-0.06,765.3,119.42,2.99,0.68,164.13,4.17,6.8,6.89,16-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Oct-2020 - 00:00,4.35,1.42,57.07,103.81,2.01,5.96,4.01,38.35,-0.08,765.68,122.88,3.0,0.68,182.55,4.95,6.46,7.35,17-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Oct-2020 - 00:00,5.3,1.82,71.38,128.25,1.99,5.99,4.01,43.48,-0.08,766.95,117.3,2.99,0.7,167.91,6.24,7.62,8.98,18-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Oct-2020 - 00:00,4.24,0.77,52.95,116.31,2.02,5.97,4.02,43.38,-0.08,767.19,90.4,3.0,0.74,183.06,4.17,5.4,6.17,19-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Oct-2020 - 00:00,4.5,1.13,61.85,108.01,2.0,6.03,4.01,35.58,-0.06,766.37,117.31,2.99,0.69,187.89,4.28,5.07,6.09,20-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Oct-2020 - 00:00,6.14,1.29,88.54,123.39,2.0,5.99,4.01,37.92,-0.07,766.3,114.22,3.0,0.72,185.55,7.59,8.1,10.32,21-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Oct-2020 - 00:00,5.15,1.76,82.22,105.62,2.0,6.01,4.01,40.57,-0.07,767.5,117.28,2.99,0.68,162.47,12.19,10.51,15.28,22-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Oct-2020 - 00:00,7.02,1.81,69.07,137.74,2.0,6.02,3.99,45.56,-0.06,765.94,109.94,2.99,0.79,144.96,7.96,11.63,12.46,23-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Oct-2020 - 00:00,4.78,2.09,109.38,152.5,2.01,6.0,3.99,51.28,-0.08,823.83,103.85,3.01,0.75,172.49,9.66,11.15,13.56,24-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Oct-2020 - 00:00,4.3,1.92,98.03,171.25,2.0,6.0,4.0,51.4,-0.08,946.14,118.66,3.0,0.62,220.04,8.8,8.57,11.54,25-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Oct-2020 - 00:00,5.23,2.17,102.51,160.86,2.0,5.99,4.02,52.0,-0.08,952.08,130.6,3.0,0.67,174.77,10.01,10.9,13.72,26-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Oct-2020 - 00:00,4.27,1.59,62.72,161.71,1.99,6.01,4.02,45.38,-0.07,954.77,120.89,2.99,0.56,161.81,6.27,8.97,9.72,27-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Oct-2020 - 00:00,4.26,1.62,50.85,109.06,2.0,6.01,4.02,48.19,-0.07,956.16,129.0,3.0,0.55,230.12,6.14,7.1,8.63,28-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Oct-2020 - 00:00,4.32,2.03,34.16,188.35,1.99,6.0,4.01,47.59,-0.08,863.34,119.69,2.99,0.69,198.89,9.99,29.25,23.16,29-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Oct-2020 - 00:00,5.36,2.62,50.86,267.85,1.99,5.98,3.98,60.77,-0.08,764.49,101.47,3.01,0.68,171.6,14.45,16.97,20.46,30-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Oct-2020 - 00:00,2.74,1.47,37.55,204.14,2.0,6.0,4.01,47.49,-0.07,716.82,35.69,3.01,0.53,200.65,7.08,10.08,10.94,31-Oct-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Oct-2020 - 00:00,1.62,1.21,53.56,218.27,2.01,6.01,4.0,46.19,-0.06,716.9,124.78,2.99,0.55,224.44,3.46,6.58,6.19,01-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Nov-2020 - 00:00,5.65,1.31,63.25,188.34,2.0,5.99,3.99,40.82,-0.06,718.48,117.99,3.0,0.62,220.4,5.25,8.03,8.4,02-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Nov-2020 - 00:00,4.88,1.65,70.6,129.67,2.0,6.02,4.0,42.62,-0.07,719.83,115.92,3.0,0.6,220.55,11.6,11.24,15.15,03-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Nov-2020 - 00:00,5.8,1.69,100.87,132.5,2.0,6.01,4.01,45.76,-0.07,718.53,120.48,3.0,0.57,210.67,8.67,6.07,10.03,04-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Nov-2020 - 00:00,3.66,1.77,55.12,253.21,1.99,5.98,4.01,52.52,-0.08,716.81,101.53,3.0,0.66,210.12,4.02,4.15,5.37,05-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Nov-2020 - 00:00,3.81,2.19,43.78,265.41,2.0,6.02,4.01,55.98,-0.08,718.68,110.67,3.0,0.63,213.0,8.56,7.79,10.89,06-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Nov-2020 - 00:00,4.64,2.42,11.85,270.48,2.0,6.02,3.99,62.3,-0.09,723.95,94.93,3.01,0.71,193.52,9.61,9.46,12.62,07-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Nov-2020 - 00:00,4.94,2.21,37.1,283.79,2.0,5.99,4.02,61.69,-0.08,725.87,73.66,3.0,0.72,206.33,9.97,9.3,10.48,08-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Nov-2020 - 00:00,8.98,2.83,29.59,334.49,2.0,6.04,4.01,70.67,-0.09,727.06,95.77,3.0,0.66,173.14,15.47,12.89,12.53,09-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Nov-2020 - 00:00,8.43,3.14,16.61,442.14,2.0,5.98,4.0,75.22,-0.09,724.57,99.5,2.99,0.71,203.99,15.43,11.95,12.0,10-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Nov-2020 - 00:00,9.59,2.6,19.87,339.69,2.0,6.0,3.99,70.93,-0.07,721.67,97.46,3.0,0.67,168.88,15.06,11.75,11.6,11-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Nov-2020 - 00:00,10.14,1.89,29.25,115.78,1.99,6.0,4.01,69.6,-0.06,724.64,90.41,3.0,0.55,182.32,15.36,11.2,11.55,12-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Nov-2020 - 00:00,20.35,2.41,36.49,148.99,2.0,6.0,3.99,70.1,-0.07,726.86,111.88,2.98,0.58,177.93,35.09,20.87,34.83,13-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Nov-2020 - 00:00,22.78,1.7,54.13,166.86,1.99,6.0,3.97,69.26,-0.08,724.63,100.27,3.01,0.63,176.88,46.11,21.96,48.38,14-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Nov-2020 - 00:00,26.8,1.2,44.46,324.78,2.0,6.01,4.0,69.05,-0.08,720.39,101.44,3.0,0.67,175.67,18.8,18.64,24.79,15-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Nov-2020 - 00:00,8.14,0.31,82.21,219.54,2.02,6.0,3.96,62.65,-0.0,718.55,92.97,3.0,0.75,121.92,2.92,7.33,6.17,16-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Nov-2020 - 00:00,32.24,0.22,49.16,73.34,2.0,6.01,4.0,88.83,0.01,721.9,85.79,2.99,0.97,128.8,3.04,5.79,5.46,17-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Nov-2020 - 00:00,18.07,0.22,32.09,78.08,2.01,6.01,3.99,74.62,-0.06,720.31,101.71,3.01,0.51,240.55,3.68,6.71,6.46,18-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Nov-2020 - 00:00,25.59,0.51,27.62,106.0,2.0,5.99,3.98,75.57,-0.08,719.57,89.97,3.0,0.57,207.04,6.82,12.03,11.74,19-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Nov-2020 - 00:00,16.94,1.36,26.71,134.14,2.0,6.0,3.99,64.89,-0.07,719.58,98.53,3.02,0.58,207.35,25.69,44.31,43.72,20-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Nov-2020 - 00:00,3.46,1.52,39.97,143.62,2.01,6.01,3.98,58.79,-0.06,722.86,99.74,3.0,0.58,231.25,16.75,50.05,39.6,21-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Nov-2020 - 00:00,7.48,0.5,35.8,120.55,2.01,6.03,3.99,52.07,-0.05,723.87,99.25,3.0,0.57,255.03,9.9,37.03,27.22,22-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Nov-2020 - 00:00,9.62,1.03,48.9,121.64,2.01,6.01,3.99,49.29,-0.07,724.86,114.2,3.0,0.63,225.96,43.69,55.05,63.86,23-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Nov-2020 - 00:00,15.89,2.0,45.16,153.12,2.01,6.0,3.99,59.57,-0.08,725.44,99.72,3.0,0.64,174.92,160.28,125.78,190.31,24-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Nov-2020 - 00:00,12.7,2.33,51.25,185.46,2.01,6.0,4.0,65.49,-0.07,724.43,95.8,3.01,0.66,176.42,180.85,129.26,211.16,25-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Nov-2020 - 00:00,9.63,1.48,37.56,174.01,2.0,5.98,4.01,57.98,-0.06,724.06,72.81,3.0,0.61,167.63,24.95,93.85,69.1,26-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Nov-2020 - 00:00,8.21,0.68,39.12,122.26,2.01,5.99,4.0,65.61,-0.04,727.12,92.05,2.99,0.44,184.0,22.75,50.18,44.47,27-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Nov-2020 - 00:00,6.99,0.57,31.7,64.67,1.99,6.03,4.04,52.53,-0.06,730.91,124.1,2.99,0.58,239.67,10.27,38.92,28.6,28-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Nov-2020 - 00:00,8.61,1.06,35.56,90.52,1.99,5.99,4.03,62.76,-0.06,729.9,91.75,2.99,0.55,246.45,22.97,48.03,43.48,29-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Nov-2020 - 00:00,10.62,1.25,59.15,110.65,2.0,5.99,4.0,59.48,-0.08,727.86,97.27,2.99,0.59,203.02,74.35,79.91,101.32,30-Nov-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Nov-2020 - 00:00,10.54,1.71,61.57,171.08,2.0,6.0,3.97,67.36,-0.08,725.89,85.01,3.01,0.64,215.42,105.89,80.78,124.25,01-Dec-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Dec-2020 - 00:00,15.54,3.0,,288.85,2.03,5.96,3.85,92.31,-0.09,727.4,33.25,3.08,0.74,221.65,,,,02-Dec-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
