from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
01-May-2020 - 00:00,35.33,,971.31,0.51,38.27,2.11,14.59,9.49,,100.52,43.31,44.11,12.47,134.57,145.57,1.4,0.11,,02-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-May-2020 - 00:00,33.62,,971.31,0.46,36.36,1.98,9.89,6.88,,77.92,27.77,47.45,12.9,135.27,114.7,2.75,0.33,,03-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-May-2020 - 00:00,30.69,,971.41,0.5,35.98,2.12,10.92,7.55,,61.59,24.83,56.95,12.51,82.43,141.75,1.63,0.13,,04-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-May-2020 - 00:00,30.94,,971.3,0.54,34.45,2.58,20.66,13.09,,51.55,23.09,52.63,12.34,143.39,170.22,0.91,0.03,,05-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-May-2020 - 00:00,34.16,,971.3,0.57,31.33,2.35,26.19,15.85,,77.56,39.4,44.05,9.39,137.11,200.48,0.66,0.0,,06-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-May-2020 - 00:00,32.69,,971.3,0.6,29.19,2.62,29.96,18.08,64.42,122.5,52.4,40.21,15.59,117.87,168.5,0.79,0.01,,07-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-May-2020 - 00:00,33.27,,971.3,0.45,24.31,2.06,21.17,12.94,90.95,60.67,31.14,34.62,12.55,142.83,150.72,1.17,0.07,,08-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-May-2020 - 00:00,35.51,,971.31,0.52,28.66,1.83,21.8,13.07,79.5,76.7,37.59,38.56,14.66,138.51,165.41,0.77,0.01,,09-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-May-2020 - 00:00,36.84,,971.3,0.6,32.55,1.4,15.38,9.32,78.96,84.3,37.39,38.79,12.65,132.53,148.79,1.21,0.09,,10-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-May-2020 - 00:00,30.92,,971.31,0.52,30.77,1.55,16.38,9.98,56.23,76.33,32.61,48.6,12.69,84.92,125.82,1.85,0.19,,11-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-May-2020 - 00:00,31.49,,971.3,0.55,29.12,1.62,21.77,12.89,62.54,68.15,27.91,50.64,12.59,129.45,121.97,1.74,0.2,,12-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-May-2020 - 00:00,33.96,,971.31,0.53,33.51,1.63,22.86,13.49,60.72,64.95,27.64,44.26,12.68,121.16,113.65,1.23,0.08,,13-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-May-2020 - 00:00,33.51,,971.3,0.59,33.96,1.6,23.91,14.03,61.24,108.59,48.59,47.27,13.25,106.01,182.44,0.6,0.0,,14-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-May-2020 - 00:00,33.75,,971.3,0.6,31.53,4.55,28.91,19.08,50.05,85.14,33.39,46.93,12.8,130.73,201.49,0.98,0.02,,15-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-May-2020 - 00:00,35.7,,971.3,0.51,26.18,1.63,23.1,13.61,59.33,83.15,32.86,33.26,16.11,139.47,205.21,0.96,0.0,,16-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-May-2020 - 00:00,36.22,,971.31,0.62,22.63,1.44,27.55,15.83,66.78,106.19,63.09,29.1,16.47,142.87,202.7,0.83,0.0,,17-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-May-2020 - 00:00,36.12,,971.35,0.76,23.09,2.44,42.34,24.51,57.74,135.29,,30.49,21.11,126.94,207.15,0.59,0.0,,18-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-May-2020 - 00:00,36.02,,971.35,0.78,23.06,5.8,45.38,29.15,56.01,152.6,80.5,30.11,27.45,134.12,206.47,0.77,0.0,,19-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-May-2020 - 00:00,36.64,,971.3,0.67,20.62,11.03,60.02,40.93,57.48,145.57,67.94,24.74,21.23,136.61,189.7,0.56,0.0,,20-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-May-2020 - 00:00,34.7,,971.3,0.54,18.61,2.03,39.72,22.77,58.53,107.15,44.65,20.75,19.21,140.3,201.35,0.76,0.0,,21-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-May-2020 - 00:00,34.05,,971.3,0.75,16.98,9.24,41.74,29.76,54.41,120.17,42.08,20.37,21.16,142.91,205.66,0.98,0.0,,22-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-May-2020 - 00:00,35.07,,971.3,0.88,19.58,4.44,61.67,36.41,49.16,140.96,59.54,22.87,27.94,137.98,208.71,0.62,0.0,,23-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-May-2020 - 00:00,34.23,,971.29,0.49,21.31,2.12,42.75,24.45,34.55,142.82,57.52,28.72,14.85,133.09,206.46,0.7,0.0,,24-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-May-2020 - 00:00,37.66,,971.3,0.6,19.87,1.78,31.35,18.12,42.35,112.62,37.61,24.73,17.71,135.36,196.58,0.83,0.0,,25-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-May-2020 - 00:00,36.78,,971.32,0.77,19.72,2.47,30.74,18.38,50.42,119.59,48.51,27.78,30.37,148.16,208.24,1.1,0.0,,26-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-May-2020 - 00:00,39.6,,971.32,1.12,13.32,18.04,51.34,41.93,39.35,145.56,40.75,22.94,13.5,132.73,193.44,1.25,0.0,,27-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-May-2020 - 00:00,37.75,,971.29,0.72,13.19,1.69,30.57,17.62,55.66,111.91,30.85,27.32,14.96,136.97,160.36,1.12,0.0,,28-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-May-2020 - 00:00,32.65,,971.39,0.68,19.16,2.05,15.2,9.7,43.56,164.82,42.51,41.46,12.42,127.57,132.38,2.9,0.35,,29-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-May-2020 - 00:00,27.41,,971.48,0.62,18.26,2.28,18.93,11.93,23.92,53.23,13.55,57.62,10.87,127.91,138.51,2.43,0.25,,30-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-May-2020 - 00:00,27.74,,971.3,0.5,28.52,2.14,11.63,7.92,23.11,45.43,13.74,55.7,11.36,143.67,165.93,1.68,0.19,,31-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
31-May-2020 - 00:00,24.73,,971.4,0.49,31.98,2.41,14.28,9.57,20.75,32.31,12.05,67.58,8.44,128.05,165.42,1.45,0.18,,01-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Jun-2020 - 00:00,27.35,,971.3,0.91,26.71,3.52,37.28,22.7,38.27,81.34,26.88,59.43,12.63,142.66,156.7,0.68,0.04,,02-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Jun-2020 - 00:00,29.98,,971.3,0.79,28.48,3.07,30.63,18.76,25.72,79.63,25.06,50.39,12.84,141.9,200.82,0.85,0.02,,03-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Jun-2020 - 00:00,29.31,,971.31,0.99,34.92,5.81,38.21,25.07,37.01,92.2,29.69,55.69,12.45,128.7,180.32,0.7,0.03,,04-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Jun-2020 - 00:00,27.69,,971.63,0.85,43.21,10.26,35.62,27.29,22.19,99.19,32.35,60.26,11.08,98.49,170.88,0.92,0.08,,05-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Jun-2020 - 00:00,27.4,,971.66,0.79,29.9,3.63,23.28,8.16,23.86,59.04,19.54,58.82,11.48,116.85,176.05,0.82,0.05,,06-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Jun-2020 - 00:00,29.09,,971.3,0.6,29.2,2.37,15.7,10.28,25.81,58.01,15.55,55.49,9.07,140.41,148.74,1.1,0.12,,07-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Jun-2020 - 00:00,28.22,,971.55,0.73,25.33,3.25,22.93,13.48,22.82,73.54,22.39,59.44,13.31,121.29,167.51,0.8,0.03,,08-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Jun-2020 - 00:00,30.83,,971.3,0.84,25.72,3.49,56.69,20.36,28.4,88.43,25.98,51.85,10.66,140.9,194.16,0.67,0.02,,09-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Jun-2020 - 00:00,33.57,,971.29,0.86,31.01,4.93,39.66,25.07,26.87,121.08,38.16,48.2,11.78,137.2,205.17,0.6,0.01,,10-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Jun-2020 - 00:00,33.74,,971.32,0.76,31.0,8.22,38.85,27.33,13.28,113.81,35.35,50.43,11.32,131.58,195.12,0.87,0.02,,11-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Jun-2020 - 00:00,34.19,,971.3,0.91,33.11,6.86,45.16,29.61,12.82,121.36,32.84,45.8,11.51,136.19,178.0,0.59,0.01,,12-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Jun-2020 - 00:00,34.6,,971.3,0.88,29.77,4.1,39.69,24.45,12.92,124.29,38.36,46.36,10.48,130.11,159.31,0.84,0.05,,13-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Jun-2020 - 00:00,31.7,,971.3,0.73,26.34,2.46,23.27,14.08,11.08,112.3,32.93,51.94,10.36,95.33,165.95,1.07,0.09,,14-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Jun-2020 - 00:00,33.88,,971.3,0.86,14.4,,,,16.08,126.56,43.33,48.92,10.19,132.49,158.98,0.69,0.03,,15-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Jun-2020 - 00:00,35.42,,971.32,0.78,26.05,2.61,22.27,38.65,21.91,96.58,29.64,40.26,10.57,135.11,183.82,0.84,0.02,,16-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Jun-2020 - 00:00,35.06,,971.3,1.02,19.2,10.03,43.13,30.99,23.17,90.77,25.74,41.81,11.59,128.0,171.16,1.09,0.08,,17-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Jun-2020 - 00:00,34.6,,971.3,0.77,13.93,2.72,14.36,9.71,20.15,70.79,18.86,46.03,9.88,140.81,126.62,2.02,0.26,,18-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Jun-2020 - 00:00,35.7,,971.3,0.82,10.89,2.93,11.06,8.06,22.36,81.88,21.22,43.5,9.63,139.37,152.41,1.33,0.15,,19-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Jun-2020 - 00:00,35.57,,971.31,0.81,14.66,2.69,13.24,8.94,19.36,186.75,49.83,46.81,9.42,124.24,147.61,1.61,0.2,,20-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Jun-2020 - 00:00,31.19,,971.3,0.75,15.44,2.49,29.06,17.44,17.25,96.46,24.42,49.43,10.72,88.01,170.8,1.38,0.12,,21-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Jun-2020 - 00:00,29.9,,971.51,0.82,12.62,2.72,31.62,19.04,14.36,80.54,21.71,60.08,11.07,95.3,143.7,0.76,0.05,,22-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Jun-2020 - 00:00,31.17,,971.31,0.86,33.23,2.43,32.18,19.1,14.84,64.83,14.92,56.28,10.2,127.23,159.04,0.81,0.04,,23-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Jun-2020 - 00:00,31.49,,971.3,0.78,19.58,2.7,17.64,11.59,10.96,48.96,12.74,58.06,8.19,124.98,118.7,2.1,0.26,,24-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Jun-2020 - 00:00,29.32,,971.33,0.82,20.01,3.06,21.25,13.8,10.78,49.75,11.67,67.76,10.41,102.12,123.34,1.55,0.21,,25-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Jun-2020 - 00:00,30.57,,971.74,0.99,14.95,6.26,35.53,24.01,8.62,57.04,15.17,65.25,12.93,124.51,202.79,0.51,0.01,,26-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Jun-2020 - 00:00,31.04,,971.34,0.86,16.42,6.39,33.49,23.02,19.08,85.71,22.42,62.26,15.87,122.61,210.92,0.86,0.0,,27-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Jun-2020 - 00:00,32.93,,971.29,0.75,31.66,4.32,27.5,18.15,8.04,124.62,37.13,51.45,15.04,123.11,224.92,1.25,0.0,,28-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Jun-2020 - 00:00,34.98,,971.3,0.84,24.29,10.17,27.13,22.72,8.76,260.5,73.42,47.39,14.7,132.87,218.4,1.34,0.0,,29-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Jun-2020 - 00:00,33.73,,971.3,0.74,20.13,5.09,26.73,18.38,9.2,124.38,34.08,48.97,12.35,129.81,190.3,1.24,0.06,,30-Jun-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Jun-2020 - 00:00,31.76,,971.3,0.81,15.35,2.36,18.14,11.58,9.85,73.12,22.5,58.65,13.11,133.46,134.59,1.49,0.2,,01-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Jul-2020 - 00:00,33.14,,971.3,0.94,20.05,2.21,20.71,12.82,11.93,96.29,31.04,54.97,15.13,126.65,139.68,1.13,0.14,,02-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Jul-2020 - 00:00,34.9,,971.3,1.04,25.98,2.28,30.51,18.09,13.09,109.12,39.83,51.01,15.18,124.79,155.35,0.67,0.01,,03-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Jul-2020 - 00:00,34.44,,971.37,1.01,24.42,2.94,18.99,12.4,11.72,114.71,40.58,53.3,14.35,120.01,137.33,1.32,0.13,,04-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Jul-2020 - 00:00,32.36,,971.3,0.85,17.29,2.49,7.05,5.85,9.18,73.22,24.83,58.36,16.09,129.51,139.79,2.01,0.3,,05-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Jul-2020 - 00:00,28.0,,971.41,0.77,23.45,3.41,22.98,14.12,8.98,49.57,18.9,67.4,12.89,105.61,124.71,1.13,0.11,,06-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Jul-2020 - 00:00,30.18,,971.3,0.71,28.3,3.5,21.7,14.4,7.5,87.45,23.64,65.94,8.92,120.98,118.08,1.4,0.18,,07-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Jul-2020 - 00:00,28.65,,971.54,0.56,22.17,4.65,17.47,13.08,6.78,29.67,12.3,67.84,8.98,122.43,103.7,2.53,0.31,,08-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Jul-2020 - 00:00,28.66,,971.29,0.68,13.49,3.66,15.07,11.11,7.41,34.99,10.88,71.52,9.07,96.65,149.75,1.85,0.25,,09-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Jul-2020 - 00:00,31.73,,971.28,0.75,12.94,3.67,13.74,10.3,7.55,51.6,19.29,62.59,9.27,124.49,222.12,0.78,0.0,,10-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Jul-2020 - 00:00,33.21,4.04,971.34,0.68,17.41,6.59,24.17,18.33,9.19,75.68,21.27,54.59,10.68,130.84,221.87,1.35,0.0,31.25,11-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Jul-2020 - 00:00,30.72,1.19,971.38,0.61,29.33,3.02,30.98,18.86,8.39,54.5,16.89,59.85,8.68,112.14,182.28,1.02,0.05,13.56,12-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Jul-2020 - 00:00,29.73,,971.39,0.56,38.34,2.61,34.27,20.34,10.41,47.4,16.64,59.36,9.43,104.35,189.54,0.79,0.04,,13-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Jul-2020 - 00:00,32.01,,971.37,0.63,41.8,3.84,46.67,27.92,11.82,114.79,34.18,53.63,10.42,136.04,214.4,0.76,0.0,,14-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Jul-2020 - 00:00,33.81,,971.37,0.69,37.0,4.82,47.38,29.07,12.24,155.29,43.69,51.94,9.62,125.16,179.92,0.89,0.05,,15-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Jul-2020 - 00:00,32.0,,971.38,0.67,51.09,3.61,29.77,18.78,12.76,99.73,30.71,59.14,8.71,114.78,117.07,2.05,0.26,,16-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Jul-2020 - 00:00,31.15,,971.38,0.7,42.4,6.22,29.11,20.46,9.56,66.81,19.38,61.45,10.46,98.24,109.51,1.9,0.24,,17-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Jul-2020 - 00:00,30.88,,971.48,0.8,40.51,13.48,33.47,28.8,8.96,77.0,25.74,67.08,9.02,100.88,121.21,1.49,0.2,,18-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Jul-2020 - 00:00,31.08,,971.37,0.73,43.62,5.36,28.58,19.56,10.35,83.06,23.64,66.37,9.85,109.08,117.21,1.35,0.17,,19-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Jul-2020 - 00:00,28.91,,971.77,0.86,37.49,14.15,32.43,28.79,10.35,45.0,13.21,72.87,10.73,93.47,187.7,0.66,0.06,,20-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Jul-2020 - 00:00,27.46,,971.69,0.64,34.76,2.85,40.58,23.83,14.66,39.45,13.29,69.43,8.97,94.49,207.62,0.67,0.0,,21-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Jul-2020 - 00:00,25.16,,973.66,0.54,33.31,7.11,46.7,30.53,11.38,33.99,8.79,78.69,8.72,85.46,164.03,0.71,0.06,,22-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Jul-2020 - 00:00,25.13,,971.82,0.6,24.64,8.8,31.93,23.85,9.51,36.43,6.22,80.56,8.25,76.25,196.51,0.5,0.01,,23-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Jul-2020 - 00:00,28.42,,971.29,0.89,36.05,48.62,57.18,70.05,14.59,65.25,13.04,68.21,11.94,136.68,215.48,0.63,0.0,,24-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Jul-2020 - 00:00,29.23,,971.33,0.63,60.82,12.71,61.4,42.96,12.73,74.17,15.72,66.45,9.03,124.05,124.96,1.3,0.16,,25-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Jul-2020 - 00:00,29.45,,971.35,0.61,66.83,4.97,39.34,24.97,11.16,52.75,16.46,69.51,8.21,116.39,111.16,1.48,0.16,,26-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Jul-2020 - 00:00,30.84,,971.37,0.96,70.07,21.06,58.65,48.32,14.54,79.05,22.89,65.8,11.96,122.35,174.15,0.58,0.04,,27-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Jul-2020 - 00:00,32.39,,971.36,0.57,62.67,4.94,44.32,27.59,13.01,76.58,22.89,59.35,7.37,134.52,229.31,1.12,0.0,,28-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Jul-2020 - 00:00,32.48,,971.36,0.76,47.25,9.8,48.83,33.94,12.77,69.23,19.07,59.04,11.7,126.57,222.53,1.09,0.0,,29-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Jul-2020 - 00:00,28.99,,971.46,0.61,36.61,5.0,34.48,22.34,11.28,58.98,17.0,67.48,10.75,81.7,165.44,0.96,0.09,,30-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Jul-2020 - 00:00,27.84,,971.36,0.69,33.17,7.24,35.39,24.73,14.03,39.28,12.51,69.54,11.36,105.13,190.09,0.8,0.06,,31-Jul-2020 - 00:00,"R K Puram, Delhi - DPCC"
31-Jul-2020 - 00:00,29.01,,971.38,0.74,33.73,9.62,39.92,29.08,12.47,62.42,19.3,72.61,8.24,96.8,165.55,0.57,0.04,,01-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Aug-2020 - 00:00,28.29,,971.37,0.77,39.57,7.33,32.21,23.1,12.29,58.38,19.04,74.95,11.48,94.55,169.93,0.73,0.07,,02-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Aug-2020 - 00:00,30.57,,972.2,0.69,36.62,12.41,26.23,24.06,11.28,45.35,12.22,66.98,9.96,127.46,220.44,0.78,0.0,,03-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Aug-2020 - 00:00,31.57,,971.36,0.65,37.59,9.76,34.22,26.16,11.86,58.68,15.79,61.45,10.69,122.05,221.94,1.09,0.0,,04-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Aug-2020 - 00:00,32.44,,971.37,0.68,27.11,9.71,35.29,26.7,16.72,49.72,14.35,57.4,10.12,146.83,196.45,0.74,0.0,,05-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Aug-2020 - 00:00,30.53,,971.52,0.81,30.59,13.09,40.16,32.02,14.07,54.31,15.64,69.19,9.54,207.61,155.17,1.26,0.16,,06-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Aug-2020 - 00:00,32.88,,971.36,0.6,25.67,9.91,23.41,20.56,13.86,44.29,12.72,53.77,9.38,170.03,97.31,4.03,0.49,,07-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Aug-2020 - 00:00,30.19,,971.38,0.68,21.88,10.1,27.86,23.02,14.56,38.39,12.38,65.96,10.33,116.56,129.42,2.14,0.31,,08-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Aug-2020 - 00:00,31.63,,971.38,0.87,26.09,11.29,39.1,30.02,22.09,66.14,26.05,64.13,9.0,81.1,198.14,0.66,0.03,,09-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Aug-2020 - 00:00,29.2,,971.98,0.82,24.01,15.18,35.5,31.26,14.42,40.14,15.65,74.49,9.89,93.11,197.94,0.74,0.03,,10-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Aug-2020 - 00:00,29.61,,971.37,0.76,26.12,11.93,22.91,21.94,13.06,36.49,13.46,72.89,9.18,120.07,131.38,1.19,0.19,,11-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Aug-2020 - 00:00,31.35,,971.38,0.84,25.21,8.16,32.44,23.93,18.08,53.82,23.25,67.76,9.73,139.86,209.35,0.63,0.02,,12-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Aug-2020 - 00:00,30.51,,971.39,0.64,26.12,8.99,28.28,21.89,15.87,44.89,18.46,68.6,8.99,122.71,200.1,1.1,0.15,,13-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Aug-2020 - 00:00,25.72,0.52,972.91,0.78,15.34,14.94,27.76,26.91,11.03,20.88,7.25,84.11,11.01,41.35,158.38,0.68,0.03,17.01,14-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Aug-2020 - 00:00,26.78,0.14,971.46,0.66,14.23,12.36,21.82,21.63,12.04,27.43,8.14,79.78,9.48,105.79,96.56,1.68,0.19,5.7,15-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Aug-2020 - 00:00,27.11,,971.44,1.0,1.5,5.64,2.48,2.55,9.28,38.76,11.5,83.73,,265.32,123.44,0.49,0.01,,18-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Aug-2020 - 00:00,28.82,,971.38,1.05,17.76,8.18,27.57,13.93,10.91,40.24,11.1,76.66,7.97,361.98,176.06,0.66,0.03,,19-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Aug-2020 - 00:00,25.28,,978.55,3.13,12.06,7.38,14.19,13.29,10.0,31.41,9.78,84.86,7.81,316.93,172.32,0.6,0.03,,20-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Aug-2020 - 00:00,25.02,,975.05,1.54,4.62,5.33,5.91,6.92,13.41,28.89,10.75,83.56,12.75,349.01,105.0,1.06,0.09,,21-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Aug-2020 - 00:00,28.09,,971.38,1.17,2.26,6.16,2.87,5.27,17.36,39.15,13.16,70.21,9.56,379.73,93.8,1.4,0.15,,22-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Aug-2020 - 00:00,28.45,141.26,971.37,2.06,8.82,6.18,2.71,38.34,66.12,38.71,12.0,67.88,6.29,201.52,89.09,2.58,0.14,119.66,23-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Aug-2020 - 00:00,,149.49,,,15.1,,,111.04,152.77,,,,2.07,13.55,,,0.0,113.18,24-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Aug-2020 - 00:00,,150.61,,,15.67,,,107.37,158.16,,,,2.09,12.42,,,0.0,110.58,25-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Aug-2020 - 00:00,28.57,151.91,971.31,0.57,12.41,4.01,20.6,46.17,92.24,42.77,11.11,70.7,6.2,126.24,158.83,0.71,0.01,104.28,26-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Aug-2020 - 00:00,28.4,,971.3,0.67,8.79,12.85,25.88,24.0,14.69,43.84,14.62,69.93,9.05,310.16,219.82,0.84,0.0,,27-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Aug-2020 - 00:00,29.41,,971.31,0.76,12.66,11.09,29.33,24.83,16.77,46.04,13.88,66.39,8.05,112.13,203.72,0.66,0.0,,28-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Aug-2020 - 00:00,26.89,,971.82,1.02,14.5,28.8,35.93,42.59,14.65,55.05,18.24,77.87,17.84,72.36,185.67,0.66,0.01,,29-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Aug-2020 - 00:00,28.57,,972.19,1.0,17.78,25.52,32.7,38.21,18.16,74.52,32.8,71.05,16.53,108.68,135.29,0.97,0.09,,30-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Aug-2020 - 00:00,27.13,,971.38,0.65,15.72,10.05,21.68,19.73,14.26,48.47,29.94,71.51,18.23,77.48,104.03,2.7,0.29,,31-Aug-2020 - 00:00,"R K Puram, Delhi - DPCC"
31-Aug-2020 - 00:00,27.23,,971.38,0.61,13.43,6.26,19.76,15.61,15.0,33.49,,71.2,14.24,93.15,156.23,1.46,0.2,,01-Sep-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Sep-2020 - 00:00,28.69,,971.28,0.98,11.71,6.16,21.12,16.2,16.15,37.55,11.54,65.41,19.4,126.97,207.22,0.83,0.02,,02-Sep-2020 - 00:00,"R K Puram, Delhi - DPCC"
