from date,PM10,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
09-Aug-2020 - 00:00,69.67,0.04,178.03,90.55,737.23,164.22,8.65,21.94,18.48,12.83,43.55,32.5,0.82,10.01,0.7,1.46,9.19,2.93,1.83,1.9,10-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Aug-2020 - 00:00,65.08,0.04,134.51,87.64,737.88,171.88,9.08,23.41,19.58,14.32,15.18,33.22,0.78,10.51,1.03,1.04,5.24,1.74,0.96,0.95,11-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Aug-2020 - 00:00,76.01,0.04,187.8,88.3,737.68,168.25,9.24,22.26,19.16,11.42,32.34,32.54,1.05,10.66,0.61,1.13,7.98,2.45,1.91,1.66,12-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Aug-2020 - 00:00,64.91,0.04,224.53,85.42,737.02,189.65,9.14,36.44,26.65,9.04,14.45,31.94,0.84,11.41,1.08,0.66,5.11,1.23,1.74,1.09,13-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Aug-2020 - 00:00,30.79,0.07,130.49,97.97,737.19,94.31,8.53,23.74,18.44,19.86,14.23,27.85,0.89,11.07,0.81,1.42,7.03,2.19,1.41,1.39,14-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Aug-2020 - 00:00,51.04,0.07,95.54,93.7,736.54,111.38,6.25,36.52,15.42,13.84,13.42,29.52,1.35,10.73,1.0,1.2,6.24,2.26,1.23,1.52,15-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Aug-2020 - 00:00,60.59,0.06,134.99,87.02,736.4,167.13,7.06,27.29,10.26,12.41,22.5,31.27,1.15,9.85,0.96,0.51,2.55,0.68,0.34,0.58,16-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Aug-2020 - 00:00,46.86,0.06,137.13,86.58,736.96,188.15,7.5,28.21,9.02,8.31,22.45,31.64,1.13,10.26,0.41,0.36,1.68,0.47,0.27,0.48,17-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Aug-2020 - 00:00,57.71,0.04,134.44,91.89,737.24,141.02,6.69,23.02,11.11,9.1,23.32,31.09,1.42,9.5,0.18,0.75,5.29,1.51,0.9,0.92,18-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Aug-2020 - 00:00,63.22,0.01,180.28,92.54,737.64,132.03,2.57,20.11,12.69,17.98,24.1,30.89,1.05,9.83,0.17,0.68,4.64,1.53,0.91,0.96,19-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Aug-2020 - 00:00,48.47,0.03,141.58,97.57,737.77,67.67,2.66,34.85,20.64,14.17,19.88,27.89,1.49,10.66,0.31,1.28,8.01,2.92,1.75,1.78,20-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Aug-2020 - 00:00,42.48,0.02,95.49,97.85,741.09,123.87,2.67,24.82,15.29,8.38,18.24,27.51,1.15,11.58,0.92,1.48,10.97,3.03,1.68,1.97,21-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Aug-2020 - 00:00,60.68,0.0,82.92,85.97,740.23,174.36,2.52,55.79,33.99,5.16,22.39,29.89,1.14,10.38,1.03,1.28,6.55,2.46,1.22,1.47,22-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Aug-2020 - 00:00,66.28,-0.0,80.96,79.39,739.63,184.13,2.55,27.16,16.48,7.77,19.1,30.85,0.81,10.24,1.46,0.93,4.88,1.34,0.81,1.14,23-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Aug-2020 - 00:00,58.97,0.0,94.79,84.58,738.73,133.19,3.88,19.46,8.71,3.68,17.98,30.24,1.19,9.9,1.52,0.51,2.68,0.49,0.18,0.6,24-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Aug-2020 - 00:00,46.09,0.0,127.28,87.91,739.01,138.41,8.29,27.85,16.99,9.82,17.15,29.71,1.03,9.9,1.45,0.38,2.12,0.58,0.3,0.6,25-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Aug-2020 - 00:00,51.55,0.01,153.63,87.54,740.28,125.58,3.89,27.82,17.91,13.55,23.12,29.96,0.94,10.06,1.1,0.38,1.91,0.5,0.16,0.54,26-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Aug-2020 - 00:00,57.06,-0.03,240.03,80.41,741.04,149.29,3.69,35.3,21.73,13.23,18.87,30.93,1.06,10.17,0.82,0.55,3.19,0.85,0.55,0.72,27-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Aug-2020 - 00:00,69.7,-0.0,228.36,82.17,740.92,144.02,3.72,33.65,20.86,9.01,19.83,30.75,1.07,10.38,0.53,0.78,7.62,1.82,2.23,1.27,28-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Aug-2020 - 00:00,71.36,-0.03,161.33,94.43,740.4,139.36,3.91,26.77,17.35,11.16,19.27,28.98,1.38,13.89,0.55,1.88,9.5,3.32,2.32,1.93,29-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Aug-2020 - 00:00,91.2,0.0,94.39,84.05,739.21,185.12,10.3,32.01,25.25,9.24,21.19,30.68,1.35,11.47,0.71,1.21,8.65,3.59,1.74,2.24,30-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Aug-2020 - 00:00,67.95,-0.0,96.63,84.93,739.07,123.25,6.77,44.26,30.78,11.26,15.5,29.48,1.13,9.69,1.77,0.32,2.43,0.41,0.2,0.61,31-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-Aug-2020 - 00:00,42.89,0.01,147.58,83.96,740.46,147.84,6.34,27.62,19.75,8.22,12.42,29.56,1.04,9.11,1.31,0.15,1.41,0.46,0.21,0.45,01-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Sep-2020 - 00:00,50.88,-0.02,172.65,78.2,741.37,189.91,8.92,33.43,24.93,8.13,18.34,30.47,0.99,10.61,0.17,0.12,1.29,0.28,0.13,0.36,02-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Sep-2020 - 00:00,71.36,-0.01,179.55,78.28,742.62,152.76,7.78,38.08,26.48,14.1,23.31,31.16,1.0,11.21,0.14,0.44,2.34,0.65,0.32,0.49,03-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Sep-2020 - 00:00,90.78,-0.02,124.31,76.61,742.97,175.44,5.45,37.95,24.54,11.03,27.39,31.82,1.26,8.95,0.16,0.53,3.17,0.74,0.29,0.68,04-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Sep-2020 - 00:00,88.36,-0.01,149.5,80.06,742.21,185.72,10.42,38.71,28.93,14.4,19.4,31.56,0.95,10.41,0.16,0.56,3.27,0.95,0.55,0.91,05-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Sep-2020 - 00:00,94.57,0.0,170.89,82.78,741.12,176.15,14.06,48.08,36.82,18.8,22.51,29.9,0.79,10.04,0.13,0.74,5.67,1.71,1.57,1.43,06-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Sep-2020 - 00:00,67.75,0.0,191.36,84.3,740.61,173.97,10.0,37.57,27.98,26.91,21.68,29.18,1.09,9.75,0.11,0.75,5.78,1.51,1.32,1.05,07-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Sep-2020 - 00:00,126.94,0.01,170.7,83.75,740.95,148.12,18.27,48.33,40.32,14.56,40.39,29.43,1.29,10.69,0.14,1.27,7.09,2.1,2.63,1.25,08-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Sep-2020 - 00:00,79.76,-0.07,248.58,76.29,741.32,174.68,7.47,30.61,22.26,9.09,22.53,30.32,0.93,10.67,0.34,0.56,6.73,0.89,2.24,0.81,09-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Sep-2020 - 00:00,119.3,-0.09,269.02,75.41,741.2,188.81,5.41,24.6,17.41,3.3,33.79,31.18,0.66,10.15,0.43,0.61,6.01,1.15,2.14,0.88,10-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Sep-2020 - 00:00,125.68,0.0,254.81,71.11,739.63,198.71,5.81,24.51,17.69,3.02,36.96,31.38,0.66,10.48,0.59,0.79,5.39,1.3,2.03,0.89,11-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Sep-2020 - 00:00,191.1,-0.01,166.79,63.43,739.94,198.77,11.94,30.95,26.02,15.36,41.4,32.06,0.77,10.35,0.41,2.1,23.22,6.72,7.35,3.28,12-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Sep-2020 - 00:00,192.0,-0.0,102.91,64.64,741.58,192.42,9.13,31.61,24.12,32.93,64.07,32.02,0.8,10.16,0.48,1.84,15.53,3.94,4.84,2.21,13-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Sep-2020 - 00:00,178.4,-0.0,106.73,69.99,741.56,164.4,6.22,30.25,21.06,38.16,42.05,31.78,0.63,10.44,0.49,1.52,10.98,2.04,8.2,1.71,14-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Sep-2020 - 00:00,180.68,-0.1,120.36,70.19,740.91,163.84,5.72,28.32,19.64,29.64,45.69,31.74,0.77,10.45,0.43,1.0,1.06,0.55,5.85,10.58,15-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Sep-2020 - 00:00,172.63,-0.27,194.32,69.03,740.62,165.87,6.55,30.13,21.26,25.48,51.75,31.69,0.69,10.47,0.4,0.34,1.77,0.53,2.01,3.04,16-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Sep-2020 - 00:00,180.61,0.01,251.35,66.49,740.39,186.2,7.12,29.15,21.2,26.34,52.28,32.47,0.67,9.83,0.58,1.52,12.52,3.17,4.15,4.63,17-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Sep-2020 - 00:00,124.91,0.04,284.88,63.52,740.08,195.34,4.8,23.27,16.22,25.9,36.08,32.72,0.52,9.21,0.74,1.34,15.12,1.85,4.06,1.88,18-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Sep-2020 - 00:00,121.19,0.19,287.11,63.56,739.52,184.89,5.23,21.62,15.68,26.59,22.91,32.89,0.94,9.23,0.82,0.99,12.93,1.51,4.07,1.74,19-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Sep-2020 - 00:00,150.06,0.15,215.0,66.88,739.74,180.18,4.98,30.05,19.97,15.7,27.31,32.24,0.85,10.07,0.51,1.89,18.61,3.15,6.06,2.09,20-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Sep-2020 - 00:00,170.77,0.05,226.84,66.6,739.4,205.52,6.16,38.63,25.48,24.41,41.22,31.87,0.72,6.63,0.57,1.29,11.85,1.57,4.66,1.55,21-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Sep-2020 - 00:00,153.84,0.02,173.72,65.63,738.7,193.69,4.26,34.5,21.76,18.42,32.63,32.09,0.76,7.11,0.55,1.09,13.94,1.54,4.28,1.42,22-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Sep-2020 - 00:00,133.16,0.01,121.24,66.65,738.97,190.71,4.91,34.96,22.52,28.01,23.91,32.0,0.82,8.24,0.82,1.19,8.0,1.19,1.32,1.54,23-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Sep-2020 - 00:00,94.33,0.0,117.92,67.6,739.08,179.26,5.34,31.5,21.02,17.35,15.94,31.38,0.89,9.85,0.97,1.0,6.22,1.51,0.71,1.54,24-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Sep-2020 - 00:00,113.06,0.01,142.93,70.31,740.5,194.92,5.98,33.17,22.41,14.96,17.67,30.48,0.78,7.95,0.76,0.99,12.65,1.98,3.28,1.78,25-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Sep-2020 - 00:00,170.48,-0.14,217.34,64.93,740.08,199.72,9.98,52.84,36.08,18.37,40.38,31.05,1.05,7.46,0.72,1.81,16.65,4.62,5.0,3.26,26-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Sep-2020 - 00:00,182.05,-0.15,219.18,61.89,740.25,148.55,24.17,67.49,55.24,15.73,48.51,29.55,0.9,9.22,0.73,3.22,23.66,5.29,4.89,3.73,27-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Sep-2020 - 00:00,127.08,0.11,243.72,57.22,741.95,196.71,26.02,51.31,48.1,17.93,31.77,29.57,0.9,7.76,0.8,1.25,13.2,3.48,3.46,2.2,28-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Sep-2020 - 00:00,205.17,-0.0,235.71,56.83,742.63,190.01,29.2,65.75,58.33,27.23,50.88,30.21,0.81,7.77,0.59,2.13,15.75,3.95,4.99,3.05,29-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Sep-2020 - 00:00,205.5,-0.12,273.38,61.47,742.44,184.74,10.51,61.06,40.89,19.12,52.95,29.9,0.65,7.16,0.69,1.52,16.38,1.82,4.02,1.92,30-Sep-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Sep-2020 - 00:00,175.37,-0.08,271.56,54.66,741.78,191.02,5.36,57.2,34.71,20.78,43.94,29.75,0.76,7.63,0.78,1.5,16.35,2.3,3.45,2.39,01-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Oct-2020 - 00:00,198.59,0.04,241.15,52.66,741.41,188.84,9.73,63.41,41.51,28.56,55.96,30.11,0.98,8.4,0.63,2.45,19.46,3.7,5.02,2.92,02-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Oct-2020 - 00:00,215.87,-0.01,213.6,57.09,741.83,189.14,11.71,65.53,44.22,28.65,61.07,29.47,1.0,8.49,0.57,2.17,10.32,2.1,1.27,1.63,03-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Oct-2020 - 00:00,192.98,0.01,222.7,52.44,742.56,188.13,8.13,62.13,39.55,24.09,57.25,29.23,0.91,7.3,0.52,1.74,14.61,2.64,5.29,2.5,04-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Oct-2020 - 00:00,213.38,0.09,220.76,50.9,743.16,185.53,15.96,73.36,51.79,21.76,74.2,28.69,1.02,7.41,0.44,1.98,14.99,3.11,3.21,2.26,05-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Oct-2020 - 00:00,196.71,0.13,277.02,47.04,742.88,141.92,4.71,66.54,39.15,35.05,56.21,28.92,0.84,7.64,0.6,1.59,11.72,1.8,4.09,2.06,06-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Oct-2020 - 00:00,209.89,0.08,237.49,47.47,743.16,130.64,17.02,82.18,57.33,23.65,62.21,28.85,1.15,8.34,0.6,3.04,18.35,4.94,5.79,3.24,07-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Oct-2020 - 00:00,252.33,0.19,203.35,48.27,744.34,138.0,24.24,77.0,60.35,40.05,86.94,28.62,1.06,9.08,0.53,2.77,26.48,6.17,8.52,3.88,08-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Oct-2020 - 00:00,218.15,0.15,222.72,47.37,744.55,172.21,13.64,75.2,50.91,48.22,73.24,28.53,0.97,6.83,0.53,1.66,19.67,4.22,6.02,3.1,09-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Oct-2020 - 00:00,219.51,0.15,189.38,48.27,744.69,133.51,20.96,85.15,62.06,28.03,74.65,28.27,1.03,7.87,0.38,2.35,17.93,4.67,5.1,3.04,10-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Oct-2020 - 00:00,215.73,0.16,246.59,50.82,743.88,172.29,8.63,81.16,50.08,33.54,70.59,28.17,0.94,9.81,0.43,1.93,10.27,2.9,3.37,2.17,11-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Oct-2020 - 00:00,217.71,0.15,260.94,49.87,742.65,214.93,6.22,76.82,45.84,31.66,63.69,28.11,1.24,11.75,0.45,1.73,7.19,1.66,1.55,1.64,12-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Oct-2020 - 00:00,339.58,0.08,181.78,48.27,741.73,180.99,62.13,107.05,106.65,48.95,97.23,27.93,1.83,14.1,0.35,3.31,28.03,6.31,7.02,3.75,13-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Oct-2020 - 00:00,313.02,-0.06,129.84,57.61,742.18,130.96,91.7,108.62,131.14,45.45,141.3,28.33,1.84,12.68,0.53,4.14,27.15,9.49,5.89,5.23,14-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Oct-2020 - 00:00,448.35,-0.07,118.97,58.86,743.17,81.76,49.77,114.71,100.83,19.87,132.1,28.58,1.88,13.33,0.32,6.74,34.9,15.46,9.56,7.2,15-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Oct-2020 - 00:00,369.58,-0.09,155.55,41.09,743.63,148.61,41.94,98.59,85.98,8.77,129.07,28.35,1.18,9.48,0.43,5.43,49.9,11.94,17.95,6.64,16-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Oct-2020 - 00:00,355.27,-0.02,155.14,35.18,743.53,260.03,56.49,101.93,99.44,27.34,117.86,26.78,1.44,12.14,0.37,6.75,54.81,12.94,14.66,7.04,17-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Oct-2020 - 00:00,331.39,0.04,190.15,39.85,744.03,236.8,91.22,108.63,130.75,17.2,112.56,26.75,1.54,12.22,0.28,11.55,68.36,18.44,19.96,10.19,18-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Oct-2020 - 00:00,253.41,0.05,250.79,35.81,744.0,248.33,28.19,91.4,71.16,20.07,89.61,26.83,1.09,9.92,0.49,7.12,25.15,8.33,7.02,5.1,19-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Oct-2020 - 00:00,279.88,0.01,270.93,32.02,743.8,253.2,14.56,87.07,57.96,20.33,94.83,26.73,1.02,11.12,0.57,3.17,17.7,4.32,8.47,3.95,20-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Oct-2020 - 00:00,310.8,-0.05,202.76,32.26,743.61,257.42,80.07,106.85,122.02,20.92,102.24,25.94,1.37,12.01,0.55,7.26,53.02,11.17,12.3,6.91,21-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Oct-2020 - 00:00,411.77,-0.16,152.52,34.23,744.3,252.48,184.85,121.4,212.45,18.85,142.88,26.22,2.23,14.35,0.42,14.98,89.58,34.55,23.0,20.68,22-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Oct-2020 - 00:00,537.13,-0.11,138.9,37.11,743.49,210.43,151.82,143.6,197.84,24.59,212.07,25.89,2.26,14.63,0.33,19.31,129.53,35.03,27.22,17.78,23-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Oct-2020 - 00:00,558.2,-0.1,126.27,40.58,743.33,237.55,137.44,127.33,177.68,29.99,212.19,25.25,2.19,14.62,0.35,14.02,108.39,29.8,28.97,15.24,24-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Oct-2020 - 00:00,419.11,-0.11,218.1,44.74,744.02,236.23,169.18,114.79,202.36,18.42,155.45,24.46,2.33,12.09,0.46,25.55,112.31,33.72,28.77,19.62,25-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Oct-2020 - 00:00,453.44,-0.22,158.33,45.05,745.54,221.67,178.82,121.98,207.94,27.07,199.94,24.64,2.52,13.53,0.34,22.17,112.12,41.22,31.67,20.93,26-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Oct-2020 - 00:00,374.04,-0.27,191.29,39.85,746.44,202.7,122.33,115.46,159.28,22.8,154.22,24.92,1.61,12.0,0.39,8.46,58.88,20.09,17.85,10.46,27-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Oct-2020 - 00:00,340.78,-0.26,232.02,36.09,746.41,218.07,42.78,94.63,84.56,25.8,130.13,23.53,1.18,11.95,0.64,6.27,33.96,10.12,8.69,5.95,28-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Oct-2020 - 00:00,434.85,-0.22,173.28,39.15,746.86,207.5,138.09,125.41,177.18,24.66,169.78,22.71,1.95,16.35,0.35,25.1,98.35,30.03,26.41,15.96,29-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Oct-2020 - 00:00,551.04,-0.17,148.36,46.02,747.4,201.84,186.34,182.21,244.47,30.28,206.46,22.86,2.62,20.94,0.29,54.34,155.87,42.62,32.63,22.5,30-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Oct-2020 - 00:00,405.16,-0.22,242.0,39.7,747.15,208.09,90.1,124.14,138.11,21.36,148.96,23.56,1.5,10.71,0.45,18.14,81.02,23.16,19.78,13.29,31-Oct-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-Oct-2020 - 00:00,397.92,-0.25,283.06,36.21,747.1,210.32,10.39,96.13,59.45,25.16,142.47,23.19,1.12,11.9,0.67,5.82,19.79,2.57,3.28,3.25,01-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Nov-2020 - 00:00,426.57,-0.04,242.51,31.46,747.56,210.28,50.24,97.4,92.0,25.89,160.9,22.27,1.3,18.19,0.57,6.71,27.42,9.71,6.63,5.7,02-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Nov-2020 - 00:00,388.17,0.01,211.88,32.9,748.03,207.29,70.04,111.85,128.97,15.87,134.15,21.22,1.8,15.46,0.49,12.73,59.51,17.62,14.41,9.22,03-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Nov-2020 - 00:00,407.47,0.01,188.9,32.88,747.61,194.92,181.39,128.66,213.55,14.7,154.51,21.7,2.02,14.84,0.44,13.7,91.54,33.27,23.94,17.7,04-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Nov-2020 - 00:00,542.59,-0.0,204.18,43.26,746.84,160.72,144.74,147.02,194.0,10.22,202.62,20.7,2.15,14.33,0.48,17.74,96.03,31.1,25.54,16.94,05-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Nov-2020 - 00:00,528.33,-0.06,196.9,41.32,747.6,121.55,128.54,142.87,179.12,16.43,193.85,21.68,2.31,12.41,0.49,23.9,85.82,32.05,24.43,16.74,06-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Nov-2020 - 00:00,507.23,0.03,201.25,39.99,749.38,110.97,173.76,137.59,221.19,10.93,188.65,22.01,2.59,13.52,0.45,24.09,97.79,35.52,32.01,21.05,07-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Nov-2020 - 00:00,547.24,0.07,208.86,40.73,749.94,117.91,116.47,130.13,159.11,19.44,197.91,21.79,2.48,15.56,0.46,26.1,85.87,26.42,23.13,15.44,08-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Nov-2020 - 00:00,558.71,0.01,185.72,46.35,750.34,106.37,142.99,139.78,210.91,14.7,207.52,20.51,2.76,16.9,0.28,17.57,81.69,33.8,29.62,20.16,09-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Nov-2020 - 00:00,747.39,0.05,197.93,57.18,749.39,98.66,147.61,159.63,206.55,13.56,310.95,20.07,3.15,13.5,0.31,19.84,86.01,35.04,28.07,20.91,10-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Nov-2020 - 00:00,748.23,-0.03,140.62,59.4,748.64,97.52,189.76,150.01,253.25,18.06,316.98,20.65,3.3,15.88,0.34,31.18,97.41,43.3,30.46,24.26,11-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Nov-2020 - 00:00,492.26,-0.01,126.94,56.13,749.77,106.73,134.04,113.54,207.93,18.83,167.0,21.25,3.32,19.45,0.45,35.6,84.56,40.58,23.77,20.41,12-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Nov-2020 - 00:00,449.08,0.07,123.16,55.02,750.58,103.8,130.82,123.62,176.93,21.4,135.84,21.26,2.54,13.64,0.32,26.74,91.59,39.38,33.22,19.78,13-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Nov-2020 - 00:00,395.85,0.01,184.88,51.74,749.66,102.94,150.57,129.21,189.18,17.05,113.5,21.22,2.04,9.53,0.35,12.01,50.24,21.59,19.31,11.41,14-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Nov-2020 - 00:00,553.28,-0.08,147.72,51.69,748.23,87.72,107.42,144.88,163.0,12.11,182.01,20.66,2.31,15.02,0.39,13.59,34.33,20.28,12.17,9.38,15-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Nov-2020 - 00:00,436.43,-0.08,125.38,54.26,747.75,87.46,9.24,89.03,54.74,29.98,106.08,21.0,1.15,13.74,0.94,7.77,8.74,3.05,1.55,3.02,16-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Nov-2020 - 00:00,155.83,-0.01,125.42,72.72,749.5,86.9,19.78,56.71,45.98,19.66,47.88,19.99,0.98,9.16,0.86,2.23,8.2,2.8,1.69,1.88,17-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Nov-2020 - 00:00,142.64,0.03,226.65,62.21,749.07,118.44,23.98,74.46,58.79,12.26,50.48,19.69,0.8,11.16,0.44,2.54,11.79,2.32,3.34,2.52,18-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Nov-2020 - 00:00,181.95,0.02,205.82,53.79,748.41,124.22,23.33,88.43,65.7,16.98,66.93,18.82,1.01,11.99,0.4,1.93,15.64,5.13,7.32,3.23,19-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Nov-2020 - 00:00,250.67,0.06,158.41,48.38,748.71,122.99,57.57,110.43,104.79,17.14,90.5,18.32,1.16,11.58,0.36,4.19,27.19,6.54,5.54,4.19,20-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Nov-2020 - 00:00,216.64,0.03,273.82,41.69,749.69,130.11,17.73,107.71,71.48,21.21,78.44,18.36,0.84,10.78,0.55,2.74,12.11,2.46,3.74,2.68,21-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Nov-2020 - 00:00,203.39,0.03,282.09,37.88,750.0,131.7,32.3,83.71,70.37,21.8,62.47,17.57,0.9,11.89,0.63,4.75,15.75,4.35,4.39,2.47,22-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Nov-2020 - 00:00,250.87,0.02,235.89,36.8,750.41,125.66,72.8,93.31,107.88,14.54,71.79,16.87,1.31,11.57,0.58,4.74,16.29,6.3,5.63,3.83,23-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Nov-2020 - 00:00,377.85,-0.01,165.33,40.92,750.58,121.72,158.13,131.99,194.92,31.28,130.39,16.95,2.55,18.98,0.36,18.41,44.07,19.44,14.29,9.67,24-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Nov-2020 - 00:00,459.93,-0.07,131.45,45.05,750.27,104.2,155.44,141.68,223.0,31.79,170.36,16.96,3.14,17.55,0.41,21.22,51.27,28.72,20.52,14.75,25-Nov-2020 - 00:00,"Shadipur, Delhi - CPCB"
