from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
11-Mar-2020 - 00:00,32.68,0.47,12.65,41.65,42.17,47.76,6.16,4.75,29.65,81.24,4.61,30.35,5.37,24.9,56.85,0.2,195.99,136.42,712.23,0.0,0.0,12-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,31.23,0.47,12.73,40.02,46.53,49.09,4.78,4.43,31.85,74.95,5.28,41.45,1.74,24.29,63.33,0.2,173.52,142.02,713.24,0.0,0.0,13-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,31.29,0.38,18.47,35.25,34.96,40.04,6.85,3.47,28.47,79.34,2.16,16.1,0.76,25.61,53.22,1.54,241.47,206.08,712.59,0.01,0.0,14-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,31.36,0.45,15.06,38.51,42.7,46.13,4.86,5.02,31.68,81.25,2.52,20.12,7.37,25.26,55.5,2.24,242.39,175.64,710.78,0.0,0.0,15-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,31.09,0.45,16.42,42.56,46.16,50.44,4.1,7.37,31.64,79.51,3.43,20.07,2.95,24.99,53.05,2.23,155.72,227.95,710.92,0.0,0.0,16-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,30.94,0.39,13.8,37.58,40.54,44.42,4.75,5.28,24.01,57.53,3.02,18.56,1.13,25.31,52.62,2.53,187.82,236.17,711.77,0.0,0.0,17-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,31.25,0.37,16.71,35.21,38.82,42.06,4.66,4.19,18.62,60.67,2.68,23.57,1.16,26.32,47.41,3.07,168.19,239.2,712.36,0.0,0.0,18-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,31.27,0.37,15.08,35.94,41.91,44.15,4.42,6.44,17.99,54.28,1.87,12.34,0.53,26.29,44.34,2.35,260.9,237.96,711.96,0.0,0.0,19-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,35.31,0.63,17.5,34.19,45.98,49.27,7.62,7.61,38.8,91.73,7.17,49.87,6.02,27.48,44.66,2.58,229.16,221.82,710.02,0.01,0.0,20-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Mar-2020 - 00:00,29.9,0.47,24.79,24.64,35.66,37.38,8.16,3.58,24.2,71.96,4.09,23.76,1.89,27.84,43.25,2.24,200.27,218.98,709.82,0.01,-0.0,21-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,30.17,0.55,20.63,33.3,43.75,43.53,6.24,9.88,30.4,111.03,6.22,51.26,11.84,25.26,47.78,1.97,268.62,248.47,710.24,0.0,0.0,22-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,30.21,0.52,20.91,34.88,41.04,43.04,4.08,7.79,,98.04,9.07,87.68,15.52,25.77,50.75,1.78,199.1,249.65,710.51,0.0,0.0,23-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,30.28,0.42,24.43,30.37,29.3,34.07,6.15,3.96,34.24,71.29,2.94,18.66,0.83,25.97,54.33,2.34,177.91,238.36,710.22,0.0,0.0,24-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
