from date,PM2.5,PM10,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,BP,SR,RH,WD,RF,WS,to date,station
11-Aug-2020 - 00:00,13.7,26.05,1.75,5.23,8.07,4.39,17.42,0.37,20.03,0.0,0.0,0.0,27.8,977.06,200.48,84.87,209.83,0.11,1.1,12-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Aug-2020 - 00:00,12.16,38.02,3.03,6.44,8.59,3.61,17.39,0.42,19.3,0.0,0.0,0.0,28.43,976.88,295.05,82.41,209.48,0.11,1.29,13-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Aug-2020 - 00:00,19.82,38.89,1.88,5.63,8.66,3.72,17.63,0.46,19.63,0.0,0.0,0.0,29.2,982.8,253.77,80.21,240.71,0.07,1.37,14-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Aug-2020 - 00:00,10.74,21.29,1.61,3.79,5.33,3.01,17.69,0.36,21.05,0.0,0.0,0.0,27.21,979.15,255.4,87.38,154.47,0.14,1.79,15-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Aug-2020 - 00:00,8.29,17.15,1.33,3.34,4.85,1.64,17.56,0.34,20.76,0.0,0.0,0.0,27.24,977.6,254.18,86.95,151.09,0.14,1.29,16-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Aug-2020 - 00:00,11.93,25.17,4.94,6.9,6.6,0.9,17.73,0.38,20.4,0.0,0.0,0.0,27.92,980.93,250.7,84.31,145.93,0.2,1.03,17-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Aug-2020 - 00:00,13.07,26.5,2.86,6.22,8.39,0.67,17.69,0.45,19.09,0.0,0.0,0.0,27.28,978.02,125.39,86.66,207.85,0.14,1.07,18-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Aug-2020 - 00:00,9.37,23.71,1.73,4.31,6.21,0.81,17.67,0.4,20.93,0.0,0.0,0.0,28.52,983.63,315.04,82.63,154.78,0.03,0.95,19-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Aug-2020 - 00:00,9.95,21.55,5.78,8.57,8.75,0.85,17.96,0.39,20.77,0.0,0.0,0.0,27.17,978.85,383.83,83.95,146.4,0.1,1.44,20-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Aug-2020 - 00:00,15.92,30.12,5.85,8.74,9.0,0.45,18.28,0.48,19.59,0.0,0.0,0.0,26.62,979.76,222.23,86.51,154.59,0.22,1.15,21-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Aug-2020 - 00:00,16.45,35.58,3.9,7.47,9.37,0.25,18.46,0.52,19.35,0.0,0.0,0.0,28.24,994.0,237.87,83.17,165.44,0.05,0.76,22-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Aug-2020 - 00:00,16.22,36.45,8.65,11.12,9.57,0.45,18.44,0.44,20.03,0.0,0.0,0.0,28.18,987.86,294.78,82.09,168.48,0.1,1.0,23-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Aug-2020 - 00:00,16.6,29.19,0.87,3.63,6.12,1.35,18.19,0.36,20.72,0.0,0.0,0.0,28.69,985.83,285.8,81.05,208.62,0.1,1.03,24-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Aug-2020 - 00:00,18.68,38.93,6.22,11.35,13.78,1.43,18.57,0.45,20.97,0.0,0.0,0.0,29.86,983.26,358.52,75.35,184.13,0.09,1.02,25-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Aug-2020 - 00:00,19.02,41.89,3.34,8.66,12.68,1.3,18.98,0.49,21.71,0.0,0.0,0.0,30.49,979.13,343.38,72.27,162.91,0.09,1.24,26-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Aug-2020 - 00:00,14.81,38.83,4.88,9.88,12.79,0.71,18.6,0.47,21.45,0.0,0.0,0.0,29.64,984.34,304.47,74.34,175.0,0.23,1.15,27-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Aug-2020 - 00:00,19.27,51.5,10.31,13.82,12.51,0.64,18.72,0.51,19.17,0.0,0.0,0.0,28.44,983.62,330.76,79.83,189.84,0.09,1.17,28-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Aug-2020 - 00:00,16.27,37.48,2.88,6.25,8.44,0.67,18.66,0.46,19.04,0.0,0.0,0.0,28.37,982.25,290.3,77.21,215.7,0.14,1.52,29-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Aug-2020 - 00:00,18.29,35.19,1.37,3.7,5.53,0.29,18.32,0.34,19.87,0.0,0.0,0.0,28.07,969.39,227.03,77.92,231.54,0.18,1.97,30-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Aug-2020 - 00:00,28.84,50.07,3.01,7.42,10.64,0.68,18.34,0.45,20.23,0.0,0.0,0.0,28.24,980.97,245.94,80.31,193.26,0.14,1.43,31-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-Aug-2020 - 00:00,19.92,39.62,4.07,10.34,14.99,2.35,18.23,0.5,24.11,0.01,0.05,0.0,28.11,989.73,251.93,82.64,188.27,0.11,1.0,01-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Sep-2020 - 00:00,25.66,51.34,18.01,24.24,22.14,3.22,17.75,0.6,21.76,0.03,307.29,307.2,28.87,983.95,240.37,81.5,144.54,0.07,1.23,02-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Sep-2020 - 00:00,18.99,34.39,4.93,8.71,10.33,2.96,17.92,0.51,21.72,7.82,498.21,498.18,28.39,976.6,348.0,81.67,202.56,0.09,1.35,03-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Sep-2020 - 00:00,13.61,30.05,6.49,9.34,9.25,1.68,17.99,0.41,20.51,0.02,0.07,0.0,29.45,965.71,421.94,74.95,228.83,0.07,1.75,04-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Sep-2020 - 00:00,20.48,36.46,1.3,5.41,9.12,2.75,17.93,0.39,24.34,0.04,0.05,0.0,29.22,983.53,408.36,75.78,219.44,0.11,1.55,05-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Sep-2020 - 00:00,20.47,35.96,1.6,5.09,8.02,3.02,17.99,0.42,22.7,0.03,0.05,0.0,27.84,987.54,300.25,83.36,206.87,0.09,1.42,06-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Sep-2020 - 00:00,22.57,43.47,8.82,14.85,16.98,3.08,17.92,0.53,21.96,0.04,0.14,0.0,26.29,985.99,200.36,85.63,179.42,0.1,1.15,07-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Sep-2020 - 00:00,20.05,35.02,9.34,15.31,17.09,4.12,17.87,0.62,22.0,0.03,0.23,0.0,26.12,990.7,160.6,90.85,121.53,0.23,0.93,08-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Sep-2020 - 00:00,14.12,25.86,4.31,8.58,11.02,2.95,17.41,0.53,23.23,0.03,0.14,0.0,26.65,991.48,246.34,88.88,151.5,0.04,0.9,09-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Sep-2020 - 00:00,23.55,40.16,1.86,5.14,7.69,2.85,17.58,0.47,24.36,0.03,0.07,0.0,28.84,994.15,360.73,80.9,168.7,0.04,1.07,10-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Sep-2020 - 00:00,21.28,38.9,5.97,10.94,13.33,2.94,17.98,0.5,22.66,0.02,0.11,0.0,27.77,984.11,304.48,82.06,188.5,0.09,0.95,11-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Sep-2020 - 00:00,38.02,64.17,3.85,9.9,14.42,2.59,17.88,0.66,21.66,0.03,0.15,0.0,28.49,989.94,282.27,81.35,198.65,0.13,0.99,12-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Sep-2020 - 00:00,19.94,38.29,2.24,7.26,11.48,1.81,17.81,0.53,19.88,0.03,0.1,0.0,27.86,985.95,251.7,83.52,228.66,0.09,1.73,13-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Sep-2020 - 00:00,14.47,33.54,3.21,6.69,8.86,0.81,17.93,0.42,19.41,0.02,0.08,0.0,27.84,991.69,271.35,84.13,225.7,0.05,1.67,14-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Sep-2020 - 00:00,16.91,31.12,3.95,7.96,10.3,0.96,17.99,0.49,19.76,0.02,0.1,0.0,25.84,990.47,121.41,90.71,191.35,0.15,1.07,15-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Sep-2020 - 00:00,14.28,30.24,5.59,9.1,10.12,1.06,18.44,0.49,19.48,0.03,0.09,0.0,26.19,974.1,232.14,85.09,213.0,0.22,1.47,16-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Sep-2020 - 00:00,19.4,40.86,5.32,9.55,11.47,2.04,18.2,0.55,20.18,0.04,0.1,0.0,26.39,992.14,185.56,87.7,184.59,0.03,0.96,17-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Sep-2020 - 00:00,27.98,47.29,6.1,11.39,14.06,3.72,18.62,0.8,21.31,0.04,0.27,0.05,26.23,990.9,147.2,89.65,139.87,0.03,0.76,18-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Sep-2020 - 00:00,25.56,52.28,16.81,20.54,16.43,2.27,18.37,0.64,22.16,0.03,0.18,0.04,27.56,984.03,345.31,82.9,122.76,0.12,0.98,19-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Sep-2020 - 00:00,31.19,73.09,18.67,22.11,16.79,3.79,18.51,0.75,20.99,0.04,0.33,0.06,29.1,982.0,398.55,80.47,115.9,0.16,1.23,20-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Sep-2020 - 00:00,33.98,75.27,7.22,11.23,12.01,3.98,19.05,0.7,20.48,0.04,0.17,0.04,30.6,986.43,433.7,79.74,153.01,0.04,1.19,21-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Sep-2020 - 00:00,19.64,52.9,6.54,10.9,12.35,6.66,18.64,0.55,19.79,0.02,0.15,0.0,28.47,989.47,274.68,81.93,147.01,0.04,1.09,22-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Sep-2020 - 00:00,16.67,25.91,7.71,12.71,14.27,2.4,18.82,0.51,18.66,0.01,0.15,0.0,24.4,991.29,31.4,95.6,132.09,0.04,0.6,23-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Sep-2020 - 00:00,12.58,19.72,3.24,7.15,9.7,0.83,18.6,0.52,19.57,0.02,0.14,0.0,25.76,989.1,165.74,92.28,146.32,0.1,0.62,24-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Sep-2020 - 00:00,23.67,37.61,12.87,15.9,12.94,1.01,18.72,0.77,18.94,0.03,0.19,0.01,26.05,984.72,139.47,90.92,169.45,0.06,0.58,25-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Sep-2020 - 00:00,13.76,27.93,2.66,5.89,8.04,1.5,18.22,0.52,19.06,0.03,0.09,0.02,27.12,990.32,247.11,86.26,222.74,0.04,1.38,26-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Sep-2020 - 00:00,21.1,34.72,2.93,7.22,10.36,1.94,18.26,0.52,19.22,0.04,0.1,0.01,26.6,987.83,250.24,89.95,218.56,0.06,2.04,27-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Sep-2020 - 00:00,24.42,41.72,2.69,6.8,9.84,1.67,18.19,0.61,18.96,0.03,0.1,0.02,27.03,995.83,266.23,88.09,198.76,0.01,0.89,28-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Sep-2020 - 00:00,22.96,48.16,5.19,9.83,12.24,2.44,18.09,0.61,20.15,0.04,0.1,0.03,28.6,992.95,347.63,81.32,169.81,0.01,0.72,29-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Sep-2020 - 00:00,31.12,63.29,15.54,19.69,16.62,3.37,19.04,0.74,20.95,0.04,0.16,0.03,28.57,985.6,340.03,79.51,144.89,0.09,0.91,30-Sep-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Sep-2020 - 00:00,39.23,100.06,33.89,37.06,24.17,4.18,19.79,0.87,20.01,0.04,0.31,0.02,29.04,990.92,354.46,79.72,139.38,0.04,0.82,01-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Oct-2020 - 00:00,34.92,73.17,14.57,21.24,21.29,5.66,22.69,0.81,20.1,0.02,10.09,0.54,28.1,984.25,223.85,80.22,156.07,0.13,0.92,02-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Oct-2020 - 00:00,31.37,61.65,3.07,9.3,14.39,3.89,20.05,0.81,19.54,0.01,4.0,0.46,28.02,986.08,231.32,80.74,209.87,0.03,0.89,03-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Oct-2020 - 00:00,30.61,51.82,3.28,8.41,12.25,3.6,19.1,0.74,19.32,0.02,0.98,0.06,28.17,988.13,251.64,81.93,209.48,0.1,0.97,04-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Oct-2020 - 00:00,42.01,69.93,3.52,11.17,17.55,5.59,19.06,0.8,20.36,0.04,0.48,0.01,28.4,982.14,278.77,78.68,191.03,0.1,1.03,05-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Oct-2020 - 00:00,28.16,53.14,3.67,8.23,11.27,3.92,19.08,0.64,19.71,0.03,0.43,0.02,28.48,993.18,350.58,79.97,216.18,0.01,1.29,06-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Oct-2020 - 00:00,17.7,30.75,1.47,4.36,6.71,3.34,18.89,0.47,19.93,0.02,0.2,0.0,27.28,995.23,242.96,84.9,239.85,0.01,1.23,07-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Oct-2020 - 00:00,26.79,59.22,9.88,13.7,13.0,3.68,18.89,0.61,20.09,0.02,0.19,0.0,27.27,971.44,175.37,83.08,204.6,0.07,1.07,08-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Oct-2020 - 00:00,36.13,82.31,22.45,26.58,20.19,5.14,19.17,0.85,20.05,0.04,0.31,0.0,27.82,956.32,285.36,81.36,162.15,0.09,0.82,09-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Oct-2020 - 00:00,42.4,104.74,23.15,29.24,24.57,5.29,19.38,0.81,20.5,0.03,0.36,0.0,28.67,987.78,357.05,78.99,137.02,0.0,0.95,10-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Oct-2020 - 00:00,38.93,72.82,21.53,26.52,21.45,5.27,19.19,0.84,20.49,0.04,0.27,0.0,29.76,992.53,385.84,76.35,147.92,0.05,0.83,11-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Oct-2020 - 00:00,41.5,70.22,15.84,20.62,18.08,5.9,19.2,0.77,20.54,0.04,0.28,0.0,29.25,980.03,306.26,77.5,164.26,0.08,0.92,12-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Oct-2020 - 00:00,50.39,103.65,17.47,25.79,26.19,5.65,19.29,0.93,20.89,0.05,0.31,0.0,28.98,988.57,342.55,77.98,137.02,0.07,0.88,13-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Oct-2020 - 00:00,38.63,76.74,12.43,19.62,21.26,5.11,19.2,0.73,20.96,0.03,0.33,0.01,28.59,987.99,292.76,75.99,132.87,0.17,0.91,14-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Oct-2020 - 00:00,41.73,88.6,11.27,19.29,22.34,4.77,19.15,0.74,20.77,0.04,0.24,0.0,28.92,989.03,375.0,74.18,142.04,0.16,0.98,15-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Oct-2020 - 00:00,34.57,105.97,30.32,35.66,26.78,5.54,19.78,0.81,20.84,0.03,2.2,0.21,29.28,988.26,359.7,74.82,147.06,0.04,1.02,16-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Oct-2020 - 00:00,,81.94,33.11,41.3,34.06,6.63,19.62,0.88,22.33,0.04,0.56,0.21,29.04,994.76,389.36,75.95,121.18,0.01,0.84,17-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Oct-2020 - 00:00,,121.23,44.32,49.9,34.58,6.89,19.97,0.99,20.61,0.04,0.35,0.06,28.75,983.12,361.77,76.82,132.03,0.08,0.92,18-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Oct-2020 - 00:00,,114.56,34.06,39.93,29.82,6.75,19.71,0.88,20.75,0.05,0.35,0.13,29.31,995.33,372.46,75.77,151.75,0.01,0.89,19-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Oct-2020 - 00:00,,77.78,13.19,21.16,23.24,6.54,19.21,0.69,20.79,0.03,0.2,0.03,27.63,984.42,200.25,79.11,140.14,0.16,0.88,20-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Oct-2020 - 00:00,30.51,73.88,27.37,32.08,23.94,6.72,19.46,0.79,20.11,0.03,0.27,0.0,26.87,975.67,293.52,80.91,123.85,0.09,1.04,21-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Oct-2020 - 00:00,46.95,96.29,36.44,41.54,29.46,5.78,19.85,1.02,19.52,0.05,0.56,0.01,27.48,975.57,321.78,77.87,124.95,0.11,1.05,22-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Oct-2020 - 00:00,31.96,57.72,11.2,18.21,20.24,5.52,19.52,0.74,19.18,0.04,0.24,0.0,26.23,984.29,152.85,81.82,136.86,0.12,0.86,23-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Oct-2020 - 00:00,6.46,11.51,1.51,5.2,8.37,4.19,19.3,0.41,19.6,0.03,0.1,0.0,23.0,990.34,77.25,92.27,106.89,0.08,1.24,24-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Oct-2020 - 00:00,2.76,5.02,1.74,4.51,6.65,2.16,19.3,0.38,20.28,0.03,0.09,0.0,22.65,982.43,131.92,92.82,90.53,0.07,1.53,25-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Oct-2020 - 00:00,1.86,31.75,7.16,10.16,9.94,1.32,19.08,0.56,21.89,0.04,0.05,0.07,24.58,859.88,158.85,86.35,112.61,0.21,0.99,26-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Oct-2020 - 00:00,64.67,53.0,9.64,12.7,11.38,2.15,19.16,0.85,21.91,0.04,0.08,0.14,25.48,892.78,248.42,83.06,151.79,0.24,0.92,27-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Oct-2020 - 00:00,35.98,62.14,19.81,22.92,16.73,2.74,19.32,0.83,20.2,0.03,0.12,0.02,25.38,920.84,247.44,82.76,128.09,0.19,0.89,28-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Oct-2020 - 00:00,37.27,69.0,28.46,31.91,21.95,3.06,19.57,0.88,20.05,3.07,3.22,3.08,25.61,920.16,282.8,84.1,103.91,0.09,1.0,29-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Oct-2020 - 00:00,35.36,85.7,31.26,34.92,23.82,2.98,19.67,0.95,20.02,0.04,0.23,0.01,25.57,885.32,257.21,82.99,101.53,0.2,1.14,30-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Oct-2020 - 00:00,44.77,107.08,28.08,32.71,24.19,2.84,19.74,0.94,20.0,0.05,0.31,0.04,25.57,928.02,275.13,82.75,114.95,0.14,1.09,31-Oct-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-Oct-2020 - 00:00,43.11,89.34,14.33,19.26,17.6,3.04,19.38,0.94,19.84,0.05,0.22,0.01,25.51,912.81,152.73,85.25,142.23,0.1,0.85,01-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Nov-2020 - 00:00,46.89,76.85,15.42,20.09,17.65,2.98,19.39,0.97,20.35,0.05,0.2,0.01,25.81,878.08,196.7,84.82,121.3,0.07,1.13,02-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Nov-2020 - 00:00,41.32,92.25,36.67,39.7,25.37,2.48,19.74,0.99,19.37,0.05,0.3,0.01,26.03,896.85,316.63,80.87,152.88,0.18,1.01,03-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Nov-2020 - 00:00,53.77,120.97,25.65,29.92,22.15,2.68,19.86,1.05,19.85,0.05,0.27,0.02,26.29,895.86,283.1,79.71,190.77,0.08,1.21,04-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Nov-2020 - 00:00,99.94,166.35,8.68,16.58,20.78,4.26,19.45,1.1,21.4,0.05,0.13,0.01,25.35,931.7,259.36,70.74,225.51,0.08,1.56,05-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Nov-2020 - 00:00,120.97,211.88,25.38,35.54,34.09,5.52,20.01,1.26,20.54,0.06,0.16,0.07,23.05,891.48,283.8,66.93,159.93,0.22,0.97,06-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Nov-2020 - 00:00,110.99,196.84,46.34,51.65,35.06,7.23,21.7,1.38,19.74,0.06,0.2,0.1,22.14,879.75,263.49,78.45,113.15,0.07,0.94,07-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Nov-2020 - 00:00,,139.66,25.42,32.17,27.12,6.08,21.41,1.24,21.36,6.14,497.63,497.64,22.57,897.33,274.22,83.28,95.13,0.07,1.14,08-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Nov-2020 - 00:00,65.31,124.7,26.79,30.97,22.56,6.23,21.72,1.18,20.17,22.12,234.33,234.43,22.28,901.88,308.89,83.18,100.87,0.05,1.02,09-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Nov-2020 - 00:00,55.47,135.14,36.69,39.1,24.09,4.62,21.6,1.15,19.65,0.05,0.13,0.27,22.31,893.94,307.99,81.31,97.25,0.05,1.14,10-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Nov-2020 - 00:00,53.7,131.95,41.5,43.96,26.72,4.11,21.73,1.0,19.38,0.05,0.13,0.26,22.51,893.21,309.75,79.15,97.91,0.13,1.04,11-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Nov-2020 - 00:00,55.58,139.32,49.85,51.46,29.31,4.09,21.68,1.02,19.84,0.05,0.15,0.27,22.84,883.92,342.11,77.67,96.32,0.07,1.08,12-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Nov-2020 - 00:00,57.67,132.25,41.66,45.16,28.93,4.35,21.6,1.04,19.92,0.05,0.17,0.36,22.74,900.04,323.46,78.66,102.45,0.13,1.05,13-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Nov-2020 - 00:00,54.35,116.32,39.5,45.68,33.28,4.26,21.58,1.02,19.67,0.05,0.2,0.44,22.5,888.21,283.51,79.17,101.52,0.2,1.1,14-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Nov-2020 - 00:00,91.87,179.04,26.38,32.18,25.71,4.21,21.41,1.04,20.17,0.05,0.19,0.39,22.71,896.29,301.72,79.74,102.38,0.07,1.22,15-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Nov-2020 - 00:00,114.82,219.42,37.07,40.23,25.87,4.2,21.41,1.03,20.39,0.05,0.11,0.28,22.75,883.75,300.67,78.02,99.7,0.12,1.2,16-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Nov-2020 - 00:00,69.76,146.78,38.27,40.4,24.34,4.12,21.37,0.98,19.83,0.05,0.15,0.25,22.79,900.31,333.8,78.31,100.87,0.09,1.12,17-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Nov-2020 - 00:00,60.96,135.11,39.42,41.71,25.27,3.97,21.41,1.05,19.45,0.05,0.19,0.34,22.75,904.67,287.24,77.84,167.93,0.04,1.08,18-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Nov-2020 - 00:00,73.86,146.86,39.9,43.21,27.63,4.39,21.28,1.02,19.26,0.04,0.17,0.19,21.56,875.57,252.21,77.38,126.23,0.08,0.88,19-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Nov-2020 - 00:00,76.62,165.82,32.67,35.45,22.76,6.47,21.65,1.09,18.91,8.18,25.37,25.23,20.41,893.67,247.26,82.32,104.72,0.07,0.9,20-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Nov-2020 - 00:00,91.32,182.61,25.25,28.56,19.98,6.51,21.79,1.26,19.26,0.05,0.43,0.01,19.73,892.01,159.74,87.82,109.11,0.04,0.77,21-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Nov-2020 - 00:00,76.2,139.19,16.27,21.7,19.65,6.47,21.44,1.15,18.96,0.05,0.28,0.01,20.29,896.33,194.25,84.71,108.61,0.06,0.86,22-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Nov-2020 - 00:00,85.48,139.2,11.56,16.43,16.05,6.06,21.13,1.09,19.68,0.04,0.2,0.01,20.22,861.23,285.06,78.3,183.94,0.05,1.09,23-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Nov-2020 - 00:00,88.91,152.1,22.25,26.7,20.77,7.9,21.4,1.18,19.7,0.04,0.24,0.03,19.06,903.26,264.31,82.21,123.89,0.06,0.9,24-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Nov-2020 - 00:00,74.7,136.87,28.37,30.59,19.35,6.86,21.46,1.18,19.11,0.04,0.23,0.03,19.17,891.16,278.04,81.18,117.96,0.04,0.94,25-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Nov-2020 - 00:00,75.3,165.64,45.48,43.39,19.43,6.14,21.57,1.2,19.18,0.04,0.26,0.04,19.33,899.88,301.51,81.34,112.02,0.05,1.0,26-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Nov-2020 - 00:00,65.38,152.88,40.47,38.97,18.05,6.22,21.38,1.08,18.85,0.04,0.22,0.05,20.14,846.77,307.1,79.1,107.69,0.03,0.94,27-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Nov-2020 - 00:00,53.23,101.34,7.36,13.86,17.19,5.96,20.8,0.89,19.23,0.04,0.18,0.03,20.41,899.74,156.26,80.41,112.0,0.08,0.98,28-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Nov-2020 - 00:00,91.44,172.82,28.74,31.25,20.12,6.51,20.89,1.1,18.92,0.05,0.17,0.04,20.69,895.38,282.82,78.76,111.61,0.12,0.88,29-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Nov-2020 - 00:00,83.71,159.32,40.27,39.15,18.71,5.66,21.22,1.24,19.41,0.05,0.24,0.02,20.03,897.9,277.32,78.45,102.21,0.1,1.2,30-Nov-2020 - 00:00,"Railway Colony, Guwahati - APCB"
