from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
03-Mar-2020 - 00:00,88.2,183.0,55.85,16.48,43.1,60.72,10.09,0.88,21.11,,,1.64,136.44,23.19,56.11,743.0,04-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
04-Mar-2020 - 00:00,98.95,199.06,43.18,18.79,37.78,58.15,12.59,1.32,17.22,,,2.45,134.46,21.84,59.62,743.0,05-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
05-Mar-2020 - 00:00,32.73,63.52,27.33,2.32,16.37,53.87,9.99,0.96,18.24,,,2.55,132.25,20.32,67.7,743.0,06-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
06-Mar-2020 - 00:00,13.47,22.32,19.82,1.84,11.82,61.57,13.5,1.26,19.68,,,2.97,135.14,17.15,81.53,743.0,07-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
07-Mar-2020 - 00:00,40.46,69.62,24.28,2.37,14.85,49.33,9.15,0.47,17.1,,,2.03,158.61,17.59,79.44,743.0,08-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
08-Mar-2020 - 00:00,80.23,137.33,46.89,17.1,38.85,47.78,9.51,0.87,14.11,,,1.73,145.65,19.39,72.12,743.0,09-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
09-Mar-2020 - 00:00,48.44,109.91,37.96,4.93,24.21,40.46,8.1,0.69,19.16,,,2.26,160.04,20.57,52.72,743.0,10-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
10-Mar-2020 - 00:00,84.77,140.73,35.72,4.91,22.99,42.23,11.37,0.55,27.91,,,1.95,148.9,20.58,53.78,743.0,11-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
11-Mar-2020 - 00:00,58.57,99.45,24.2,1.82,14.36,46.43,10.59,0.35,25.56,,,2.62,140.8,21.73,63.66,743.0,12-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
12-Mar-2020 - 00:00,67.32,150.09,28.87,4.32,18.87,44.81,9.19,0.58,15.47,,,2.46,136.74,22.7,62.27,743.0,13-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
