from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
03-Aug-2020 - 00:00,0.94,0.47,0.69,732.79,4.56,73.03,30.42,0.0,69.95,265.23,226.25,1.67,0.65,13.87,12.73,10.53,23.19,16.6,7.22,04-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Aug-2020 - 00:00,0.47,0.56,0.43,734.12,5.86,63.78,29.83,0.0,65.58,307.97,217.31,1.29,0.77,15.36,12.32,10.13,22.44,29.3,6.94,05-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Aug-2020 - 00:00,0.28,0.4,0.52,734.65,3.27,74.69,32.1,0.0,64.12,255.19,183.32,1.66,0.62,18.62,11.23,9.79,20.81,30.1,6.69,06-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Aug-2020 - 00:00,1.43,0.3,0.38,734.28,2.51,49.12,26.67,0.01,79.03,211.9,68.39,2.6,0.54,15.54,12.04,11.87,23.91,27.71,7.7,07-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Aug-2020 - 00:00,0.35,0.34,0.31,732.9,1.71,50.18,20.94,0.0,82.08,253.27,124.18,2.11,0.42,16.69,12.95,12.22,25.09,21.35,6.08,08-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Aug-2020 - 00:00,0.2,0.52,0.15,731.32,0.74,78.7,30.19,0.0,85.85,205.72,238.32,1.46,0.45,17.4,14.32,12.87,27.09,17.91,4.88,09-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Aug-2020 - 00:00,0.33,0.34,0.98,731.73,0.92,92.73,31.9,0.0,82.79,246.85,221.47,1.59,0.45,16.17,15.12,13.47,28.55,25.22,5.46,10-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Aug-2020 - 00:00,0.29,0.95,0.96,731.35,0.99,82.81,33.0,0.0,89.72,155.63,208.53,1.43,0.52,14.61,15.1,13.32,28.19,20.06,4.06,11-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Aug-2020 - 00:00,0.22,0.52,0.77,730.94,0.76,74.84,39.51,0.0,89.63,164.24,199.83,1.5,0.46,15.03,14.44,10.95,25.18,20.09,4.97,12-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Aug-2020 - 00:00,0.07,0.25,0.18,731.34,0.58,78.0,24.27,0.0,83.78,219.13,212.43,1.81,0.52,13.2,10.15,7.12,16.92,17.29,4.68,13-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Aug-2020 - 00:00,6.85,0.25,0.32,732.44,12.14,77.1,32.46,0.0,83.11,200.94,208.21,1.72,0.46,12.45,11.6,9.76,21.15,16.1,5.58,14-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Aug-2020 - 00:00,8.55,0.27,0.32,733.0,14.59,86.29,40.08,0.0,86.5,162.83,200.35,1.42,0.38,14.75,12.53,10.16,22.14,16.42,5.03,15-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Aug-2020 - 00:00,2.28,0.37,0.66,732.98,5.29,75.32,25.41,0.0,94.65,106.85,216.54,1.62,0.34,14.49,12.24,11.16,22.41,16.84,3.87,16-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Aug-2020 - 00:00,2.7,0.5,0.94,732.34,5.97,85.51,34.48,0.0,95.5,131.22,,,0.34,14.15,12.87,12.12,24.65,18.25,3.85,17-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Aug-2020 - 00:00,1.94,0.41,0.61,732.33,3.59,95.43,32.95,0.02,84.1,244.47,194.31,1.29,0.42,16.04,13.31,11.57,24.59,20.52,3.79,18-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Aug-2020 - 00:00,1.29,0.36,0.85,731.52,1.62,89.42,38.3,0.0,85.17,240.08,216.56,1.53,0.42,16.82,12.64,11.58,23.28,19.36,3.82,19-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Aug-2020 - 00:00,1.08,0.32,0.83,731.6,1.46,92.94,40.75,0.0,83.31,268.77,209.4,1.68,0.48,17.09,14.08,9.01,21.69,19.37,5.1,20-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Aug-2020 - 00:00,1.1,0.29,0.58,731.41,1.58,64.2,28.21,0.0,85.32,223.88,161.63,1.44,0.34,18.24,13.6,9.39,22.28,22.94,5.87,21-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Aug-2020 - 00:00,1.42,0.44,0.7,730.92,1.61,74.67,35.29,0.0,80.26,294.03,82.94,1.4,0.41,17.52,14.6,8.95,22.76,24.7,6.17,22-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Aug-2020 - 00:00,1.33,0.48,0.55,731.37,1.65,83.01,37.53,0.0,81.05,223.12,102.33,1.44,0.43,16.64,14.33,10.71,24.7,20.6,6.21,23-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Aug-2020 - 00:00,1.18,0.38,0.42,731.98,1.52,56.29,32.34,0.0,81.73,244.03,166.88,1.95,0.35,17.78,13.69,9.68,22.89,25.11,5.92,24-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Aug-2020 - 00:00,1.88,0.46,0.88,732.05,1.87,32.86,24.71,0.0,97.71,112.81,211.03,1.55,0.49,20.18,14.24,16.26,30.33,25.68,6.13,25-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Aug-2020 - 00:00,1.42,0.37,0.58,730.35,1.93,39.86,23.48,0.0,88.29,182.35,199.98,2.28,0.4,17.38,12.8,17.28,29.7,22.91,6.24,26-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Aug-2020 - 00:00,1.21,0.27,0.64,728.85,1.66,56.33,28.52,0.0,83.87,239.58,207.19,1.9,0.48,14.62,11.79,9.37,20.16,13.82,6.06,27-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Aug-2020 - 00:00,1.58,0.35,0.96,729.08,1.59,55.59,26.96,0.0,77.23,283.13,214.59,1.57,0.43,14.45,13.26,9.51,22.07,9.67,5.86,28-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Aug-2020 - 00:00,1.4,0.41,1.08,730.24,1.65,52.44,31.02,0.0,75.66,292.21,218.16,1.33,0.5,13.22,13.85,8.51,21.84,9.12,5.89,29-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Aug-2020 - 00:00,1.49,0.53,1.31,730.72,1.68,54.94,29.66,0.0,77.67,190.09,245.76,1.06,0.55,14.82,11.9,12.0,23.43,10.43,6.18,30-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Aug-2020 - 00:00,1.41,0.65,0.95,731.53,1.66,48.34,26.67,0.0,90.05,136.62,220.06,1.37,0.55,12.82,11.53,8.92,18.93,16.46,5.33,31-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Aug-2020 - 00:00,6.95,0.43,0.75,730.59,1.73,46.05,23.6,0.0,91.08,171.71,201.01,2.27,0.69,14.87,10.47,15.35,24.71,7.95,4.46,01-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Sep-2020 - 00:00,1.91,0.47,0.97,728.56,1.66,61.06,28.3,0.0,87.2,183.02,217.4,1.93,0.68,11.43,9.4,13.39,22.39,9.17,5.13,02-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Sep-2020 - 00:00,2.0,0.58,0.93,727.51,1.7,83.43,37.53,0.0,82.34,217.14,214.0,1.27,0.75,13.54,10.34,14.45,24.72,14.56,4.99,03-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Sep-2020 - 00:00,1.18,0.58,1.07,730.32,1.65,55.95,33.49,0.0,92.68,129.21,183.5,1.19,0.68,9.88,8.74,13.06,21.17,13.19,5.3,04-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Sep-2020 - 00:00,1.09,0.73,1.23,729.72,1.66,56.49,27.67,0.0,92.45,176.94,195.45,1.31,0.77,12.23,8.28,14.24,22.04,17.09,5.59,05-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Sep-2020 - 00:00,0.98,0.6,1.75,730.2,1.71,61.02,31.12,0.0,84.91,250.6,235.5,1.31,0.77,13.4,6.92,17.9,24.59,16.74,5.87,06-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Sep-2020 - 00:00,4.73,0.67,1.16,845.35,1.53,60.56,30.33,0.0,90.92,158.49,209.19,1.31,0.56,15.73,7.83,17.64,24.93,19.59,5.63,07-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Sep-2020 - 00:00,1.55,0.51,0.63,786.58,1.54,63.27,31.36,0.0,88.43,167.64,173.35,1.14,0.71,13.2,7.76,13.38,19.42,13.58,5.22,08-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Sep-2020 - 00:00,4.77,0.78,0.97,730.68,1.64,92.81,46.39,0.0,80.2,259.56,218.8,1.38,0.71,10.4,7.04,9.34,13.85,16.49,5.81,09-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Sep-2020 - 00:00,1.91,0.58,1.32,730.59,1.64,79.46,30.59,0.0,80.65,223.08,196.16,1.1,0.67,12.22,7.7,10.12,15.68,18.93,5.34,10-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Sep-2020 - 00:00,3.82,0.62,0.87,730.69,1.65,85.25,39.89,0.0,78.77,241.28,197.14,1.04,0.68,10.57,8.51,9.06,15.02,19.6,5.4,11-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Sep-2020 - 00:00,3.54,0.77,0.68,730.75,1.59,89.04,34.64,0.0,74.31,258.59,165.72,1.11,0.62,14.17,8.86,13.03,20.19,20.85,5.47,12-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Sep-2020 - 00:00,2.43,0.73,1.37,730.85,1.71,93.62,42.69,0.0,73.41,257.78,141.8,1.14,0.65,12.69,8.12,13.15,19.62,22.16,6.03,13-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Sep-2020 - 00:00,1.69,0.86,1.58,731.22,1.63,110.41,58.85,0.0,66.58,267.53,138.49,1.18,0.59,54.75,28.91,10.58,47.58,21.79,11.1,14-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Sep-2020 - 00:00,3.45,1.31,2.14,730.65,1.84,113.87,68.71,0.0,67.02,268.26,199.59,0.94,0.54,9.32,16.14,9.84,22.42,19.07,8.37,15-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Sep-2020 - 00:00,0.72,0.98,1.3,731.16,1.4,98.25,47.66,0.0,72.64,245.33,239.54,1.18,0.68,12.29,13.9,12.04,23.94,17.75,5.22,16-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Sep-2020 - 00:00,1.13,0.77,1.76,731.18,1.6,113.82,59.04,0.0,70.57,211.21,244.48,1.24,0.71,10.63,12.61,14.99,25.51,19.31,4.34,17-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Sep-2020 - 00:00,0.48,0.67,1.41,731.17,1.43,100.29,50.87,0.0,73.32,254.89,227.92,1.33,0.73,10.7,13.4,11.35,22.43,15.85,6.32,18-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Sep-2020 - 00:00,0.59,0.56,1.09,731.2,1.55,79.39,41.48,0.0,71.62,243.1,224.02,1.52,0.57,9.51,12.17,11.52,22.49,15.75,8.61,19-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Sep-2020 - 00:00,0.4,0.59,1.08,731.24,1.58,84.37,43.84,0.0,70.74,203.76,222.86,1.05,0.61,16.55,10.04,15.63,25.42,19.08,8.68,20-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Sep-2020 - 00:00,0.31,0.52,1.28,769.11,1.5,70.18,34.66,0.0,70.47,229.84,212.73,1.23,0.62,20.04,10.04,16.52,26.31,17.81,6.5,21-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Sep-2020 - 00:00,0.26,0.6,1.37,788.91,1.38,88.56,41.19,0.0,61.41,257.75,187.18,0.99,0.71,20.96,11.58,16.48,27.81,20.92,7.97,22-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Sep-2020 - 00:00,0.3,1.37,2.03,736.3,1.51,119.83,51.24,0.0,52.58,254.62,182.92,1.09,0.86,20.74,11.41,15.91,27.0,17.46,6.48,23-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Sep-2020 - 00:00,0.95,1.44,2.45,735.62,1.53,123.4,47.87,0.0,49.6,240.42,185.39,1.22,0.93,19.48,10.23,15.77,25.43,18.81,6.05,24-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Sep-2020 - 00:00,0.34,0.5,0.88,731.08,1.44,77.52,40.35,0.0,67.64,204.63,232.57,1.81,0.71,20.46,11.36,15.86,26.83,22.94,5.19,25-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Sep-2020 - 00:00,0.4,0.44,1.79,731.61,1.33,76.0,35.96,0.0,66.41,219.23,223.22,1.81,0.64,19.68,11.1,16.2,25.42,20.6,7.4,26-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Sep-2020 - 00:00,0.33,0.45,1.37,731.07,1.54,66.7,31.53,0.0,67.34,175.5,216.21,1.55,0.6,17.96,9.81,13.6,23.0,21.81,6.28,27-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Sep-2020 - 00:00,0.29,0.6,1.37,730.88,1.47,88.13,38.79,0.0,61.65,209.07,223.05,1.23,0.61,17.57,10.61,12.42,22.54,16.5,6.29,28-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Sep-2020 - 00:00,2.43,0.93,1.11,738.03,1.32,75.64,37.5,0.0,60.92,205.0,190.41,1.18,0.59,17.27,10.63,12.54,22.44,28.36,5.54,29-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Sep-2020 - 00:00,1.04,0.15,0.62,736.0,0.13,65.85,37.23,0.0,60.39,224.88,228.81,1.2,0.62,15.95,9.63,11.28,20.05,32.09,5.8,30-Sep-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Sep-2020 - 00:00,2.64,0.21,0.97,731.02,0.11,74.12,35.68,0.0,58.39,225.83,205.7,1.11,0.68,20.06,10.73,10.6,19.15,25.47,6.18,01-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Oct-2020 - 00:00,1.05,0.19,1.83,745.62,0.12,86.32,35.86,0.0,55.81,206.52,236.6,1.45,0.75,33.6,13.25,10.94,20.65,29.28,7.66,02-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Oct-2020 - 00:00,0.9,0.25,2.28,754.56,0.13,102.01,43.21,0.0,51.24,196.19,236.44,1.46,0.72,34.04,12.13,12.73,21.2,29.13,6.38,03-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Oct-2020 - 00:00,1.87,0.17,1.64,775.93,0.1,92.32,39.39,0.0,50.59,210.14,228.02,1.26,0.72,29.31,15.19,14.36,26.46,30.86,6.93,04-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Oct-2020 - 00:00,1.12,0.16,1.34,755.78,0.12,99.35,47.23,0.0,48.14,197.41,226.98,1.32,0.82,22.84,11.31,16.66,27.02,28.88,5.47,05-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Oct-2020 - 00:00,0.86,0.17,2.71,768.31,0.11,96.64,46.19,0.0,41.12,208.83,221.35,1.01,0.7,23.84,8.67,20.46,28.56,33.77,6.65,06-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Oct-2020 - 00:00,0.96,0.2,3.1,746.29,0.12,108.83,56.57,0.0,39.37,206.77,181.44,0.93,0.72,18.38,9.25,21.52,30.18,35.07,7.23,07-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Oct-2020 - 00:00,0.91,0.23,3.69,731.04,0.13,114.6,41.85,0.0,39.55,235.8,151.76,0.81,0.7,14.75,10.01,18.02,27.49,31.99,8.2,08-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Oct-2020 - 00:00,0.64,0.13,1.52,731.28,0.08,98.21,43.95,0.0,35.31,217.25,131.07,0.98,0.64,14.56,9.16,12.29,21.17,36.99,5.42,09-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Oct-2020 - 00:00,1.1,0.3,2.77,731.32,0.15,123.4,55.96,0.0,35.18,224.27,145.6,0.81,0.82,21.07,9.68,11.95,21.28,43.58,7.76,10-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Oct-2020 - 00:00,0.91,0.22,1.02,731.01,0.1,119.01,59.87,0.0,37.26,227.87,109.87,0.92,0.82,20.05,11.17,16.52,26.73,47.51,6.22,11-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Oct-2020 - 00:00,0.71,0.17,1.23,731.31,0.1,121.55,52.46,0.0,33.68,214.6,97.17,0.97,0.73,19.36,9.08,17.5,25.55,46.8,9.0,12-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Oct-2020 - 00:00,0.99,0.67,1.8,731.2,1.44,101.3,46.74,0.0,29.65,265.01,123.86,1.07,0.66,21.93,9.54,19.11,27.47,51.3,9.41,13-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Oct-2020 - 00:00,1.69,1.29,0.99,731.21,2.89,103.72,56.15,0.0,30.45,202.95,111.03,1.16,0.61,18.68,9.22,16.25,24.18,56.69,8.98,14-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Oct-2020 - 00:00,1.24,0.99,0.34,730.65,1.59,106.21,54.03,0.0,29.7,198.27,62.44,1.67,0.55,14.18,9.6,17.97,26.03,52.04,7.79,15-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Oct-2020 - 00:00,1.32,1.19,1.22,730.51,0.62,135.4,67.22,0.0,39.71,187.99,49.23,2.03,0.6,12.02,10.0,19.25,28.4,46.42,7.11,16-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Oct-2020 - 00:00,2.05,1.41,0.5,730.64,0.98,132.74,71.16,0.0,47.86,203.0,56.58,2.32,0.65,15.46,9.25,19.36,27.73,43.86,8.58,17-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Oct-2020 - 00:00,2.88,2.12,1.67,731.02,1.22,119.46,66.42,0.0,53.63,181.88,102.38,1.73,0.65,19.82,11.52,21.51,31.72,35.37,9.57,18-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Oct-2020 - 00:00,1.68,1.2,0.56,730.45,0.59,99.81,58.4,0.0,74.62,135.3,82.38,1.28,0.65,21.5,13.26,22.42,34.67,19.05,5.81,19-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Oct-2020 - 00:00,1.06,1.01,0.5,730.46,0.83,88.7,47.01,0.0,69.5,195.22,136.79,1.22,0.7,15.74,10.56,20.08,29.75,26.73,8.95,20-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Oct-2020 - 00:00,1.25,1.37,2.89,730.76,1.07,91.15,39.43,0.0,67.26,193.36,174.86,1.04,0.75,15.51,10.84,18.82,28.58,22.11,6.31,21-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Oct-2020 - 00:00,1.07,1.94,3.33,730.76,1.34,133.17,48.83,0.0,51.23,166.51,212.2,1.2,0.79,11.95,9.55,16.79,26.14,27.09,7.9,22-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Oct-2020 - 00:00,0.93,2.21,5.67,730.69,1.53,161.88,54.97,0.0,36.91,117.32,209.42,0.99,0.93,12.54,10.0,15.83,25.94,24.98,7.57,23-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Oct-2020 - 00:00,1.0,1.94,1.98,730.56,1.08,153.5,57.33,0.0,33.84,174.71,177.42,0.9,0.85,14.23,9.98,16.1,26.38,33.05,6.52,24-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Oct-2020 - 00:00,0.86,2.38,3.46,730.09,1.38,138.26,56.28,0.0,37.02,177.1,166.28,0.93,0.88,13.64,9.44,15.99,25.71,28.16,9.32,25-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Oct-2020 - 00:00,1.49,2.07,3.9,730.07,1.58,113.73,48.61,0.0,37.21,184.71,193.08,1.08,0.71,12.11,9.02,14.75,24.03,28.95,7.23,26-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Oct-2020 - 00:00,0.79,1.13,1.68,730.68,0.99,90.87,44.84,0.0,36.75,172.33,112.39,0.86,0.67,11.63,8.89,12.32,21.07,31.35,7.95,27-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Oct-2020 - 00:00,0.94,1.71,2.1,729.61,0.92,143.97,64.99,0.0,27.84,144.2,106.29,1.0,0.85,16.82,9.35,13.06,21.54,28.75,6.43,28-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Oct-2020 - 00:00,1.53,2.8,2.11,734.21,1.52,140.41,62.46,0.0,27.67,164.37,105.05,1.05,0.8,21.69,10.61,10.91,19.89,36.46,6.24,29-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Oct-2020 - 00:00,1.73,1.82,1.12,731.69,1.2,102.84,55.53,0.0,32.43,162.35,110.95,1.03,0.69,26.11,12.77,12.3,21.11,38.57,7.6,30-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Oct-2020 - 00:00,1.98,2.0,1.21,731.47,1.36,107.27,55.85,0.0,30.25,155.56,90.19,0.93,0.65,18.36,12.36,16.65,26.94,35.75,8.52,31-Oct-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Oct-2020 - 00:00,1.93,2.65,1.52,731.22,1.42,117.04,60.87,0.0,26.98,154.4,130.41,1.03,0.7,16.67,12.29,13.56,23.9,35.11,6.5,01-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Nov-2020 - 00:00,1.82,2.19,1.15,730.92,1.35,117.8,60.05,0.0,25.82,151.23,151.92,0.91,0.73,15.8,12.87,12.46,23.44,32.85,8.31,02-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Nov-2020 - 00:00,2.12,3.57,2.35,730.54,2.03,135.81,81.75,0.0,27.49,147.86,162.11,0.8,0.76,17.34,11.66,15.74,25.42,29.77,8.41,03-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Nov-2020 - 00:00,2.13,4.0,2.68,730.83,2.43,134.85,71.09,0.0,28.9,145.02,160.22,0.82,0.89,19.6,12.27,17.24,28.35,29.23,10.02,04-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Nov-2020 - 00:00,1.69,3.98,2.07,731.71,2.37,171.0,71.58,0.0,29.98,112.89,172.16,1.12,1.03,22.15,14.71,17.66,31.36,25.33,16.9,05-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Nov-2020 - 00:00,1.45,3.16,4.32,729.98,2.04,126.34,58.94,0.0,36.56,145.02,180.08,1.32,0.68,16.78,12.16,14.32,24.49,37.82,8.08,06-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Nov-2020 - 00:00,1.87,2.96,1.08,730.67,2.01,113.28,58.0,0.0,39.79,150.81,156.22,0.92,0.7,16.85,11.33,8.31,16.97,33.24,8.79,07-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Nov-2020 - 00:00,1.47,2.3,1.61,731.17,1.41,103.66,50.77,0.0,33.89,145.13,130.18,0.99,0.73,15.45,13.56,4.43,14.63,42.03,8.14,08-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Nov-2020 - 00:00,2.01,3.0,1.86,731.2,1.74,120.84,58.18,0.0,30.28,134.36,95.79,0.99,0.73,13.7,12.43,4.72,13.55,11.6,8.05,09-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Nov-2020 - 00:00,2.33,2.99,0.99,731.25,1.44,119.92,63.94,0.0,29.2,142.66,90.57,0.95,0.68,14.72,12.68,8.54,18.36,48.67,10.13,10-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Nov-2020 - 00:00,2.04,3.3,1.31,731.26,1.75,139.36,69.41,0.0,27.69,136.38,142.39,0.87,0.81,18.93,13.56,18.6,30.16,41.11,9.48,11-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Nov-2020 - 00:00,2.8,3.94,1.54,730.5,1.38,167.19,89.9,0.0,33.5,136.48,75.47,1.09,0.72,18.03,12.3,20.39,30.55,40.63,10.29,12-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Nov-2020 - 00:00,2.14,3.35,1.26,730.78,1.11,173.61,91.68,0.0,40.46,139.05,61.15,1.54,0.79,18.5,13.13,20.47,31.32,57.39,9.97,13-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Nov-2020 - 00:00,1.86,3.07,1.18,730.73,1.24,145.11,77.83,0.0,42.2,144.71,75.58,1.11,0.67,17.65,11.84,20.07,29.53,59.68,8.29,14-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Nov-2020 - 00:00,2.55,3.57,1.7,724.94,2.23,148.18,76.23,0.0,43.99,150.69,143.26,1.24,0.82,19.47,12.37,21.14,31.26,47.7,8.67,15-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Nov-2020 - 00:00,2.51,2.41,1.21,725.53,1.54,115.27,61.67,0.0,46.78,127.2,192.74,1.33,0.65,19.37,11.93,16.47,26.54,27.24,7.71,16-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Nov-2020 - 00:00,2.46,2.42,0.26,726.52,1.41,147.05,74.55,0.0,46.32,141.57,159.42,1.33,0.58,20.37,12.87,14.27,25.02,45.96,8.82,17-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Nov-2020 - 00:00,2.78,2.18,0.1,730.84,0.86,111.89,61.86,0.0,68.01,140.74,24.9,1.94,0.62,23.99,14.94,17.85,31.55,44.68,10.41,18-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
