from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
18-Apr-2020 - 00:00,,,,,,,,,,,,19-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
19-Apr-2020 - 00:00,,,,,,,,,,,,20-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
20-Apr-2020 - 00:00,,,,,,,,,,,,21-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
21-Apr-2020 - 00:00,,,,,,,,,,,,22-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
22-Apr-2020 - 00:00,,,,,,,,,,,,23-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
23-Apr-2020 - 00:00,,,,,,,,,,,,24-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
24-Apr-2020 - 00:00,,,,,,,,,,,,25-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
25-Apr-2020 - 00:00,,,,,,,,,,,,26-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
26-Apr-2020 - 00:00,,,,,,,,,,,,27-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
27-Apr-2020 - 00:00,,,,,,,,,,,,28-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
28-Apr-2020 - 00:00,,,,,,,,,,,,29-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
29-Apr-2020 - 00:00,,,,,,,,,,,,30-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
30-Apr-2020 - 00:00,,,,,,,,,,,,01-May-2020 - 00:00,"Pusa, Delhi - IMD"
01-May-2020 - 00:00,,,,,,,,,,,,02-May-2020 - 00:00,"Pusa, Delhi - IMD"
02-May-2020 - 00:00,,,,,,,,,,,,03-May-2020 - 00:00,"Pusa, Delhi - IMD"
03-May-2020 - 00:00,,,,,,,,,,,,04-May-2020 - 00:00,"Pusa, Delhi - IMD"
04-May-2020 - 00:00,,,,,,,,,,,,05-May-2020 - 00:00,"Pusa, Delhi - IMD"
05-May-2020 - 00:00,,,,,,,,,,,,06-May-2020 - 00:00,"Pusa, Delhi - IMD"
06-May-2020 - 00:00,,,,,,,,,,,,07-May-2020 - 00:00,"Pusa, Delhi - IMD"
07-May-2020 - 00:00,,,,,,,,,,,,08-May-2020 - 00:00,"Pusa, Delhi - IMD"
08-May-2020 - 00:00,,,,,,,,,,,,09-May-2020 - 00:00,"Pusa, Delhi - IMD"
09-May-2020 - 00:00,,,,,,,,,,,,10-May-2020 - 00:00,"Pusa, Delhi - IMD"
10-May-2020 - 00:00,,,,,,,,,,,,11-May-2020 - 00:00,"Pusa, Delhi - IMD"
11-May-2020 - 00:00,,,,,,,,,,,,12-May-2020 - 00:00,"Pusa, Delhi - IMD"
12-May-2020 - 00:00,,,,,,,,,,,,13-May-2020 - 00:00,"Pusa, Delhi - IMD"
13-May-2020 - 00:00,,,,,,,,,,,,14-May-2020 - 00:00,"Pusa, Delhi - IMD"
14-May-2020 - 00:00,,,,,,,,,,,,15-May-2020 - 00:00,"Pusa, Delhi - IMD"
15-May-2020 - 00:00,,,,,,,,,,,,16-May-2020 - 00:00,"Pusa, Delhi - IMD"
16-May-2020 - 00:00,,,,,,,,,,,,17-May-2020 - 00:00,"Pusa, Delhi - IMD"
17-May-2020 - 00:00,,,,,,,,,,,,18-May-2020 - 00:00,"Pusa, Delhi - IMD"
18-May-2020 - 00:00,,,,,,,,,,,,19-May-2020 - 00:00,"Pusa, Delhi - IMD"
19-May-2020 - 00:00,,,,,,,,,,,,20-May-2020 - 00:00,"Pusa, Delhi - IMD"
20-May-2020 - 00:00,,,,,,,,,,,,21-May-2020 - 00:00,"Pusa, Delhi - IMD"
21-May-2020 - 00:00,,,,,,,,,,,,22-May-2020 - 00:00,"Pusa, Delhi - IMD"
22-May-2020 - 00:00,,,,,,,,,,,,23-May-2020 - 00:00,"Pusa, Delhi - IMD"
23-May-2020 - 00:00,,,,,,,,,,,,24-May-2020 - 00:00,"Pusa, Delhi - IMD"
24-May-2020 - 00:00,,,,,,,,,,,,25-May-2020 - 00:00,"Pusa, Delhi - IMD"
25-May-2020 - 00:00,,,,,,,,,,,,26-May-2020 - 00:00,"Pusa, Delhi - IMD"
26-May-2020 - 00:00,136.28,38.51,1.3,4.91,1.3,0.0,52.2,1.71,0.0,1.18,0.38,27-May-2020 - 00:00,"Pusa, Delhi - IMD"
27-May-2020 - 00:00,156.88,39.2,0.65,2.96,1.27,,63.53,1.67,0.0,1.19,0.12,28-May-2020 - 00:00,"Pusa, Delhi - IMD"
28-May-2020 - 00:00,230.39,35.21,0.84,3.5,1.2,,42.39,1.19,0.0,0.58,0.01,29-May-2020 - 00:00,"Pusa, Delhi - IMD"
29-May-2020 - 00:00,61.7,16.63,0.8,3.47,1.32,,35.39,0.76,0.0,0.51,0.06,30-May-2020 - 00:00,"Pusa, Delhi - IMD"
30-May-2020 - 00:00,49.48,18.89,0.82,3.51,1.46,,37.52,0.38,0.01,0.51,0.0,31-May-2020 - 00:00,"Pusa, Delhi - IMD"
31-May-2020 - 00:00,34.87,16.63,0.83,3.55,1.6,,36.49,0.36,0.0,0.66,0.0,01-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
01-Jun-2020 - 00:00,73.59,28.06,1.93,7.03,1.83,,42.27,0.58,0.0,0.74,0.03,02-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
