from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
17-May-2020 - 00:00,47.36,12.51,36.15,16.88,26.15,0.85,20.33,68.87,185.98,4.72,2.63,2.45,3.34,18-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-May-2020 - 00:00,35.3,11.89,34.04,16.84,27.34,0.89,23.84,52.41,133.83,5.24,2.75,2.59,3.61,19-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-May-2020 - 00:00,36.25,14.6,43.24,17.21,26.66,0.78,23.43,57.66,178.53,5.99,2.64,2.85,3.75,20-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-May-2020 - 00:00,55.46,21.67,78.55,21.7,27.86,0.75,30.46,42.06,145.51,3.88,2.16,2.41,3.15,21-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-May-2020 - 00:00,49.38,23.04,76.43,22.48,27.35,0.77,27.34,32.75,171.65,3.25,1.93,1.96,2.68,22-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-May-2020 - 00:00,27.0,11.8,30.02,16.72,27.87,0.77,24.86,56.5,213.27,5.97,2.7,2.53,3.5,23-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-May-2020 - 00:00,32.89,10.65,29.92,16.3,27.97,0.79,22.09,69.17,224.54,11.75,2.9,3.18,4.41,24-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-May-2020 - 00:00,30.07,8.28,24.64,16.23,28.45,0.76,22.64,49.29,242.26,6.89,2.47,2.71,3.63,25-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-May-2020 - 00:00,32.95,10.41,27.23,16.47,28.11,0.76,26.64,36.98,188.45,4.0,2.24,2.32,3.15,26-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-May-2020 - 00:00,40.94,17.35,56.04,20.58,27.33,0.76,24.86,44.05,215.65,5.45,2.51,2.68,3.74,27-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-May-2020 - 00:00,57.67,22.95,76.72,23.94,28.45,0.75,24.43,35.91,170.03,5.05,2.41,2.36,3.03,28-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-May-2020 - 00:00,69.16,16.39,54.8,19.78,28.13,0.74,37.02,40.22,215.32,2.86,0.81,0.99,1.38,29-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-May-2020 - 00:00,49.48,12.68,38.53,17.53,27.35,0.86,28.93,14.58,73.1,2.09,0.79,0.88,1.27,30-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-May-2020 - 00:00,38.19,10.5,30.63,16.95,29.5,0.87,25.25,22.42,73.13,3.8,1.85,2.05,2.63,31-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
31-May-2020 - 00:00,48.76,15.53,45.65,18.48,27.56,0.87,27.0,13.6,101.87,2.59,1.55,1.56,2.23,01-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Jun-2020 - 00:00,59.73,22.95,77.47,24.81,28.43,0.91,21.96,21.58,95.92,3.19,2.18,2.19,3.06,02-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Jun-2020 - 00:00,64.15,26.17,84.96,24.8,26.28,0.87,33.95,31.89,133.26,1.7,0.88,1.08,1.46,03-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Jun-2020 - 00:00,80.45,24.36,88.03,24.59,27.7,0.6,20.15,30.57,131.13,0.0,0.0,0.0,0.0,04-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Jun-2020 - 00:00,72.34,28.27,93.78,26.14,27.66,0.51,15.7,49.7,210.57,0.0,0.0,0.0,0.0,05-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Jun-2020 - 00:00,65.17,18.98,66.05,21.41,27.12,0.47,15.44,32.97,121.29,0.0,0.0,0.0,0.0,06-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Jun-2020 - 00:00,47.42,14.05,39.2,16.71,27.44,0.42,13.83,36.49,121.61,1.59,0.82,0.8,1.12,07-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Jun-2020 - 00:00,53.76,19.55,65.7,22.19,27.3,0.42,15.29,31.22,118.72,4.36,1.7,1.88,2.6,08-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Jun-2020 - 00:00,47.19,24.07,76.79,23.07,27.99,0.44,15.04,28.64,107.06,3.77,1.87,2.24,2.99,09-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Jun-2020 - 00:00,54.91,24.32,81.59,23.03,27.44,0.51,15.06,50.74,168.4,5.11,3.0,2.77,3.42,10-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Jun-2020 - 00:00,56.18,25.23,84.4,23.5,26.7,0.55,15.45,52.66,196.09,5.33,2.76,3.7,4.59,11-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Jun-2020 - 00:00,50.58,19.34,68.18,21.53,27.05,0.49,14.38,44.67,156.11,4.83,3.0,4.05,4.79,12-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Jun-2020 - 00:00,38.5,13.39,42.71,17.46,27.7,0.56,14.29,55.51,226.27,6.37,2.22,3.26,3.97,13-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Jun-2020 - 00:00,38.99,14.96,47.5,18.39,27.86,0.59,15.67,60.4,211.67,4.36,2.36,3.57,3.89,14-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Jun-2020 - 00:00,32.92,14.54,47.45,17.93,27.69,0.48,15.16,45.05,143.48,4.38,2.36,3.56,3.89,15-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Jun-2020 - 00:00,34.55,14.26,45.62,18.45,28.14,0.5,14.19,47.71,196.54,4.35,2.37,3.57,3.89,16-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Jun-2020 - 00:00,40.94,18.42,59.58,19.62,27.49,0.48,15.78,42.03,181.55,4.35,2.36,3.56,3.89,17-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Jun-2020 - 00:00,49.18,21.91,71.98,21.97,28.16,0.43,18.03,35.23,225.9,4.36,2.36,3.56,3.89,18-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Jun-2020 - 00:00,56.92,24.38,81.03,23.33,28.09,0.45,16.24,34.71,153.67,4.33,2.35,3.57,3.9,19-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Jun-2020 - 00:00,54.24,26.43,95.86,24.35,27.59,0.44,20.64,47.8,214.95,4.37,2.35,3.56,3.89,20-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Jun-2020 - 00:00,62.13,24.2,90.44,24.37,27.81,0.36,19.37,36.82,130.07,4.28,2.3,3.49,3.81,21-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Jun-2020 - 00:00,74.79,26.42,93.06,22.89,5.36,0.42,18.31,58.67,117.26,4.03,2.18,3.31,3.6,22-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Jun-2020 - 00:00,67.53,30.61,101.9,25.07,2.5,0.57,19.76,33.73,97.86,4.18,2.25,3.41,3.72,23-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Jun-2020 - 00:00,64.1,30.38,109.79,27.9,6.37,0.37,27.37,27.4,81.35,4.35,2.36,3.57,3.89,24-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Jun-2020 - 00:00,63.61,35.93,131.91,32.3,11.25,0.38,34.87,24.1,78.98,4.37,2.36,3.58,3.89,25-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Jun-2020 - 00:00,71.66,37.89,134.89,30.22,60.48,0.43,33.7,27.9,81.86,4.36,2.36,3.58,3.89,26-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Jun-2020 - 00:00,59.16,33.91,128.0,28.7,60.29,0.5,33.48,43.69,129.51,4.36,2.36,3.57,3.89,27-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Jun-2020 - 00:00,56.35,37.14,137.89,29.63,60.68,0.32,32.77,41.76,203.78,4.37,2.37,3.56,3.89,28-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Jun-2020 - 00:00,53.64,34.92,126.2,29.1,61.05,0.34,34.43,79.12,418.75,4.36,2.35,3.59,3.89,29-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Jun-2020 - 00:00,63.68,25.12,88.61,24.05,45.55,0.43,34.69,59.9,290.62,4.28,2.3,3.5,3.81,30-Jun-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Jun-2020 - 00:00,58.05,21.2,73.47,22.52,83.65,0.39,35.04,34.67,142.68,4.34,2.34,3.57,3.89,01-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Jul-2020 - 00:00,51.41,17.28,56.95,19.74,86.26,0.45,34.98,44.32,155.01,4.21,2.28,3.46,3.77,02-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Jul-2020 - 00:00,38.71,14.67,49.98,19.0,86.47,0.54,33.55,55.63,187.75,4.38,2.35,3.57,3.89,03-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Jul-2020 - 00:00,35.19,11.98,36.81,17.4,86.81,0.57,34.77,59.87,213.31,4.31,2.34,3.54,3.85,04-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Jul-2020 - 00:00,34.06,13.57,40.51,17.57,87.94,0.4,32.88,33.06,100.76,4.35,2.38,3.56,3.88,05-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Jul-2020 - 00:00,44.59,19.77,67.1,19.66,53.38,0.43,33.76,15.84,51.59,3.91,2.14,3.22,3.51,06-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Jul-2020 - 00:00,51.92,29.7,105.29,26.07,16.72,0.4,32.4,31.94,76.59,4.34,2.36,3.58,3.89,07-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Jul-2020 - 00:00,77.52,32.11,117.37,25.54,17.67,0.3,35.02,15.34,47.22,4.1,2.22,3.34,3.65,08-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Jul-2020 - 00:00,61.66,29.01,106.28,24.48,2.5,0.33,36.51,23.19,46.32,4.16,2.25,3.4,3.72,09-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Jul-2020 - 00:00,39.35,24.83,70.58,27.94,9.45,0.36,34.81,23.06,67.59,4.4,2.36,3.57,3.9,10-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Jul-2020 - 00:00,14.95,20.02,22.03,37.05,39.16,0.33,32.47,19.97,70.64,4.37,2.34,3.57,3.9,11-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Jul-2020 - 00:00,14.99,20.02,22.02,34.36,32.8,0.45,35.03,30.55,115.97,4.06,2.19,3.32,3.61,12-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Jul-2020 - 00:00,15.0,19.99,22.04,33.08,45.22,0.31,33.47,13.68,54.76,3.91,2.11,3.19,3.48,13-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Jul-2020 - 00:00,15.03,19.95,21.98,36.92,34.81,0.23,32.73,28.51,151.25,4.35,2.37,3.56,3.88,14-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Jul-2020 - 00:00,15.02,20.01,21.97,36.95,8.56,0.31,31.95,51.9,286.68,4.34,2.37,3.57,3.88,15-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Jul-2020 - 00:00,15.0,20.0,21.99,37.01,9.32,0.33,32.47,35.93,129.21,4.36,2.36,3.57,3.89,16-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Jul-2020 - 00:00,15.03,20.02,22.02,36.99,10.08,0.31,31.87,26.49,73.82,4.37,2.37,3.57,3.89,17-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Jul-2020 - 00:00,15.0,20.02,21.98,36.99,11.2,0.31,31.93,33.35,84.67,4.35,2.36,3.58,3.89,18-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Jul-2020 - 00:00,14.98,19.99,22.04,36.98,12.06,0.28,32.25,24.92,70.39,4.38,2.35,3.57,3.89,19-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Jul-2020 - 00:00,14.98,19.98,22.02,34.42,12.9,0.35,31.41,23.4,54.09,4.07,2.2,3.33,3.62,20-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Jul-2020 - 00:00,15.01,20.02,22.0,36.64,58.79,0.31,31.22,13.58,43.38,4.31,2.34,3.58,3.85,21-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Jul-2020 - 00:00,14.98,19.96,22.03,33.41,15.45,0.21,34.48,22.14,70.13,3.95,2.12,3.21,3.51,22-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Jul-2020 - 00:00,15.0,19.98,21.99,37.01,28.1,0.31,32.92,23.83,58.72,4.35,2.36,3.56,3.89,23-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Jul-2020 - 00:00,15.0,20.01,21.95,30.29,31.86,0.29,32.21,29.64,73.53,3.55,1.93,2.93,3.18,24-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Jul-2020 - 00:00,15.0,19.98,22.02,36.97,34.92,0.28,32.12,33.05,88.64,4.37,2.36,3.56,3.89,25-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Jul-2020 - 00:00,15.02,20.03,22.01,37.02,36.72,0.27,31.44,21.72,64.06,4.36,2.36,3.58,3.89,26-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Jul-2020 - 00:00,15.01,19.98,21.96,36.95,41.21,0.37,31.94,29.84,92.47,4.34,2.36,3.56,3.88,27-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Jul-2020 - 00:00,15.02,19.92,22.0,37.04,44.22,0.33,31.76,29.93,106.14,4.36,2.37,3.55,3.9,28-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Jul-2020 - 00:00,14.96,19.99,22.01,36.98,46.98,0.25,30.78,20.76,86.23,4.37,2.35,3.57,3.89,29-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Jul-2020 - 00:00,14.98,19.98,21.94,34.99,7.99,0.3,33.74,31.11,143.84,4.09,2.22,3.49,3.68,30-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Jul-2020 - 00:00,15.0,20.03,21.99,35.9,11.16,0.31,32.57,22.3,67.27,4.22,2.28,3.46,3.78,31-Jul-2020 - 00:00,"Murthal, Sonipat - HSPCB"
31-Jul-2020 - 00:00,14.99,19.99,22.03,35.87,2.69,0.38,34.19,27.86,85.24,4.24,2.28,3.45,3.77,01-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Aug-2020 - 00:00,15.01,20.0,21.99,35.86,2.87,0.34,32.21,20.85,67.45,4.22,2.29,3.46,3.77,02-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Aug-2020 - 00:00,15.01,20.02,22.01,35.13,4.58,0.3,31.62,21.27,71.49,4.14,2.24,3.39,3.69,03-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Aug-2020 - 00:00,14.98,19.99,21.95,36.99,14.78,0.35,31.43,28.41,87.92,4.33,2.35,3.57,3.89,04-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Aug-2020 - 00:00,14.99,19.98,22.03,37.06,82.37,0.31,31.32,19.03,76.79,4.38,2.36,3.56,3.9,05-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Aug-2020 - 00:00,14.98,20.0,21.98,36.22,35.26,0.35,31.95,30.5,111.31,4.26,2.3,3.5,3.81,06-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Aug-2020 - 00:00,15.03,20.04,21.98,36.6,3.36,0.31,32.49,15.27,61.66,4.31,2.35,3.55,3.85,07-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Aug-2020 - 00:00,15.04,20.0,22.03,37.02,11.52,0.26,33.26,17.07,56.07,4.38,2.37,3.57,3.89,08-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Aug-2020 - 00:00,14.95,19.97,22.03,36.99,13.49,0.35,30.87,29.72,93.84,4.38,2.35,3.56,3.89,09-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Aug-2020 - 00:00,14.99,20.02,22.04,37.0,17.58,0.3,30.89,21.84,77.35,4.38,2.36,3.58,3.89,10-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Aug-2020 - 00:00,15.01,20.01,22.02,37.05,19.02,0.34,32.12,25.79,89.64,4.37,2.36,3.57,3.9,11-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Aug-2020 - 00:00,15.01,20.03,22.03,36.95,23.75,0.45,31.73,33.0,122.74,4.37,2.36,3.58,3.88,12-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Aug-2020 - 00:00,14.96,20.0,22.05,36.61,14.9,0.35,31.53,24.89,81.77,4.39,2.32,3.53,3.85,13-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Aug-2020 - 00:00,15.1,19.92,22.04,25.88,,0.44,38.16,19.59,89.78,3.07,1.67,2.48,2.72,14-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Aug-2020 - 00:00,15.04,20.02,22.03,37.05,26.5,0.32,33.02,9.87,49.66,4.37,2.37,3.58,3.9,15-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Aug-2020 - 00:00,15.02,20.03,21.93,36.94,31.5,0.39,32.52,20.09,142.48,4.32,2.37,3.58,3.88,16-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Aug-2020 - 00:00,14.88,20.02,22.01,35.59,8.62,0.28,32.66,19.35,318.51,4.21,2.24,3.45,3.74,17-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Aug-2020 - 00:00,14.97,20.04,21.98,37.01,12.16,0.43,32.91,25.01,107.33,4.35,2.35,3.58,3.89,18-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Aug-2020 - 00:00,15.04,19.95,21.98,36.94,32.89,0.38,31.67,23.28,76.57,4.35,2.37,3.55,3.88,19-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Aug-2020 - 00:00,15.03,20.03,22.05,36.98,36.28,0.37,33.15,15.55,50.42,4.39,2.37,3.58,3.89,20-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Aug-2020 - 00:00,14.96,20.0,22.03,35.45,8.82,0.33,33.91,13.32,33.83,4.19,2.25,3.42,3.73,21-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Aug-2020 - 00:00,14.94,19.97,21.97,37.02,13.7,0.31,32.5,10.63,37.78,4.34,2.34,3.56,3.89,22-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Aug-2020 - 00:00,15.01,20.0,22.08,34.63,13.37,0.27,33.86,11.71,50.11,4.12,2.21,3.34,3.64,23-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Aug-2020 - 00:00,14.98,19.98,22.03,36.99,2.75,0.27,32.55,14.58,62.67,4.37,2.35,3.57,3.89,24-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Aug-2020 - 00:00,14.99,19.96,22.0,36.95,14.75,0.28,32.19,15.19,69.18,4.36,2.36,3.56,3.88,25-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Aug-2020 - 00:00,14.97,20.04,22.04,36.99,29.77,0.35,32.62,21.57,117.41,4.38,2.35,3.58,3.89,26-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Aug-2020 - 00:00,14.92,19.99,21.98,36.6,22.11,0.32,32.32,15.96,60.83,4.3,2.31,3.53,3.85,27-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Aug-2020 - 00:00,15.06,19.95,21.96,37.01,14.87,0.37,31.57,18.95,70.69,4.34,2.38,3.56,3.89,28-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Aug-2020 - 00:00,15.0,20.02,21.97,37.0,16.52,0.33,31.36,16.87,69.69,4.35,2.36,3.58,3.89,29-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Aug-2020 - 00:00,14.95,20.0,21.96,35.83,17.49,0.34,31.66,32.06,103.62,4.22,2.28,3.45,3.77,30-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Aug-2020 - 00:00,14.99,20.08,21.97,37.0,12.91,0.28,33.78,18.26,74.38,4.34,2.35,3.59,3.89,31-Aug-2020 - 00:00,"Murthal, Sonipat - HSPCB"
31-Aug-2020 - 00:00,15.0,20.02,21.95,36.62,14.43,0.34,31.9,9.49,54.21,4.28,2.33,3.53,3.85,01-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Sep-2020 - 00:00,15.02,20.0,21.96,36.65,18.27,0.46,31.46,19.65,89.22,4.29,2.34,3.53,3.85,02-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Sep-2020 - 00:00,15.0,20.01,22.0,36.96,23.52,0.41,31.28,17.3,59.66,4.36,2.36,3.57,3.89,03-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Sep-2020 - 00:00,14.97,20.04,22.02,37.0,36.82,0.41,31.44,26.43,89.12,4.37,2.35,3.58,3.89,04-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Sep-2020 - 00:00,15.0,19.93,22.07,36.61,47.46,0.42,31.98,31.17,87.74,4.35,2.34,3.52,3.85,05-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Sep-2020 - 00:00,15.01,19.97,22.01,36.61,26.3,0.53,31.47,34.84,117.64,4.32,2.34,3.52,3.85,06-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Sep-2020 - 00:00,15.01,20.03,21.99,36.98,28.37,0.37,31.14,16.88,51.7,4.35,2.36,3.58,3.89,07-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Sep-2020 - 00:00,15.07,20.01,22.03,37.01,32.0,0.44,31.41,22.59,64.41,4.37,2.38,3.57,3.89,08-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Sep-2020 - 00:00,15.04,20.0,22.02,37.01,32.71,0.41,31.89,22.06,84.83,4.37,2.37,3.57,3.89,09-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Sep-2020 - 00:00,15.04,19.98,22.04,36.63,27.63,0.5,31.41,30.3,99.6,4.33,2.34,3.53,3.85,10-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Sep-2020 - 00:00,14.97,19.98,22.02,36.61,30.87,0.51,31.45,29.88,141.87,4.33,2.33,3.53,3.85,11-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Sep-2020 - 00:00,14.98,19.99,21.98,36.99,31.34,0.48,31.35,36.79,165.9,4.35,2.35,3.57,3.89,12-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Sep-2020 - 00:00,14.98,19.97,22.02,37.01,41.93,0.61,31.39,35.86,197.4,4.37,2.35,3.56,3.89,13-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Sep-2020 - 00:00,15.03,20.01,22.05,37.01,45.83,0.53,30.72,24.52,151.89,4.39,2.37,3.57,3.89,14-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Sep-2020 - 00:00,14.92,19.95,22.09,37.01,48.78,0.56,31.42,17.64,178.7,4.41,2.33,3.55,3.89,15-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Sep-2020 - 00:00,15.01,20.07,21.99,36.95,51.12,0.54,31.12,18.81,212.52,4.36,2.37,3.59,3.88,16-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Sep-2020 - 00:00,15.04,20.0,21.94,36.94,53.77,0.59,31.93,18.74,190.57,4.33,2.37,3.57,3.88,17-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Sep-2020 - 00:00,14.99,19.98,22.05,37.07,56.5,0.47,30.67,10.51,123.01,4.38,2.35,3.57,3.9,18-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Sep-2020 - 00:00,15.05,20.06,22.02,36.55,35.34,0.48,31.3,24.42,146.77,4.32,2.35,3.54,3.84,19-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Sep-2020 - 00:00,14.95,20.05,21.98,37.0,27.93,0.5,31.51,33.63,156.29,4.35,2.34,3.58,3.89,20-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Sep-2020 - 00:00,15.03,20.07,22.05,37.0,32.38,0.6,32.09,38.55,169.87,4.38,2.37,3.59,3.89,21-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Sep-2020 - 00:00,15.02,20.05,21.98,37.02,33.82,0.55,31.14,26.44,145.37,4.35,2.37,3.58,3.89,22-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Sep-2020 - 00:00,15.08,19.99,21.96,37.0,34.62,0.51,31.5,22.68,123.3,4.34,2.39,3.57,3.89,23-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Sep-2020 - 00:00,14.97,20.05,22.0,34.6,36.76,0.32,31.46,9.7,80.58,4.09,2.2,3.36,3.64,24-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Sep-2020 - 00:00,15.01,20.08,22.0,37.04,41.4,0.47,30.88,11.2,90.87,4.36,2.36,3.59,3.89,25-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Sep-2020 - 00:00,15.04,19.94,21.96,36.97,45.81,0.65,31.21,22.13,148.73,4.34,2.38,3.55,3.89,26-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Sep-2020 - 00:00,14.94,20.05,21.99,36.95,48.59,0.58,31.21,21.91,143.22,4.35,2.34,3.58,3.89,27-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Sep-2020 - 00:00,14.99,20.0,21.99,37.01,49.36,0.37,30.59,9.42,73.67,4.35,2.36,3.57,3.89,28-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Sep-2020 - 00:00,14.91,19.94,22.0,37.04,53.51,0.48,31.09,13.46,163.21,4.36,2.33,3.55,3.89,29-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Sep-2020 - 00:00,14.96,19.96,21.99,35.05,29.54,0.54,30.98,22.02,190.96,2.57,1.56,33.36,6.6,30-Sep-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Sep-2020 - 00:00,14.98,19.95,22.01,36.94,19.76,0.48,30.69,14.78,158.47,1.25,20.45,118.0,7.87,01-Oct-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Oct-2020 - 00:00,14.97,20.02,21.98,36.99,22.91,0.5,30.59,13.16,209.22,6.75,56.58,8.5,16.11,02-Oct-2020 - 00:00,"Murthal, Sonipat - HSPCB"
