from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
19-Jun-2020 - 00:00,39.07,976.87,221.39,46.0,48.34,248.15,100.03,1.79,1.23,13.88,22.93,23.51,3.05,15.0,45.14,12.55,0.82,20-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Jun-2020 - 00:00,35.42,976.65,112.23,24.16,56.3,130.9,174.51,1.77,0.98,10.36,15.42,26.17,4.11,17.27,36.62,9.79,0.72,21-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Jun-2020 - 00:00,35.27,976.74,90.35,31.17,59.94,145.03,137.68,1.26,1.21,14.62,21.26,27.03,4.05,17.69,23.84,9.99,0.84,22-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Jun-2020 - 00:00,35.62,976.56,72.85,34.15,59.25,229.87,182.34,1.41,1.82,7.47,24.64,23.34,2.83,14.73,49.4,10.89,0.83,23-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Jun-2020 - 00:00,35.86,976.62,55.41,19.72,59.83,201.72,110.15,2.59,0.91,8.51,27.13,17.54,3.44,12.14,22.45,11.14,0.63,24-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Jun-2020 - 00:00,34.87,976.34,58.84,25.65,66.62,130.81,113.42,2.11,1.27,14.41,24.94,25.69,5.49,18.14,20.59,9.85,0.72,25-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Jun-2020 - 00:00,35.42,976.2,67.74,27.42,64.77,172.02,233.03,0.92,1.18,13.12,20.36,30.19,4.66,19.87,33.0,11.33,0.71,26-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jun-2020 - 00:00,35.84,976.31,106.43,33.71,61.93,166.71,226.61,1.59,1.0,12.0,21.38,27.72,5.27,19.05,38.29,10.11,0.72,27-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jun-2020 - 00:00,36.78,976.29,167.79,25.86,54.27,172.21,279.08,2.25,1.0,12.0,20.06,26.16,7.06,19.68,23.03,10.99,0.55,28-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jun-2020 - 00:00,37.73,976.31,369.9,38.44,51.76,193.26,263.52,2.07,0.9,11.11,18.24,25.36,11.54,22.9,21.73,11.46,0.59,29-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
