from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
13-Apr-2020 - 00:00,,43.06,13.5,2.84,16.22,11.32,10.42,0.29,,1.19,0.06,45.54,0.3,0.19,30.55,71.76,0.51,169.8,0.09,,130.33,0.0,14-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Apr-2020 - 00:00,,42.41,11.19,2.74,13.87,10.67,9.25,0.27,,1.0,0.06,45.16,0.26,0.18,30.89,72.58,0.88,149.14,0.05,,143.93,0.0,15-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-Apr-2020 - 00:00,38.0,47.21,15.16,3.01,18.39,11.34,10.64,0.29,,1.1,0.06,43.79,0.28,0.19,29.2,74.5,0.95,166.17,0.04,,117.47,0.01,16-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Apr-2020 - 00:00,23.06,47.11,19.19,3.13,22.18,11.94,10.36,0.35,,2.04,0.08,44.3,0.45,0.3,27.96,74.39,0.89,142.91,0.02,999.79,122.41,0.0,17-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Apr-2020 - 00:00,17.21,36.89,14.86,2.98,17.81,11.83,10.93,0.27,,0.86,0.05,33.44,0.26,0.15,30.69,68.54,0.94,218.3,0.3,999.62,138.72,0.02,18-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Apr-2020 - 00:00,11.55,29.15,16.15,3.21,19.35,11.33,11.61,0.26,,0.76,0.05,38.14,0.27,0.17,29.45,71.83,0.68,223.55,0.23,,109.24,0.0,19-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Apr-2020 - 00:00,10.72,24.11,12.97,2.77,15.75,9.37,11.59,0.2,,0.72,0.04,35.63,0.21,0.14,29.73,63.57,0.93,204.0,0.24,,145.92,0.0,20-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Apr-2020 - 00:00,10.68,25.66,12.55,2.93,15.48,8.94,10.74,0.24,,0.72,0.04,36.85,0.22,0.14,29.51,74.52,0.94,182.19,0.17,,112.87,0.14,21-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Apr-2020 - 00:00,9.04,19.78,19.88,2.96,22.82,9.83,10.25,0.26,,1.1,0.06,41.01,0.31,0.2,24.06,72.1,0.76,186.63,0.03,,55.82,0.07,22-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Apr-2020 - 00:00,13.08,23.19,17.55,2.93,20.48,8.44,12.9,0.25,,0.98,0.05,41.94,0.28,0.18,26.63,74.96,0.71,169.31,0.07,,107.14,0.0,23-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Apr-2020 - 00:00,11.71,22.4,16.43,3.32,19.76,9.8,9.96,0.26,,0.88,0.06,42.1,0.29,0.18,27.09,78.78,0.74,163.01,0.07,999.65,100.9,0.07,24-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Apr-2020 - 00:00,8.77,18.32,15.65,3.01,18.66,9.74,10.94,0.24,,0.79,0.05,40.22,0.26,0.17,26.66,77.18,0.62,180.66,0.15,999.42,114.66,0.0,25-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Apr-2020 - 00:00,11.76,21.91,15.33,2.8,18.12,8.86,10.56,0.23,,0.98,0.05,41.59,0.26,0.17,28.49,70.86,0.47,180.44,0.12,,130.12,0.0,26-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Apr-2020 - 00:00,10.99,22.45,14.84,2.72,17.55,8.82,10.37,0.26,,0.96,0.05,41.17,0.24,0.16,27.74,74.08,0.75,166.58,0.03,,111.53,0.0,27-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-Apr-2020 - 00:00,5.67,14.58,13.93,2.79,16.71,8.39,7.67,0.22,,0.81,0.05,39.98,0.24,0.15,25.59,84.0,1.05,107.09,-0.06,,99.9,0.14,28-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-Apr-2020 - 00:00,6.81,16.82,16.63,3.66,20.28,9.75,7.73,0.27,,1.04,0.06,41.4,0.31,0.19,25.3,87.17,0.69,125.28,0.01,,83.21,0.08,29-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-Apr-2020 - 00:00,13.84,28.41,19.27,4.49,23.76,11.75,7.85,0.3,,1.49,0.07,47.87,0.42,0.26,27.05,78.09,0.55,134.43,0.03,,127.4,0.0,30-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
30-Apr-2020 - 00:00,11.11,20.88,16.83,3.11,19.92,10.31,10.51,0.22,,0.9,0.05,40.45,0.26,0.17,28.92,72.47,0.52,179.16,0.14,,138.78,0.0,01-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-May-2020 - 00:00,7.15,17.28,14.92,2.88,17.8,9.61,8.86,0.21,,0.77,0.05,40.45,0.24,0.15,26.01,81.14,0.78,161.77,0.0,,101.67,0.18,02-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-May-2020 - 00:00,10.94,24.2,18.25,3.3,21.56,9.09,8.14,0.28,,1.11,0.06,44.29,0.31,0.19,25.62,83.3,0.52,147.53,0.01,999.62,132.08,0.03,03-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-May-2020 - 00:00,14.73,25.74,17.22,2.89,20.1,9.16,8.36,0.28,,1.1,0.06,44.2,0.31,0.2,27.8,75.25,0.45,123.51,0.03,999.94,135.4,0.0,04-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-May-2020 - 00:00,15.27,35.15,18.31,3.19,21.49,9.31,7.47,0.29,,1.25,0.06,39.64,0.37,0.22,29.23,77.23,0.37,190.56,0.1,,120.79,0.01,05-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-May-2020 - 00:00,11.72,29.59,17.57,3.13,20.7,9.32,8.99,0.26,,1.16,0.05,38.03,0.31,0.17,30.05,73.21,0.5,205.27,0.19,999.97,128.19,0.0,06-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-May-2020 - 00:00,6.62,18.96,18.6,2.9,21.49,8.89,10.01,0.28,,0.93,0.05,36.51,0.29,0.17,27.14,79.28,0.57,175.27,0.06,,142.88,0.13,07-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-May-2020 - 00:00,10.82,27.92,18.23,3.22,21.44,8.63,9.97,0.23,,0.93,0.06,38.94,0.34,0.19,28.8,72.39,0.6,170.46,0.06,999.8,130.59,0.0,08-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-May-2020 - 00:00,11.1,25.74,15.94,2.82,18.76,8.23,9.29,0.27,,0.75,0.05,36.16,0.24,0.16,29.37,69.82,0.64,177.26,0.15,999.57,140.26,0.0,09-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-May-2020 - 00:00,13.74,30.61,16.08,3.16,19.24,8.36,9.8,0.24,,0.79,0.05,36.13,0.27,0.16,31.88,64.15,0.44,204.05,0.11,999.86,169.43,0.0,10-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-May-2020 - 00:00,12.25,28.3,14.95,2.95,17.89,7.86,8.74,0.22,,0.73,0.05,39.02,0.24,0.15,30.46,72.08,0.71,177.02,0.09,999.37,136.95,0.04,11-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-May-2020 - 00:00,10.45,24.98,23.4,2.93,26.33,8.4,9.09,0.32,,1.18,0.06,38.71,0.36,0.22,28.14,70.63,0.62,182.53,-0.0,,162.12,0.0,12-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-May-2020 - 00:00,20.13,42.78,23.58,3.25,26.83,8.41,11.23,0.3,5.18,1.5,0.07,39.66,0.44,0.26,30.67,67.33,0.31,198.79,0.08,1000.0,177.5,0.0,13-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-May-2020 - 00:00,13.97,34.65,18.41,3.35,21.78,9.43,13.37,0.23,,0.85,0.05,31.98,0.28,0.17,32.52,56.49,0.73,223.42,0.23,999.41,201.65,0.0,14-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-May-2020 - 00:00,10.36,28.94,15.18,3.64,18.83,8.09,9.46,0.22,,0.61,0.04,29.35,0.22,0.13,31.44,70.03,0.82,219.73,0.26,999.25,157.55,0.02,15-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-May-2020 - 00:00,7.81,24.36,14.98,3.61,18.58,8.21,9.94,0.21,,0.6,0.04,28.02,0.23,0.14,31.81,68.29,0.92,219.66,0.29,998.63,161.25,0.0,16-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-May-2020 - 00:00,6.64,21.11,15.29,3.84,19.14,7.52,8.49,0.22,,0.61,0.04,29.96,0.23,0.14,32.08,69.9,0.79,226.07,0.24,998.37,160.24,0.0,17-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-May-2020 - 00:00,6.74,20.39,14.43,3.54,17.97,7.44,9.11,0.22,,0.7,0.04,28.38,0.22,0.13,32.34,66.51,0.77,222.23,0.25,998.07,160.69,0.0,18-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-May-2020 - 00:00,6.53,18.54,15.66,3.77,19.44,7.35,8.71,0.21,,0.77,0.04,29.51,0.26,0.14,32.39,62.0,0.62,207.05,0.21,996.82,160.04,0.0,19-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-May-2020 - 00:00,4.93,13.34,11.69,2.83,14.51,6.81,7.3,0.2,,0.58,0.04,38.29,0.2,0.13,28.85,78.3,1.59,87.49,-0.18,995.65,65.92,0.02,20-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-May-2020 - 00:00,4.85,12.18,11.68,2.68,14.36,7.48,7.34,0.18,,0.44,0.02,14.3,0.1,0.06,24.59,95.75,4.87,103.42,-0.98,982.42,40.53,1.54,21-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-May-2020 - 00:00,4.5,9.38,14.7,3.37,18.07,6.91,7.18,0.29,,0.8,0.05,35.53,0.28,0.18,24.83,90.76,0.92,244.73,0.1,992.47,62.07,0.0,22-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-May-2020 - 00:00,10.47,26.18,20.24,3.69,23.59,9.35,9.45,0.28,42.41,0.87,0.06,34.15,0.37,0.21,28.71,79.41,0.68,223.17,0.22,998.27,142.36,0.0,23-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-May-2020 - 00:00,13.74,46.2,13.96,2.84,16.81,11.4,7.59,0.24,52.65,0.61,0.06,43.65,0.31,0.18,30.36,79.01,0.96,213.61,0.31,998.87,139.44,0.0,24-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-May-2020 - 00:00,11.06,40.43,13.91,2.89,16.79,9.16,7.77,0.22,57.64,0.57,0.05,39.03,0.28,0.16,30.34,79.22,1.22,217.5,0.37,998.61,124.95,0.0,25-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-May-2020 - 00:00,10.32,35.25,13.36,3.04,16.4,8.82,8.91,0.23,48.92,0.58,0.09,34.08,0.4,0.27,30.09,79.34,1.32,217.6,0.39,998.95,83.61,0.0,26-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-May-2020 - 00:00,9.46,41.76,14.74,3.51,18.26,9.3,9.55,0.22,50.67,0.61,0.05,33.8,0.28,0.15,29.85,79.45,1.41,217.92,0.4,998.72,88.6,0.0,27-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-May-2020 - 00:00,9.45,32.02,16.71,3.96,20.67,9.26,9.41,0.22,43.13,0.61,0.06,35.93,0.33,0.2,28.87,78.81,1.19,204.72,0.27,997.86,113.97,0.36,28-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-May-2020 - 00:00,8.53,23.38,25.75,3.28,29.03,12.51,8.01,0.3,38.69,1.05,0.11,53.85,0.66,0.33,24.51,89.68,0.48,182.17,0.09,998.83,52.25,0.19,29-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-May-2020 - 00:00,15.72,33.24,21.54,3.11,24.66,10.75,8.67,0.29,46.94,1.0,0.09,50.92,0.52,0.29,29.55,75.74,0.6,173.15,0.1,998.82,157.83,0.0,30-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
30-May-2020 - 00:00,9.95,20.83,16.18,2.92,19.1,10.87,8.47,0.23,54.2,0.71,0.06,45.42,0.34,0.21,29.86,76.11,0.96,161.53,0.07,999.16,144.17,0.0,31-May-2020 - 00:00,"Belur Math, Howrah - WBPCB"
31-May-2020 - 00:00,8.63,17.88,18.47,2.84,21.31,10.19,8.18,0.27,50.14,1.02,0.07,49.1,0.35,0.23,28.74,75.4,0.93,139.84,-0.03,,131.15,0.09,01-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-Jun-2020 - 00:00,9.39,20.62,28.49,5.6,34.11,9.98,9.71,0.3,44.27,1.07,0.09,45.26,0.56,0.31,28.93,79.94,0.62,223.07,0.19,,130.39,0.03,02-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Jun-2020 - 00:00,11.53,19.39,29.05,5.14,34.19,10.58,12.56,0.32,47.2,1.13,0.09,47.58,0.55,0.33,29.94,75.33,0.7,208.55,0.13,998.75,171.03,0.02,03-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Jun-2020 - 00:00,11.74,19.77,34.53,5.37,39.92,11.68,13.28,0.39,47.43,1.22,0.1,41.53,0.59,0.32,30.71,72.68,0.59,224.34,0.18,999.0,180.21,0.0,04-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Jun-2020 - 00:00,12.23,17.22,25.37,6.01,31.15,8.67,10.62,0.29,46.5,1.01,0.08,42.05,0.53,0.3,31.0,75.79,0.8,217.56,0.17,998.67,152.08,0.0,05-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Jun-2020 - 00:00,11.77,24.73,19.75,3.98,23.81,9.74,10.18,0.25,64.36,0.81,0.09,36.03,0.46,0.29,30.8,76.38,1.01,184.85,0.23,998.16,149.75,0.0,06-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Jun-2020 - 00:00,14.74,35.25,30.59,5.19,35.83,9.77,10.24,0.37,106.2,1.01,0.09,39.56,0.55,0.34,32.41,68.83,0.59,236.44,0.18,997.55,138.48,0.0,07-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Jun-2020 - 00:00,20.58,34.95,28.31,3.8,32.12,8.22,9.13,0.37,,1.33,0.09,41.47,0.52,0.3,30.05,80.32,0.45,180.47,0.08,997.09,104.64,0.13,08-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Jun-2020 - 00:00,19.49,36.03,30.97,5.31,36.18,11.83,10.01,0.42,,2.16,0.11,39.0,0.68,0.4,30.29,78.38,0.56,137.21,0.04,996.58,152.56,0.17,09-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Jun-2020 - 00:00,17.17,49.46,18.87,6.21,25.13,19.88,6.92,0.29,,1.69,0.09,46.96,0.54,0.32,30.65,81.06,0.81,106.23,-0.04,997.13,188.88,0.0,10-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Jun-2020 - 00:00,13.68,30.42,18.98,7.6,26.56,15.68,7.53,0.25,,0.82,0.06,35.85,0.33,0.24,30.23,78.64,1.34,104.49,-0.15,996.56,123.27,0.0,11-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Jun-2020 - 00:00,4.56,10.98,14.28,5.14,19.4,16.09,7.14,0.26,,0.69,0.06,45.63,0.3,0.22,28.02,90.7,1.25,88.98,-0.12,995.35,66.86,0.45,12-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Jun-2020 - 00:00,6.49,11.8,17.14,4.82,22.13,12.28,6.93,0.27,,1.15,0.07,46.24,0.43,0.31,27.2,96.68,1.29,96.15,-0.13,994.21,51.24,0.37,13-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-Jun-2020 - 00:00,8.38,19.06,16.41,4.87,21.28,10.55,6.88,0.29,,1.12,0.08,50.67,0.48,0.37,28.28,93.41,0.93,90.19,-0.01,994.72,72.92,0.05,14-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Jun-2020 - 00:00,8.68,19.35,15.99,4.69,20.68,9.3,6.69,0.27,,1.06,0.07,48.55,0.39,0.26,27.77,95.88,0.68,110.48,0.05,995.96,54.31,0.13,15-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-Jun-2020 - 00:00,12.78,20.1,20.29,4.93,25.23,12.96,6.61,0.31,,2.16,0.12,38.73,0.57,0.36,28.75,89.36,0.49,132.47,0.06,995.37,86.41,0.06,16-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Jun-2020 - 00:00,11.29,22.15,20.53,4.74,25.25,15.86,6.64,0.31,16.8,2.34,0.09,39.29,0.53,0.32,28.28,92.14,0.48,123.78,0.04,993.93,93.28,0.05,17-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Jun-2020 - 00:00,17.18,31.99,32.08,11.6,43.69,15.34,8.12,0.56,6.64,1.94,0.12,26.38,0.78,0.4,29.01,87.42,0.55,219.59,0.17,993.33,76.85,0.0,18-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Jun-2020 - 00:00,17.93,43.23,22.0,6.97,28.97,11.59,7.55,0.36,13.4,1.21,0.09,27.24,0.57,0.35,29.32,86.43,0.58,214.77,0.21,994.52,69.08,0.0,19-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Jun-2020 - 00:00,15.41,34.67,19.88,5.4,25.28,13.31,8.13,0.35,42.86,1.75,0.09,34.35,0.54,0.38,29.76,83.75,0.4,194.94,0.13,995.71,83.82,0.0,20-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Jun-2020 - 00:00,10.88,21.55,13.69,5.02,18.71,14.45,6.74,0.26,40.72,,,,,,29.46,85.35,0.73,123.53,0.04,995.56,110.13,0.07,21-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Jun-2020 - 00:00,11.6,20.74,12.18,4.31,16.47,12.07,6.88,0.27,46.54,,,,,,28.31,90.77,0.89,105.15,-0.02,993.78,68.06,0.06,22-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Jun-2020 - 00:00,10.97,19.89,12.34,4.2,16.53,10.64,6.87,0.26,46.23,,,,,,29.0,87.34,0.65,118.74,0.03,994.95,102.94,0.22,23-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Jun-2020 - 00:00,17.83,24.85,16.83,5.28,22.09,11.26,6.61,0.32,39.2,,,,,,29.67,85.37,0.61,155.15,0.1,998.25,90.18,0.02,24-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Jun-2020 - 00:00,18.25,33.3,21.5,7.98,29.49,14.94,8.71,0.33,41.85,,,,,,31.28,76.73,0.77,218.77,0.24,998.78,155.14,0.0,25-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Jun-2020 - 00:00,17.96,33.06,22.99,11.58,34.57,16.09,10.94,0.32,29.73,,,,,,31.16,74.12,0.81,225.19,0.26,998.76,159.64,0.0,26-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Jun-2020 - 00:00,13.8,28.68,24.74,11.82,36.57,15.35,12.53,0.32,15.94,,,,,,30.33,75.25,0.81,226.76,0.25,997.9,140.56,0.01,27-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-Jun-2020 - 00:00,11.15,27.08,26.5,11.46,37.98,14.86,9.26,0.36,19.05,,,,,,28.27,86.51,0.76,226.58,0.23,997.24,76.0,0.38,28-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-Jun-2020 - 00:00,17.52,29.58,23.37,8.95,32.33,14.57,7.52,0.33,33.67,,,,,,27.68,90.66,0.53,204.69,0.15,997.43,104.46,0.18,29-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-Jun-2020 - 00:00,19.05,31.87,23.57,5.62,29.23,12.92,7.64,0.42,38.89,,,,,,28.4,89.02,0.42,147.08,0.09,997.77,89.88,0.01,30-Jun-2020 - 00:00,"Belur Math, Howrah - WBPCB"
30-Jun-2020 - 00:00,14.88,33.86,25.27,8.28,33.56,13.98,8.38,0.35,27.6,,,,,,30.21,81.73,0.52,206.0,0.17,997.7,131.25,0.0,01-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-Jul-2020 - 00:00,13.99,37.56,23.63,10.14,33.78,11.74,10.45,0.32,25.25,,,,,,31.57,75.52,0.7,223.05,0.24,996.42,152.78,0.0,02-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Jul-2020 - 00:00,11.7,34.81,22.7,9.54,32.25,13.0,10.67,0.3,24.52,,,,,,31.87,71.7,0.72,222.99,0.24,994.98,157.86,0.0,03-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Jul-2020 - 00:00,9.42,25.61,14.11,5.45,19.56,18.94,8.0,0.25,27.37,,,,,,31.05,76.65,0.6,146.4,0.09,995.43,106.06,0.0,04-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Jul-2020 - 00:00,5.31,15.84,12.98,4.95,17.93,24.99,7.12,0.21,28.29,,,,,,30.04,82.43,1.0,96.71,-0.05,994.49,119.71,0.01,05-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Jul-2020 - 00:00,4.91,15.59,12.75,5.8,17.6,20.59,6.9,0.22,26.56,,,,,,28.49,91.34,1.13,91.31,-0.06,991.92,73.86,0.04,06-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Jul-2020 - 00:00,8.67,15.94,16.43,6.16,22.59,20.77,7.94,0.26,26.46,,,,,,28.47,90.65,0.88,101.33,0.02,992.19,115.48,0.18,07-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Jul-2020 - 00:00,12.91,17.91,20.11,5.2,25.29,24.24,9.06,0.34,27.76,,,,,,28.92,90.74,0.73,141.87,0.1,996.8,92.03,0.37,08-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Jul-2020 - 00:00,24.37,30.75,33.49,13.6,47.09,19.73,11.74,0.49,27.88,,,,,,30.24,83.54,0.51,226.73,0.19,997.92,123.43,0.0,09-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Jul-2020 - 00:00,19.25,30.5,29.94,10.99,40.94,14.72,10.03,0.41,33.71,,,,,,30.02,84.15,0.64,227.3,0.23,996.23,115.41,0.07,10-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Jul-2020 - 00:00,14.76,57.11,22.68,8.06,30.75,16.09,10.92,0.3,29.22,1.11,0.07,36.26,0.45,0.35,30.81,77.84,0.95,226.17,0.31,995.94,145.34,0.0,11-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Jul-2020 - 00:00,16.21,84.72,25.87,7.56,33.43,13.85,11.26,0.37,28.19,1.55,0.1,55.12,0.66,0.49,29.1,86.38,0.68,208.16,0.2,995.71,89.6,0.11,12-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Jul-2020 - 00:00,23.51,56.6,23.9,6.2,30.1,14.37,10.19,0.3,37.88,1.49,0.1,58.25,0.61,0.39,30.05,84.53,0.63,212.87,0.13,995.85,115.5,0.11,13-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-Jul-2020 - 00:00,29.5,62.5,29.46,9.05,38.54,12.39,12.11,0.38,32.43,1.4,0.1,58.64,0.61,0.4,28.99,87.79,0.4,215.23,0.13,995.17,84.52,0.0,14-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Jul-2020 - 00:00,13.13,40.49,14.92,4.38,19.27,15.76,9.21,0.2,31.19,1.26,0.09,45.01,0.46,0.37,29.66,84.17,0.85,99.06,-0.01,995.78,135.54,0.0,15-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-Jul-2020 - 00:00,11.07,34.29,17.55,5.36,23.08,17.77,9.9,0.26,21.53,1.53,0.07,38.67,0.42,0.3,28.9,85.71,0.58,146.89,0.1,996.74,98.84,0.01,16-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Jul-2020 - 00:00,8.78,22.94,15.97,4.88,20.64,17.68,9.82,0.17,17.56,1.34,0.07,35.62,0.38,0.24,30.14,78.4,0.57,158.63,0.13,996.33,143.1,0.0,17-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Jul-2020 - 00:00,8.77,22.24,17.71,6.22,23.97,14.09,10.26,0.24,13.45,1.05,0.06,35.4,0.37,0.24,30.37,78.01,0.6,186.22,0.18,997.27,135.44,0.0,18-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Jul-2020 - 00:00,15.31,29.55,22.24,7.94,30.17,13.75,13.8,0.28,16.01,0.96,0.06,32.02,0.37,0.23,31.06,76.32,0.82,220.7,0.26,998.08,146.26,0.0,19-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Jul-2020 - 00:00,13.39,29.53,20.14,8.23,28.37,13.51,12.1,0.27,14.28,0.65,0.05,31.52,0.32,0.2,30.4,78.29,0.84,227.12,0.26,997.8,120.82,0.01,20-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Jul-2020 - 00:00,18.02,27.42,25.34,10.09,35.44,14.28,13.37,0.34,10.41,1.12,0.08,33.04,0.48,0.32,29.46,84.75,0.71,216.3,0.22,997.18,108.63,0.03,21-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Jul-2020 - 00:00,24.84,41.26,29.8,13.92,43.74,19.59,11.03,0.44,7.84,1.38,0.09,31.85,0.66,0.47,28.21,91.56,0.56,230.5,0.2,998.32,61.74,0.23,22-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Jul-2020 - 00:00,32.64,68.19,36.42,15.35,51.79,15.96,11.62,0.54,10.69,1.81,0.12,32.28,0.77,0.56,28.08,91.9,0.36,212.53,0.15,997.92,66.0,0.05,23-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Jul-2020 - 00:00,19.99,46.39,18.66,4.9,23.57,9.96,10.37,0.29,17.42,2.31,0.09,42.46,0.51,0.34,26.56,95.42,0.33,190.85,0.12,997.62,57.27,0.34,24-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Jul-2020 - 00:00,23.84,50.31,24.12,6.04,30.14,12.83,11.83,0.34,14.14,2.49,1.87,37.2,0.78,3.73,28.42,89.93,0.4,163.81,0.14,999.2,86.04,0.0,25-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Jul-2020 - 00:00,18.52,44.06,18.94,4.66,23.6,16.1,14.16,0.2,16.04,2.22,1.18,41.1,1.16,2.06,29.62,83.94,0.41,189.46,0.19,999.7,108.66,0.0,26-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Jul-2020 - 00:00,22.95,54.37,25.09,5.53,30.64,8.49,12.12,0.38,23.07,1.2,0.12,20.13,0.47,0.25,31.41,78.89,0.48,227.14,0.17,998.83,129.27,0.0,27-Jul-2020 - 00:00,"Belur Math, Howrah - WBPCB"
