from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
02-Mar-2020 - 00:00,84.89,138.46,10.73,21.13,10.4,41.23,18.87,1.18,41.11,12.0,120.06,2.0,1.26,1.0,74.85,81.02,3.01,237.03,0.0,03-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Mar-2020 - 00:00,69.68,140.99,7.09,16.63,9.54,29.53,15.04,1.08,38.59,12.03,119.94,2.0,1.26,1.0,79.42,87.01,3.19,233.52,0.0,04-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Mar-2020 - 00:00,59.26,116.43,6.82,18.67,14.81,27.82,16.44,1.04,35.61,12.0,119.74,2.0,1.26,1.0,75.41,89.36,2.68,250.14,0.0,05-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Mar-2020 - 00:00,50.91,108.31,6.39,16.37,9.99,24.06,12.99,1.08,29.91,11.99,119.92,2.0,1.26,1.0,80.08,84.61,3.02,235.42,0.0,06-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Mar-2020 - 00:00,45.45,114.83,7.95,20.92,13.53,25.15,13.52,1.03,21.77,12.01,120.11,2.0,1.26,1.0,74.23,81.64,3.25,244.04,0.0,07-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Mar-2020 - 00:00,52.23,132.72,9.04,24.78,17.57,24.79,30.18,1.01,39.92,12.03,120.1,2.0,1.26,1.0,58.42,92.37,2.23,237.66,0.0,08-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Mar-2020 - 00:00,65.0,146.97,12.66,31.33,19.1,26.26,46.91,1.09,41.05,11.98,119.87,2.0,1.26,1.0,49.95,98.24,2.15,158.18,0.0,09-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Mar-2020 - 00:00,57.91,122.65,9.17,19.0,9.83,22.26,21.77,1.16,58.32,11.99,119.97,2.0,1.26,1.0,66.0,96.15,3.04,228.74,0.0,10-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Mar-2020 - 00:00,46.44,97.26,5.18,13.75,8.62,19.37,14.54,1.19,36.15,11.98,120.15,2.0,1.26,0.99,73.67,89.91,3.32,238.56,0.0,11-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Mar-2020 - 00:00,31.68,69.0,5.48,14.32,8.86,17.52,12.43,1.01,36.02,11.98,119.62,2.0,1.25,1.01,74.49,85.87,3.08,256.56,0.0,12-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Mar-2020 - 00:00,29.73,68.7,9.57,18.84,9.28,16.27,15.35,0.8,44.33,11.99,120.2,2.0,1.26,1.0,59.95,106.7,2.59,251.93,0.0,13-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Mar-2020 - 00:00,43.58,103.74,10.96,27.18,16.43,20.28,25.6,1.05,30.62,11.99,119.66,2.0,1.26,1.0,59.88,103.17,1.86,175.79,0.0,14-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Mar-2020 - 00:00,72.05,239.65,11.44,28.31,20.42,20.68,49.96,1.19,37.74,12.0,120.03,1.99,1.26,1.0,50.24,120.12,2.14,127.54,0.0,15-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
