from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
21-Mar-2020 - 00:00,25.1,,53.71,0.79,237.12,0.79,926.09,116.14,0.96,471.96,29.05,40.5,47.85,21.87,3.44,80.36,505.01,22-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Mar-2020 - 00:00,24.88,,58.02,0.71,218.97,0.63,925.33,81.65,1.08,725.43,18.48,22.66,27.96,30.1,3.33,39.93,760.53,23-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Mar-2020 - 00:00,25.19,,59.55,0.57,166.95,0.56,921.39,88.34,0.99,398.87,17.55,23.58,27.72,28.66,3.49,30.55,421.39,24-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Mar-2020 - 00:00,26.37,999.75,59.58,0.56,226.78,0.58,929.33,117.17,1.02,520.89,23.83,25.32,32.93,28.77,3.04,45.16,536.16,25-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Mar-2020 - 00:00,27.79,999.17,49.63,1.04,313.03,0.9,923.19,96.0,0.96,600.15,14.34,17.52,21.64,33.31,3.11,30.85,607.28,26-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Mar-2020 - 00:00,27.43,,46.09,1.57,316.72,1.23,903.46,59.97,1.02,801.26,7.37,15.08,15.99,37.13,3.33,25.82,821.79,27-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Mar-2020 - 00:00,21.87,,78.47,0.75,267.53,0.82,915.69,56.85,0.98,832.08,9.61,23.03,23.54,30.21,3.09,22.61,852.01,28-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Mar-2020 - 00:00,24.19,,64.56,1.36,330.6,1.26,930.11,45.17,1.03,583.37,8.18,21.67,21.69,31.92,2.08,21.01,584.69,29-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Mar-2020 - 00:00,24.96,999.82,50.14,1.72,329.53,1.46,921.17,42.82,1.0,861.19,7.87,18.33,18.85,34.42,2.84,41.59,884.44,30-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Mar-2020 - 00:00,25.24,,41.2,1.65,329.47,1.37,915.63,52.41,1.07,935.69,9.2,17.32,18.2,35.21,3.0,43.79,960.96,31-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-Mar-2020 - 00:00,26.2,999.55,36.39,1.17,324.1,1.07,903.58,62.08,1.05,756.99,9.13,16.59,18.13,35.36,3.08,36.04,791.21,01-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Apr-2020 - 00:00,28.71,998.78,38.39,0.54,243.99,0.66,902.45,84.21,0.97,792.15,10.0,18.51,20.13,33.45,2.32,37.89,820.25,02-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Apr-2020 - 00:00,27.83,998.83,37.88,1.01,287.95,0.92,905.29,70.58,0.95,806.47,10.2,16.34,18.5,34.97,3.0,32.59,831.77,03-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Apr-2020 - 00:00,25.99,999.97,30.35,1.16,280.94,1.02,899.9,41.65,1.01,763.44,11.54,15.21,18.3,36.16,2.23,43.52,798.55,04-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Apr-2020 - 00:00,26.67,,29.16,1.11,287.62,0.89,899.9,55.61,1.0,704.18,11.63,12.67,16.32,37.42,2.77,45.35,730.24,05-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Apr-2020 - 00:00,28.14,995.47,29.91,0.72,320.15,0.75,900.0,76.97,0.99,600.56,14.2,12.71,17.72,36.41,2.99,38.42,621.48,06-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Apr-2020 - 00:00,29.87,999.11,28.14,1.06,277.8,0.98,899.97,61.07,1.01,761.5,11.7,11.81,15.67,37.64,3.22,39.06,793.24,07-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Apr-2020 - 00:00,30.11,997.88,26.95,1.11,284.73,1.02,900.17,56.74,0.99,791.36,12.54,10.1,14.75,38.32,3.05,42.6,815.59,08-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Apr-2020 - 00:00,29.8,998.27,29.81,0.31,214.24,0.45,899.9,71.51,1.03,757.84,20.97,10.62,19.65,35.07,3.65,62.59,773.5,09-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Apr-2020 - 00:00,29.24,999.37,28.45,0.35,200.12,0.52,899.9,61.27,0.96,771.94,16.44,7.44,14.7,38.71,2.64,54.86,794.09,10-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Apr-2020 - 00:00,28.92,999.92,30.19,-0.05,267.05,0.23,899.9,83.42,1.01,736.09,20.13,6.59,15.98,38.11,2.74,49.28,767.05,11-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Apr-2020 - 00:00,30.63,999.24,33.1,-0.21,220.02,0.05,899.9,118.52,1.01,533.33,32.18,7.17,22.58,33.62,3.52,44.08,556.89,12-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Apr-2020 - 00:00,31.4,998.46,30.44,-0.4,313.63,0.06,899.9,98.29,1.03,718.97,26.86,7.71,20.45,35.13,3.61,43.08,763.32,13-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Apr-2020 - 00:00,31.45,997.96,31.68,-0.47,272.53,0.06,899.9,85.18,1.04,825.79,32.64,6.87,22.84,35.09,3.38,65.65,728.62,14-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Apr-2020 - 00:00,31.89,998.38,40.44,-0.47,176.24,0.47,607.76,98.66,1.01,471.37,49.62,12.87,36.57,16.12,3.53,42.71,494.28,15-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Apr-2020 - 00:00,31.3,997.0,43.88,-0.52,157.58,0.88,382.68,88.04,0.97,366.26,35.61,12.08,27.91,6.17,3.1,57.78,390.85,16-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Apr-2020 - 00:00,30.92,996.17,50.88,-0.51,156.13,0.8,384.47,90.53,1.01,379.0,37.41,7.35,25.66,6.08,3.56,39.53,387.27,17-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Apr-2020 - 00:00,31.59,996.33,43.85,-0.41,222.89,0.84,389.57,99.58,1.03,484.95,39.23,8.14,27.34,7.04,4.82,49.26,493.66,18-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Apr-2020 - 00:00,31.76,997.16,36.67,-0.42,204.06,0.78,393.8,62.4,1.0,274.3,20.02,4.39,14.15,38.55,3.48,32.06,203.29,19-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Apr-2020 - 00:00,31.86,996.88,39.74,-0.46,105.96,0.73,380.87,79.84,0.97,726.0,25.81,4.96,17.63,37.88,4.5,32.71,659.28,20-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
