from date,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,MP-Xylene,to date,station
01-May-2020 - 00:00,134.44,53.48,97.79,5.68,20.03,15.19,94.91,29.83,0.59,0.74,0.0,187.69,78.85,16.41,14.69,3.64,0.79,02-May-2020 - 00:00,"DTU, Delhi - CPCB"
02-May-2020 - 00:00,144.83,52.18,97.5,5.44,14.69,12.16,123.27,29.1,0.27,1.18,0.0,119.64,34.0,14.56,11.7,1.92,0.61,03-May-2020 - 00:00,"DTU, Delhi - CPCB"
03-May-2020 - 00:00,154.83,60.91,67.41,5.51,15.31,12.55,99.03,26.78,0.28,1.04,0.03,91.75,33.36,13.94,10.81,1.99,0.45,04-May-2020 - 00:00,"DTU, Delhi - CPCB"
04-May-2020 - 00:00,106.93,58.3,111.47,5.66,14.67,12.35,96.4,26.73,0.24,0.79,0.0,56.61,29.13,12.96,11.09,1.06,0.24,05-May-2020 - 00:00,"DTU, Delhi - CPCB"
05-May-2020 - 00:00,166.51,50.4,109.53,5.77,19.55,15.01,85.79,28.86,0.46,0.65,0.0,127.81,56.38,14.1,13.31,2.09,0.58,06-May-2020 - 00:00,"DTU, Delhi - CPCB"
06-May-2020 - 00:00,126.29,46.94,91.52,5.54,18.74,14.42,88.25,28.0,0.57,0.63,0.0,204.45,71.02,14.62,15.94,2.92,0.91,07-May-2020 - 00:00,"DTU, Delhi - CPCB"
07-May-2020 - 00:00,133.09,43.75,111.03,5.44,15.83,12.77,115.02,28.33,0.33,0.72,0.01,85.9,35.13,11.77,12.06,2.36,1.26,08-May-2020 - 00:00,"DTU, Delhi - CPCB"
08-May-2020 - 00:00,160.19,44.19,108.14,5.62,20.66,15.49,104.28,30.25,0.52,0.63,0.0,134.26,52.43,13.61,13.16,2.82,1.53,09-May-2020 - 00:00,"DTU, Delhi - CPCB"
09-May-2020 - 00:00,164.2,45.06,101.51,5.36,16.9,13.27,129.47,31.51,0.46,0.84,0.0,131.52,52.1,13.56,13.05,2.97,1.24,10-May-2020 - 00:00,"DTU, Delhi - CPCB"
10-May-2020 - 00:00,140.93,53.62,62.83,5.51,16.66,13.27,112.25,26.85,0.38,1.17,0.0,101.58,43.68,10.0,10.6,2.29,1.15,11-May-2020 - 00:00,"DTU, Delhi - CPCB"
11-May-2020 - 00:00,146.08,54.15,110.68,5.37,20.42,15.0,108.26,27.76,0.48,0.7,0.0,102.68,45.19,6.67,11.91,2.83,1.34,12-May-2020 - 00:00,"DTU, Delhi - CPCB"
12-May-2020 - 00:00,110.92,50.66,82.84,5.45,18.43,13.91,114.44,28.97,0.47,0.79,0.0,118.72,52.14,6.26,13.69,2.63,1.39,13-May-2020 - 00:00,"DTU, Delhi - CPCB"
13-May-2020 - 00:00,178.3,54.92,58.28,6.12,23.33,17.18,78.3,28.2,0.73,0.56,0.0,213.89,89.74,7.56,14.49,3.21,1.42,14-May-2020 - 00:00,"DTU, Delhi - CPCB"
14-May-2020 - 00:00,178.53,55.47,99.11,6.87,23.46,17.97,80.16,28.95,0.54,0.67,0.11,172.35,72.14,7.85,12.01,3.09,1.81,15-May-2020 - 00:00,"DTU, Delhi - CPCB"
15-May-2020 - 00:00,252.43,46.88,121.89,8.02,25.4,18.96,81.35,29.3,0.4,0.56,0.03,134.15,56.91,8.58,13.57,1.73,1.41,16-May-2020 - 00:00,"DTU, Delhi - CPCB"
16-May-2020 - 00:00,239.66,39.74,119.42,5.34,21.96,15.2,95.12,30.0,0.58,0.49,0.0,197.82,90.09,6.93,16.82,2.17,1.37,17-May-2020 - 00:00,"DTU, Delhi - CPCB"
17-May-2020 - 00:00,233.8,38.58,103.53,5.65,26.97,17.88,82.29,30.43,0.83,0.57,0.0,259.15,122.49,8.1,19.37,2.97,1.62,18-May-2020 - 00:00,"DTU, Delhi - CPCB"
18-May-2020 - 00:00,238.2,35.54,111.79,6.23,26.91,18.53,83.02,30.4,0.76,0.55,0.0,291.66,128.36,8.3,24.13,4.12,1.78,19-May-2020 - 00:00,"DTU, Delhi - CPCB"
19-May-2020 - 00:00,165.79,34.18,111.85,6.22,32.4,18.43,82.91,30.14,0.9,0.61,0.0,279.61,131.42,9.4,20.34,4.16,2.05,20-May-2020 - 00:00,"DTU, Delhi - CPCB"
20-May-2020 - 00:00,216.7,28.95,144.58,5.32,21.06,10.12,113.28,31.1,0.35,0.54,0.0,212.38,72.64,6.7,24.97,3.47,1.56,21-May-2020 - 00:00,"DTU, Delhi - CPCB"
21-May-2020 - 00:00,263.1,28.55,127.68,5.73,22.17,10.76,107.12,31.57,0.34,0.67,0.0,225.75,62.17,7.13,22.42,2.67,1.22,22-May-2020 - 00:00,"DTU, Delhi - CPCB"
22-May-2020 - 00:00,195.91,31.41,121.58,6.09,41.12,19.57,91.17,32.65,0.8,0.53,0.0,296.36,121.37,11.7,32.61,4.36,1.61,23-May-2020 - 00:00,"DTU, Delhi - CPCB"
23-May-2020 - 00:00,222.94,32.98,112.37,11.65,40.29,21.32,43.43,33.57,0.7,0.56,0.0,293.93,92.01,13.0,17.65,6.57,2.79,24-May-2020 - 00:00,"DTU, Delhi - CPCB"
24-May-2020 - 00:00,197.39,29.02,125.17,5.44,15.6,10.35,70.2,34.7,0.33,0.51,0.0,237.64,64.46,5.64,16.43,4.59,1.12,25-May-2020 - 00:00,"DTU, Delhi - CPCB"
25-May-2020 - 00:00,265.37,30.27,129.36,6.93,20.89,12.14,77.51,33.73,0.35,0.76,0.0,242.88,77.44,7.28,20.69,3.48,1.04,26-May-2020 - 00:00,"DTU, Delhi - CPCB"
26-May-2020 - 00:00,224.49,28.46,130.05,6.81,24.05,12.48,65.8,34.84,0.42,0.83,0.0,284.09,81.56,7.87,17.93,3.69,1.35,27-May-2020 - 00:00,"DTU, Delhi - CPCB"
27-May-2020 - 00:00,150.01,30.68,113.7,5.6,19.9,10.88,86.91,34.29,0.29,0.98,0.0,211.22,46.6,6.61,13.26,2.66,1.11,28-May-2020 - 00:00,"DTU, Delhi - CPCB"
28-May-2020 - 00:00,147.44,47.3,102.36,5.52,13.56,8.34,76.11,30.64,0.2,1.46,0.01,247.17,40.19,5.26,7.16,1.62,0.75,29-May-2020 - 00:00,"DTU, Delhi - CPCB"
29-May-2020 - 00:00,142.65,57.38,112.26,5.67,16.65,9.31,67.4,27.72,0.16,1.36,0.02,72.84,24.8,5.99,6.41,1.44,0.66,30-May-2020 - 00:00,"DTU, Delhi - CPCB"
30-May-2020 - 00:00,174.11,55.25,143.48,5.66,15.55,9.4,63.16,28.72,0.17,0.71,0.0,58.18,25.06,5.8,6.43,1.31,0.78,31-May-2020 - 00:00,"DTU, Delhi - CPCB"
31-May-2020 - 00:00,139.06,71.9,86.56,5.58,14.23,9.13,58.89,25.23,0.17,0.77,0.58,46.1,25.72,5.46,6.33,1.25,0.8,01-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
01-Jun-2020 - 00:00,96.65,66.01,141.62,6.22,17.58,11.19,57.66,26.66,0.28,0.69,0.0,93.57,42.45,6.36,6.68,1.42,0.75,02-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
02-Jun-2020 - 00:00,175.77,63.71,126.27,5.98,19.5,11.77,42.21,28.11,0.35,0.59,0.15,112.84,54.92,6.82,6.51,2.39,1.05,03-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
03-Jun-2020 - 00:00,144.8,56.6,115.82,7.67,28.81,14.46,28.28,28.98,0.35,0.52,0.0,121.36,53.65,14.69,8.69,2.73,1.01,04-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
04-Jun-2020 - 00:00,143.65,65.12,72.13,7.67,35.54,18.6,71.66,27.97,0.51,0.64,0.08,160.76,72.8,28.73,14.55,3.8,1.8,05-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
05-Jun-2020 - 00:00,166.83,65.08,86.77,8.77,34.66,17.65,68.82,29.08,0.38,0.54,0.0,108.14,50.4,27.04,10.96,2.79,1.1,06-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
06-Jun-2020 - 00:00,141.63,57.43,130.85,5.69,24.18,12.44,101.35,31.22,0.29,0.63,0.0,88.74,36.8,24.34,11.09,2.25,1.11,07-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
07-Jun-2020 - 00:00,114.16,58.74,111.21,5.93,24.03,11.47,92.94,30.46,0.2,0.74,0.0,88.5,35.91,23.24,10.97,2.04,0.96,08-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
08-Jun-2020 - 00:00,126.76,54.6,127.6,5.65,21.56,12.31,100.2,32.28,0.28,0.5,0.0,146.12,48.67,21.49,12.64,1.86,1.37,09-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
09-Jun-2020 - 00:00,121.34,52.47,124.99,7.08,29.18,21.18,77.21,33.89,0.56,0.55,0.0,186.94,65.92,23.69,12.09,2.64,1.46,10-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
10-Jun-2020 - 00:00,181.23,51.38,113.75,7.4,28.92,21.31,68.07,34.19,0.57,0.66,0.0,238.18,66.16,23.92,13.94,3.44,1.65,11-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
11-Jun-2020 - 00:00,120.47,53.5,124.56,7.52,24.13,18.49,81.98,33.85,0.45,0.54,0.0,166.79,55.58,21.45,13.13,2.25,1.69,12-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
12-Jun-2020 - 00:00,159.8,52.67,110.79,5.92,26.74,18.96,85.04,34.36,0.63,0.62,0.0,167.7,63.06,19.59,12.12,2.41,1.45,13-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
13-Jun-2020 - 00:00,167.43,61.92,79.49,5.94,25.3,18.2,85.97,31.86,0.5,0.61,0.21,128.18,48.59,20.82,10.71,2.19,1.31,14-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
14-Jun-2020 - 00:00,115.22,59.6,112.49,6.49,26.54,19.31,66.06,33.14,0.71,0.55,0.0,159.86,71.3,22.41,14.6,2.79,1.41,15-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
15-Jun-2020 - 00:00,179.35,49.57,127.64,5.81,22.36,16.53,84.31,35.22,0.48,0.5,0.0,155.04,51.6,20.63,12.91,2.38,1.54,16-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
16-Jun-2020 - 00:00,155.01,47.93,118.57,5.67,23.0,16.77,100.38,35.09,0.48,0.67,0.0,121.97,38.94,21.13,12.54,2.21,1.4,17-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
17-Jun-2020 - 00:00,139.27,52.79,130.21,5.57,19.22,14.66,107.46,34.49,0.4,0.86,0.0,107.0,33.43,15.69,11.33,2.12,1.2,18-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
18-Jun-2020 - 00:00,142.06,49.62,128.37,5.59,20.42,15.3,104.59,35.53,0.39,0.61,0.0,113.46,34.18,6.89,12.08,1.74,1.06,19-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
19-Jun-2020 - 00:00,124.75,54.13,105.27,5.79,18.88,14.51,94.33,35.07,0.43,0.84,0.0,236.64,57.96,6.58,10.94,2.07,1.06,20-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
20-Jun-2020 - 00:00,190.95,63.16,75.35,7.99,24.07,19.2,74.53,31.21,0.36,0.69,0.24,114.71,40.06,8.43,10.52,2.33,0.25,21-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
21-Jun-2020 - 00:00,145.43,65.33,81.14,6.5,26.46,19.27,78.76,31.18,0.52,0.5,0.08,111.76,46.07,8.47,10.69,,-0.01,22-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
22-Jun-2020 - 00:00,169.43,63.44,123.65,6.25,22.33,16.88,83.03,32.05,0.47,0.47,0.16,97.73,43.33,7.5,10.07,4.59,0.65,23-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
23-Jun-2020 - 00:00,124.08,64.21,112.17,5.74,16.96,13.61,65.97,32.1,0.34,0.8,0.0,75.55,31.92,6.12,9.8,5.21,0.03,24-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
24-Jun-2020 - 00:00,138.63,67.6,106.3,5.83,17.55,14.0,66.02,31.44,0.4,0.73,0.03,81.03,37.28,6.23,9.75,2.2,1.48,25-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
25-Jun-2020 - 00:00,152.1,67.01,109.78,6.44,20.1,15.84,59.22,31.88,0.42,0.55,0.01,119.55,47.26,6.99,10.65,3.23,1.86,26-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
26-Jun-2020 - 00:00,224.68,64.26,100.37,6.68,22.19,17.14,55.36,32.45,0.47,0.58,0.0,173.58,61.01,7.51,10.97,3.35,1.92,27-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
27-Jun-2020 - 00:00,283.68,57.39,88.46,7.21,20.46,16.49,42.04,33.33,0.43,0.76,0.0,239.74,52.89,7.26,12.46,2.79,1.95,28-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
28-Jun-2020 - 00:00,246.14,54.05,106.59,7.55,16.92,14.83,39.48,34.68,0.48,0.81,0.0,421.47,74.48,6.63,12.0,2.28,2.17,29-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
29-Jun-2020 - 00:00,181.36,55.95,110.42,6.18,17.91,14.48,48.47,33.69,0.32,0.88,0.0,227.03,51.78,6.37,11.86,1.84,2.59,30-Jun-2020 - 00:00,"DTU, Delhi - CPCB"
30-Jun-2020 - 00:00,134.34,63.48,112.01,5.68,18.34,14.29,82.81,32.8,0.4,0.7,0.0,112.8,45.27,6.34,10.14,1.51,2.06,01-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
01-Jul-2020 - 00:00,137.7,57.78,111.03,5.71,18.53,14.42,83.19,34.2,0.47,0.57,0.0,135.05,52.8,6.39,10.12,1.52,2.05,02-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
02-Jul-2020 - 00:00,128.68,57.28,106.78,5.56,19.38,14.76,97.46,34.7,0.56,0.67,0.0,152.18,63.62,6.52,9.67,1.61,1.98,03-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
03-Jul-2020 - 00:00,155.41,56.41,96.28,5.78,20.57,15.57,96.46,34.98,0.56,0.83,0.0,167.28,62.37,6.87,9.38,2.0,2.07,04-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
04-Jul-2020 - 00:00,144.41,61.47,107.79,5.56,17.0,13.49,81.79,33.31,0.42,0.79,0.0,105.36,44.58,6.02,9.38,1.63,1.85,05-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
05-Jul-2020 - 00:00,79.3,71.44,99.87,5.34,12.08,10.69,95.55,29.57,0.23,0.9,0.41,47.56,22.04,4.92,9.74,0.9,1.79,06-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
06-Jul-2020 - 00:00,110.48,69.5,103.27,5.74,20.76,15.64,70.55,31.32,0.51,0.81,0.0,88.64,47.58,6.8,9.72,1.59,2.02,07-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
07-Jul-2020 - 00:00,118.92,72.51,94.59,6.3,17.48,14.35,48.34,30.22,0.32,0.89,0.03,55.74,22.5,6.34,9.56,1.04,1.93,08-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
08-Jul-2020 - 00:00,162.82,73.38,74.11,6.17,16.72,13.83,55.42,30.39,0.23,0.68,0.0,58.94,25.32,6.05,6.6,0.96,2.09,09-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
09-Jul-2020 - 00:00,197.78,64.43,117.04,6.73,21.18,16.41,62.9,33.17,0.36,0.46,0.0,110.54,39.72,7.21,6.33,1.58,2.6,10-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
10-Jul-2020 - 00:00,267.33,59.03,119.24,5.96,16.99,13.8,63.22,34.04,0.17,0.65,0.0,127.19,31.72,6.08,6.36,1.15,2.7,11-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
11-Jul-2020 - 00:00,155.03,67.26,101.53,5.58,15.29,12.6,79.91,31.71,0.56,0.67,0.12,73.72,23.06,5.58,6.53,0.88,2.42,12-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
12-Jul-2020 - 00:00,156.2,69.16,92.56,5.78,15.15,12.68,71.93,30.15,1.04,0.64,0.05,56.0,20.62,5.64,6.92,1.29,2.47,13-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
13-Jul-2020 - 00:00,177.0,62.56,128.32,6.21,15.07,12.97,59.08,32.31,0.34,0.5,0.0,156.84,35.96,5.73,8.14,1.08,2.82,14-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
14-Jul-2020 - 00:00,147.54,60.43,119.26,8.34,17.64,16.05,64.41,33.67,0.2,0.63,0.0,182.97,46.87,6.96,6.66,0.95,2.41,15-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
15-Jul-2020 - 00:00,105.34,63.15,107.37,5.49,12.91,11.26,83.04,32.59,0.24,0.99,0.0,110.71,41.51,5.07,6.2,1.19,1.92,16-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
16-Jul-2020 - 00:00,124.46,65.01,86.24,5.66,14.41,12.2,64.95,32.4,0.23,0.73,0.0,75.46,33.08,5.38,6.09,1.09,1.79,17-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
17-Jul-2020 - 00:00,148.66,69.93,82.28,5.68,16.37,13.25,60.53,32.11,0.35,0.5,0.06,85.06,44.54,5.81,6.21,1.26,2.23,18-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
18-Jul-2020 - 00:00,123.61,71.44,80.65,5.97,17.06,13.85,56.98,31.58,0.42,0.84,0.0,88.17,39.98,6.02,6.04,1.54,2.03,19-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
19-Jul-2020 - 00:00,213.16,76.85,75.2,7.47,16.36,14.68,50.05,30.48,0.5,0.47,0.79,47.07,20.75,6.38,7.31,1.39,2.36,20-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
20-Jul-2020 - 00:00,237.76,73.12,67.1,5.77,19.76,15.12,67.42,29.55,0.36,0.54,0.05,52.55,18.28,6.52,7.16,1.9,2.82,21-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
21-Jul-2020 - 00:00,160.49,80.7,72.35,6.2,19.34,15.25,59.21,27.95,0.32,0.55,0.17,38.23,19.82,6.65,7.01,1.53,2.94,22-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
22-Jul-2020 - 00:00,161.03,83.65,45.71,7.57,19.93,16.54,38.49,27.93,0.43,0.48,0.13,51.27,29.61,7.19,7.16,1.77,3.11,23-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
23-Jul-2020 - 00:00,237.47,71.22,109.53,8.62,20.19,17.64,45.73,30.65,0.5,0.53,0.0,91.19,37.76,7.55,7.23,1.8,3.3,24-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
24-Jul-2020 - 00:00,132.68,71.59,90.08,6.72,22.03,17.1,62.03,30.88,0.49,0.56,0.08,114.1,59.47,7.38,7.74,2.14,3.24,25-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
25-Jul-2020 - 00:00,117.4,74.27,94.46,6.23,17.68,14.39,51.0,30.61,0.36,0.73,0.0,64.08,35.22,6.28,7.42,1.42,2.28,26-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
26-Jul-2020 - 00:00,153.88,70.09,104.93,7.16,23.66,18.32,72.0,32.04,0.62,0.57,0.0,,44.33,7.82,7.44,1.92,2.7,27-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
27-Jul-2020 - 00:00,252.14,65.01,114.25,6.77,24.53,18.47,60.46,33.39,0.64,0.59,0.0,216.59,36.06,7.94,7.32,2.41,3.51,28-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
28-Jul-2020 - 00:00,246.47,63.79,107.4,6.91,15.09,13.46,52.68,33.41,0.18,0.65,0.0,205.07,36.13,5.94,7.41,1.22,2.33,29-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
29-Jul-2020 - 00:00,183.73,65.42,78.72,7.14,23.92,18.42,48.75,31.58,0.52,0.61,0.0,112.05,27.93,7.8,7.41,1.34,2.61,30-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
30-Jul-2020 - 00:00,158.34,74.8,78.82,6.54,19.25,15.47,54.59,29.6,0.3,0.56,0.02,51.12,18.78,6.67,7.26,1.31,2.14,31-Jul-2020 - 00:00,"DTU, Delhi - CPCB"
31-Jul-2020 - 00:00,110.41,73.04,92.88,8.74,26.07,20.86,60.27,31.44,0.56,0.59,0.01,93.36,44.24,8.22,7.26,1.88,2.14,01-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
01-Aug-2020 - 00:00,157.52,74.84,95.06,6.53,20.98,16.28,65.42,30.72,0.47,0.56,0.2,74.9,35.83,6.58,7.25,1.91,2.24,02-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
02-Aug-2020 - 00:00,217.44,68.11,108.68,10.44,19.85,18.91,50.37,32.44,0.33,0.52,0.0,79.09,24.85,7.45,13.05,1.27,2.42,03-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
03-Aug-2020 - 00:00,259.84,64.85,97.13,7.03,13.63,12.87,80.51,33.13,0.25,0.61,0.0,91.48,28.78,5.3,11.99,1.16,3.16,04-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
04-Aug-2020 - 00:00,161.2,64.83,96.11,6.08,14.66,12.66,82.37,32.66,0.19,0.61,0.0,85.99,25.55,5.21,8.02,0.61,1.66,05-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
05-Aug-2020 - 00:00,102.83,74.39,67.76,6.17,23.54,17.45,59.56,31.0,0.54,0.65,0.04,93.66,41.36,6.85,7.58,1.61,1.68,06-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
06-Aug-2020 - 00:00,91.74,64.98,103.83,5.69,15.28,12.68,34.58,32.35,0.27,1.26,0.0,71.31,23.69,5.23,8.23,1.1,1.4,07-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
07-Aug-2020 - 00:00,120.9,67.33,82.13,5.82,19.71,15.13,39.95,31.68,0.36,0.72,0.0,68.83,27.44,6.05,14.27,0.88,1.24,08-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
08-Aug-2020 - 00:00,103.87,67.64,77.84,9.71,20.18,18.51,41.63,32.9,0.52,0.52,0.0,148.85,57.28,7.35,19.91,2.28,1.57,09-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
09-Aug-2020 - 00:00,194.29,80.1,70.17,6.12,18.82,14.88,41.32,30.54,0.3,0.56,1.2,53.22,31.06,6.0,18.87,1.33,1.59,10-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
10-Aug-2020 - 00:00,153.23,76.81,77.08,6.12,21.53,16.35,13.64,31.34,0.42,0.47,0.16,67.02,39.66,6.56,18.43,1.4,1.69,11-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
11-Aug-2020 - 00:00,159.41,77.61,79.41,6.83,21.14,16.54,34.2,31.45,0.48,0.53,0.0,96.07,46.21,6.66,18.24,1.69,1.84,12-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
12-Aug-2020 - 00:00,209.11,71.7,93.77,5.86,21.16,15.79,29.86,32.12,0.41,0.57,0.0,83.06,23.21,6.39,18.27,1.09,1.64,13-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
13-Aug-2020 - 00:00,127.77,89.8,24.57,6.24,21.13,16.23,,28.0,0.48,0.56,0.89,24.77,14.97,6.5,17.78,0.99,1.56,14-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
14-Aug-2020 - 00:00,93.74,82.46,60.76,6.18,23.5,17.45,179.92,29.46,0.38,0.61,0.01,45.29,24.38,6.85,17.38,1.35,1.98,15-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
15-Aug-2020 - 00:00,154.71,73.68,83.33,6.54,19.4,15.56,176.47,31.66,0.39,0.48,0.0,63.2,34.9,6.26,17.11,1.27,1.74,16-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
16-Aug-2020 - 00:00,168.02,71.27,86.14,6.48,21.71,16.74,137.11,32.12,0.39,0.48,0.0,45.69,22.39,6.62,16.72,0.99,2.06,17-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
17-Aug-2020 - 00:00,160.76,78.84,56.19,9.32,22.77,19.57,64.2,30.79,0.66,0.49,0.0,59.54,30.29,7.55,16.96,1.47,2.29,18-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
18-Aug-2020 - 00:00,212.85,76.78,62.26,12.15,24.72,22.86,45.27,31.15,0.71,0.54,0.01,90.4,36.07,8.46,16.21,3.41,3.26,19-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
19-Aug-2020 - 00:00,177.14,88.15,17.4,13.64,27.27,25.12,37.32,27.95,0.73,0.56,0.2,45.6,22.53,9.18,16.25,2.23,3.88,20-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
20-Aug-2020 - 00:00,121.48,84.48,54.4,7.14,22.58,17.71,43.44,28.25,0.45,0.57,0.34,37.87,20.72,6.66,16.08,2.35,3.92,21-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
21-Aug-2020 - 00:00,95.33,73.19,101.42,8.02,18.65,16.34,43.69,30.09,0.37,0.75,0.0,56.93,22.05,6.22,16.11,2.42,3.52,22-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
22-Aug-2020 - 00:00,83.99,70.12,100.08,6.71,11.76,11.62,42.16,30.6,0.23,1.1,0.0,52.08,19.12,4.7,15.91,1.44,2.91,23-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
23-Aug-2020 - 00:00,103.24,73.4,65.46,6.03,10.71,10.52,44.59,30.08,0.19,1.02,0.0,44.57,18.67,4.26,15.75,1.21,2.53,24-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
24-Aug-2020 - 00:00,149.04,74.17,64.06,6.91,19.42,15.85,42.92,29.97,0.32,0.58,0.01,45.79,17.65,5.95,15.81,1.15,2.63,25-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
25-Aug-2020 - 00:00,191.51,72.01,62.93,8.48,23.28,19.17,43.57,30.53,0.38,0.52,0.0,55.08,17.77,7.07,15.87,1.62,2.85,26-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
26-Aug-2020 - 00:00,218.48,69.58,90.1,9.47,19.09,17.74,39.05,31.08,0.29,0.53,0.0,129.17,24.02,6.66,15.97,1.3,2.97,27-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
27-Aug-2020 - 00:00,163.73,69.57,92.07,7.87,9.8,11.38,38.17,31.36,0.26,0.47,0.0,116.16,32.1,6.3,14.01,1.34,2.5,28-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
28-Aug-2020 - 00:00,187.45,78.78,77.2,11.08,4.86,10.7,39.07,29.82,0.51,0.44,0.18,109.9,37.91,8.99,10.35,1.99,3.04,29-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
29-Aug-2020 - 00:00,104.14,78.6,117.49,11.73,4.13,10.69,45.78,29.73,0.73,0.51,0.0,83.42,46.49,9.11,12.13,3.4,3.08,30-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"DTU, Delhi - CPCB"
31-Aug-2020 - 00:00,189.55,65.89,75.92,7.58,8.44,8.53,29.38,30.86,0.32,0.64,0.0,51.07,12.0,10.19,9.65,1.62,1.3,01-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
