from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Mar-2020 - 00:00,17.38,22.22,19.85,22.91,7.98,1.03,34.82,100.69,185.21,3.77,6.89,0.67,0.3,0.76,88.93,2.82,169.21,164.0,0.0,02-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Mar-2020 - 00:00,7.02,16.9,19.06,14.97,15.09,1.35,62.9,51.91,115.14,4.26,13.7,1.11,0.7,1.5,80.93,2.85,172.64,155.89,0.0,03-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Mar-2020 - 00:00,5.13,17.24,19.67,13.83,16.47,1.34,72.18,65.11,135.4,4.37,18.38,1.15,1.35,1.91,62.39,2.37,191.46,152.39,0.0,04-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Mar-2020 - 00:00,6.56,12.15,13.28,9.4,18.14,1.11,64.95,46.69,123.11,5.44,13.93,0.97,0.73,1.12,82.92,3.1,164.23,136.43,0.0,05-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Mar-2020 - 00:00,8.47,8.79,8.68,6.3,15.31,1.14,58.86,28.77,53.79,2.46,7.53,0.48,0.07,0.13,82.75,2.97,162.68,167.7,0.0,06-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Mar-2020 - 00:00,13.7,10.59,11.34,5.41,13.3,1.03,75.27,-26.08,32.64,1.15,5.09,0.26,0.05,0.13,91.83,2.9,162.2,133.74,0.0,07-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Mar-2020 - 00:00,9.12,8.01,13.84,2.48,13.19,1.05,43.95,31.49,69.35,1.93,8.03,0.39,0.12,0.34,81.84,2.61,174.87,152.72,0.0,08-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Mar-2020 - 00:00,13.72,9.35,14.58,4.86,13.0,1.2,31.24,27.37,58.28,2.56,11.98,0.58,0.34,0.8,77.11,3.31,238.97,171.06,0.0,09-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Mar-2020 - 00:00,19.01,10.64,11.18,7.39,12.67,1.11,49.83,24.49,71.1,1.53,8.04,0.28,0.21,0.34,67.48,4.96,284.33,171.12,0.0,10-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Mar-2020 - 00:00,17.79,12.29,17.54,6.93,14.48,1.01,32.09,44.85,90.07,2.25,11.61,0.42,0.31,0.66,67.14,3.02,181.7,155.28,0.0,11-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Mar-2020 - 00:00,17.73,10.42,11.99,6.64,14.45,0.96,43.37,35.56,86.35,2.55,8.68,0.37,0.22,0.52,78.69,4.18,167.39,163.91,0.0,12-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Mar-2020 - 00:00,17.69,10.17,11.44,6.59,14.05,1.08,61.17,51.05,148.54,1.83,10.31,0.5,0.25,0.54,58.03,3.91,179.83,169.35,0.0,13-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Mar-2020 - 00:00,19.5,9.73,9.96,6.38,14.19,1.0,64.71,44.24,163.69,2.79,9.31,0.34,0.28,0.49,35.99,3.92,213.64,167.45,0.0,14-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Mar-2020 - 00:00,20.74,9.16,8.69,6.28,15.05,1.01,64.59,32.86,107.36,1.94,12.59,0.44,0.38,0.52,74.63,4.32,248.41,149.62,0.0,15-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Mar-2020 - 00:00,18.32,9.31,10.16,6.07,14.8,1.05,65.32,49.89,123.9,2.59,13.88,0.49,1.26,1.31,71.26,3.59,187.74,159.72,0.0,16-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Mar-2020 - 00:00,21.86,9.13,8.04,6.9,15.95,1.01,75.56,37.58,93.45,1.6,9.31,0.3,0.35,0.53,60.59,3.79,238.83,157.85,0.0,17-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
