from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
05-Aug-2020 - 00:00,6.28,12.66,78.11,-2.11,756.2,113.78,25.31,1.68,96.93,,24.08,20.97,13.56,11.34,6.4,15.2,19.53,06-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Aug-2020 - 00:00,7.42,27.37,76.4,-2.25,752.68,86.67,25.58,2.32,124.02,,20.98,24.46,4.63,9.98,5.24,8.76,16.56,07-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Aug-2020 - 00:00,17.24,50.15,74.74,-1.91,748.94,125.19,27.37,0.37,130.55,,21.94,25.31,4.11,9.87,7.87,13.52,25.97,08-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Aug-2020 - 00:00,23.21,76.9,77.55,-2.16,750.43,125.06,27.66,0.41,181.96,,19.77,25.53,4.06,9.9,8.63,17.58,33.26,09-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Aug-2020 - 00:00,17.11,43.95,79.32,-1.23,751.45,98.88,26.17,0.36,120.31,,21.5,25.66,4.06,9.95,7.01,13.25,26.38,10-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Aug-2020 - 00:00,23.57,50.3,80.3,-1.07,751.04,86.16,26.13,0.67,109.78,,22.63,25.94,4.02,10.0,8.76,13.16,24.99,11-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Aug-2020 - 00:00,28.37,74.84,77.49,-0.91,750.99,109.61,27.85,0.38,133.54,,20.73,25.8,3.9,9.88,10.27,19.99,35.16,12-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Aug-2020 - 00:00,10.19,23.47,87.67,-1.15,751.34,62.32,22.2,0.66,193.78,,16.96,26.91,3.78,20.71,8.18,20.15,32.71,13-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Aug-2020 - 00:00,12.93,33.67,82.22,-2.1,751.97,125.41,25.59,0.48,132.99,,15.7,26.22,3.9,9.99,8.17,15.76,27.41,14-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Aug-2020 - 00:00,11.74,50.73,75.76,-1.71,752.9,139.51,28.65,0.64,104.77,,19.6,25.27,4.04,9.81,8.19,11.5,22.21,15-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Aug-2020 - 00:00,,44.77,74.98,-1.67,752.76,125.89,28.58,0.7,98.2,,21.9,25.66,4.13,9.99,6.67,7.11,16.54,16-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Aug-2020 - 00:00,,28.67,76.76,-2.91,752.51,102.45,26.46,1.1,89.57,,19.03,26.62,3.83,10.07,5.0,4.91,11.37,17-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Aug-2020 - 00:00,10.11,39.57,78.21,-1.89,752.51,90.21,26.74,1.11,89.77,,18.71,26.98,3.52,9.96,6.35,6.27,14.44,18-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
