from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,to date,station
28-Aug-2020 - 00:00,,27.65,11.43,92.88,45.64,,4.4,0.25,20.08,0.5,2.92,0.06,0.31,0.77,28.0,84.46,0.72,131.22,745.47,193.41,29-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
29-Aug-2020 - 00:00,,36.95,4.73,17.64,2.37,72.5,5.25,0.47,30.14,1.12,4.54,0.1,0.69,1.81,30.36,70.53,0.39,127.33,745.95,23.77,30-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
30-Aug-2020 - 00:00,,61.53,,,0.0,87.76,5.76,0.47,26.16,1.73,6.22,0.1,1.03,2.95,30.48,71.78,0.52,246.37,747.14,266.98,31-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
31-Aug-2020 - 00:00,60.46,87.8,29.04,48.13,34.79,91.76,7.62,0.62,17.82,3.33,5.21,0.1,1.62,5.05,30.44,76.68,0.75,292.71,747.61,195.52,01-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
01-Sep-2020 - 00:00,,76.34,21.83,55.46,77.33,94.8,5.9,0.61,14.7,3.0,5.8,0.1,2.1,6.45,29.99,77.89,0.91,301.78,748.2,178.19,02-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
02-Sep-2020 - 00:00,,30.77,16.47,42.86,59.34,64.86,3.76,0.42,27.76,1.3,4.58,0.1,0.87,2.42,28.65,82.32,0.68,162.5,749.38,199.74,03-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
03-Sep-2020 - 00:00,,53.18,15.89,40.39,56.28,59.66,3.91,0.41,31.65,1.46,4.91,0.1,0.56,1.51,30.04,75.18,0.54,133.88,750.3,245.95,04-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
04-Sep-2020 - 00:00,,76.99,13.05,47.46,38.44,75.0,3.72,0.55,19.63,2.05,5.55,0.09,0.96,2.78,30.88,75.52,0.35,163.6,749.17,232.33,05-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
05-Sep-2020 - 00:00,76.57,109.61,17.15,50.99,17.66,82.51,3.66,0.83,13.77,2.66,4.59,4.62,5.03,4.71,31.42,77.27,0.38,257.79,747.47,226.64,06-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
06-Sep-2020 - 00:00,23.01,81.61,,,0.0,38.27,3.92,0.62,13.06,3.76,5.11,8.09,6.95,6.8,31.01,79.39,0.53,272.02,746.85,195.2,07-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
07-Sep-2020 - 00:00,27.1,71.99,,,0.0,86.45,3.42,0.73,10.88,3.63,4.37,2.56,2.72,4.11,28.95,85.97,0.37,225.31,747.46,139.31,08-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
08-Sep-2020 - 00:00,28.92,54.16,19.88,15.77,35.73,29.42,3.62,0.69,12.93,3.58,1.59,0.12,0.84,3.17,28.41,88.95,0.35,172.35,748.11,155.02,09-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
09-Sep-2020 - 00:00,28.06,56.48,10.37,9.86,18.24,28.75,3.79,0.63,13.56,3.29,2.84,0.23,0.72,2.18,29.66,84.3,0.29,181.32,747.76,164.1,10-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
10-Sep-2020 - 00:00,40.15,,23.32,31.19,26.19,22.98,3.58,0.66,18.1,2.59,3.99,0.24,1.32,4.2,28.95,83.2,0.38,200.74,745.97,178.58,11-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
11-Sep-2020 - 00:00,10.09,,17.97,30.31,48.28,13.91,3.41,0.56,20.69,2.07,1.75,0.1,0.68,2.53,28.96,85.12,0.34,206.13,746.73,176.12,12-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
12-Sep-2020 - 00:00,8.11,,13.48,20.24,33.71,12.63,3.68,0.55,33.96,1.45,1.57,0.1,0.2,0.69,29.37,84.39,0.36,130.54,748.31,133.12,13-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
13-Sep-2020 - 00:00,12.72,,15.1,23.61,38.71,10.43,3.93,0.62,25.84,1.55,1.58,0.1,0.33,1.19,29.39,83.67,0.39,135.99,748.49,132.71,14-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
14-Sep-2020 - 00:00,9.46,,15.96,33.13,13.07,8.98,4.08,0.72,23.24,2.89,2.03,0.17,1.05,3.37,29.66,83.11,0.31,154.21,747.63,138.46,15-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
15-Sep-2020 - 00:00,280.06,,8.19,4.56,12.75,40.01,3.69,0.61,14.41,3.79,5.09,1.0,2.03,4.26,28.93,83.92,0.41,169.78,747.29,160.66,16-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
16-Sep-2020 - 00:00,84.71,,8.45,5.31,13.64,36.63,3.87,0.6,17.79,2.71,4.68,0.46,1.36,3.16,29.79,79.73,0.35,166.74,747.05,209.46,17-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
17-Sep-2020 - 00:00,21.16,,7.4,4.48,11.87,36.95,3.68,0.46,22.06,2.01,4.92,0.43,1.09,2.41,29.74,80.2,0.35,151.43,746.46,157.41,18-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
18-Sep-2020 - 00:00,131.91,,11.79,5.87,13.68,35.33,3.61,0.54,25.08,2.11,4.36,0.77,1.15,2.09,28.52,84.79,0.45,146.31,748.26,122.1,19-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
19-Sep-2020 - 00:00,164.61,,9.41,3.82,10.1,30.3,3.8,0.55,27.45,2.09,4.03,0.51,0.85,1.78,29.17,81.74,0.31,133.58,750.59,148.61,20-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
20-Sep-2020 - 00:00,36.88,,16.16,29.3,33.81,22.34,4.05,0.84,20.07,4.25,5.06,0.11,1.43,4.67,30.94,75.82,0.13,212.77,749.19,206.22,21-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
21-Sep-2020 - 00:00,31.45,,7.45,4.57,9.46,35.08,3.6,0.42,16.83,2.56,5.12,0.1,0.92,2.83,28.42,85.04,0.4,135.49,749.17,114.42,22-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
22-Sep-2020 - 00:00,16.35,,3.58,9.95,11.52,32.75,3.34,0.35,16.53,1.44,3.5,0.1,0.42,1.14,26.89,91.57,0.53,131.58,749.68,76.19,23-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
23-Sep-2020 - 00:00,17.96,,5.81,15.64,14.96,29.27,2.92,0.47,21.89,1.32,3.56,0.08,0.33,0.89,27.05,90.67,0.62,134.8,750.84,128.39,24-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
24-Sep-2020 - 00:00,38.72,,6.63,10.23,10.39,25.7,3.3,0.34,20.34,0.82,3.62,0.09,0.39,1.14,26.72,92.97,0.66,131.71,751.7,92.46,25-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
25-Sep-2020 - 00:00,30.03,,9.36,29.6,28.22,33.41,3.22,0.58,15.55,0.12,0.33,0.01,0.1,0.34,26.23,93.56,0.39,215.73,749.95,91.72,26-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
26-Sep-2020 - 00:00,35.52,,12.47,17.92,14.58,25.47,3.83,0.61,20.8,5.53,6.3,0.1,1.83,5.82,26.45,89.43,0.4,258.03,751.18,100.31,27-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
27-Sep-2020 - 00:00,48.87,,15.05,10.47,5.76,27.66,3.99,0.65,28.67,2.11,7.1,0.1,1.38,4.31,27.82,82.16,0.18,178.72,753.05,179.0,28-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
28-Sep-2020 - 00:00,80.85,,10.4,26.67,22.8,27.18,3.79,0.86,19.8,1.6,4.58,0.06,0.92,2.85,28.6,83.29,0.2,188.95,753.73,136.98,29-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
29-Sep-2020 - 00:00,92.77,,19.72,35.86,37.07,31.52,4.58,1.22,11.43,3.62,3.24,0.04,1.12,3.83,29.24,80.35,0.35,243.99,753.13,199.45,30-Sep-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
30-Sep-2020 - 00:00,65.55,,25.74,55.49,54.01,20.75,4.34,1.17,11.78,7.65,1.9,0.06,1.22,4.45,29.14,78.24,0.32,260.84,752.4,196.61,01-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
01-Oct-2020 - 00:00,142.47,,22.56,4.57,6.65,12.05,4.36,0.9,18.32,3.81,2.58,0.1,0.91,3.56,28.9,79.47,0.28,232.04,752.09,135.41,02-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
02-Oct-2020 - 00:00,90.64,,17.44,4.12,1.84,10.15,4.27,0.76,25.02,2.75,2.29,0.1,0.95,3.46,29.23,77.54,0.23,170.54,752.7,169.64,03-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
03-Oct-2020 - 00:00,69.46,,12.54,8.0,3.94,9.34,3.92,0.62,11.4,1.32,1.05,0.1,0.45,1.78,27.69,87.22,0.29,160.24,753.48,143.67,04-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
04-Oct-2020 - 00:00,52.99,,10.22,11.12,14.26,6.97,3.66,0.72,10.18,1.89,1.26,0.1,1.14,4.24,27.96,85.82,0.27,188.75,753.84,135.49,05-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
05-Oct-2020 - 00:00,69.01,,13.46,18.98,22.24,8.06,4.39,0.78,9.5,2.33,1.26,0.1,0.96,3.58,27.6,88.25,0.28,214.86,753.52,116.89,06-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
06-Oct-2020 - 00:00,66.26,,12.96,14.85,18.29,7.51,4.0,0.72,19.11,1.92,1.46,0.1,0.67,2.54,28.84,81.45,0.25,150.59,754.1,171.69,07-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
07-Oct-2020 - 00:00,86.81,,8.15,24.63,21.28,10.14,4.2,0.92,19.1,0.68,0.61,0.05,0.26,0.95,29.4,79.69,0.19,156.69,755.19,181.36,08-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
08-Oct-2020 - 00:00,143.18,,1.12,47.68,36.83,,,0.95,12.8,0.0,0.0,0.0,0.0,0.0,29.64,81.08,0.16,164.22,755.52,122.51,09-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
09-Oct-2020 - 00:00,115.49,,43.82,49.76,44.66,8.24,5.58,1.03,19.57,1.19,0.0,0.02,0.5,1.82,29.39,78.28,0.21,158.71,755.75,179.36,10-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
10-Oct-2020 - 00:00,54.15,,28.95,55.64,48.75,9.88,4.72,1.18,17.82,3.46,1.31,0.09,1.16,4.43,29.35,73.73,0.25,257.75,755.01,211.62,11-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
11-Oct-2020 - 00:00,30.17,,30.61,62.77,50.72,9.52,5.06,1.32,13.47,4.28,2.57,0.1,1.22,4.67,28.71,73.81,0.28,215.93,753.65,202.0,12-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
12-Oct-2020 - 00:00,18.55,,22.94,59.7,48.16,9.91,4.81,1.05,7.96,2.94,2.46,0.1,0.67,2.57,29.37,74.71,0.18,153.29,752.94,134.75,13-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
13-Oct-2020 - 00:00,17.75,,18.38,38.8,28.19,10.49,4.6,0.76,21.32,2.03,3.01,0.1,0.46,1.6,29.85,73.9,0.43,135.25,753.39,192.01,14-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
14-Oct-2020 - 00:00,45.29,350.27,21.67,13.81,11.95,23.86,4.4,0.8,9.58,2.79,5.94,0.1,1.03,3.21,30.09,71.44,0.35,130.93,754.17,183.66,15-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
15-Oct-2020 - 00:00,196.09,359.04,28.52,41.94,36.9,24.51,4.95,1.0,16.33,4.31,6.95,0.1,1.54,5.12,29.56,72.66,0.29,157.09,754.26,158.13,16-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
16-Oct-2020 - 00:00,153.59,343.15,31.53,54.9,48.62,13.1,5.5,1.29,21.85,4.84,3.08,0.1,1.62,5.67,29.48,74.91,0.22,170.56,754.12,141.1,17-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
17-Oct-2020 - 00:00,99.14,237.64,35.61,85.99,74.95,14.36,6.05,1.25,11.9,5.9,3.74,0.1,1.84,6.58,29.47,74.54,0.24,226.79,754.57,177.13,18-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
18-Oct-2020 - 00:00,150.34,194.27,33.46,76.81,67.61,,5.28,0.0,19.33,3.96,3.16,0.1,1.06,4.11,28.76,71.17,0.36,271.25,754.9,189.12,19-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
19-Oct-2020 - 00:00,179.06,245.26,42.67,75.66,71.51,13.85,6.37,0.42,17.21,4.95,3.46,0.1,1.5,5.51,27.86,68.7,0.3,255.05,754.54,168.83,20-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
