from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,Ozone,SO2,to date,station
11-May-2020 - 00:00,28.82,985.34,130.96,59.76,52.66,218.81,,200.82,1.72,0.49,,23.74,22.94,0.81,99.49,18.51,12-May-2020 - 00:00,"Bawana, Delhi - DPCC"
12-May-2020 - 00:00,31.01,984.95,134.75,57.33,48.06,212.73,,174.56,1.37,0.43,,22.44,20.62,0.55,104.25,19.0,13-May-2020 - 00:00,"Bawana, Delhi - DPCC"
13-May-2020 - 00:00,29.76,983.89,232.12,99.17,51.3,124.62,,162.19,0.81,0.62,,22.99,25.44,0.74,81.37,29.83,14-May-2020 - 00:00,"Bawana, Delhi - DPCC"
14-May-2020 - 00:00,30.02,983.21,177.67,87.67,53.35,218.38,,213.53,1.16,0.47,,21.9,23.92,1.07,82.51,19.46,15-May-2020 - 00:00,"Bawana, Delhi - DPCC"
15-May-2020 - 00:00,30.97,982.75,143.79,68.92,45.43,254.44,,47.73,1.58,0.39,,21.37,25.97,0.99,81.28,23.02,16-May-2020 - 00:00,"Bawana, Delhi - DPCC"
16-May-2020 - 00:00,31.3,981.5,223.36,127.46,42.29,244.48,,44.72,1.35,0.74,,26.04,31.11,0.82,88.25,29.35,17-May-2020 - 00:00,"Bawana, Delhi - DPCC"
17-May-2020 - 00:00,32.31,980.21,261.07,140.86,39.57,215.05,,163.3,0.92,1.12,,30.96,33.63,1.87,88.02,36.85,18-May-2020 - 00:00,"Bawana, Delhi - DPCC"
18-May-2020 - 00:00,32.22,979.35,237.56,127.68,38.13,240.71,104.55,93.14,0.97,0.86,,31.55,33.79,1.45,84.4,27.5,19-May-2020 - 00:00,"Bawana, Delhi - DPCC"
19-May-2020 - 00:00,33.0,978.73,288.67,147.39,33.96,243.39,110.73,110.93,1.1,0.94,,33.03,38.5,2.42,93.1,29.77,20-May-2020 - 00:00,"Bawana, Delhi - DPCC"
20-May-2020 - 00:00,31.98,978.35,225.72,94.72,33.76,268.27,,37.75,1.57,0.62,,31.72,28.73,0.75,95.84,27.76,21-May-2020 - 00:00,"Bawana, Delhi - DPCC"
21-May-2020 - 00:00,33.14,977.42,232.96,75.84,33.64,273.92,,59.36,1.57,0.53,,31.52,31.29,1.62,91.49,27.77,22-May-2020 - 00:00,"Bawana, Delhi - DPCC"
22-May-2020 - 00:00,35.12,977.51,291.71,127.31,33.69,254.34,36.48,149.71,0.91,0.84,0.23,35.22,40.3,3.13,92.97,33.73,23-May-2020 - 00:00,"Bawana, Delhi - DPCC"
23-May-2020 - 00:00,36.7,978.65,278.51,91.94,33.79,238.19,2.65,149.51,1.01,0.75,0.35,39.14,42.61,2.36,65.32,21.61,24-May-2020 - 00:00,"Bawana, Delhi - DPCC"
24-May-2020 - 00:00,37.83,979.27,233.38,63.18,31.96,253.12,124.55,100.6,1.4,0.44,,39.02,23.78,0.66,81.09,25.61,25-May-2020 - 00:00,"Bawana, Delhi - DPCC"
25-May-2020 - 00:00,36.18,978.7,212.24,78.15,34.23,255.09,123.75,114.46,1.31,0.6,,35.6,25.08,0.63,83.34,28.53,26-May-2020 - 00:00,"Bawana, Delhi - DPCC"
26-May-2020 - 00:00,37.56,977.18,267.83,85.92,32.12,265.12,114.95,146.82,1.23,0.65,,34.28,33.46,4.27,59.74,28.42,27-May-2020 - 00:00,"Bawana, Delhi - DPCC"
27-May-2020 - 00:00,37.38,975.63,218.46,46.88,33.42,216.12,123.15,159.06,1.39,0.4,,34.4,25.73,0.63,101.65,16.41,28-May-2020 - 00:00,"Bawana, Delhi - DPCC"
28-May-2020 - 00:00,33.19,977.34,274.25,40.96,45.57,207.03,112.4,193.15,3.12,0.43,,28.47,19.63,0.76,89.94,14.14,29-May-2020 - 00:00,"Bawana, Delhi - DPCC"
29-May-2020 - 00:00,27.3,980.05,78.43,33.38,57.79,16.14,139.88,195.96,2.53,0.68,,23.3,23.38,0.57,63.11,18.44,30-May-2020 - 00:00,"Bawana, Delhi - DPCC"
30-May-2020 - 00:00,29.55,982.42,71.54,30.0,54.29,247.18,,231.21,1.86,1.22,,22.98,20.04,0.75,83.01,11.95,31-May-2020 - 00:00,"Bawana, Delhi - DPCC"
31-May-2020 - 00:00,23.85,983.99,67.6,,72.83,5.7,,166.71,2.3,0.51,,30.34,16.81,0.64,76.64,11.66,01-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Jun-2020 - 00:00,30.55,983.09,128.77,65.0,53.77,116.51,108.35,140.32,0.83,1.19,,29.58,27.42,0.64,69.76,7.66,02-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Jun-2020 - 00:00,29.57,983.06,120.83,60.17,58.2,244.78,103.5,147.05,1.37,1.38,,32.54,25.55,1.17,73.81,16.08,03-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Jun-2020 - 00:00,31.08,981.08,141.02,58.77,51.62,264.6,141.96,138.37,1.03,0.77,,27.85,27.62,1.19,78.55,19.32,04-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Jun-2020 - 00:00,28.9,980.12,204.27,97.77,57.39,146.39,118.29,147.31,1.19,0.85,,27.53,32.96,2.83,62.87,20.55,05-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Jun-2020 - 00:00,28.02,980.21,111.72,53.57,60.04,191.54,104.05,181.97,1.11,0.62,,24.82,28.48,1.15,65.38,15.82,06-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Jun-2020 - 00:00,30.74,979.57,126.18,52.9,54.9,248.38,,200.5,1.33,0.58,,24.11,25.76,1.23,91.1,15.31,07-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Jun-2020 - 00:00,29.9,979.43,120.17,52.88,55.79,209.28,108.56,148.15,1.42,0.57,,23.09,25.65,1.26,71.85,16.86,08-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Jun-2020 - 00:00,31.88,978.94,147.68,57.42,52.85,253.16,126.96,143.93,1.25,0.45,,23.94,25.62,1.0,76.04,19.23,09-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Jun-2020 - 00:00,34.24,978.72,199.93,72.24,49.42,244.42,121.24,162.04,0.99,0.63,,25.38,32.72,2.16,72.18,17.13,10-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Jun-2020 - 00:00,34.37,978.13,189.87,62.88,48.96,234.02,,231.52,1.07,0.59,,23.54,32.6,2.8,57.84,18.42,11-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Jun-2020 - 00:00,34.64,977.03,169.08,56.42,49.55,250.63,130.62,134.0,0.95,0.51,,22.69,25.41,1.61,61.22,17.19,12-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Jun-2020 - 00:00,33.87,975.83,212.21,73.96,52.85,203.12,147.19,195.94,1.16,0.81,,23.38,34.16,1.56,48.55,18.02,13-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Jun-2020 - 00:00,34.47,976.66,188.87,61.67,48.79,45.13,190.62,138.81,1.12,0.8,,19.85,38.71,1.18,60.16,17.19,15-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Jun-2020 - 00:00,36.16,976.0,160.38,58.12,46.81,251.75,140.39,148.46,1.06,0.52,,20.92,24.63,1.19,66.56,18.81,16-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Jun-2020 - 00:00,35.98,973.71,167.12,52.08,46.14,243.98,113.9,207.21,1.37,0.6,,20.05,27.34,0.92,80.12,15.51,17-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Jun-2020 - 00:00,35.15,973.38,141.96,45.38,50.4,241.26,,198.45,1.94,0.46,,28.27,25.15,1.01,68.93,10.31,18-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Jun-2020 - 00:00,36.15,973.99,141.04,42.47,48.16,256.86,,198.76,1.45,0.48,,15.37,19.24,1.31,21.74,10.04,19-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Jun-2020 - 00:00,36.16,975.74,287.58,59.42,50.63,202.36,,184.84,1.71,0.47,,13.61,17.32,1.17,12.07,10.93,20-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Jun-2020 - 00:00,30.69,977.64,122.0,36.1,59.63,140.93,,194.49,1.4,0.45,,10.69,18.7,1.51,7.43,10.61,21-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Jun-2020 - 00:00,30.68,977.52,128.31,,61.64,152.23,,198.71,1.0,0.71,,10.6,23.02,1.96,7.88,9.94,22-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Jun-2020 - 00:00,31.49,977.37,106.0,55.72,60.18,244.82,140.58,139.6,1.18,1.13,,19.38,21.25,1.43,20.77,10.81,23-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Jun-2020 - 00:00,32.28,979.21,96.78,36.99,60.2,242.86,,184.73,1.75,0.77,,39.59,19.4,1.62,11.16,10.67,24-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Jun-2020 - 00:00,31.41,980.2,99.07,41.11,62.67,190.69,,190.98,1.67,0.64,,33.22,19.53,1.5,17.55,12.41,25-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Jun-2020 - 00:00,31.67,977.97,133.22,51.98,61.7,200.79,,173.16,0.94,0.63,,28.82,23.35,2.02,18.36,13.29,26-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Jun-2020 - 00:00,32.19,976.92,143.99,56.27,60.15,196.16,116.9,167.52,0.99,0.73,,26.19,25.42,2.15,16.65,13.79,27-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Jun-2020 - 00:00,33.62,975.67,219.54,46.04,54.91,173.99,,203.15,1.32,0.81,,23.96,23.22,2.01,12.2,15.56,28-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Jun-2020 - 00:00,35.63,974.89,391.29,54.29,50.81,214.31,,172.68,1.28,0.77,,22.03,26.68,2.77,11.15,13.33,29-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Jun-2020 - 00:00,34.4,976.91,219.04,43.71,52.02,208.86,159.85,152.69,1.5,0.58,,20.76,23.49,1.87,17.98,10.99,30-Jun-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Jun-2020 - 00:00,32.94,978.33,143.33,53.83,59.55,221.22,,186.94,1.68,0.61,,20.4,21.82,1.08,35.82,11.57,01-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Jul-2020 - 00:00,34.31,976.97,168.92,61.67,55.83,215.82,,196.17,1.36,0.59,,20.98,21.16,1.22,36.55,8.14,02-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Jul-2020 - 00:00,35.75,974.7,190.38,70.33,53.26,199.85,135.5,169.07,1.03,0.79,,23.74,24.17,1.28,46.3,2.93,03-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Jul-2020 - 00:00,35.86,974.15,204.29,74.25,52.54,193.57,157.9,206.69,1.48,0.78,,22.16,23.09,1.06,55.37,2.49,04-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Jul-2020 - 00:00,33.53,974.61,134.04,52.29,57.7,203.86,,202.87,2.16,0.64,,21.18,19.39,0.95,64.47,3.1,05-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Jul-2020 - 00:00,29.05,975.77,63.54,30.62,65.99,196.09,128.93,155.75,1.73,0.46,,20.24,16.55,0.81,74.89,3.37,06-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Jul-2020 - 00:00,31.31,975.03,110.5,56.42,63.78,208.1,123.45,182.59,1.35,0.71,,21.17,22.62,1.21,49.26,3.73,07-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Jul-2020 - 00:00,29.89,977.87,78.11,35.47,66.93,189.92,112.05,181.14,2.08,0.52,,20.25,18.05,1.56,27.74,4.57,08-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Jul-2020 - 00:00,29.6,979.04,62.74,32.96,70.14,154.72,116.5,195.54,1.63,0.46,,17.84,18.51,1.56,26.3,3.48,09-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Jul-2020 - 00:00,32.67,975.85,87.17,44.51,62.16,240.52,,185.61,0.79,0.59,,20.23,21.53,1.98,42.93,3.31,10-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Jul-2020 - 00:00,34.03,973.53,89.43,32.34,57.64,217.58,175.8,170.85,1.12,0.56,,22.17,20.32,1.7,37.98,5.71,11-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Jul-2020 - 00:00,30.93,974.82,67.81,25.7,63.25,211.94,,186.46,1.56,0.34,,23.01,17.22,1.04,52.5,6.5,12-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Jul-2020 - 00:00,29.24,976.36,80.5,34.38,65.68,151.73,130.01,128.24,1.67,0.39,,18.69,17.61,1.33,53.04,2.9,13-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Jul-2020 - 00:00,31.82,976.12,136.46,34.0,60.02,248.2,129.06,125.15,0.98,0.39,,17.55,16.57,1.22,55.1,3.18,14-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Jul-2020 - 00:00,33.7,976.91,180.83,43.46,57.97,236.32,154.32,188.88,1.03,0.54,,17.34,20.06,2.64,61.91,2.32,15-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Jul-2020 - 00:00,32.93,977.47,137.04,45.32,59.58,211.59,118.7,172.42,1.68,0.67,,17.53,15.77,1.07,54.48,3.08,16-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Jul-2020 - 00:00,33.55,975.94,115.24,43.19,58.53,204.54,,169.06,1.54,0.72,,41.63,21.01,1.36,28.06,5.21,17-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Jul-2020 - 00:00,31.41,977.25,99.0,56.88,67.21,160.27,198.79,191.82,1.47,4.25,,45.33,19.64,1.43,25.55,5.74,18-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Jul-2020 - 00:00,31.26,978.33,92.91,49.09,68.6,156.19,,172.85,1.34,0.46,,39.35,19.47,1.91,14.54,4.12,19-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Jul-2020 - 00:00,29.73,977.09,59.11,30.0,70.64,148.61,,187.78,1.01,3.89,,37.06,20.19,1.67,19.78,3.37,20-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Jul-2020 - 00:00,28.39,975.43,58.65,23.71,69.24,120.95,111.54,166.39,1.06,3.12,,33.29,20.54,1.51,35.78,3.69,21-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Jul-2020 - 00:00,26.41,978.31,49.91,26.11,74.55,120.02,121.89,179.52,1.46,2.56,,32.37,21.41,1.46,28.53,3.91,22-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Jul-2020 - 00:00,26.6,979.45,58.46,33.11,76.68,81.18,144.61,139.57,0.91,4.84,,29.57,23.9,2.52,5.38,5.83,23-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Jul-2020 - 00:00,29.78,978.57,92.12,40.62,66.92,231.4,101.5,172.68,0.67,3.71,,30.16,26.03,3.97,28.43,2.52,24-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Jul-2020 - 00:00,30.2,981.19,118.34,53.79,66.66,183.3,128.3,181.24,1.3,5.9,,31.79,21.04,1.67,31.51,6.93,25-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Jul-2020 - 00:00,30.54,982.84,81.86,39.03,67.97,210.21,110.0,174.86,1.28,3.31,,29.61,18.11,1.6,15.5,7.72,26-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Jul-2020 - 00:00,31.7,982.46,118.46,53.48,64.43,221.22,,201.08,0.93,1.48,,28.73,21.59,1.86,36.98,7.9,27-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Jul-2020 - 00:00,33.43,979.77,117.62,47.0,61.16,250.37,,166.59,0.98,,,28.59,25.21,2.39,19.77,6.98,28-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Jul-2020 - 00:00,33.41,977.57,100.55,29.05,60.96,225.07,101.6,165.61,1.05,2.53,,29.76,22.04,2.39,17.71,6.92,29-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Jul-2020 - 00:00,30.83,978.0,107.4,27.9,62.52,180.93,115.25,189.89,1.33,0.5,,27.54,23.79,1.98,18.49,6.52,30-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Jul-2020 - 00:00,28.42,980.02,60.77,23.9,70.54,130.97,123.0,166.72,1.21,1.54,,26.05,20.01,1.57,20.43,7.14,31-Jul-2020 - 00:00,"Bawana, Delhi - DPCC"
31-Jul-2020 - 00:00,31.18,979.19,98.9,46.22,66.72,192.63,,189.14,1.03,0.77,,25.49,23.56,2.67,24.99,5.1,01-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Aug-2020 - 00:00,30.08,978.8,78.98,35.7,68.86,191.57,,191.29,1.09,5.8,,24.08,19.47,1.4,29.24,5.88,02-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Aug-2020 - 00:00,31.87,976.83,71.5,27.17,64.98,232.18,,198.11,1.05,2.1,,24.3,19.94,1.72,18.06,6.56,03-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Aug-2020 - 00:00,32.7,972.75,76.04,29.58,62.62,193.66,,236.27,1.07,2.33,,24.59,17.16,1.47,16.27,4.7,04-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Aug-2020 - 00:00,32.45,971.29,83.96,27.62,61.0,204.69,107.39,173.2,1.12,1.57,,23.95,15.89,1.09,26.29,6.8,05-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Aug-2020 - 00:00,30.92,972.63,105.96,42.12,67.65,124.54,133.09,166.53,1.09,2.21,,23.38,21.27,1.62,15.69,7.17,06-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Aug-2020 - 00:00,32.32,975.47,71.5,21.17,61.79,219.29,132.2,174.56,2.43,1.75,,22.82,14.43,1.42,11.55,7.15,07-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Aug-2020 - 00:00,30.12,978.13,66.12,28.0,67.47,116.37,124.25,189.08,1.98,0.27,,26.02,17.03,1.48,22.98,7.35,08-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Aug-2020 - 00:00,32.54,976.29,98.7,52.52,65.18,204.19,134.82,195.93,0.63,3.62,,42.23,22.62,4.73,18.0,5.31,09-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Aug-2020 - 00:00,30.31,975.72,56.78,32.88,72.11,137.17,103.8,196.09,1.0,2.36,,36.18,14.38,1.3,12.53,7.46,10-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Aug-2020 - 00:00,30.96,976.8,81.74,44.62,69.48,170.4,122.13,205.04,1.24,3.72,,34.81,17.41,1.89,17.75,7.34,11-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Aug-2020 - 00:00,31.26,976.47,73.38,40.96,69.35,171.49,126.08,232.0,0.85,3.25,,34.04,17.57,2.09,14.3,7.29,12-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Aug-2020 - 00:00,31.93,975.39,72.75,21.21,66.5,192.61,,201.06,1.09,1.55,,33.2,13.31,1.37,13.68,5.79,13-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Aug-2020 - 00:00,26.9,975.2,34.21,19.13,79.7,36.36,140.05,172.13,1.09,2.85,,29.7,15.86,1.39,14.91,6.16,14-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Aug-2020 - 00:00,28.2,974.48,53.84,23.52,73.64,125.26,114.4,171.07,1.44,4.68,,29.57,14.07,1.28,14.95,6.19,15-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Aug-2020 - 00:00,30.85,974.41,83.41,36.75,68.79,183.05,,198.5,1.29,1.74,,31.84,15.18,1.54,18.04,4.95,16-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Aug-2020 - 00:00,31.27,975.31,79.4,28.33,67.15,201.38,,207.21,1.27,1.2,,31.43,18.25,1.8,23.91,5.55,17-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Aug-2020 - 00:00,29.85,975.7,79.97,36.3,73.95,78.02,139.23,199.35,1.13,1.88,,30.33,22.8,3.23,12.49,6.29,18-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Aug-2020 - 00:00,30.53,976.25,82.73,35.24,70.57,142.71,,248.23,0.97,4.24,,35.52,22.73,6.83,12.55,6.06,19-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Aug-2020 - 00:00,26.94,976.07,64.38,30.5,79.14,21.44,153.04,220.38,1.18,2.21,,43.63,28.55,7.2,13.72,4.57,20-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Aug-2020 - 00:00,27.12,978.64,41.98,19.71,75.51,102.56,172.88,192.43,1.38,3.21,,40.99,19.6,2.22,22.38,2.67,21-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Aug-2020 - 00:00,29.53,980.27,59.21,20.71,67.28,195.35,157.25,175.5,1.43,0.54,,38.97,17.48,2.0,17.14,2.09,22-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Aug-2020 - 00:00,30.35,979.35,66.09,17.0,65.41,203.62,132.07,164.34,1.82,0.46,,41.3,14.39,1.57,18.08,5.0,23-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Aug-2020 - 00:00,29.81,978.09,62.29,19.5,67.28,158.53,,171.13,2.05,0.48,,31.2,10.95,1.17,23.43,4.08,24-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Aug-2020 - 00:00,29.14,978.37,73.25,23.92,69.15,122.91,156.88,199.49,1.87,0.44,,37.6,18.4,2.3,41.29,3.69,25-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Aug-2020 - 00:00,29.58,980.37,90.08,26.17,67.89,122.87,,228.48,1.53,0.56,,18.54,18.76,3.46,11.43,5.19,26-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Aug-2020 - 00:00,30.21,981.67,55.12,16.67,65.76,164.44,,273.02,0.89,0.34,,21.03,19.04,3.09,18.3,7.3,27-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Aug-2020 - 00:00,31.04,981.03,81.21,25.42,64.72,211.51,137.82,91.1,0.85,0.37,,16.87,21.47,8.74,9.48,4.92,28-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Aug-2020 - 00:00,29.75,979.11,93.83,33.67,68.96,160.64,146.05,167.11,1.07,0.39,,19.1,19.78,4.7,19.29,7.35,29-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Aug-2020 - 00:00,30.59,978.74,105.77,38.22,65.57,207.58,,175.46,1.13,0.54,,17.27,21.53,3.85,31.01,7.89,30-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Aug-2020 - 00:00,29.15,978.48,76.45,23.08,66.65,134.26,,182.75,2.42,0.31,,19.06,12.28,1.5,24.68,7.68,31-Aug-2020 - 00:00,"Bawana, Delhi - DPCC"
31-Aug-2020 - 00:00,29.28,980.54,58.5,16.3,65.26,141.56,,233.66,2.25,0.37,,17.36,15.92,2.17,19.85,7.91,01-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Sep-2020 - 00:00,30.29,982.03,74.66,20.8,61.37,177.64,,261.43,1.33,0.4,,22.48,18.06,2.71,29.74,7.12,02-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Sep-2020 - 00:00,30.6,984.03,94.75,31.01,63.79,148.98,,241.84,0.71,0.57,,28.28,20.13,2.15,40.77,6.74,03-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Sep-2020 - 00:00,31.15,984.58,137.57,45.04,64.06,165.11,159.12,187.55,1.54,0.63,,29.69,23.54,3.91,28.49,6.32,04-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Sep-2020 - 00:00,30.77,983.41,120.75,46.93,65.35,141.97,111.95,198.23,1.08,0.62,,27.23,23.81,2.84,33.84,5.37,05-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Sep-2020 - 00:00,28.84,982.18,116.47,54.26,71.81,144.38,,229.0,0.77,0.5,,31.35,26.91,6.06,44.42,7.04,06-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Sep-2020 - 00:00,29.7,980.84,77.17,32.76,68.22,154.74,195.72,125.31,0.7,0.54,,26.63,17.93,2.72,30.21,5.66,07-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Sep-2020 - 00:00,30.16,981.31,92.09,40.8,66.27,164.85,110.2,189.19,0.82,0.53,,25.92,22.55,5.59,23.67,5.66,08-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Sep-2020 - 00:00,30.78,981.99,88.47,35.41,65.05,204.73,127.86,108.82,0.89,0.6,,27.23,23.51,4.03,26.62,5.35,09-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Sep-2020 - 00:00,30.92,981.82,146.64,63.22,66.91,184.27,196.3,73.67,1.0,0.74,,25.49,40.7,13.54,26.84,3.5,10-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Sep-2020 - 00:00,31.07,979.4,139.47,53.22,65.14,187.78,128.77,157.41,0.95,0.71,,24.18,30.68,4.3,29.93,2.69,11-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Sep-2020 - 00:00,31.78,979.84,177.58,65.69,60.85,194.85,203.73,173.82,0.79,0.72,,23.69,28.45,5.17,32.83,3.2,12-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Sep-2020 - 00:00,31.85,982.46,198.1,67.16,60.45,183.15,123.16,99.5,0.9,0.79,,23.13,30.26,9.15,44.99,2.46,13-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Sep-2020 - 00:00,31.46,982.44,194.78,72.69,63.95,147.37,175.88,157.21,0.9,0.8,,22.51,25.89,4.75,34.89,3.72,14-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Sep-2020 - 00:00,31.35,981.4,175.29,62.78,63.74,156.58,220.21,92.73,0.9,0.74,,20.96,32.27,8.17,29.58,2.12,15-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Sep-2020 - 00:00,31.26,980.88,174.19,64.69,63.74,162.76,119.86,149.44,0.77,0.78,,20.54,29.67,4.69,32.88,3.16,16-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Sep-2020 - 00:00,32.07,980.6,186.68,62.59,62.12,170.29,202.24,167.54,0.94,1.01,,21.41,35.16,7.7,29.62,1.26,17-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Sep-2020 - 00:00,32.16,980.12,144.68,50.42,61.2,167.14,193.32,155.23,1.13,0.64,,21.4,22.81,3.13,26.19,2.44,18-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Sep-2020 - 00:00,32.67,979.25,137.7,45.96,60.74,174.59,254.7,156.28,1.14,0.65,,19.85,24.98,4.85,23.05,2.34,19-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
