from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
08-May-2020 - 00:00,5.43,50.28,5.15,8.57,13.72,4.84,5.18,0.34,25.5,0.78,198.26,29.48,80.21,0.0,09-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-May-2020 - 00:00,6.64,52.76,5.25,8.49,13.74,4.81,7.25,0.34,27.86,0.96,167.69,29.09,83.66,0.27,10-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-May-2020 - 00:00,7.69,57.16,5.09,8.59,13.67,4.82,5.85,0.34,21.7,0.88,225.73,30.08,83.95,0.01,11-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-May-2020 - 00:00,8.28,41.49,5.15,8.57,13.71,4.8,5.23,0.36,22.71,0.74,156.78,28.0,86.47,0.3,12-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-May-2020 - 00:00,8.57,62.28,5.25,8.8,14.05,4.79,5.83,0.2,18.2,0.74,173.3,29.4,80.45,0.0,13-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-May-2020 - 00:00,15.14,43.87,5.41,8.49,13.9,4.84,10.26,0.36,18.6,0.75,161.78,28.76,82.97,0.04,14-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-May-2020 - 00:00,11.2,51.6,5.21,8.52,13.72,4.7,5.29,0.36,22.23,0.88,184.86,29.12,81.77,0.16,15-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-May-2020 - 00:00,6.45,59.18,5.24,8.4,13.64,4.7,5.41,0.34,19.05,0.79,196.34,29.1,77.76,0.0,16-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-May-2020 - 00:00,7.61,47.06,5.84,6.54,12.12,4.56,6.35,0.39,23.88,1.01,193.84,26.82,84.83,0.92,17-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-May-2020 - 00:00,8.74,64.44,14.04,1.3,2.74,3.42,6.84,0.31,18.26,1.24,175.96,29.46,87.32,0.27,18-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-May-2020 - 00:00,8.67,58.31,48.05,1.87,2.56,4.72,5.83,0.42,14.83,0.67,152.77,26.84,96.12,0.08,19-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-May-2020 - 00:00,9.24,62.15,85.98,1.44,3.53,8.87,5.86,0.33,18.24,0.93,179.67,27.44,93.05,0.3,20-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-May-2020 - 00:00,7.39,55.81,18.78,2.88,8.25,3.14,5.13,0.27,12.11,0.88,183.84,29.12,85.82,0.01,21-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-May-2020 - 00:00,10.85,33.15,87.48,1.37,2.1,2.45,5.34,0.32,9.77,1.23,159.21,28.71,88.94,0.05,22-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-May-2020 - 00:00,5.24,38.07,74.19,2.47,4.04,2.93,6.13,0.38,15.74,0.7,185.46,29.21,87.31,0.08,23-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-May-2020 - 00:00,6.9,67.24,60.7,3.06,5.79,3.54,5.82,0.31,12.59,1.19,214.24,30.47,82.46,0.0,24-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-May-2020 - 00:00,7.0,74.43,8.53,5.29,11.61,4.13,6.19,0.38,14.16,1.27,201.91,30.43,83.49,0.01,25-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-May-2020 - 00:00,5.89,68.38,3.79,8.38,12.17,4.42,5.35,0.32,12.44,0.96,203.36,30.27,84.37,0.23,26-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-May-2020 - 00:00,6.8,57.65,3.8,8.39,12.2,4.42,5.76,0.36,18.68,0.81,196.73,29.56,87.57,0.01,27-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-May-2020 - 00:00,6.22,64.44,3.8,8.37,12.17,4.42,4.69,0.33,19.49,0.83,183.74,29.27,88.41,0.06,28-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-May-2020 - 00:00,5.92,47.4,3.78,8.41,12.19,4.42,5.05,0.31,13.58,1.08,199.2,27.66,92.02,0.31,29-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-May-2020 - 00:00,6.79,48.62,3.77,8.43,12.2,4.41,5.31,0.32,14.46,0.78,198.48,29.12,84.58,0.0,30-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-May-2020 - 00:00,8.23,38.04,9.58,8.3,17.88,5.08,5.4,0.29,13.95,0.84,174.46,28.57,91.45,0.0,31-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-May-2020 - 00:00,6.8,26.86,67.62,8.65,76.27,15.98,4.62,0.29,10.0,1.42,152.55,29.07,83.32,0.0,01-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Jun-2020 - 00:00,6.5,27.59,86.62,9.07,95.69,17.81,5.66,0.36,10.91,1.01,145.81,27.99,89.73,0.14,02-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Jun-2020 - 00:00,7.46,23.92,81.21,9.13,90.34,13.18,4.98,0.3,10.96,1.02,151.19,26.53,93.99,0.2,03-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Jun-2020 - 00:00,9.46,27.83,65.93,8.71,74.64,9.48,5.5,0.27,12.14,0.98,168.79,27.88,87.45,0.11,04-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Jun-2020 - 00:00,7.44,24.76,3.97,8.39,12.36,4.42,5.63,0.36,9.31,0.97,146.91,28.19,91.25,0.12,05-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Jun-2020 - 00:00,8.17,25.18,3.74,8.45,12.19,4.42,4.89,0.28,9.74,0.8,138.45,27.97,92.29,0.13,06-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Jun-2020 - 00:00,7.97,25.86,4.17,8.41,12.58,4.45,4.82,0.41,9.66,0.8,166.98,26.2,97.82,0.34,07-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Jun-2020 - 00:00,15.17,31.33,3.78,8.38,12.16,4.42,6.09,0.28,12.88,0.88,181.93,26.2,94.52,0.01,08-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Jun-2020 - 00:00,7.64,39.21,3.75,8.43,12.18,4.43,4.75,0.37,15.89,1.03,251.56,28.14,82.21,0.0,09-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Jun-2020 - 00:00,7.02,60.29,3.79,8.4,12.19,4.42,5.88,0.3,11.3,0.81,203.09,28.0,91.23,0.1,10-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Jun-2020 - 00:00,9.29,57.62,3.75,8.44,12.19,4.42,5.17,0.32,11.69,0.84,189.62,27.43,92.78,0.13,11-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Jun-2020 - 00:00,9.18,33.86,3.91,8.33,12.24,4.43,5.13,0.31,11.59,0.77,169.01,26.81,90.61,0.1,12-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Jun-2020 - 00:00,12.84,41.8,3.83,8.34,12.17,4.42,5.37,0.36,11.57,0.76,97.88,26.45,91.9,0.07,13-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Jun-2020 - 00:00,11.79,49.38,3.74,8.42,12.16,4.42,4.79,0.33,9.48,0.87,143.46,27.11,91.92,0.16,14-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Jun-2020 - 00:00,12.71,34.47,3.72,8.48,12.19,4.43,5.45,,13.18,0.91,177.96,26.79,92.88,0.32,15-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Jun-2020 - 00:00,10.06,45.65,3.74,8.4,12.14,4.43,5.02,0.42,14.22,0.68,179.76,28.73,84.96,0.0,16-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Jun-2020 - 00:00,9.47,39.35,3.73,8.45,12.17,4.42,5.78,0.27,13.95,0.82,157.19,27.89,89.69,0.17,17-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Jun-2020 - 00:00,7.02,65.29,3.76,8.38,12.14,4.41,5.65,0.33,11.55,0.78,149.81,27.51,92.1,0.11,18-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Jun-2020 - 00:00,7.71,53.47,3.72,8.43,12.15,4.43,5.14,0.31,10.98,0.91,143.3,27.58,84.92,0.0,19-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Jun-2020 - 00:00,7.31,55.5,3.72,8.43,12.15,4.43,4.99,0.31,8.81,0.79,169.75,26.12,94.46,0.23,20-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Jun-2020 - 00:00,6.35,52.44,3.79,8.37,12.15,4.41,5.38,0.32,10.93,0.96,185.34,27.57,87.76,0.01,21-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Jun-2020 - 00:00,5.9,31.73,3.76,8.46,12.21,4.41,6.05,0.32,9.39,0.91,154.08,25.73,97.71,0.48,22-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Jun-2020 - 00:00,,,,,,,,,,,,,,,23-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Jun-2020 - 00:00,15.12,94.97,37.56,35.72,62.98,21.45,9.48,0.44,10.91,0.54,257.23,28.72,81.85,0.0,24-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Jun-2020 - 00:00,10.94,101.78,3.87,8.4,12.2,4.46,5.54,0.15,13.27,1.01,236.43,27.87,86.91,0.02,25-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Jun-2020 - 00:00,5.94,37.3,3.74,8.45,12.19,4.42,5.09,0.32,14.94,0.92,172.28,27.1,88.3,0.09,26-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Jun-2020 - 00:00,6.69,26.14,4.28,10.86,12.6,4.77,5.5,0.37,11.6,0.94,173.76,26.45,92.38,0.07,27-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Jun-2020 - 00:00,5.72,42.58,3.76,8.44,12.2,4.42,5.57,0.3,15.25,1.08,190.31,26.5,92.28,0.47,28-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Jun-2020 - 00:00,6.09,40.62,3.77,8.43,12.2,4.42,6.01,0.33,15.12,0.75,186.84,27.35,92.26,0.02,29-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Jun-2020 - 00:00,5.53,58.43,3.83,8.34,12.17,4.42,5.71,0.31,12.61,0.87,197.83,26.71,93.35,0.28,30-Jun-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Jun-2020 - 00:00,5.85,52.39,3.86,8.33,12.19,4.41,5.17,0.35,16.01,1.09,239.22,27.34,85.31,0.22,01-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Jul-2020 - 00:00,6.36,47.53,3.86,8.35,12.21,4.41,5.54,0.32,11.85,0.73,200.89,27.78,89.08,0.01,02-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Jul-2020 - 00:00,9.97,43.65,3.84,8.33,12.17,4.42,4.82,0.31,12.08,0.91,154.56,27.02,93.49,0.15,03-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Jul-2020 - 00:00,7.67,29.84,3.87,8.33,12.2,4.41,4.94,0.33,10.38,0.78,147.86,25.2,98.51,0.15,04-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Jul-2020 - 00:00,9.99,47.28,3.85,8.35,12.2,4.42,5.52,0.36,11.69,0.67,175.62,26.56,94.98,0.1,05-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Jul-2020 - 00:00,9.09,40.24,3.86,8.34,12.19,4.42,6.03,0.24,11.25,0.84,190.17,27.37,93.89,0.19,06-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Jul-2020 - 00:00,7.56,41.96,3.82,8.39,12.21,4.42,6.03,0.35,11.76,0.87,178.92,27.65,91.54,0.11,07-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Jul-2020 - 00:00,10.76,37.44,3.88,8.32,12.19,4.41,5.25,0.32,11.04,0.92,144.73,25.8,95.51,0.49,08-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Jul-2020 - 00:00,11.48,48.65,3.81,8.39,12.2,4.42,5.35,0.32,11.01,0.86,181.62,26.58,92.4,0.07,09-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Jul-2020 - 00:00,6.93,77.92,3.86,8.32,12.19,4.41,5.25,0.34,9.36,0.88,181.32,25.86,94.76,0.01,10-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Jul-2020 - 00:00,8.05,48.26,3.85,8.34,12.18,4.41,5.93,0.29,8.64,0.95,242.61,26.84,88.31,0.06,11-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Jul-2020 - 00:00,10.53,53.8,3.84,8.35,12.18,4.42,4.82,0.29,7.16,0.67,180.7,27.78,87.89,0.0,12-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Jul-2020 - 00:00,10.61,43.51,3.84,8.35,12.19,4.42,5.96,0.32,6.97,0.97,216.04,27.46,89.45,0.21,13-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Jul-2020 - 00:00,11.66,35.47,3.81,8.39,12.2,4.42,5.49,0.32,6.85,0.98,229.3,27.14,91.58,0.03,14-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Jul-2020 - 00:00,10.81,36.04,3.79,8.37,12.16,4.42,4.92,0.29,6.83,1.51,267.12,27.77,86.8,0.0,15-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Jul-2020 - 00:00,12.16,34.71,3.82,8.38,12.2,4.42,5.13,0.26,7.01,0.77,198.24,27.33,89.97,0.0,16-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Jul-2020 - 00:00,15.05,30.93,3.82,8.36,12.19,4.42,5.58,0.33,6.83,0.69,165.63,25.27,98.39,0.31,17-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Jul-2020 - 00:00,13.76,46.78,3.87,8.35,12.22,4.41,5.75,0.34,6.89,1.04,168.04,25.72,95.94,0.2,18-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Jul-2020 - 00:00,13.55,56.91,3.86,8.33,12.19,4.42,5.55,0.28,6.96,0.98,173.3,26.63,90.42,0.04,19-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Jul-2020 - 00:00,15.0,47.27,3.84,8.33,12.17,4.42,5.7,0.29,6.95,0.71,200.72,26.66,92.59,0.03,20-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Jul-2020 - 00:00,13.05,45.88,3.83,8.37,12.2,4.42,4.88,0.32,7.24,0.9,162.51,27.25,92.12,0.19,21-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Jul-2020 - 00:00,12.42,26.41,3.82,8.39,12.21,4.42,5.07,0.34,7.3,0.78,178.06,27.95,84.37,0.0,22-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Jul-2020 - 00:00,10.91,31.03,3.87,8.31,12.18,4.41,5.55,0.35,7.31,0.81,162.06,28.08,89.44,0.06,23-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Jul-2020 - 00:00,12.51,36.89,3.85,8.34,12.2,4.42,5.36,0.26,7.34,0.99,172.76,27.49,91.22,0.0,24-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Jul-2020 - 00:00,10.33,21.34,3.82,8.37,12.19,4.43,5.75,0.34,7.12,1.32,135.0,26.65,91.69,0.0,25-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Jul-2020 - 00:00,13.17,32.11,3.82,8.35,12.18,4.42,5.13,0.33,7.21,0.7,157.72,27.82,85.04,0.03,26-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Jul-2020 - 00:00,18.85,52.81,3.79,8.38,12.17,4.42,5.54,0.32,7.07,0.69,198.85,27.64,87.39,0.0,27-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Jul-2020 - 00:00,14.72,56.37,3.8,8.38,12.18,4.43,5.3,0.33,7.13,1.0,195.93,28.16,85.91,0.0,28-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Jul-2020 - 00:00,14.1,45.55,3.82,8.37,12.18,4.42,5.71,0.31,7.22,0.9,233.76,27.42,90.05,0.14,29-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Jul-2020 - 00:00,11.6,32.03,3.81,8.35,12.16,4.43,5.48,0.28,6.9,0.98,196.57,24.37,99.05,2.51,30-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Jul-2020 - 00:00,13.78,25.91,3.78,8.38,12.16,4.43,5.24,0.32,7.08,0.74,165.03,25.75,95.66,0.04,31-Jul-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Jul-2020 - 00:00,15.87,27.2,3.78,8.42,12.2,4.42,5.05,0.31,7.02,0.96,184.41,25.98,95.86,0.3,01-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Aug-2020 - 00:00,15.86,31.37,3.76,8.43,12.19,4.42,5.61,0.34,7.12,0.91,236.63,26.36,93.71,0.18,02-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Aug-2020 - 00:00,15.86,38.95,3.82,8.37,12.19,4.42,5.83,0.32,6.97,0.94,192.96,25.16,98.45,0.61,03-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Aug-2020 - 00:00,14.45,48.29,3.83,8.37,12.19,4.41,5.45,0.3,6.98,1.02,226.71,26.32,97.77,0.12,04-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Aug-2020 - 00:00,14.1,68.59,3.77,8.41,12.18,4.43,4.88,0.28,6.9,0.97,242.19,27.34,97.67,0.02,05-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Aug-2020 - 00:00,14.1,36.5,3.81,8.35,12.15,4.43,5.22,0.34,6.93,1.24,205.64,27.03,95.3,0.55,06-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Aug-2020 - 00:00,14.1,68.42,3.77,8.42,12.18,4.43,5.01,0.4,6.91,0.92,230.83,27.35,98.07,0.23,07-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Aug-2020 - 00:00,14.1,61.78,3.81,8.37,12.18,4.42,6.72,0.31,6.92,1.03,179.31,25.16,99.09,1.21,08-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Aug-2020 - 00:00,14.1,40.2,3.81,8.37,12.19,4.42,5.67,0.34,7.03,1.3,221.46,24.93,98.46,0.55,09-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Aug-2020 - 00:00,14.1,27.23,3.84,8.37,12.21,4.42,5.01,0.31,7.03,0.75,216.27,24.43,99.04,0.94,10-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Aug-2020 - 00:00,14.1,43.5,3.83,8.38,12.21,4.42,6.49,0.35,7.03,0.58,177.93,25.12,98.46,0.07,11-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Aug-2020 - 00:00,12.39,41.93,3.89,8.28,12.17,4.41,5.0,0.25,7.01,0.7,185.25,26.48,98.12,0.14,12-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Aug-2020 - 00:00,10.0,62.34,3.82,8.38,12.21,4.42,5.35,0.32,7.1,1.03,212.88,27.31,93.92,0.0,13-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Aug-2020 - 00:00,10.0,106.96,3.85,8.36,12.21,4.42,6.07,0.34,7.14,1.07,233.46,27.46,93.76,0.0,14-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Aug-2020 - 00:00,10.0,70.12,3.85,8.35,12.2,4.42,5.49,0.33,7.02,0.68,182.86,27.52,93.33,0.0,15-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Aug-2020 - 00:00,10.0,62.38,3.86,8.33,12.19,4.42,4.8,0.29,7.18,0.7,204.79,27.74,91.41,0.02,16-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Aug-2020 - 00:00,10.0,69.17,3.81,8.34,12.15,4.42,5.5,0.32,7.17,0.86,190.47,27.57,91.19,0.01,17-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Aug-2020 - 00:00,10.0,68.93,3.88,8.32,12.2,4.41,5.45,0.31,7.14,0.75,189.48,27.64,92.76,0.03,18-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Aug-2020 - 00:00,10.0,50.42,,,,,4.66,0.3,7.03,0.87,190.77,27.48,92.21,0.22,19-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Aug-2020 - 00:00,9.58,60.82,3.77,8.43,12.21,4.42,5.75,0.34,7.0,1.15,200.37,27.78,90.55,0.0,20-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Aug-2020 - 00:00,5.0,56.28,3.83,8.35,12.19,4.42,5.65,0.31,6.94,0.99,201.67,27.66,92.17,0.03,21-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Aug-2020 - 00:00,5.0,59.06,3.84,8.34,12.18,4.42,5.74,0.32,7.04,1.01,219.73,28.15,90.1,0.02,22-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Aug-2020 - 00:00,5.0,58.05,3.8,8.4,12.2,4.42,5.19,0.29,7.1,1.19,215.4,28.3,87.75,0.0,23-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Aug-2020 - 00:00,5.0,40.12,3.76,8.42,12.18,4.43,5.3,0.31,6.85,0.68,159.86,26.87,94.79,0.1,24-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Aug-2020 - 00:00,5.0,45.6,3.77,8.4,12.16,4.43,4.54,0.32,7.07,0.95,182.4,27.41,93.14,0.0,25-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Aug-2020 - 00:00,5.0,75.77,3.75,8.44,12.19,4.43,5.15,0.31,7.08,0.95,206.64,28.48,89.17,0.0,26-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Aug-2020 - 00:00,5.0,69.14,3.73,8.44,12.17,4.42,5.89,0.21,7.31,0.65,334.12,27.27,98.98,0.0,27-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Aug-2020 - 00:00,5.0,41.87,3.75,8.43,12.18,4.43,5.63,0.27,7.6,1.75,301.01,29.48,79.26,0.0,28-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Aug-2020 - 00:00,5.0,70.8,3.81,8.32,12.14,4.41,5.49,0.35,7.27,1.09,272.66,28.54,83.54,0.0,29-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Aug-2020 - 00:00,5.0,71.08,3.74,8.45,12.18,4.43,5.9,0.36,7.72,0.92,210.89,28.3,85.61,0.0,30-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Aug-2020 - 00:00,5.0,57.14,3.75,8.44,12.18,4.44,5.35,0.29,7.53,1.04,235.11,28.61,87.15,0.0,31-Aug-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Aug-2020 - 00:00,5.0,46.57,3.74,8.45,12.19,4.42,5.21,0.3,7.58,1.18,217.17,28.69,86.65,0.0,01-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Sep-2020 - 00:00,5.0,51.45,3.85,8.32,12.17,4.42,5.14,0.35,7.67,1.26,239.33,28.09,90.71,0.0,02-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Sep-2020 - 00:00,5.0,41.53,3.86,8.35,12.2,4.42,5.6,0.32,7.39,0.73,141.16,26.96,93.67,0.1,03-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Sep-2020 - 00:00,5.0,21.28,3.87,8.33,12.2,4.42,5.78,0.33,7.55,0.76,165.58,27.31,90.25,0.0,04-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Sep-2020 - 00:00,5.0,34.43,3.82,8.39,12.21,4.42,6.14,0.36,7.58,0.9,140.17,27.78,90.66,0.03,05-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Sep-2020 - 00:00,5.0,32.7,3.85,8.36,12.2,4.43,5.79,0.27,7.34,0.82,142.87,27.59,92.57,0.03,06-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Sep-2020 - 00:00,5.0,19.55,3.81,8.38,12.19,4.43,5.43,,7.27,1.03,156.86,25.13,98.35,1.26,07-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Sep-2020 - 00:00,5.0,19.59,3.79,8.4,12.19,4.41,5.56,,6.83,0.85,165.6,26.02,95.06,0.26,08-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Sep-2020 - 00:00,5.0,39.11,3.77,8.4,12.17,4.43,6.39,0.27,6.97,0.76,133.24,26.72,96.29,0.1,09-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Sep-2020 - 00:00,5.0,44.75,10.6,0.66,4.78,8.57,5.1,0.22,7.44,0.78,143.58,25.47,99.01,0.22,10-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Sep-2020 - 00:00,5.0,10.41,4.64,0.63,5.26,8.59,5.26,0.34,7.1,0.76,137.59,25.02,97.62,0.5,11-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Sep-2020 - 00:00,5.0,9.01,4.65,0.56,5.2,8.59,5.84,0.34,6.81,0.83,133.72,24.44,98.22,0.36,12-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Sep-2020 - 00:00,5.0,9.74,4.68,0.59,5.27,8.58,6.08,0.38,6.65,0.73,150.74,24.45,98.41,0.3,13-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Sep-2020 - 00:00,5.0,8.12,4.71,0.55,5.26,8.58,6.2,0.35,6.96,0.58,147.0,24.98,98.81,0.06,14-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
