from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,Temp,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
26-Apr-2020 - 00:00,14.71,30.71,15.06,12.33,13.71,0.19,0.16,48.9,0.65,59.29,,69.2,,,,,,27.88,164.05,0.0,771.56,27-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Apr-2020 - 00:00,14.63,27.9,13.84,11.31,12.39,0.2,0.13,43.31,0.72,54.72,,68.13,,,,,,28.27,222.39,0.0,771.89,28-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Apr-2020 - 00:00,18.27,38.48,12.79,10.53,11.74,0.19,0.11,50.86,0.66,57.95,,64.38,,,,,,29.0,142.64,0.0,787.25,29-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Apr-2020 - 00:00,12.26,31.78,18.31,15.49,17.2,0.21,0.2,44.7,0.67,43.19,,78.4,,,,,,26.7,121.33,0.0,804.74,30-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Apr-2020 - 00:00,19.25,45.75,17.25,13.62,15.98,0.18,0.13,27.53,0.49,39.82,,77.37,,,,,,27.36,201.28,0.0,806.61,01-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-May-2020 - 00:00,17.08,38.42,14.11,11.13,12.92,0.25,0.15,51.75,0.83,68.82,,60.92,,,,,,29.15,190.12,0.0,802.28,02-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-May-2020 - 00:00,15.53,30.73,13.91,11.65,12.71,0.19,0.07,53.14,0.84,62.54,,66.12,,,,,,28.92,221.23,0.0,805.41,03-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-May-2020 - 00:00,16.86,34.51,12.91,10.99,11.77,0.2,0.08,53.71,0.85,71.68,,63.5,,,,,,29.4,131.07,0.0,801.76,04-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-May-2020 - 00:00,14.6,34.56,17.17,14.24,15.94,0.37,0.18,75.72,0.95,100.31,,46.69,,,,,,31.01,168.69,0.0,798.66,05-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-May-2020 - 00:00,25.27,90.64,19.2,16.92,18.69,0.38,0.22,75.2,1.14,77.65,,50.78,,,,,,31.26,160.25,0.0,799.75,06-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-May-2020 - 00:00,18.97,45.88,19.71,16.47,19.46,0.64,0.24,63.24,0.79,66.75,,59.69,,,,,,29.12,186.64,0.0,799.66,07-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-May-2020 - 00:00,19.01,48.39,18.2,15.48,17.77,0.49,0.2,58.07,0.91,62.6,,62.28,,,,,,28.95,175.19,0.0,795.38,08-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-May-2020 - 00:00,15.43,34.03,20.16,17.23,19.1,0.43,0.21,34.74,0.62,64.03,,67.11,,,,,,28.58,155.63,0.0,789.51,09-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-May-2020 - 00:00,22.22,47.54,23.53,19.21,21.95,0.23,0.2,44.81,1.0,71.67,,61.89,,,,,,29.52,141.2,0.0,787.7,10-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-May-2020 - 00:00,18.05,35.84,14.72,12.48,13.61,0.27,0.12,47.42,0.86,63.66,,61.46,,,,,,29.5,123.1,0.0,792.59,11-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-May-2020 - 00:00,23.74,49.87,25.67,20.62,24.04,0.31,0.31,43.06,0.84,57.7,,62.42,,,,,,29.01,174.05,0.0,793.56,12-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-May-2020 - 00:00,25.07,67.61,27.23,23.23,25.39,0.45,0.34,44.82,0.92,63.16,,57.83,,,,,,29.14,156.53,0.0,794.14,13-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-May-2020 - 00:00,22.92,143.16,17.84,15.08,16.67,0.25,0.13,51.32,0.77,59.0,,64.38,,,,,,28.92,170.75,0.0,796.75,14-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-May-2020 - 00:00,14.73,38.18,15.63,12.96,14.53,0.23,0.11,49.42,0.88,65.11,,64.01,,,,,,29.07,150.03,0.0,796.76,15-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-May-2020 - 00:00,16.24,43.73,19.36,16.07,17.97,0.26,0.18,47.41,0.9,58.97,,62.41,,,,,,29.07,218.01,0.0,799.1,16-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-May-2020 - 00:00,14.53,34.23,21.11,17.55,19.62,0.23,0.17,50.22,0.9,57.94,,64.78,,,,,,28.52,252.85,0.0,800.67,17-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-May-2020 - 00:00,12.75,29.96,14.95,12.47,13.77,0.18,0.09,57.23,1.12,66.94,,69.56,,,,,,28.33,253.85,0.01,798.22,18-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-May-2020 - 00:00,14.03,29.54,20.11,16.47,18.59,0.22,0.2,42.82,0.94,60.28,,78.57,,,,,,27.06,270.31,0.0,797.69,19-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-May-2020 - 00:00,17.5,38.19,16.94,13.57,15.59,0.27,0.14,33.52,0.97,55.6,,74.48,,,,,,27.47,260.05,0.0,797.89,20-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-May-2020 - 00:00,13.8,30.46,16.04,12.42,14.79,0.36,0.14,29.2,0.84,62.25,,73.16,,,,,,27.3,229.11,0.0,798.46,21-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-May-2020 - 00:00,13.23,35.86,21.76,16.19,20.18,0.66,0.16,32.44,0.84,68.48,,71.29,,,,,,28.05,257.99,0.0,798.77,22-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-May-2020 - 00:00,13.07,35.93,19.56,15.08,18.1,0.31,0.15,38.43,0.99,63.49,,71.66,,,,,,28.22,242.16,0.0,798.57,23-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-May-2020 - 00:00,13.57,33.8,21.73,17.4,20.16,0.27,0.21,44.25,0.91,73.43,,68.48,,,,,,28.46,247.86,0.0,800.45,24-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-May-2020 - 00:00,11.11,30.18,9.14,7.41,8.2,0.62,0.04,43.08,0.96,65.31,,71.22,,,,,,28.59,227.67,0.0,800.55,25-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-May-2020 - 00:00,13.34,31.77,16.95,14.01,15.57,0.54,0.14,46.85,0.78,74.75,,71.27,,,,,,28.64,245.51,0.01,801.89,26-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-May-2020 - 00:00,12.87,39.11,17.98,14.2,16.67,0.46,0.15,40.33,0.77,71.04,,74.61,,,,,,28.24,236.32,0.0,800.46,27-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-May-2020 - 00:00,13.48,36.56,21.57,16.99,20.05,0.61,0.21,44.96,0.7,60.08,,73.55,,,,,,28.01,237.87,0.0,799.54,28-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-May-2020 - 00:00,14.05,38.1,22.19,17.07,20.71,0.2,0.22,38.37,1.01,71.96,,69.43,,,,,,28.17,246.11,0.01,803.28,29-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-May-2020 - 00:00,14.28,30.36,21.42,17.04,19.87,0.35,0.23,44.64,0.98,70.59,,74.32,,,,,,27.49,214.7,0.01,808.05,30-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-May-2020 - 00:00,12.78,29.74,25.61,20.1,23.99,0.91,0.33,35.84,0.67,61.89,,79.03,,,,,,27.33,150.04,0.0,806.54,31-May-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-May-2020 - 00:00,8.46,17.41,9.79,7.68,9.09,0.36,0.04,30.22,0.67,44.14,,80.64,,,,,,27.1,195.47,0.0,796.07,01-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Jun-2020 - 00:00,6.31,55.47,11.19,8.49,10.13,0.46,0.08,30.84,1.01,68.78,,71.75,,,,,,27.85,189.47,0.0,741.16,02-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Jun-2020 - 00:00,4.61,12.01,9.78,7.38,8.8,0.26,0.07,31.41,1.13,66.02,,73.36,,,,,,27.25,177.94,0.0,747.36,03-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Jun-2020 - 00:00,4.4,8.54,11.11,8.36,10.13,0.28,0.1,30.88,0.96,45.07,,78.85,,,,,,26.58,168.53,0.0,751.17,04-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Jun-2020 - 00:00,3.83,8.3,12.46,9.27,11.36,0.08,0.11,27.21,0.86,60.07,,76.28,,,,,,27.43,216.79,0.0,764.31,05-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Jun-2020 - 00:00,6.25,10.83,15.53,11.66,14.17,0.21,0.16,28.05,0.91,58.27,,72.48,,,,,,27.57,264.63,0.0,780.74,06-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Jun-2020 - 00:00,8.15,14.98,13.62,10.29,12.4,0.15,0.13,26.91,0.87,54.81,,78.46,,,,,,26.82,229.45,0.01,789.1,07-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Jun-2020 - 00:00,4.19,6.75,11.28,8.31,9.99,0.3,0.09,23.79,0.7,68.26,,81.86,,,,,,26.29,215.92,0.0,760.42,08-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Jun-2020 - 00:00,11.07,72.25,21.98,16.18,20.44,0.47,0.25,25.08,1.14,75.0,,57.78,,,,,,28.81,297.16,0.0,809.0,09-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Jun-2020 - 00:00,11.12,18.91,17.03,12.24,15.73,0.37,0.17,20.16,0.9,64.36,,71.06,,,,,,27.6,256.6,0.0,809.0,10-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Jun-2020 - 00:00,10.43,20.3,19.2,13.5,17.67,0.38,0.23,20.24,0.96,54.41,,76.08,,,,,,27.06,248.68,0.0,809.0,11-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Jun-2020 - 00:00,9.2,20.35,18.88,13.36,17.41,0.3,0.25,21.63,1.05,51.18,,75.01,,,,,,26.63,284.08,0.0,809.0,12-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Jun-2020 - 00:00,8.42,17.68,15.61,11.66,14.5,0.34,0.21,26.5,1.2,59.42,,72.82,,,,,,26.51,256.63,0.0,809.0,13-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Jun-2020 - 00:00,7.35,13.84,12.08,9.04,10.96,0.25,0.14,26.66,0.91,54.48,,79.33,,,,,,26.35,193.79,0.0,809.0,14-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Jun-2020 - 00:00,4.87,8.53,10.62,7.98,9.5,0.27,0.1,23.97,1.08,53.69,,79.7,,,,,,26.71,225.07,0.0,809.0,15-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Jun-2020 - 00:00,5.11,10.42,12.2,8.93,10.96,0.38,0.13,24.22,1.04,58.36,,77.29,,,,,,26.91,196.67,0.0,809.0,16-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Jun-2020 - 00:00,7.85,15.12,11.66,8.45,10.42,0.26,0.16,23.58,1.06,54.26,,81.05,,,,,,26.68,194.98,0.0,809.0,17-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Jun-2020 - 00:00,5.9,10.25,12.18,8.84,11.01,0.24,0.14,22.1,0.95,43.83,,84.83,,,,,,26.08,201.29,0.0,809.0,18-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Jun-2020 - 00:00,10.09,17.13,12.74,9.12,11.47,0.3,0.15,21.27,0.98,50.99,,82.55,,,,,,26.19,203.77,0.0,809.0,19-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Jun-2020 - 00:00,10.45,19.62,15.62,10.93,14.18,0.33,0.21,19.58,0.9,60.38,,77.33,,,,,,26.92,220.48,0.0,809.0,20-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Jun-2020 - 00:00,7.18,15.47,14.98,10.52,13.62,0.27,0.18,19.87,0.91,61.29,,78.41,,,,,,26.9,241.88,0.0,809.0,21-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Jun-2020 - 00:00,5.27,13.65,10.52,7.57,9.35,0.54,0.12,19.98,0.92,54.36,,84.31,,,,,,26.2,235.96,0.01,809.0,22-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Jun-2020 - 00:00,6.72,22.37,13.16,9.49,11.91,0.05,0.18,22.21,0.96,60.15,,79.42,,,,,,26.24,228.31,0.0,809.0,23-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Jun-2020 - 00:00,11.66,21.32,17.67,12.49,16.09,,0.19,22.53,0.83,55.43,,74.41,,,,,,27.01,234.11,0.0,809.0,24-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Jun-2020 - 00:00,10.58,20.29,14.01,10.12,12.65,,0.16,22.62,0.9,64.06,,74.7,,,,,,27.2,234.65,0.0,809.0,25-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Jun-2020 - 00:00,7.35,12.6,14.77,14.06,15.57,,0.17,26.05,0.68,65.81,,75.66,,,,,,27.23,215.66,0.0,809.0,26-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Jun-2020 - 00:00,8.69,12.94,10.35,13.75,12.85,,0.17,25.87,0.76,66.83,,75.5,,,,,,27.31,226.28,0.0,809.0,27-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Jun-2020 - 00:00,5.06,21.32,9.31,12.59,11.34,,0.12,25.19,0.94,63.96,,74.96,,,,,,27.22,238.15,0.0,809.0,28-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Jun-2020 - 00:00,6.84,19.6,9.28,12.46,11.13,,0.13,21.97,0.74,49.27,,82.88,,,,,,26.58,219.34,0.0,809.0,29-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Jun-2020 - 00:00,9.56,20.69,10.5,14.48,13.24,,0.21,20.06,0.64,53.83,,79.02,,,,,,27.0,195.32,0.0,809.0,30-Jun-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Jun-2020 - 00:00,6.68,14.09,11.57,16.01,14.6,,0.17,23.67,1.06,63.12,,73.11,,,,,,27.28,238.52,0.0,809.0,01-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Jul-2020 - 00:00,8.53,11.6,10.64,15.2,13.75,,0.17,18.45,0.94,50.5,,78.73,,,,,,26.77,248.47,0.0,809.0,02-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Jul-2020 - 00:00,4.82,11.91,10.59,15.2,13.78,,0.18,17.29,0.95,52.16,,81.86,,,,,,26.4,222.42,0.0,809.0,03-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Jul-2020 - 00:00,7.15,14.39,10.22,14.21,12.86,,0.22,20.13,0.79,57.79,,84.02,,,,,,25.99,219.57,0.0,809.0,04-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Jul-2020 - 00:00,7.1,22.42,8.64,12.14,10.91,,0.15,19.66,0.91,55.82,,82.86,,,,,,26.32,206.54,0.0,809.0,05-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Jul-2020 - 00:00,8.1,13.24,5.63,7.68,6.7,,0.09,20.67,0.84,49.02,,82.45,,,,,,26.38,189.89,0.0,809.0,06-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Jul-2020 - 00:00,6.89,9.98,9.86,13.97,12.57,,0.22,19.44,0.85,51.87,,82.58,,,,,,26.21,207.1,0.0,809.0,07-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Jul-2020 - 00:00,3.58,11.9,7.19,10.41,9.31,,0.11,19.2,0.86,64.87,,82.13,,,,,,26.31,180.63,0.0,809.0,08-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Jul-2020 - 00:00,6.9,17.31,10.27,15.24,13.84,,0.21,15.62,0.71,46.68,,85.77,,,,,,25.98,213.62,0.0,809.0,09-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Jul-2020 - 00:00,7.13,12.22,9.46,13.52,12.21,,0.19,17.37,0.77,57.42,,81.53,,,,,,26.45,221.19,0.0,809.0,10-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Jul-2020 - 00:00,4.43,10.12,10.13,14.19,12.86,,0.23,17.86,0.77,50.39,,79.9,,,,,,26.48,217.16,0.0,809.0,11-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Jul-2020 - 00:00,6.28,15.26,10.17,14.48,13.28,,0.17,19.93,0.82,60.46,,77.25,,,,,,26.71,227.03,0.0,809.0,12-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Jul-2020 - 00:00,4.53,20.16,6.27,8.38,7.29,,0.07,23.07,0.91,63.31,,75.8,,,,,,26.75,265.67,0.0,809.0,13-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Jul-2020 - 00:00,7.1,15.23,11.52,15.82,14.37,,0.22,20.87,0.89,54.34,,74.21,,,,,,26.92,258.4,0.0,809.0,14-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Jul-2020 - 00:00,5.78,21.32,13.31,19.59,17.87,,0.27,14.38,1.0,54.07,,75.36,,,,,,26.78,262.11,0.0,809.0,15-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Jul-2020 - 00:00,5.18,9.39,8.69,12.26,11.46,,0.17,17.02,0.73,46.49,,84.12,,,,,,26.03,208.03,0.0,809.0,16-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Jul-2020 - 00:00,7.48,15.61,8.23,11.8,10.92,,0.19,15.59,0.68,48.59,,88.38,,,,,,25.89,194.87,0.0,809.0,17-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Jul-2020 - 00:00,6.06,19.9,8.04,11.47,10.44,,0.25,17.99,0.87,47.35,,86.89,,,,,,25.85,188.3,0.0,809.0,18-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Jul-2020 - 00:00,6.32,9.39,7.83,11.07,10.0,,0.17,16.8,0.71,50.69,,84.69,,,,,,26.29,195.38,0.0,809.0,19-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Jul-2020 - 00:00,6.33,10.85,7.62,10.21,9.11,,0.13,21.67,0.62,65.12,,77.73,,,,,,27.22,195.36,0.0,809.0,20-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Jul-2020 - 00:00,7.53,11.11,4.55,6.4,5.88,,0.36,21.44,0.74,50.65,,83.94,,,,,,26.84,164.64,0.01,809.0,21-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Jul-2020 - 00:00,5.82,13.93,0.35,0.97,0.6,,0.19,24.28,0.67,70.36,,72.86,,,,,,27.55,210.48,0.0,809.0,22-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Jul-2020 - 00:00,7.35,11.38,3.14,3.69,3.53,2.52,0.25,25.41,0.59,56.87,,76.46,,,,,,27.57,199.08,0.0,809.0,23-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Jul-2020 - 00:00,7.9,13.3,5.15,6.68,6.27,2.54,0.3,27.4,0.69,55.97,,80.85,,,,,,27.13,210.8,0.0,809.0,24-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Jul-2020 - 00:00,6.22,8.44,3.79,5.13,4.54,2.5,0.22,20.07,0.75,57.09,,80.17,,,,,,26.77,204.92,0.0,809.0,25-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Jul-2020 - 00:00,4.55,12.74,3.85,5.23,4.63,2.54,0.2,23.49,0.97,57.52,,76.4,,,,,,26.71,238.63,0.0,809.0,26-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Jul-2020 - 00:00,6.41,9.34,3.02,4.17,3.45,2.5,0.15,24.0,0.86,55.66,,76.15,,,,,,26.72,229.68,0.0,809.0,27-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Jul-2020 - 00:00,9.24,12.97,4.85,6.44,5.82,2.51,0.32,21.8,0.92,59.51,,74.04,,,,,,26.93,270.71,0.0,809.0,28-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Jul-2020 - 00:00,8.75,14.3,4.63,6.19,5.43,2.47,0.31,18.44,0.81,70.82,,77.01,,,,,,27.17,252.99,0.0,809.0,29-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Jul-2020 - 00:00,6.24,8.94,5.15,6.96,6.22,2.54,0.32,18.92,0.56,45.38,,83.97,,,,,,26.47,207.95,0.0,809.0,30-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Jul-2020 - 00:00,3.31,6.91,4.5,6.15,5.37,2.55,0.24,18.65,0.73,67.03,,80.09,,,,,,26.57,201.9,0.0,809.0,31-Jul-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Aug-2020 - 00:00,5.54,27.98,3.7,5.07,4.26,,0.19,20.13,1.42,38.21,25.82,82.72,,,,,,,250.83,,809.0,05-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Aug-2020 - 00:00,4.39,10.72,3.37,4.71,3.91,4.99,0.17,21.35,1.22,38.51,25.55,87.83,3.49,5.17,,,,,230.62,,809.0,06-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Aug-2020 - 00:00,5.57,12.76,3.61,5.04,4.21,5.0,0.21,20.92,1.32,57.37,26.65,80.67,3.5,5.2,,,,,236.07,,809.0,07-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Aug-2020 - 00:00,4.43,12.5,3.69,5.07,4.22,5.02,0.22,17.13,0.83,41.71,25.97,90.47,3.52,5.25,,,,,197.06,,809.0,08-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Aug-2020 - 00:00,5.55,13.13,4.38,5.9,5.11,4.98,0.29,18.45,0.89,48.41,26.11,84.4,3.48,5.24,,,,,236.69,,809.0,09-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Aug-2020 - 00:00,5.59,10.11,3.37,4.66,3.84,4.99,0.18,22.84,0.83,46.13,25.72,86.01,3.49,5.25,,,,,204.71,,809.0,10-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Aug-2020 - 00:00,4.88,11.95,4.33,5.8,4.97,4.99,0.23,27.24,1.02,54.26,25.97,80.68,3.49,5.21,,,,,222.42,,809.0,11-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Aug-2020 - 00:00,7.67,12.7,4.4,5.95,5.12,5.0,0.26,20.32,0.75,41.6,26.26,86.93,3.5,5.2,,,,,212.31,,809.0,12-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Aug-2020 - 00:00,8.83,15.83,3.95,5.34,4.62,5.01,0.23,20.66,0.86,45.39,26.38,81.79,3.51,5.21,,,,,231.31,,809.0,13-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Aug-2020 - 00:00,11.61,15.66,4.7,6.35,5.59,5.01,0.29,20.57,0.92,64.3,27.17,74.34,3.51,5.18,,,,,236.54,,809.0,14-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Aug-2020 - 00:00,7.58,18.99,4.31,5.87,5.05,5.0,0.28,21.78,1.15,59.34,26.66,75.81,3.5,5.17,,,,,211.18,,809.0,15-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Aug-2020 - 00:00,8.52,14.25,3.57,4.92,4.06,5.04,0.29,21.19,1.03,66.95,25.78,84.53,3.54,5.16,,,,,214.44,,809.0,16-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Aug-2020 - 00:00,4.63,9.89,4.88,6.6,5.87,5.02,0.29,20.36,1.24,60.94,27.18,76.56,3.52,5.2,,,,,228.92,,809.0,18-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Aug-2020 - 00:00,8.16,17.72,4.94,6.7,5.83,5.0,0.29,18.62,1.01,58.95,27.06,76.24,3.5,5.27,,,,,254.83,,809.0,19-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Aug-2020 - 00:00,9.19,21.49,5.01,6.76,5.95,4.98,0.33,17.29,0.83,52.86,26.53,78.63,3.48,5.21,,,,,241.54,,809.0,20-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Aug-2020 - 00:00,9.46,15.12,4.76,6.5,5.73,5.01,0.31,16.17,0.82,47.38,26.59,79.87,3.51,5.25,,,,,232.68,,809.0,21-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
