from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jul-2020 - 00:00,723.19,115.93,40.12,197.07,1.3,0.57,0.14,0.72,0.33,0.92,27.02,5.95,19.33,25.28,55.61,9.87,02-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jul-2020 - 00:00,721.77,110.12,38.52,269.16,1.43,0.95,0.33,1.87,0.96,0.69,37.57,7.17,24.65,31.83,60.35,10.51,03-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jul-2020 - 00:00,721.39,98.17,43.83,205.49,1.86,0.77,0.24,1.32,0.61,0.56,31.62,7.06,18.36,25.39,54.3,11.91,04-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jul-2020 - 00:00,721.09,52.1,24.36,197.63,1.82,0.45,0.07,0.4,0.21,0.74,31.03,7.05,16.87,23.92,54.62,9.43,05-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jul-2020 - 00:00,721.21,34.14,16.98,130.5,1.93,0.37,0.01,0.06,0.03,0.44,25.38,6.62,12.71,19.34,79.16,9.52,06-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jul-2020 - 00:00,721.34,49.13,23.64,212.12,1.56,0.61,0.17,0.89,0.37,0.55,34.2,7.01,19.91,26.96,51.79,11.38,07-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jul-2020 - 00:00,722.86,38.94,16.8,99.68,1.53,1.12,0.62,2.74,1.17,0.8,36.42,8.57,19.93,28.49,35.9,7.96,08-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jul-2020 - 00:00,724.21,36.74,13.79,107.17,1.65,0.55,0.15,0.99,0.41,0.62,34.93,6.25,19.35,25.59,20.26,8.91,09-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jul-2020 - 00:00,722.82,35.72,10.27,214.19,1.34,0.54,0.2,1.0,0.5,0.66,33.64,5.62,22.41,27.44,28.85,9.11,10-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jul-2020 - 00:00,721.93,51.47,22.27,230.19,1.97,0.41,0.17,0.77,0.38,0.53,22.16,6.28,17.99,24.27,38.3,9.37,11-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jul-2020 - 00:00,721.79,43.82,21.64,223.97,2.31,0.35,0.08,0.53,0.27,0.34,30.11,6.24,16.4,22.64,37.38,7.75,12-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jul-2020 - 00:00,722.84,39.23,19.02,216.63,2.08,0.43,0.12,0.64,0.31,0.36,29.59,6.23,16.71,22.94,29.01,6.41,13-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jul-2020 - 00:00,723.25,38.95,15.41,197.49,1.59,1.14,0.59,3.14,1.43,0.47,39.0,8.15,24.29,32.43,17.86,7.91,14-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jul-2020 - 00:00,723.47,64.28,26.09,201.52,1.37,0.79,0.22,1.43,0.7,0.78,38.65,7.39,24.52,31.91,34.41,8.5,15-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jul-2020 - 00:00,722.87,78.15,28.11,212.54,1.49,0.88,0.33,1.58,0.63,0.75,35.42,6.5,21.8,28.3,46.32,7.77,16-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jul-2020 - 00:00,722.05,46.63,14.64,89.8,1.56,0.54,0.05,0.39,0.16,0.7,26.77,5.75,13.91,19.65,43.89,9.72,17-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jul-2020 - 00:00,722.44,31.71,14.12,100.22,1.49,0.42,0.03,0.17,0.09,0.64,26.67,5.59,12.63,18.23,41.71,8.69,18-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jul-2020 - 00:00,723.93,32.52,14.25,147.79,1.23,0.66,0.21,1.33,0.54,0.75,35.22,6.05,20.69,26.59,40.93,8.88,19-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jul-2020 - 00:00,723.79,31.34,14.19,243.09,1.32,0.39,0.1,0.5,0.24,0.68,29.56,5.93,17.18,23.11,44.91,7.86,20-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jul-2020 - 00:00,722.23,30.75,12.76,202.16,1.5,0.3,0.05,0.33,0.15,0.52,26.31,6.28,14.11,20.37,43.68,8.07,21-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jul-2020 - 00:00,723.98,40.02,15.32,219.79,1.92,0.26,0.09,0.49,0.24,0.68,27.42,6.63,15.22,21.84,37.67,7.96,22-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jul-2020 - 00:00,725.43,32.83,12.04,264.19,1.48,0.31,0.13,0.78,0.35,0.39,30.02,7.22,18.12,25.35,35.07,7.84,23-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jul-2020 - 00:00,724.64,42.14,15.34,206.26,1.45,0.6,0.33,1.79,0.75,0.42,31.62,6.2,21.17,27.37,46.61,8.43,24-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jul-2020 - 00:00,726.49,28.87,13.05,200.1,1.2,1.17,0.72,3.39,1.44,0.49,38.88,7.72,26.73,34.44,37.34,7.62,25-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jul-2020 - 00:00,727.4,37.61,15.81,112.01,1.3,0.64,0.25,1.55,0.65,0.49,30.41,5.91,19.6,25.51,44.43,9.53,26-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jul-2020 - 00:00,727.68,41.34,16.51,178.96,1.27,0.54,0.18,0.84,0.46,0.72,31.3,5.76,19.34,25.1,49.36,8.09,27-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jul-2020 - 00:00,726.45,45.52,18.88,244.78,1.04,0.47,0.25,1.25,0.58,0.63,33.7,6.19,21.04,27.23,39.05,11.7,28-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jul-2020 - 00:00,724.77,37.83,18.4,245.3,1.17,0.37,0.13,0.92,0.41,0.72,23.64,4.55,21.88,26.72,37.55,8.76,29-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jul-2020 - 00:00,724.31,65.03,19.8,218.99,1.3,0.45,0.12,0.58,0.35,0.63,27.7,2.07,22.87,24.83,35.33,10.08,30-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
