from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
07-May-2020 - 00:00,30.64,985.14,75.19,34.92,44.84,217.13,114.43,1.64,0.14,1.46,37.56,0.98,3.92,2.94,0.36,38.16,6.96,08-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
08-May-2020 - 00:00,31.43,983.4,97.26,40.15,48.2,198.57,162.36,1.13,0.2,1.29,45.83,1.08,4.55,3.48,0.47,31.06,7.22,09-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
09-May-2020 - 00:00,31.78,983.98,109.48,45.59,48.32,185.28,137.18,1.3,0.23,1.02,51.93,1.08,3.89,2.87,0.47,36.98,6.69,10-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
10-May-2020 - 00:00,29.79,985.46,105.22,35.83,56.06,85.79,121.59,2.41,0.16,0.88,48.69,1.27,5.65,4.49,0.41,35.03,6.85,11-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
11-May-2020 - 00:00,29.99,986.29,70.74,35.7,56.81,159.95,123.93,1.89,0.18,1.13,47.67,1.22,8.22,7.0,0.41,25.94,6.05,12-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
12-May-2020 - 00:00,30.81,985.81,74.7,35.86,51.92,141.35,91.57,1.74,0.18,1.3,48.49,1.1,7.17,6.12,0.4,32.04,6.86,13-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
13-May-2020 - 00:00,30.64,984.6,111.21,56.6,54.79,90.91,178.88,0.91,0.2,1.41,53.45,1.29,8.78,7.5,0.51,25.99,7.77,14-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
14-May-2020 - 00:00,30.74,983.78,82.14,42.38,54.72,166.62,191.61,1.05,0.15,1.2,50.32,2.7,13.63,10.94,0.51,17.25,5.97,15-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
15-May-2020 - 00:00,31.23,983.2,70.99,38.67,46.11,202.0,296.35,0.96,0.13,1.26,46.76,1.71,11.39,9.69,0.42,23.32,7.97,16-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
16-May-2020 - 00:00,31.56,982.11,96.41,68.11,42.25,213.15,307.31,0.84,0.16,1.33,43.18,1.18,12.4,11.24,0.55,25.18,8.11,17-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
17-May-2020 - 00:00,31.64,980.78,108.66,77.35,41.62,168.07,256.47,0.66,0.22,1.63,45.23,2.25,17.02,14.78,0.64,19.4,9.62,18-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
18-May-2020 - 00:00,31.61,979.91,114.52,83.12,40.88,184.13,279.95,0.67,0.27,1.98,43.3,4.71,23.97,19.26,0.74,10.64,10.86,19-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
19-May-2020 - 00:00,31.43,979.62,126.85,83.69,39.8,193.76,210.96,0.72,0.28,2.55,47.6,7.29,27.66,20.39,0.79,12.98,13.29,20-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
20-May-2020 - 00:00,31.84,978.88,110.22,50.97,35.23,209.87,280.26,0.97,0.22,1.79,38.75,1.48,16.21,14.73,0.54,20.48,11.14,21-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
21-May-2020 - 00:00,32.16,978.0,143.41,41.86,35.81,215.3,295.22,0.82,0.17,1.56,35.54,3.0,19.13,15.72,0.58,23.22,10.57,22-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
22-May-2020 - 00:00,32.4,978.19,190.18,79.28,37.84,204.21,244.07,0.7,0.29,1.93,42.46,5.74,27.74,21.94,0.83,10.27,17.05,23-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
23-May-2020 - 00:00,35.71,979.48,202.7,71.7,38.47,190.02,238.06,0.8,0.3,2.44,50.61,4.19,24.99,20.8,0.75,17.89,11.02,24-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
24-May-2020 - 00:00,40.88,980.17,179.49,54.23,37.3,258.3,256.89,1.07,0.21,1.54,53.08,1.67,14.47,12.79,0.52,25.39,8.55,25-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
25-May-2020 - 00:00,39.24,979.41,147.07,53.2,40.04,169.64,269.68,0.86,0.19,1.57,44.08,3.33,22.5,19.19,0.62,16.39,13.41,26-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
26-May-2020 - 00:00,40.6,977.77,167.27,43.65,36.88,199.07,232.97,1.14,0.25,2.27,41.52,8.49,29.41,20.91,0.74,14.84,9.23,27-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
