from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
09-May-2020 - 00:00,14.83,28.72,14.31,58.34,55.88,11.5,12.82,1.28,1.22,0.0,0.0,0.0,0.0,0.67,2.65,78.07,324.7,0.55,10-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-May-2020 - 00:00,20.86,31.73,10.49,51.19,49.49,9.15,12.66,1.24,1.27,0.0,0.0,0.0,0.0,0.69,3.3,74.8,309.94,0.0,11-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-May-2020 - 00:00,12.2,24.18,12.01,52.16,50.16,9.18,12.95,1.24,1.16,0.0,0.0,0.0,0.0,0.81,3.31,78.19,289.51,0.58,12-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-May-2020 - 00:00,23.03,49.36,13.63,57.54,55.22,11.38,12.61,1.4,1.3,0.0,0.0,0.0,0.0,0.62,3.49,73.42,326.57,0.0,13-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
13-May-2020 - 00:00,14.18,25.56,13.15,55.69,53.46,10.75,12.06,1.27,1.16,0.0,0.0,0.0,0.0,0.76,3.4,76.76,347.47,0.23,14-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-May-2020 - 00:00,20.36,38.85,13.74,58.69,56.34,11.08,12.39,1.36,1.26,0.0,0.0,0.0,0.0,0.8,3.54,74.02,364.66,0.06,15-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-May-2020 - 00:00,17.79,40.65,14.7,58.82,56.28,15.77,12.57,1.41,1.24,0.0,0.0,0.01,0.0,0.69,3.24,72.59,340.84,0.0,16-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-May-2020 - 00:00,12.45,20.11,16.28,65.76,62.91,13.75,12.64,1.33,1.26,0.0,0.0,0.0,0.0,0.92,2.81,78.17,230.55,0.33,17-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
17-May-2020 - 00:00,21.86,35.6,15.69,65.29,62.55,11.97,12.34,1.32,1.29,0.0,0.0,0.0,0.0,0.86,2.88,77.26,264.2,0.04,18-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-May-2020 - 00:00,22.03,31.71,18.23,71.13,67.88,13.0,11.98,1.38,1.07,0.0,0.01,0.03,0.0,0.58,2.53,85.13,90.41,0.53,19-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-May-2020 - 00:00,23.46,38.09,17.73,71.62,68.48,11.28,12.48,1.43,1.25,0.0,0.0,0.0,0.0,0.78,2.06,81.71,173.05,1.35,20-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-May-2020 - 00:00,14.05,37.81,17.52,71.49,68.39,10.42,12.34,1.43,1.23,0.0,0.0,0.0,0.0,0.58,2.01,75.85,355.34,0.16,21-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-May-2020 - 00:00,8.65,18.03,18.83,76.07,72.71,12.37,11.78,1.31,1.2,0.0,0.0,0.0,0.0,1.33,2.04,78.97,293.83,1.41,22-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
