from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
14-Apr-2020 - 00:00,0.26,7.05,10.25,8.49,18.74,27.18,46.67,27.13,323.1,31.78,140.81,0.66,4.56,15-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Apr-2020 - 00:00,0.19,7.03,9.71,8.45,18.22,40.73,61.8,35.93,350.35,32.77,236.41,0.75,5.48,16-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Apr-2020 - 00:00,0.18,6.96,9.4,8.69,18.08,37.74,66.48,38.73,334.15,31.4,285.8,0.92,5.8,17-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Apr-2020 - 00:00,0.18,7.0,9.86,8.73,18.38,23.25,55.95,32.53,213.48,27.39,166.67,1.0,4.88,18-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Apr-2020 - 00:00,0.38,8.16,9.06,6.94,17.92,36.3,42.65,24.82,473.85,29.71,311.23,2.08,15.51,19-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Apr-2020 - 00:00,0.29,6.66,8.42,8.95,17.37,34.69,38.02,22.11,380.88,28.44,217.43,0.72,4.21,20-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Apr-2020 - 00:00,0.37,6.85,4.94,8.79,13.87,11.32,44.04,25.6,248.14,25.5,127.96,0.98,21.16,21-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Apr-2020 - 00:00,0.31,6.67,3.06,9.02,12.08,15.63,33.06,19.22,380.45,26.07,128.39,0.43,4.64,22-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Apr-2020 - 00:00,0.28,6.72,2.38,8.82,11.2,19.93,39.8,22.95,382.27,28.39,268.34,0.79,5.34,23-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Apr-2020 - 00:00,0.29,6.8,2.02,8.54,10.65,27.47,43.68,25.45,372.93,30.57,270.02,0.78,5.16,24-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Apr-2020 - 00:00,0.34,6.75,1.85,8.5,10.36,27.18,55.06,32.01,369.53,30.74,255.36,0.64,6.7,25-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Apr-2020 - 00:00,0.37,6.84,1.89,8.31,10.19,24.84,55.17,32.07,233.12,29.69,236.33,1.28,6.78,26-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Apr-2020 - 00:00,0.42,7.26,3.1,7.32,10.43,21.46,66.42,38.61,321.6,29.04,176.89,1.35,5.66,27-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Apr-2020 - 00:00,0.41,8.16,4.65,6.08,10.89,20.65,35.07,20.39,337.04,26.71,114.5,0.99,4.72,28-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Apr-2020 - 00:00,0.43,8.08,4.36,6.23,10.84,23.08,40.64,23.63,369.69,29.02,163.87,0.75,3.94,29-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Apr-2020 - 00:00,0.44,7.69,4.45,6.35,10.8,23.65,49.83,28.52,369.95,31.22,248.84,0.61,5.55,30-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Apr-2020 - 00:00,0.3,8.01,4.13,6.08,10.46,20.98,81.52,47.4,315.52,32.59,228.78,0.89,6.89,01-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-May-2020 - 00:00,0.18,7.63,4.39,6.43,10.82,23.18,93.8,54.53,363.21,33.06,210.84,0.79,5.76,02-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-May-2020 - 00:00,0.42,7.61,4.35,6.6,10.95,8.82,111.03,64.56,213.11,30.9,114.56,0.79,4.9,03-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-May-2020 - 00:00,0.35,7.71,9.42,4.62,14.04,17.48,65.16,37.88,328.9,30.08,137.63,1.13,4.24,04-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-May-2020 - 00:00,0.46,7.62,8.91,4.88,13.77,18.01,40.08,23.3,357.55,29.42,205.42,0.77,5.01,05-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-May-2020 - 00:00,0.43,7.51,8.49,5.36,13.85,27.16,53.94,31.35,369.45,32.24,288.23,1.06,7.86,06-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-May-2020 - 00:00,0.39,7.47,8.49,5.54,14.03,23.54,60.67,35.27,286.59,29.88,145.8,1.1,7.32,07-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
