from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
04-Sep-2020 - 00:00,29.82,0.73,14.67,13.55,22.71,15.39,66.41,1.34,148.78,58.64,726.89,134.11,0.0,-0.13,,,,42.25,27.89,05-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Sep-2020 - 00:00,29.34,0.89,16.82,17.47,31.49,19.95,51.56,1.13,197.07,59.85,725.02,77.16,0.01,-0.16,,,,38.26,27.02,06-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Sep-2020 - 00:00,27.88,0.6,13.78,15.35,32.67,19.39,97.87,1.19,231.23,57.92,724.16,137.81,0.0,-0.13,,,,28.2,27.51,07-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Sep-2020 - 00:00,29.36,1.0,13.42,18.05,49.9,24.77,63.83,1.44,189.23,60.32,724.83,90.0,0.0,-0.13,,,,57.88,27.22,08-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Sep-2020 - 00:00,29.48,0.7,15.23,18.85,44.65,25.09,81.68,1.45,257.42,55.98,725.29,161.99,0.0,-0.16,,,,35.16,28.12,09-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Sep-2020 - 00:00,30.17,1.06,19.81,21.77,53.01,29.39,84.14,1.5,259.98,55.42,725.24,161.98,0.0,-0.18,,,,61.05,28.7,10-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Sep-2020 - 00:00,29.29,1.08,20.53,17.37,48.14,24.77,82.04,1.92,259.61,53.13,722.59,160.64,0.0,-0.19,,,,50.92,28.9,11-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Sep-2020 - 00:00,28.97,1.56,20.06,20.35,66.46,32.24,81.86,1.0,218.76,45.32,723.44,216.11,0.0,-0.13,,,,67.24,30.67,12-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Sep-2020 - 00:00,30.22,1.2,23.44,29.91,67.49,38.87,61.95,0.85,209.14,48.18,725.95,152.14,0.0,-0.1,,,,73.18,29.99,13-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Sep-2020 - 00:00,27.84,1.19,21.15,25.8,61.01,34.31,82.71,0.46,175.25,51.51,725.64,126.69,0.0,-0.1,,,,77.71,29.52,14-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Sep-2020 - 00:00,31.39,1.12,16.6,15.86,51.21,36.03,98.11,1.0,167.54,53.95,724.67,113.0,0.0,-0.11,,,,87.05,29.42,15-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Sep-2020 - 00:00,30.23,1.51,15.04,19.33,74.04,33.72,92.83,0.9,231.39,51.21,724.1,149.77,0.0,-0.14,,,,78.16,29.59,16-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Sep-2020 - 00:00,29.82,1.79,15.36,19.44,78.45,35.05,80.89,0.5,238.82,50.44,723.81,155.81,0.0,-0.16,,,,80.7,30.01,17-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Sep-2020 - 00:00,29.85,1.32,11.75,14.1,61.98,26.86,68.22,0.85,256.66,49.01,723.36,168.44,0.0,-0.22,,,,50.17,30.02,18-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Sep-2020 - 00:00,29.84,1.2,13.59,12.92,54.41,23.93,55.14,2.01,260.27,48.66,722.39,166.26,0.0,-0.24,,,,43.83,30.33,19-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Sep-2020 - 00:00,29.76,1.47,12.34,12.45,61.28,25.57,71.8,1.42,223.42,49.59,722.72,156.06,0.0,-0.13,,,,62.76,30.12,20-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Sep-2020 - 00:00,27.72,1.51,12.02,14.6,62.34,27.28,79.85,1.73,230.69,49.92,722.04,156.04,0.0,-0.15,,,,77.24,29.54,21-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Sep-2020 - 00:00,30.29,1.61,10.26,14.39,78.66,30.82,68.12,1.58,230.05,49.85,721.09,131.84,0.0,-0.11,,,,69.21,29.89,22-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Sep-2020 - 00:00,29.96,1.86,10.69,13.53,35.85,19.08,52.29,1.99,132.58,52.91,721.62,147.34,0.0,-0.11,,,,35.61,29.16,23-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Sep-2020 - 00:00,29.73,1.21,9.98,14.18,25.05,16.14,45.72,2.16,122.14,54.2,721.84,137.6,0.0,-0.11,,,,23.6,28.48,24-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Sep-2020 - 00:00,28.9,1.18,9.73,14.73,26.38,17.2,67.01,1.75,134.86,55.79,723.96,142.52,0.0,-0.1,,,,30.94,27.7,25-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Sep-2020 - 00:00,30.0,1.48,11.44,21.37,56.11,30.0,81.64,2.25,238.07,49.49,723.31,157.77,0.0,-0.23,,,,51.65,28.71,26-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Sep-2020 - 00:00,28.04,1.54,13.77,26.16,58.68,33.9,49.68,2.2,232.09,47.79,723.43,107.72,0.0,-4.42,,,,64.16,27.76,27-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Sep-2020 - 00:00,27.92,1.31,8.2,24.02,52.27,30.67,75.31,1.78,252.96,45.61,726.07,161.76,0.0,-5.02,,,,37.52,27.78,28-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Sep-2020 - 00:00,29.87,1.48,12.16,31.19,67.94,38.38,65.65,2.03,252.82,44.72,727.07,139.66,0.0,-5.09,,,,64.25,28.12,29-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Sep-2020 - 00:00,30.67,1.84,23.62,52.89,44.49,47.54,30.05,2.34,263.34,47.18,726.83,154.46,0.0,-6.16,,,,63.43,27.99,30-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Sep-2020 - 00:00,29.67,1.46,21.55,59.04,42.2,50.96,24.24,2.53,259.83,45.93,725.83,163.1,0.0,-6.0,,,,58.24,27.52,01-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Oct-2020 - 00:00,29.39,1.62,21.14,70.87,43.78,59.23,22.9,2.08,256.51,44.11,725.21,164.33,0.0,-4.21,,,,129.64,27.98,02-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Oct-2020 - 00:00,27.99,1.57,18.9,73.24,46.78,61.65,14.89,0.46,256.96,43.61,725.94,162.62,0.0,-2.19,,,,85.23,27.75,03-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Oct-2020 - 00:00,29.01,1.67,18.12,65.2,50.88,57.49,20.16,0.42,260.57,43.46,727.0,155.29,0.0,-0.15,,,,89.19,27.52,04-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Oct-2020 - 00:00,27.94,1.75,18.3,87.97,55.73,73.92,15.25,0.31,242.6,42.27,727.76,152.61,0.0,-0.13,,,,80.73,26.8,05-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Oct-2020 - 00:00,29.87,1.45,17.59,52.3,60.46,50.94,53.49,1.53,262.6,41.17,727.42,157.22,0.0,-0.21,,,,64.12,26.94,06-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Oct-2020 - 00:00,29.7,1.67,21.47,44.58,73.77,50.33,73.55,1.53,243.17,40.98,727.84,158.45,0.0,-0.18,,,,74.92,26.98,07-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Oct-2020 - 00:00,29.05,2.15,24.15,83.14,84.68,77.75,72.33,1.31,247.9,41.94,729.7,147.57,0.0,-0.14,,,,92.24,27.09,08-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Oct-2020 - 00:00,29.83,1.7,21.01,44.95,80.21,51.74,66.67,1.65,258.37,42.08,730.01,125.89,0.0,-0.13,,,,86.08,27.02,09-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Oct-2020 - 00:00,29.24,1.75,20.07,40.22,89.15,51.81,74.65,1.06,237.24,41.89,730.29,127.77,0.0,-0.1,,,,92.46,27.02,10-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Oct-2020 - 00:00,29.24,1.65,17.65,29.03,74.14,40.16,77.16,1.81,254.89,43.16,728.99,134.94,0.0,-0.14,,,,90.18,26.93,11-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Oct-2020 - 00:00,28.05,1.66,16.43,28.5,71.81,39.16,73.22,1.9,265.05,43.19,726.95,126.65,0.0,-0.15,,,,95.99,26.75,12-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Oct-2020 - 00:00,29.79,2.26,21.1,50.64,103.24,62.68,63.84,1.18,226.79,41.56,725.5,115.99,0.0,-0.11,,,,129.31,27.29,13-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Oct-2020 - 00:00,29.16,2.0,19.79,34.08,63.51,40.5,70.09,1.39,124.17,48.02,726.3,104.16,0.0,-0.11,,,,140.52,27.02,14-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Oct-2020 - 00:00,28.67,1.91,17.96,23.69,65.35,34.15,76.42,1.08,150.56,46.66,727.9,95.86,0.0,-0.1,,,,122.92,27.53,15-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Oct-2020 - 00:00,29.9,2.25,21.06,41.9,78.11,49.8,76.84,1.58,203.28,39.9,728.75,161.03,0.0,-0.11,,,,175.21,27.73,16-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Oct-2020 - 00:00,30.36,2.55,28.47,47.05,114.54,63.5,79.89,2.08,223.25,32.16,728.16,191.89,0.0,-0.11,,,,100.39,28.36,17-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Oct-2020 - 00:00,29.99,2.58,34.61,74.57,117.44,82.51,58.04,1.77,227.46,37.11,729.2,113.24,0.0,-0.1,,,,130.8,26.13,18-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Oct-2020 - 00:00,30.06,1.71,26.78,41.95,69.55,47.4,55.1,3.12,261.71,35.54,729.16,127.99,0.0,-0.14,,,,102.02,25.88,19-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Oct-2020 - 00:00,30.6,1.73,31.06,32.25,76.01,42.82,59.06,1.57,263.86,34.32,728.75,134.43,0.0,-0.16,,,,106.94,25.75,20-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Oct-2020 - 00:00,29.53,2.44,34.1,60.35,101.76,68.68,49.79,1.07,243.0,33.43,728.38,137.4,0.0,-0.11,,,,101.78,25.44,21-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Oct-2020 - 00:00,28.36,2.9,40.88,127.14,107.51,114.46,42.96,1.0,203.05,35.07,729.46,130.2,0.0,-0.1,,,,144.17,25.64,22-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Oct-2020 - 00:00,30.54,2.54,42.05,67.95,126.37,80.66,50.3,1.3,200.27,35.9,728.1,107.61,0.0,-0.1,,,,143.44,25.78,23-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Oct-2020 - 00:00,28.37,3.27,32.17,96.57,145.15,104.91,51.48,1.04,203.4,37.96,727.77,112.82,0.0,-0.1,,,,219.88,25.06,24-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Oct-2020 - 00:00,28.37,3.06,26.47,90.76,144.2,100.79,47.62,1.44,250.99,38.48,728.91,123.23,0.0,-0.13,,,,175.97,24.48,25-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Oct-2020 - 00:00,28.33,3.27,23.21,91.44,143.6,101.06,49.76,0.87,192.58,41.21,731.33,101.03,0.0,-0.11,,,,230.71,24.31,26-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Oct-2020 - 00:00,29.97,2.9,22.36,69.45,135.67,84.28,46.61,1.47,225.93,38.54,732.7,101.12,0.0,-0.11,,,,173.91,24.53,27-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Oct-2020 - 00:00,29.65,2.03,25.08,36.1,90.72,49.53,46.82,2.6,258.92,37.75,732.56,115.72,0.0,-0.16,,,,160.75,23.25,28-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Oct-2020 - 00:00,30.03,2.64,36.28,46.16,129.15,67.06,42.79,1.31,229.22,37.09,733.32,105.08,0.0,-0.1,,,,193.43,23.06,29-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Oct-2020 - 00:00,30.08,2.99,36.58,65.13,118.72,75.71,43.11,0.91,210.14,39.28,734.2,108.86,0.0,-0.1,,,,216.45,23.31,30-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Oct-2020 - 00:00,28.15,2.32,29.01,32.84,108.72,52.48,40.09,1.96,255.66,37.94,733.82,110.16,0.0,-0.12,,,,194.04,23.13,31-Oct-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Oct-2020 - 00:00,29.92,2.04,15.68,17.31,93.65,37.94,44.15,2.88,267.78,39.36,733.83,116.83,0.0,-0.18,,,,253.84,22.47,01-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Nov-2020 - 00:00,28.92,2.46,26.35,26.37,96.33,44.69,39.83,2.89,267.02,37.02,734.9,124.96,0.0,-0.18,,,,432.6,21.03,02-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Nov-2020 - 00:00,31.25,2.51,40.47,71.54,97.03,74.74,65.79,2.79,253.9,31.53,735.41,168.1,0.0,-0.16,,,,146.1,23.82,03-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Nov-2020 - 00:00,30.97,2.59,40.16,69.59,90.54,71.62,36.87,1.82,213.93,34.5,734.25,125.2,0.0,-0.13,,,,144.38,22.36,04-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Nov-2020 - 00:00,33.01,2.97,44.8,49.88,87.12,57.59,33.55,1.61,229.52,38.22,733.41,90.97,0.0,-0.12,,,,301.86,21.69,05-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Nov-2020 - 00:00,37.22,2.79,45.62,66.72,86.59,67.65,37.21,1.3,247.7,37.46,734.62,106.17,0.0,-0.13,,,,262.78,22.72,06-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Nov-2020 - 00:00,30.27,2.81,23.51,49.67,105.82,62.76,32.74,1.19,238.71,37.64,737.41,94.92,0.0,-0.12,,,,274.65,22.36,07-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Nov-2020 - 00:00,29.09,2.84,20.65,27.41,66.87,36.19,41.27,1.42,247.96,39.17,738.19,103.71,0.0,-0.12,,,,312.96,21.84,08-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Nov-2020 - 00:00,28.58,3.99,16.86,0.38,,0.0,37.67,0.78,217.4,42.95,738.83,74.08,0.0,-0.1,,,,409.94,20.89,09-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Nov-2020 - 00:00,29.72,3.46,24.15,19.19,183.64,42.99,41.73,1.01,221.48,45.33,737.14,79.34,0.0,-0.1,,,,499.68,20.53,10-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Nov-2020 - 00:00,29.92,4.1,26.56,125.79,115.33,115.77,45.31,1.22,171.32,48.08,736.07,90.24,0.0,-0.11,,,,521.38,20.98,11-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Nov-2020 - 00:00,30.09,3.9,42.85,193.97,71.63,148.48,39.68,1.27,153.49,48.22,738.07,99.6,0.0,-0.11,,,,187.96,21.17,12-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Nov-2020 - 00:00,29.94,2.03,47.81,182.39,54.83,129.73,47.02,0.94,173.79,46.68,739.36,108.08,0.0,-0.11,,,,173.85,21.68,13-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Nov-2020 - 00:00,30.67,1.96,30.87,79.59,163.52,98.02,65.62,0.95,203.93,39.33,737.17,127.13,0.0,-0.11,,,,128.35,23.46,14-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Nov-2020 - 00:00,30.7,3.53,53.12,68.04,175.29,94.56,47.9,0.71,193.64,46.1,735.56,78.72,0.0,-0.1,,,,360.91,20.77,15-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Nov-2020 - 00:00,30.99,2.09,32.08,28.37,82.8,42.18,38.74,1.59,152.75,49.24,735.41,88.82,0.01,-0.11,,,,350.23,20.38,16-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Nov-2020 - 00:00,30.61,1.86,29.62,23.52,50.88,29.94,34.59,1.55,187.73,60.95,737.13,92.7,0.0,-0.13,,,,88.32,20.51,17-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Nov-2020 - 00:00,30.65,1.61,32.12,35.4,73.82,44.28,29.14,2.03,260.06,54.57,735.06,104.89,0.0,-0.14,,,,93.2,19.97,18-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Nov-2020 - 00:00,29.76,1.79,32.74,29.87,113.75,51.92,29.28,1.45,243.39,50.61,734.04,93.32,0.0,-0.11,,,,122.38,19.3,19-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Nov-2020 - 00:00,30.48,2.49,44.17,86.14,153.84,100.46,27.25,1.64,247.44,46.82,734.33,101.55,0.0,-0.12,,,,147.07,19.01,20-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Nov-2020 - 00:00,29.55,1.8,42.88,33.58,129.15,58.75,28.9,3.36,263.45,44.23,735.88,113.03,0.0,-0.17,,,,153.31,18.43,21-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Nov-2020 - 00:00,30.42,1.5,40.69,16.17,91.57,36.6,28.39,3.46,265.06,43.29,736.2,103.8,0.0,-0.19,,,,125.39,17.54,22-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Nov-2020 - 00:00,28.6,1.71,37.42,27.75,111.19,49.8,23.7,1.73,250.7,40.51,736.94,106.92,0.0,-0.14,,,,141.65,17.46,23-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Nov-2020 - 00:00,29.67,1.86,52.94,50.99,123.28,68.58,24.55,1.13,198.05,43.07,737.7,103.05,0.0,-0.1,,,,178.38,16.94,24-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Nov-2020 - 00:00,,0.02,24.63,139.97,53.16,161.68,52.82,1.6,164.5,36.5,738.25,282.5,0.0,-0.1,,,,210.0,21.77,25-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Nov-2020 - 00:00,30.05,3.65,11.59,15.87,113.47,42.59,33.61,2.68,112.46,47.04,737.12,63.19,0.0,-0.1,,,,229.05,19.31,26-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Nov-2020 - 00:00,29.82,2.18,11.3,41.7,110.36,58.79,27.2,2.01,208.31,50.5,739.21,77.34,0.0,-0.12,,,,128.55,19.16,27-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Nov-2020 - 00:00,30.05,2.31,12.12,15.66,99.44,38.44,29.24,3.24,261.75,41.14,740.89,146.16,0.0,-0.21,,,,69.04,20.92,28-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Nov-2020 - 00:00,30.12,2.52,17.16,23.09,103.7,44.59,28.92,2.87,259.1,44.19,739.92,111.22,0.0,-0.21,,,,98.45,18.91,29-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Nov-2020 - 00:00,29.25,2.99,21.45,35.37,140.9,63.24,28.9,1.33,243.43,41.61,738.58,104.95,0.0,-0.12,,,,131.52,18.75,30-Nov-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Nov-2020 - 00:00,30.02,3.0,20.51,47.48,139.08,70.73,29.03,1.24,240.07,43.14,737.57,107.62,0.0,-0.13,,,,157.38,19.05,01-Dec-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Dec-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
