from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,MP-Xylene,Eth-Benzene,to date,station
06-Sep-2020 - 00:00,23.49,7.58,0.35,31.62,17.74,0.0,106.48,24.69,78.56,55.15,3.16,188.11,29.6,76.35,158.35,0.13,0.14,07-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Sep-2020 - 00:00,22.23,7.76,0.31,37.6,16.26,0.0,96.78,23.82,57.06,34.95,3.02,174.55,28.48,79.9,114.72,0.13,0.12,08-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Sep-2020 - 00:00,25.92,5.11,0.38,37.54,19.1,0.0,94.02,26.73,60.9,35.01,3.37,168.78,28.59,77.79,159.54,0.16,0.11,09-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Sep-2020 - 00:00,,,0.76,47.6,27.23,0.0,83.3,31.53,0.0,,3.78,176.18,28.61,78.95,120.52,0.25,0.1,10-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Sep-2020 - 00:00,34.42,2.49,0.64,35.48,26.18,0.0,115.92,30.73,36.88,42.11,3.09,181.41,27.9,82.71,118.61,0.27,0.11,11-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Sep-2020 - 00:00,22.34,6.55,0.41,36.06,25.17,0.0,101.6,24.43,13.29,32.35,3.02,191.31,28.64,78.76,158.01,0.18,0.04,12-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Sep-2020 - 00:00,,,0.31,30.3,23.21,0.0,84.57,18.87,0.0,,2.86,189.07,29.47,75.26,174.05,0.12,0.02,13-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Sep-2020 - 00:00,25.08,4.24,0.27,33.58,15.31,0.0,79.71,18.8,8.81,59.52,3.08,185.94,29.11,76.38,158.93,0.08,0.0,14-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Sep-2020 - 00:00,23.81,6.21,0.47,31.82,14.45,0.0,79.39,18.42,53.54,29.72,3.19,182.72,28.06,81.74,128.71,0.11,0.02,15-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Sep-2020 - 00:00,34.69,4.12,0.4,28.67,17.09,0.0,78.66,21.47,62.05,27.37,3.14,177.48,27.57,84.54,104.83,0.1,0.09,16-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Sep-2020 - 00:00,44.72,5.13,0.4,28.19,16.5,0.0,80.96,16.87,62.46,17.75,2.95,190.4,28.95,79.4,54.31,0.03,0.01,17-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Sep-2020 - 00:00,47.29,4.57,0.39,38.77,19.52,0.0,90.53,21.07,64.18,16.9,3.47,186.33,29.66,75.36,196.07,0.01,0.01,18-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Sep-2020 - 00:00,42.37,9.41,0.51,34.03,28.37,0.0,102.42,23.62,46.98,22.32,3.46,171.7,28.74,78.99,112.28,0.04,0.0,19-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Sep-2020 - 00:00,28.66,13.52,0.43,39.79,15.44,0.0,95.22,19.1,9.68,13.59,3.12,186.68,29.12,74.6,219.67,0.02,0.0,20-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Sep-2020 - 00:00,17.89,,0.67,28.44,22.48,0.0,132.06,27.52,37.94,20.03,3.27,176.92,28.01,81.35,53.57,0.07,0.0,21-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Sep-2020 - 00:00,16.25,0.05,0.56,26.87,16.88,0.0,74.12,22.7,30.88,14.67,3.26,176.79,26.43,90.85,29.61,0.04,0.0,22-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Sep-2020 - 00:00,13.55,1.11,0.5,30.3,15.97,0.0,84.31,21.13,25.05,11.54,3.18,163.84,28.04,81.35,22.22,0.03,0.01,23-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Sep-2020 - 00:00,13.81,0.45,0.43,31.83,18.41,0.0,85.85,19.69,26.52,12.71,3.14,190.87,28.86,77.16,130.93,0.05,0.01,24-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Sep-2020 - 00:00,12.95,3.95,0.48,31.71,14.79,0.02,88.77,21.35,20.47,8.79,2.96,182.15,29.16,78.0,86.12,0.04,0.0,25-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Sep-2020 - 00:00,8.51,3.29,0.59,28.33,14.91,0.03,97.2,17.6,15.83,8.05,3.33,167.42,28.69,79.18,131.44,0.05,0.0,26-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Sep-2020 - 00:00,12.15,4.7,0.74,26.11,16.06,0.01,112.6,26.35,23.94,11.86,2.98,149.83,27.57,83.11,66.32,0.08,0.0,27-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Sep-2020 - 00:00,12.49,4.56,0.73,35.36,16.79,0.0,127.99,32.65,22.86,10.38,2.93,151.9,28.84,76.29,182.86,0.07,0.0,28-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Sep-2020 - 00:00,10.6,3.77,0.64,36.01,15.83,0.02,115.66,28.58,18.26,7.63,3.12,159.26,28.58,71.63,206.9,0.06,0.0,29-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Sep-2020 - 00:00,9.95,3.99,0.63,40.11,16.97,0.01,109.61,25.19,19.1,9.13,3.07,161.6,28.46,77.52,140.93,0.06,0.0,30-Sep-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Sep-2020 - 00:00,13.53,7.8,0.99,22.66,25.46,0.0,144.97,38.32,34.45,20.91,3.56,148.86,26.48,88.51,18.15,0.06,0.0,01-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Oct-2020 - 00:00,10.67,3.33,0.79,34.58,17.17,0.0,94.45,24.1,17.54,6.88,3.09,148.11,27.53,83.88,40.04,0.08,0.0,02-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Oct-2020 - 00:00,7.26,2.67,0.69,25.45,15.85,0.0,75.12,22.99,15.92,8.68,3.59,163.86,26.27,86.22,62.87,0.08,0.0,03-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Oct-2020 - 00:00,7.73,3.73,0.73,23.27,16.38,0.01,73.21,19.95,22.15,15.18,3.06,161.68,25.94,89.14,49.72,0.03,0.0,04-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Oct-2020 - 00:00,9.48,4.35,0.88,28.89,17.57,0.0,76.93,25.16,28.24,18.79,3.7,171.85,25.41,90.63,42.7,0.02,0.0,05-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Oct-2020 - 00:00,9.72,2.66,0.87,32.43,19.17,0.0,85.16,25.0,21.43,11.73,3.33,174.58,26.2,85.83,105.14,0.05,0.0,06-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Oct-2020 - 00:00,8.73,4.4,0.77,31.38,16.65,0.0,94.57,22.04,17.51,20.07,3.15,170.06,26.06,86.2,63.51,0.05,0.0,07-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Oct-2020 - 00:00,6.04,2.54,0.61,38.76,16.28,0.0,83.47,21.4,0.29,7.8,3.25,182.81,27.49,80.52,122.71,0.04,0.0,08-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Oct-2020 - 00:00,8.99,2.44,0.67,42.98,15.31,0.0,81.02,21.48,8.75,8.93,3.19,191.31,27.89,80.29,114.62,0.04,0.0,09-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Oct-2020 - 00:00,5.57,0.39,0.81,35.61,19.05,0.0,122.92,32.54,0.6,4.0,3.5,180.61,28.66,76.94,182.22,0.07,0.0,10-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Oct-2020 - 00:00,9.71,3.54,1.04,31.7,15.75,0.0,94.97,23.91,9.76,9.83,3.1,161.83,27.64,83.12,99.28,0.05,0.0,11-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Oct-2020 - 00:00,11.28,3.6,1.72,31.61,17.84,0.0,73.27,25.17,24.24,13.0,3.62,170.9,28.06,76.55,173.05,0.05,0.0,12-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Oct-2020 - 00:00,7.7,3.06,1.38,32.56,15.6,0.0,55.8,21.99,17.18,9.55,3.15,161.75,28.0,72.91,234.51,0.03,0.0,13-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
