from date,PM2.5,PM10,AT,Temp,SR,RH,WS,WD,BP,RF,SO2,NO,NO2,NOx,NH3,CO,Ozone,to date,station
20-Apr-2020 - 00:00,7.71,20.95,30.27,27.95,191.62,83.12,1.05,167.2,756.49,6.1,7.93,2.67,5.49,5.08,8.12,0.7,23.95,21-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Apr-2020 - 00:00,5.38,24.16,29.78,27.74,227.15,74.1,1.2,154.34,756.95,9.66,7.85,6.79,5.39,8.35,7.87,0.68,26.2,22-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Apr-2020 - 00:00,6.45,23.65,29.63,27.73,210.88,79.33,1.39,166.97,757.17,10.0,8.38,6.76,5.24,8.24,7.52,0.65,28.79,23-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Apr-2020 - 00:00,8.03,28.46,29.69,27.7,185.2,85.52,1.42,176.39,756.69,10.0,7.43,6.9,4.74,8.1,7.73,0.63,28.03,24-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Apr-2020 - 00:00,9.21,36.39,30.13,27.71,165.41,94.7,1.46,241.8,756.89,5.0,7.42,2.89,4.54,4.84,7.45,0.67,28.66,25-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Apr-2020 - 00:00,11.13,37.71,30.72,28.6,227.57,72.8,2.06,273.97,755.83,0.01,7.59,9.95,6.33,11.41,7.67,0.65,25.47,26-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Apr-2020 - 00:00,12.76,49.08,29.22,28.21,190.03,81.56,1.59,210.03,756.6,0.28,7.88,6.8,4.0,7.62,7.25,0.61,30.99,27-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Apr-2020 - 00:00,9.93,27.78,29.8,28.26,245.47,73.59,1.64,231.85,757.12,0.0,7.58,6.98,6.14,8.9,7.13,0.67,36.19,28-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Apr-2020 - 00:00,15.75,34.21,28.75,28.41,183.45,76.04,1.72,236.78,756.52,1.02,7.75,8.14,7.25,10.42,7.02,0.65,37.56,29-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Apr-2020 - 00:00,14.23,29.0,29.07,28.16,231.99,58.94,1.53,181.84,756.74,0.26,7.63,7.89,7.6,10.24,7.19,0.67,34.34,30-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Apr-2020 - 00:00,11.53,39.73,29.23,28.23,205.11,54.58,1.59,143.78,757.0,0.57,7.54,7.87,6.22,9.67,7.25,0.71,35.51,01-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-May-2020 - 00:00,8.4,35.81,29.83,28.08,225.34,48.38,1.79,186.04,756.84,1.01,7.09,7.38,4.88,8.54,7.45,0.66,31.18,02-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-May-2020 - 00:00,6.79,21.88,29.97,28.29,220.69,47.6,1.96,201.44,755.33,1.22,8.23,7.14,4.22,7.84,7.24,0.64,38.36,03-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-May-2020 - 00:00,10.25,,30.04,28.38,205.89,50.64,1.92,212.81,755.09,1.45,7.7,2.25,2.35,3.04,7.37,0.65,37.74,04-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-May-2020 - 00:00,14.89,40.26,30.24,28.31,212.73,50.04,1.94,228.91,755.96,0.9,7.57,7.35,5.95,9.07,6.53,0.67,35.92,05-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-May-2020 - 00:00,15.7,44.73,29.45,27.96,192.81,46.04,1.72,168.78,755.8,2.05,7.87,7.02,5.91,8.73,6.81,0.73,41.32,06-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-May-2020 - 00:00,13.0,24.0,28.74,28.01,178.42,39.56,1.38,147.23,755.77,1.53,7.69,7.05,8.28,10.09,7.6,0.78,36.52,07-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-May-2020 - 00:00,9.91,39.0,28.16,28.08,128.79,44.22,1.09,105.51,755.88,1.77,8.48,11.65,10.02,14.71,6.73,0.76,29.03,08-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-May-2020 - 00:00,8.34,33.0,27.35,28.01,126.3,52.83,1.08,96.34,755.68,3.11,6.88,7.24,9.06,10.67,6.49,0.74,26.21,09-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-May-2020 - 00:00,7.52,26.8,28.14,28.18,148.72,56.45,1.05,211.88,755.12,1.73,8.12,7.24,9.69,11.01,6.32,0.79,27.35,10-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-May-2020 - 00:00,7.4,29.91,28.64,28.05,163.56,46.86,1.28,229.57,755.0,2.99,8.18,7.22,4.9,8.44,5.98,0.67,30.91,11-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-May-2020 - 00:00,7.62,43.0,27.87,28.1,134.36,51.17,1.06,129.41,755.15,1.77,8.35,7.11,8.91,10.48,5.92,0.72,24.63,12-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-May-2020 - 00:00,9.62,72.12,28.16,28.02,129.95,50.58,1.02,196.16,754.62,2.28,8.23,7.72,10.14,11.63,5.98,0.76,28.3,13-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-May-2020 - 00:00,7.54,27.0,28.46,28.01,165.58,52.18,1.06,244.55,754.71,1.62,9.1,7.46,9.66,11.16,5.7,0.76,27.86,14-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-May-2020 - 00:00,6.81,14.0,28.34,28.28,183.58,39.17,1.31,163.15,753.93,1.87,7.62,3.4,8.98,7.72,6.39,0.7,28.18,15-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-May-2020 - 00:00,8.04,22.11,28.28,29.15,146.82,48.91,1.89,270.93,753.48,4.72,9.13,5.51,8.66,8.79,6.88,0.61,39.88,16-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-May-2020 - 00:00,15.13,25.31,28.28,28.04,137.03,87.88,2.01,241.52,753.42,3.67,8.09,7.41,8.89,10.58,6.37,0.71,39.28,17-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-May-2020 - 00:00,6.84,27.71,28.8,28.17,119.62,85.59,1.72,271.62,752.93,3.05,7.13,7.04,3.66,7.51,5.85,0.67,44.98,18-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-May-2020 - 00:00,6.1,13.82,26.71,28.12,70.86,90.89,1.96,221.6,753.33,5.33,6.71,7.28,7.95,10.09,6.73,0.66,44.13,19-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-May-2020 - 00:00,12.42,28.3,28.26,28.18,153.96,82.26,2.04,260.35,753.41,5.06,6.44,8.25,8.63,11.06,7.05,0.66,37.32,20-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-May-2020 - 00:00,8.8,15.13,29.27,28.61,209.31,55.52,2.3,304.91,753.46,3.73,7.14,9.26,8.55,11.99,6.59,0.71,35.77,21-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-May-2020 - 00:00,4.35,12.5,26.94,28.07,50.28,50.44,1.29,224.24,755.09,3.26,6.69,8.39,11.42,12.53,6.25,0.65,34.75,22-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-May-2020 - 00:00,4.57,10.5,28.25,27.99,182.32,37.22,2.27,274.26,754.73,4.84,6.82,8.54,10.99,12.57,5.94,0.68,35.28,23-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-May-2020 - 00:00,7.65,36.75,29.41,27.77,183.97,34.8,2.07,271.28,754.91,0.48,8.24,8.33,8.05,10.98,5.83,0.67,28.16,24-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-May-2020 - 00:00,7.08,28.25,29.62,27.73,176.88,30.36,2.24,286.56,755.48,0.0,8.76,7.66,5.45,8.77,5.6,0.59,33.54,25-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-May-2020 - 00:00,9.7,39.32,29.25,27.85,139.44,28.69,1.72,240.29,755.99,0.0,8.58,8.94,11.12,13.12,5.6,0.73,29.32,26-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-May-2020 - 00:00,5.54,28.27,29.4,28.11,183.9,24.81,1.66,268.35,756.02,0.04,8.66,8.95,10.69,12.92,5.8,0.73,30.42,27-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-May-2020 - 00:00,11.21,41.17,28.96,28.11,171.22,25.0,1.59,272.55,755.76,3.39,7.26,8.59,11.74,13.05,5.83,0.76,32.53,28-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-May-2020 - 00:00,8.34,33.45,28.27,27.79,150.73,28.6,1.55,220.76,755.31,4.05,8.17,8.23,11.29,12.65,5.58,0.7,36.03,29-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-May-2020 - 00:00,7.01,31.53,27.27,28.11,115.19,34.91,0.99,99.83,755.49,3.57,7.4,7.79,12.91,13.17,6.1,0.83,30.51,30-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-May-2020 - 00:00,7.37,27.82,28.41,28.11,181.66,29.39,1.26,205.85,755.71,6.89,8.66,8.4,11.78,13.02,5.5,0.79,29.56,31-May-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-May-2020 - 00:00,5.25,12.29,28.71,28.01,222.79,27.19,1.56,224.61,756.56,6.96,8.61,6.86,4.28,7.8,5.0,0.6,34.07,01-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Jun-2020 - 00:00,2.67,10.16,27.54,27.98,153.44,32.74,1.06,171.02,757.17,6.96,7.48,8.92,10.36,12.29,4.97,0.69,28.16,02-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Jun-2020 - 00:00,1.0,10.12,26.4,27.56,17.36,66.82,0.54,264.7,756.12,4.85,8.95,3.88,11.7,8.48,4.67,0.38,20.72,03-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Jun-2020 - 00:00,,8.12,26.65,27.72,135.69,79.53,0.78,280.56,754.44,2.88,8.32,3.82,6.38,5.13,6.12,0.23,19.25,04-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Jun-2020 - 00:00,,,29.52,26.85,421.25,,2.82,339.5,758.25,2.33,3.23,,,0.0,,0.18,17.4,05-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Jun-2020 - 00:00,8.0,,30.46,28.05,216.9,62.28,1.48,347.75,754.05,7.57,7.71,10.83,23.03,16.06,4.66,0.43,14.65,06-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Jun-2020 - 00:00,11.5,,27.35,27.59,130.06,15.08,1.39,298.5,754.39,9.78,8.97,4.72,11.83,7.95,4.18,0.7,22.32,07-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Jun-2020 - 00:00,10.35,,26.64,28.24,100.57,38.6,1.14,233.54,751.98,3.21,8.77,6.85,4.49,7.32,7.31,0.39,27.88,08-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Jun-2020 - 00:00,15.58,,28.09,28.23,202.62,31.21,1.87,325.71,750.75,4.08,6.73,10.53,13.3,15.28,6.35,0.64,23.55,09-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Jun-2020 - 00:00,22.0,,28.62,27.8,170.84,22.66,2.05,298.18,752.65,9.65,7.85,4.55,7.94,7.55,6.02,0.43,21.84,10-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Jun-2020 - 00:00,20.13,31.92,27.8,28.21,122.45,35.71,1.76,241.79,753.64,0.46,8.24,4.54,9.97,8.44,6.64,0.59,21.48,11-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Jun-2020 - 00:00,10.0,39.88,27.54,28.1,94.89,35.14,1.41,186.1,753.62,8.47,9.31,19.86,14.36,23.74,5.57,0.68,16.24,12-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Jun-2020 - 00:00,,48.21,28.75,28.14,172.61,33.53,1.55,222.55,753.04,8.36,9.53,17.23,16.11,22.58,5.09,0.75,15.45,13-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Jun-2020 - 00:00,12.67,42.49,28.47,28.19,202.51,32.58,1.79,271.81,753.83,0.35,8.95,8.57,9.16,11.8,5.53,0.7,23.8,14-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Jun-2020 - 00:00,14.46,34.4,28.15,28.53,164.8,30.99,2.42,255.91,754.91,0.15,8.99,7.4,5.54,8.71,6.43,0.49,24.16,15-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Jun-2020 - 00:00,29.71,45.97,29.44,28.94,212.17,9.51,2.27,212.03,754.4,0.39,8.87,12.91,14.83,17.32,5.69,0.77,21.05,16-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Jun-2020 - 00:00,23.05,48.09,29.09,28.77,207.17,16.49,1.72,189.55,752.97,0.59,9.36,12.57,12.46,16.32,6.25,0.67,19.31,17-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Jun-2020 - 00:00,21.65,55.86,28.65,28.47,183.1,16.47,1.66,181.62,753.36,0.12,7.84,10.96,9.83,14.1,7.16,0.71,19.92,18-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Jun-2020 - 00:00,20.92,46.82,28.94,27.9,195.2,,2.22,213.54,755.94,0.01,8.22,9.58,10.73,13.05,6.87,0.63,21.96,19-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Jun-2020 - 00:00,18.02,37.62,27.86,27.88,154.62,,2.43,239.73,756.64,0.14,8.79,5.8,9.42,9.73,6.56,0.64,21.32,20-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Jun-2020 - 00:00,19.73,39.98,28.69,27.91,188.48,,2.04,217.27,756.23,0.0,7.48,9.03,10.29,12.62,6.6,0.64,22.77,21-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Jun-2020 - 00:00,14.37,29.03,28.03,27.94,151.69,1.5,2.14,246.7,755.96,0.29,7.66,7.54,4.73,8.62,6.28,0.5,22.85,22-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Jun-2020 - 00:00,18.12,31.14,28.75,28.01,159.89,77.22,2.02,214.95,754.79,0.0,6.44,8.39,8.7,11.28,6.44,0.67,26.91,23-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Jun-2020 - 00:00,27.31,53.78,29.36,28.04,158.21,58.42,1.67,313.73,754.79,0.0,7.49,9.0,13.3,14.34,7.09,0.72,28.06,24-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Jun-2020 - 00:00,34.13,66.8,29.44,28.12,195.53,17.16,2.12,316.61,754.51,0.0,8.6,8.98,11.19,13.21,7.02,0.7,24.75,25-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Jun-2020 - 00:00,24.76,45.07,28.6,28.08,155.77,14.1,1.9,317.96,754.06,0.0,8.21,8.44,12.06,12.89,7.06,0.68,30.88,26-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Jun-2020 - 00:00,19.1,30.8,26.72,28.13,119.23,22.22,2.13,319.52,754.22,1.46,7.41,8.07,9.04,11.17,6.6,0.6,32.46,27-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Jun-2020 - 00:00,17.19,36.09,27.2,27.86,146.83,14.85,2.11,307.42,754.79,0.27,8.95,7.58,8.89,10.83,6.34,0.62,31.02,28-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Jun-2020 - 00:00,23.85,44.32,27.96,27.77,192.43,9.47,1.67,335.93,754.53,0.11,8.12,6.93,7.03,9.32,6.07,0.61,28.04,29-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Jun-2020 - 00:00,22.63,45.36,27.55,27.76,128.08,9.79,1.87,315.61,754.18,0.16,8.09,8.9,10.8,12.82,5.63,0.68,26.13,30-Jun-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Jun-2020 - 00:00,19.94,41.29,28.24,27.92,214.22,6.43,2.25,326.7,753.85,0.0,8.54,8.57,10.26,11.91,5.78,0.52,25.57,01-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Jul-2020 - 00:00,18.44,37.66,28.64,27.71,219.24,5.34,2.23,317.25,754.58,0.0,8.32,9.15,9.66,12.48,5.44,0.63,20.61,02-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Jul-2020 - 00:00,18.36,35.8,28.39,28.08,192.49,5.33,2.22,315.95,754.36,0.0,7.58,9.27,9.27,12.43,5.27,0.67,21.0,03-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Jul-2020 - 00:00,15.08,31.69,27.35,27.72,103.75,39.57,1.91,315.09,755.06,0.0,8.65,7.81,7.13,10.0,5.38,0.61,26.49,04-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Jul-2020 - 00:00,18.97,40.49,27.66,27.73,152.55,57.79,1.61,329.11,754.92,0.17,8.56,7.59,8.09,10.34,4.99,0.61,26.51,05-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Jul-2020 - 00:00,20.44,49.1,28.52,27.74,180.71,35.83,2.02,345.03,754.74,0.01,9.03,7.21,6.74,9.39,4.72,0.53,18.33,06-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Jul-2020 - 00:00,16.24,39.88,28.06,27.73,170.65,33.57,1.7,316.03,754.7,0.11,7.1,6.78,4.55,7.82,4.44,0.59,24.92,07-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Jul-2020 - 00:00,17.42,32.13,28.41,27.72,211.15,27.41,2.2,332.11,755.3,0.11,8.68,6.87,3.47,7.11,4.78,0.45,37.12,08-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Jul-2020 - 00:00,16.47,31.75,28.63,27.72,163.15,23.45,1.85,311.14,755.41,0.0,7.18,6.69,4.31,7.37,4.67,0.47,22.73,09-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Jul-2020 - 00:00,22.58,35.55,28.1,27.72,156.38,23.9,1.77,313.72,755.03,0.0,8.56,2.95,2.86,3.87,4.77,0.55,22.94,10-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Jul-2020 - 00:00,22.05,37.1,28.25,27.73,179.11,23.62,2.22,322.83,755.41,0.0,7.84,6.55,4.94,7.81,4.93,0.54,24.39,11-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Jul-2020 - 00:00,22.9,39.58,28.33,27.75,199.38,29.71,1.73,322.42,755.32,0.0,7.22,6.84,4.59,7.87,5.22,0.57,23.4,12-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Jul-2020 - 00:00,15.52,26.56,28.1,27.74,201.27,28.25,2.45,340.39,755.08,0.18,7.73,6.78,3.67,7.31,4.7,0.5,25.71,13-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Jul-2020 - 00:00,19.37,33.29,28.43,27.74,172.91,26.49,1.84,317.7,754.4,0.0,8.18,6.93,5.49,8.44,4.69,0.59,26.95,14-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Jul-2020 - 00:00,24.83,43.12,28.77,27.75,211.2,27.22,2.36,322.98,753.82,0.0,6.69,7.39,6.46,9.41,4.74,0.61,23.6,15-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Jul-2020 - 00:00,22.5,39.33,28.41,27.84,182.59,41.54,2.11,325.44,754.11,0.0,7.78,8.06,6.82,10.15,4.28,0.65,21.45,16-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Jul-2020 - 00:00,22.52,31.04,27.46,27.77,129.32,23.53,1.61,329.93,754.51,0.19,7.29,7.11,5.61,8.47,4.05,0.57,23.49,17-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Jul-2020 - 00:00,14.72,25.38,27.19,27.87,105.47,7.72,2.18,307.49,754.29,0.02,7.92,7.28,4.97,8.13,4.14,0.5,23.79,18-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Jul-2020 - 00:00,16.69,35.11,28.48,28.19,180.76,30.35,2.18,315.61,753.94,0.0,7.97,3.42,4.36,4.75,4.08,0.54,22.57,19-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Jul-2020 - 00:00,,39.82,27.55,28.3,184.56,39.62,2.09,334.4,753.98,0.03,8.08,6.7,4.57,7.62,4.38,0.54,26.11,20-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Jul-2020 - 00:00,13.85,40.34,26.85,28.29,123.29,62.13,1.74,333.95,754.15,0.06,7.31,7.32,5.38,8.7,4.65,0.61,22.99,21-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Jul-2020 - 00:00,17.49,30.18,28.31,28.19,224.19,25.66,1.84,331.17,754.11,0.04,7.78,6.98,7.28,8.87,4.7,0.56,28.06,22-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Jul-2020 - 00:00,18.6,32.7,28.15,28.17,189.42,33.81,1.38,348.88,754.44,0.0,9.12,6.83,6.67,9.07,4.42,0.6,27.22,23-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Jul-2020 - 00:00,16.03,30.77,28.27,28.14,188.01,25.11,1.54,341.57,754.53,0.09,9.71,6.8,5.25,8.26,4.32,0.55,29.37,24-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Jul-2020 - 00:00,18.04,32.0,27.09,28.11,83.85,25.71,1.23,343.91,755.74,1.2,7.34,6.72,6.34,8.74,4.29,0.62,24.28,25-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Jul-2020 - 00:00,15.99,34.55,28.01,28.14,193.19,18.24,1.67,318.92,756.18,0.0,8.11,6.58,4.57,7.72,4.11,0.56,26.4,26-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Jul-2020 - 00:00,19.71,39.67,27.45,28.09,114.2,24.14,1.28,335.43,757.05,1.31,7.96,6.98,4.33,7.89,4.14,0.57,28.58,27-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Jul-2020 - 00:00,26.22,51.52,28.65,27.74,224.2,21.96,2.26,309.66,755.91,1.34,8.12,6.84,5.13,8.26,4.34,0.58,30.74,28-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Jul-2020 - 00:00,22.3,41.47,27.82,27.98,122.4,22.06,1.89,317.38,755.05,1.35,8.14,6.76,5.34,8.3,4.38,0.65,30.35,29-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Jul-2020 - 00:00,12.68,23.83,25.84,28.1,105.8,29.58,2.29,328.43,755.05,13.39,9.06,2.85,2.85,3.55,3.91,0.56,28.62,30-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Jul-2020 - 00:00,11.04,33.39,27.47,28.43,205.84,50.74,2.32,317.15,754.78,2.83,7.48,8.57,6.97,10.15,3.95,0.56,22.95,31-Jul-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-Jul-2020 - 00:00,13.27,26.32,27.08,28.12,187.65,85.67,2.06,299.07,754.92,0.09,8.67,6.88,4.23,7.34,4.17,0.55,21.7,01-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Aug-2020 - 00:00,10.24,25.25,27.14,28.13,173.92,85.88,2.2,325.0,755.02,0.06,8.16,6.97,5.32,7.82,4.04,0.55,25.55,02-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Aug-2020 - 00:00,12.92,26.72,26.48,28.13,106.35,91.21,2.05,328.77,755.79,0.09,7.95,6.61,4.26,7.17,3.92,0.55,25.35,03-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Aug-2020 - 00:00,15.95,41.3,27.14,28.16,144.34,90.94,2.07,344.57,755.11,0.07,9.07,7.75,6.61,9.62,3.91,0.59,21.11,04-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Aug-2020 - 00:00,16.91,48.41,27.6,28.0,107.45,78.86,2.54,346.31,754.19,0.09,8.18,8.21,6.74,10.22,3.73,0.64,21.13,05-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Aug-2020 - 00:00,14.74,43.92,28.03,27.74,168.81,73.71,2.68,346.49,753.35,0.1,7.11,8.38,5.96,9.95,3.71,0.63,20.86,06-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Aug-2020 - 00:00,13.12,49.49,27.52,27.73,122.08,69.85,2.41,346.64,754.11,0.09,7.87,8.23,6.95,10.33,3.44,0.66,20.21,07-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Aug-2020 - 00:00,12.08,27.38,26.34,27.55,95.86,60.94,2.18,329.99,756.28,0.54,7.41,7.62,6.63,9.21,4.06,0.6,25.77,08-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Aug-2020 - 00:00,7.92,24.62,25.91,27.55,115.69,64.15,2.54,323.18,755.88,0.59,8.25,10.89,6.47,11.44,3.63,0.63,29.06,09-Aug-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
