from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
14-Mar-2020 - 00:00,14.74,18.2,32.94,2.06,8.03,72.08,28.34,4.02,237.5,69.49,758.87,979.37,1.02,15-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Mar-2020 - 00:00,14.56,18.11,32.67,1.98,9.44,65.27,22.48,3.51,160.1,64.24,756.34,980.14,,16-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Mar-2020 - 00:00,14.69,18.33,33.02,2.05,8.85,85.62,35.06,4.37,307.34,64.99,779.39,979.81,,17-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Mar-2020 - 00:00,14.53,18.24,32.78,2.05,10.68,70.57,29.28,4.12,271.32,64.19,781.91,979.59,,18-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Mar-2020 - 00:00,14.73,18.34,33.08,2.06,9.61,137.0,47.87,4.11,247.48,64.4,779.94,978.61,,19-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Mar-2020 - 00:00,14.9,18.05,32.95,2.08,9.85,119.74,39.74,3.92,216.07,64.16,772.75,976.73,,20-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Mar-2020 - 00:00,14.8,17.93,32.7,2.06,9.32,103.08,36.64,3.52,139.5,63.02,768.3,976.2,,21-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Mar-2020 - 00:00,14.25,18.28,32.55,2.12,8.69,88.52,38.76,3.69,193.11,65.99,776.13,976.63,,22-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Mar-2020 - 00:00,14.48,18.27,32.75,2.07,9.06,68.58,26.27,3.9,219.33,62.93,774.07,977.64,,23-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Mar-2020 - 00:00,14.32,18.87,33.17,2.04,9.5,44.09,12.39,4.14,261.63,59.94,784.4,977.08,,24-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Mar-2020 - 00:00,14.61,18.17,32.74,2.06,7.24,56.3,18.84,3.75,131.01,66.04,770.74,976.34,,25-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Mar-2020 - 00:00,14.64,18.07,32.71,2.02,9.31,25.25,6.55,4.16,264.19,65.65,781.66,977.02,,26-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Mar-2020 - 00:00,15.0,18.45,33.46,2.05,8.65,29.25,9.45,4.33,279.1,66.23,785.89,977.52,,27-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Mar-2020 - 00:00,14.07,18.8,32.81,2.08,5.6,28.36,6.48,4.46,180.06,69.7,763.56,977.53,,28-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Mar-2020 - 00:00,14.91,18.28,33.1,1.96,10.48,20.95,6.28,4.38,182.19,64.79,772.09,978.65,,29-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Mar-2020 - 00:00,14.38,17.58,31.99,1.98,9.66,31.99,11.1,4.12,263.82,63.54,784.8,977.74,,30-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Mar-2020 - 00:00,14.17,18.28,32.45,2.04,9.99,35.93,11.71,4.14,301.28,62.65,783.32,977.59,,31-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Mar-2020 - 00:00,14.19,18.48,32.68,2.09,6.97,106.99,8.2,3.58,146.66,63.66,769.18,976.75,,01-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Apr-2020 - 00:00,14.64,17.99,32.63,1.97,9.27,31.09,9.08,4.36,308.45,62.9,785.52,976.98,,02-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Apr-2020 - 00:00,14.77,18.33,33.11,2.02,9.62,32.05,12.82,4.29,289.04,61.18,781.91,976.97,,03-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Apr-2020 - 00:00,14.42,18.33,32.76,2.06,9.57,30.6,11.54,4.29,304.63,58.78,779.7,977.39,,04-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Apr-2020 - 00:00,14.34,18.47,32.81,2.07,10.64,41.05,12.83,4.38,295.8,57.22,784.87,977.22,,05-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Apr-2020 - 00:00,14.15,17.93,32.08,2.01,11.15,44.41,21.84,4.16,194.6,55.14,781.85,977.15,,06-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Apr-2020 - 00:00,14.86,17.91,32.77,2.26,10.32,58.15,33.64,4.37,251.02,57.58,787.82,977.19,,07-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Apr-2020 - 00:00,14.62,18.14,32.77,2.0,10.18,27.07,13.67,4.49,272.28,61.31,786.37,976.56,,08-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Apr-2020 - 00:00,15.04,18.41,33.46,1.87,12.25,30.19,15.4,4.36,308.87,50.22,787.49,976.88,,09-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Apr-2020 - 00:00,14.55,18.35,32.9,2.03,9.63,34.54,12.87,4.49,306.13,55.82,781.66,976.5,,10-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Apr-2020 - 00:00,15.15,18.38,33.53,2.03,11.62,45.26,20.94,4.07,238.12,50.66,785.26,976.84,,11-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Apr-2020 - 00:00,15.16,17.92,33.08,2.05,9.7,31.29,10.92,4.59,324.22,53.0,793.26,977.67,,12-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Apr-2020 - 00:00,14.99,18.33,33.3,2.05,11.96,41.9,14.49,4.49,285.4,52.95,792.64,976.11,,13-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Apr-2020 - 00:00,14.62,18.12,32.74,2.07,12.48,54.82,27.06,4.44,271.57,51.63,799.28,974.92,,14-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Apr-2020 - 00:00,14.95,17.52,32.47,2.07,12.56,101.51,24.81,4.14,164.53,45.18,788.42,974.43,,15-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Apr-2020 - 00:00,15.48,17.16,32.64,2.11,13.75,161.74,70.43,3.84,214.74,40.7,789.22,974.7,,16-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Apr-2020 - 00:00,15.19,18.33,33.54,2.35,5.28,76.92,11.98,4.5,297.72,46.21,807.03,974.77,,17-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Apr-2020 - 00:00,14.31,18.32,32.63,2.07,6.59,57.23,5.79,4.34,162.06,45.59,790.09,974.44,,18-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Apr-2020 - 00:00,14.68,18.16,32.84,2.03,13.6,59.84,9.74,4.23,190.45,55.14,788.47,975.56,,19-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Apr-2020 - 00:00,15.04,18.22,33.26,1.94,14.23,35.26,8.6,4.09,242.66,52.42,794.45,975.23,,20-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Apr-2020 - 00:00,14.87,18.2,33.07,2.12,7.33,49.96,17.67,4.09,224.85,56.95,784.64,975.37,,21-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Apr-2020 - 00:00,14.88,18.36,33.24,2.0,11.08,31.95,4.83,3.76,230.73,54.77,787.33,975.76,,22-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Apr-2020 - 00:00,14.98,18.21,33.19,2.02,11.7,44.48,11.12,3.89,200.67,50.31,790.5,974.63,,23-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Apr-2020 - 00:00,15.21,17.8,33.01,2.19,12.0,69.82,20.26,3.74,196.6,45.43,793.36,973.85,,24-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Apr-2020 - 00:00,14.54,17.78,32.32,2.13,11.16,61.66,19.37,4.1,220.55,47.17,797.24,973.08,,25-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Apr-2020 - 00:00,14.9,18.19,33.09,2.13,8.72,82.15,23.61,3.99,192.06,49.19,789.31,973.49,,26-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Apr-2020 - 00:00,15.09,18.07,33.16,2.08,11.06,98.55,28.38,3.91,129.69,52.36,789.04,974.39,,27-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Apr-2020 - 00:00,15.19,18.43,33.62,2.18,10.79,63.42,10.53,3.9,101.94,53.52,782.43,976.04,,28-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Apr-2020 - 00:00,14.33,18.36,32.69,1.17,7.52,52.22,15.64,4.6,172.51,51.41,806.9,976.72,,29-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Apr-2020 - 00:00,14.89,18.48,33.37,0.87,9.08,80.55,26.43,4.74,217.88,46.96,806.98,975.2,,30-Apr-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Apr-2020 - 00:00,14.82,18.41,33.24,0.46,8.51,188.93,65.2,4.75,246.82,45.97,810.39,975.05,,01-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-May-2020 - 00:00,14.73,18.28,33.01,0.51,8.8,35.3,25.53,4.89,272.95,45.15,815.79,973.75,,02-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-May-2020 - 00:00,14.73,18.32,33.0,0.58,7.91,51.32,39.46,4.62,109.3,52.88,794.34,973.28,,03-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-May-2020 - 00:00,14.8,18.24,33.04,0.48,8.16,20.19,10.52,4.42,157.92,57.33,789.21,974.27,,04-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-May-2020 - 00:00,14.77,18.32,33.09,0.45,8.46,10.68,3.93,4.54,127.19,59.53,783.12,975.52,,05-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-May-2020 - 00:00,14.57,18.34,32.92,0.5,9.32,45.76,19.62,4.87,242.91,55.01,805.9,974.67,,06-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-May-2020 - 00:00,14.78,18.12,32.9,0.5,8.4,71.53,21.13,4.36,138.03,49.52,787.09,974.16,,07-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-May-2020 - 00:00,14.18,18.2,32.37,0.43,15.2,61.19,20.72,4.36,176.86,49.55,793.8,974.41,,08-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-May-2020 - 00:00,14.65,18.19,32.84,0.75,10.1,112.49,45.47,5.07,227.33,44.29,813.88,973.53,,09-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-May-2020 - 00:00,14.62,18.22,32.84,0.66,8.81,151.21,68.17,5.05,140.27,42.75,810.27,973.6,,10-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-May-2020 - 00:00,14.58,18.18,32.76,0.66,7.4,135.69,63.45,4.89,117.87,51.22,797.92,974.14,,11-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-May-2020 - 00:00,14.68,18.25,32.93,0.56,8.26,94.34,39.85,4.84,115.73,47.81,796.45,974.36,,12-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-May-2020 - 00:00,14.89,18.32,33.21,0.49,8.54,139.08,47.18,4.31,152.52,48.61,803.34,974.91,,13-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-May-2020 - 00:00,14.89,18.27,33.16,0.51,7.92,182.11,57.67,4.91,175.49,49.89,805.92,974.26,,14-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-May-2020 - 00:00,14.92,18.23,33.15,0.61,7.93,151.48,66.42,4.49,206.52,55.65,803.74,974.37,,15-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-May-2020 - 00:00,14.72,18.23,32.95,0.5,8.08,53.68,29.53,5.32,309.89,52.41,817.59,974.42,,16-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-May-2020 - 00:00,14.86,18.28,33.15,0.51,9.44,76.83,40.42,5.38,305.69,49.76,823.91,973.33,,17-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
