from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
29-Aug-2020 - 00:00,30.69,978.09,67.44,163.2,98.38,1.49,96.31,43.92,,1.46,6.24,45.4,19.54,9.94,29.47,0.98,12.27,3.17,30-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Aug-2020 - 00:00,28.88,977.86,69.31,97.15,78.46,3.5,59.58,23.38,,1.36,5.1,41.48,12.27,5.26,17.53,0.6,5.59,2.46,31-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
31-Aug-2020 - 00:00,29.11,979.94,67.86,110.7,124.16,3.0,45.38,14.67,,1.11,4.97,34.85,19.02,9.64,28.66,0.71,4.71,1.95,01-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Sep-2020 - 00:00,30.18,981.37,63.31,133.96,159.41,1.72,67.95,18.67,,1.23,5.33,29.9,22.04,10.3,32.32,0.82,10.26,1.93,02-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Sep-2020 - 00:00,30.81,983.37,63.55,129.08,184.26,1.13,83.2,26.0,,1.33,5.62,29.6,19.76,6.31,26.05,0.82,20.55,2.07,03-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Sep-2020 - 00:00,31.22,984.04,64.94,143.59,94.46,2.27,99.78,42.67,,1.45,5.68,37.46,23.08,9.27,32.39,0.9,10.3,2.85,04-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Sep-2020 - 00:00,31.16,982.83,65.53,120.89,145.87,1.64,103.49,48.79,,1.37,6.07,43.13,24.36,7.29,31.65,0.88,11.4,2.76,05-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Sep-2020 - 00:00,29.53,981.0,70.62,103.02,196.58,1.32,121.3,53.83,,1.62,8.21,47.53,22.37,9.08,31.45,0.91,12.59,4.09,06-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Sep-2020 - 00:00,29.85,980.09,69.25,138.44,254.43,1.19,68.78,38.46,,1.32,5.34,41.98,16.04,4.82,20.85,0.87,13.16,3.75,07-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Sep-2020 - 00:00,29.95,980.64,68.97,115.18,203.46,1.13,99.65,47.19,,1.62,6.33,48.82,21.89,8.71,30.59,0.87,8.57,3.34,08-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Sep-2020 - 00:00,30.61,981.26,65.66,158.56,279.07,1.53,85.05,38.52,,1.17,5.73,41.09,15.24,3.96,19.21,0.7,11.0,3.0,09-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Sep-2020 - 00:00,30.86,981.05,67.7,137.64,297.57,1.79,122.74,62.06,,1.48,7.74,53.23,16.35,6.65,23.0,0.89,4.89,4.46,10-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Sep-2020 - 00:00,31.2,978.69,65.21,160.35,263.13,1.56,131.71,57.88,,1.47,5.13,59.51,19.57,12.03,31.59,0.93,4.49,3.58,11-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Sep-2020 - 00:00,32.12,979.15,59.61,173.62,277.29,1.17,155.21,58.38,,1.51,7.65,54.24,21.63,13.2,34.58,0.8,4.86,4.88,12-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Sep-2020 - 00:00,32.09,981.68,59.93,158.5,271.39,1.41,173.3,66.91,,2.1,20.1,67.25,19.75,10.89,30.6,0.79,6.61,5.06,13-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Sep-2020 - 00:00,31.63,981.6,64.21,131.73,272.57,1.29,166.83,74.75,,,,63.59,18.88,12.1,30.95,1.11,4.35,5.04,14-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Sep-2020 - 00:00,31.99,980.52,62.28,134.9,302.38,1.55,163.74,72.36,,,,60.64,18.44,9.01,27.51,0.92,4.93,4.81,15-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Sep-2020 - 00:00,31.87,980.07,62.55,131.27,267.32,1.25,169.66,77.25,,2.47,9.55,67.59,20.47,11.99,32.45,1.15,3.86,4.25,16-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Sep-2020 - 00:00,32.29,979.74,62.05,149.32,260.57,1.56,161.41,65.04,,1.62,6.28,62.52,19.45,6.89,26.36,0.99,6.61,4.04,17-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Sep-2020 - 00:00,32.48,979.32,59.98,158.83,279.42,2.07,126.32,51.47,,1.35,5.73,56.84,15.52,3.89,19.38,0.91,7.95,5.97,18-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Sep-2020 - 00:00,32.99,978.46,58.88,161.71,262.4,1.94,123.83,45.62,,1.22,5.6,48.32,14.83,3.4,18.21,0.79,9.28,2.12,19-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Sep-2020 - 00:00,32.29,978.69,60.76,142.55,294.23,1.6,144.02,62.0,,1.37,7.29,56.08,15.21,4.08,19.28,0.89,16.11,2.48,20-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Sep-2020 - 00:00,31.71,978.11,61.63,156.42,302.36,2.25,175.71,78.58,,1.59,11.58,62.78,14.52,3.42,17.94,0.96,7.78,3.96,21-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Sep-2020 - 00:00,32.04,977.03,60.74,138.83,305.66,1.99,152.83,65.12,,1.38,12.05,58.12,12.33,2.18,14.49,0.86,11.67,4.11,22-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Sep-2020 - 00:00,32.44,977.56,60.04,114.37,115.37,1.63,126.62,50.67,,1.72,11.03,54.85,21.42,7.83,29.25,1.09,9.22,5.12,23-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Sep-2020 - 00:00,32.06,977.74,59.77,121.25,79.2,1.86,93.96,31.71,,1.7,12.65,49.38,16.9,6.88,23.81,0.91,9.19,4.35,24-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Sep-2020 - 00:00,30.98,979.84,62.07,123.71,187.01,1.57,114.71,52.29,,1.67,12.29,47.49,18.2,10.88,29.02,1.08,14.33,5.11,25-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Sep-2020 - 00:00,31.27,979.14,58.79,147.87,241.54,1.79,157.33,63.17,,2.12,19.13,46.02,21.33,12.96,34.29,1.03,20.04,4.88,26-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Sep-2020 - 00:00,29.21,979.3,60.5,74.88,243.38,1.16,186.25,68.58,,2.39,21.48,59.69,23.24,16.59,39.83,1.15,6.81,6.1,27-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Sep-2020 - 00:00,29.42,981.96,56.48,157.76,270.05,1.39,145.88,44.96,,2.68,21.49,51.1,18.87,24.19,43.05,1.21,14.78,5.17,28-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Sep-2020 - 00:00,29.27,983.16,58.87,141.83,281.83,1.81,204.54,69.42,,2.08,13.68,66.28,20.74,12.11,32.95,1.01,17.06,6.02,29-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Sep-2020 - 00:00,29.55,982.66,59.46,145.87,276.5,2.07,212.32,75.25,,1.88,12.82,63.64,18.32,4.86,23.17,0.92,16.66,6.14,30-Sep-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Sep-2020 - 00:00,29.27,981.59,56.09,155.89,271.59,2.16,181.75,63.0,,1.72,13.41,51.55,18.48,3.65,22.13,0.85,16.65,5.78,01-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Oct-2020 - 00:00,29.69,981.07,55.03,153.11,272.19,1.85,199.48,67.87,,1.84,13.31,56.11,21.92,7.62,29.47,1.0,15.45,6.05,02-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Oct-2020 - 00:00,29.22,981.68,57.23,152.0,262.11,1.47,219.71,89.12,,1.99,10.73,66.02,19.57,6.57,26.14,1.0,19.26,6.52,03-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Oct-2020 - 00:00,28.49,982.72,56.71,146.41,277.54,1.48,203.25,88.33,,2.05,10.08,57.01,23.57,9.17,32.71,0.98,15.08,5.94,04-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Oct-2020 - 00:00,27.84,983.57,55.08,142.29,288.57,1.58,213.88,91.54,,2.8,20.19,63.26,26.86,11.75,38.59,1.02,20.43,7.02,05-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Oct-2020 - 00:00,27.99,983.14,53.07,145.27,279.22,1.92,223.38,84.94,,2.41,18.16,65.47,24.44,17.64,41.71,1.04,20.53,7.44,06-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Oct-2020 - 00:00,27.94,983.56,54.65,144.26,268.47,1.53,240.67,91.59,,2.64,18.96,65.54,30.93,41.19,72.27,1.34,19.37,7.63,07-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Oct-2020 - 00:00,28.28,985.34,53.32,129.79,267.9,1.77,263.06,110.14,,2.82,25.67,60.88,27.48,20.34,47.77,1.13,22.36,7.58,08-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Oct-2020 - 00:00,27.93,985.85,54.26,134.96,270.22,1.76,229.22,89.18,,2.0,16.47,62.75,25.79,10.68,36.36,0.99,22.4,6.62,09-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Oct-2020 - 00:00,28.27,985.86,53.46,115.31,274.23,1.3,237.02,100.02,,2.17,16.11,67.86,24.99,9.99,34.94,1.03,18.82,4.51,10-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Oct-2020 - 00:00,28.12,984.59,55.22,118.68,271.36,1.47,235.22,104.83,,1.27,8.09,74.05,24.18,7.72,31.89,1.02,23.55,7.8,11-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Oct-2020 - 00:00,27.88,982.63,56.24,116.78,265.95,1.3,248.84,116.6,,1.28,6.84,75.08,25.54,14.09,39.6,1.01,20.93,8.76,12-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Oct-2020 - 00:00,27.97,981.24,54.04,106.84,270.72,0.95,319.89,143.76,,1.8,15.49,81.02,37.38,72.65,110.03,2.01,24.01,8.68,13-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Oct-2020 - 00:00,29.28,982.11,57.78,89.37,134.78,0.97,350.95,168.36,,1.91,21.71,98.49,38.28,54.61,92.85,1.92,14.61,7.14,14-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Oct-2020 - 00:00,29.03,983.54,59.66,77.05,248.97,0.94,348.97,156.96,,1.96,13.27,91.34,34.49,45.5,79.98,2.04,12.42,7.3,15-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Oct-2020 - 00:00,28.19,984.16,49.3,114.9,289.94,1.48,311.66,164.96,,1.6,15.14,90.55,27.25,20.94,48.22,1.05,20.6,6.48,16-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Oct-2020 - 00:00,26.57,983.92,46.39,102.89,264.13,1.08,317.61,126.89,,1.37,14.66,67.96,32.67,58.78,91.54,1.41,21.76,7.22,17-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Oct-2020 - 00:00,26.37,984.65,50.44,94.08,265.26,0.95,354.3,157.17,,1.68,18.89,72.18,35.37,52.71,87.62,1.38,19.85,6.94,18-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Oct-2020 - 00:00,26.32,984.56,48.27,107.08,258.34,1.32,302.0,130.21,,1.37,11.0,66.28,29.53,28.21,57.74,1.04,18.19,5.34,19-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Oct-2020 - 00:00,25.48,984.24,48.13,108.43,260.92,1.4,308.88,140.33,,1.47,10.61,65.64,31.42,40.45,71.89,1.2,21.7,6.27,20-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Oct-2020 - 00:00,25.21,983.91,46.56,108.89,255.38,1.24,290.25,121.96,,1.51,11.4,58.76,37.14,65.5,102.58,1.41,20.27,6.58,21-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Oct-2020 - 00:00,25.96,984.96,48.41,102.01,241.81,0.83,379.04,143.33,,2.16,26.21,65.95,43.97,161.92,204.57,2.63,23.38,6.74,22-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Oct-2020 - 00:00,25.87,983.69,48.95,67.52,237.76,0.82,471.75,203.33,,1.67,34.18,88.32,51.76,143.76,194.57,2.68,31.12,9.95,23-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Oct-2020 - 00:00,24.74,983.45,52.14,91.29,273.12,1.09,454.08,255.92,,1.87,27.05,90.65,53.88,101.4,129.21,2.5,37.0,10.87,24-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Oct-2020 - 00:00,24.02,984.54,53.69,88.96,242.76,0.97,423.46,229.92,,1.83,25.53,80.87,56.36,134.14,172.78,2.37,25.22,10.41,25-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Oct-2020 - 00:00,24.6,986.84,54.5,87.33,221.26,0.73,425.04,209.29,,1.94,21.21,75.54,64.51,200.94,217.05,3.08,31.05,11.25,26-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Oct-2020 - 00:00,24.59,988.17,51.89,74.89,273.88,1.21,381.99,207.44,,1.92,20.19,77.6,44.13,107.35,151.39,2.21,17.53,9.41,27-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Oct-2020 - 00:00,23.36,988.08,48.73,91.61,253.09,1.39,349.96,181.79,,1.52,11.92,67.29,34.09,87.81,121.08,1.83,19.67,9.28,28-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Oct-2020 - 00:00,22.11,988.66,52.92,76.69,232.48,0.74,413.83,202.42,,1.81,17.99,62.79,49.33,134.53,130.03,2.64,17.37,10.15,29-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Oct-2020 - 00:00,22.63,989.53,57.53,70.28,215.89,0.56,553.62,302.21,,2.05,29.65,94.59,67.23,161.14,214.56,3.34,43.45,10.69,30-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Oct-2020 - 00:00,22.92,989.19,53.48,84.74,277.14,1.21,437.0,266.61,,2.18,18.54,94.17,40.08,43.84,83.88,1.78,17.35,10.57,31-Oct-2020 - 00:00,"Rohini, Delhi - DPCC"
31-Oct-2020 - 00:00,22.75,989.43,49.98,90.66,288.15,1.63,448.67,299.38,,1.63,6.09,82.79,26.93,3.84,30.77,1.29,19.56,10.61,01-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Nov-2020 - 00:00,21.7,990.11,47.01,85.98,238.75,1.16,469.96,302.21,,1.66,7.29,76.95,33.69,33.75,67.45,1.57,19.11,11.71,02-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Nov-2020 - 00:00,20.87,990.79,47.95,75.58,212.44,0.95,360.42,186.71,,1.8,12.09,62.76,42.81,105.35,92.72,2.37,15.46,10.2,03-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Nov-2020 - 00:00,20.98,990.21,50.65,79.75,220.28,0.75,401.71,177.61,,1.91,25.85,63.73,52.51,160.65,140.19,3.45,14.97,8.99,04-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Nov-2020 - 00:00,20.37,988.9,55.82,52.04,216.28,0.87,621.48,370.85,,2.13,21.51,100.76,57.13,123.94,179.9,3.18,8.14,8.95,05-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Nov-2020 - 00:00,21.52,989.96,54.09,80.96,211.1,0.84,514.32,316.36,,2.17,16.32,85.47,49.07,78.87,102.64,2.86,16.34,8.27,06-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Nov-2020 - 00:00,21.27,992.79,54.83,67.59,232.34,0.8,521.54,311.67,,2.1,19.64,91.98,49.43,108.66,158.15,2.6,14.56,9.29,07-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Nov-2020 - 00:00,21.15,993.66,54.47,69.86,235.64,0.91,569.75,377.33,,2.15,13.57,97.82,48.1,109.66,150.04,2.7,18.49,9.36,08-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Nov-2020 - 00:00,20.24,994.2,57.63,58.01,253.07,0.56,594.21,374.04,,2.13,13.98,96.38,52.19,131.19,166.46,3.15,15.39,10.61,09-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Nov-2020 - 00:00,19.81,992.7,62.38,50.84,236.36,0.51,783.95,618.79,,2.4,15.7,132.04,57.67,75.39,133.09,3.24,14.36,8.81,10-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Nov-2020 - 00:00,20.06,991.69,67.99,52.55,211.81,0.51,639.2,616.79,,3.04,22.21,147.01,67.37,102.11,164.82,3.98,22.05,9.14,11-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Nov-2020 - 00:00,20.97,993.61,64.36,97.39,138.39,0.72,537.88,283.04,,2.86,25.23,104.28,49.05,188.89,190.98,4.24,29.59,8.36,12-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Nov-2020 - 00:00,20.96,994.81,61.93,99.85,198.82,0.62,458.29,232.83,,2.59,25.05,87.71,47.22,197.17,210.67,3.77,42.25,7.99,13-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Nov-2020 - 00:00,20.62,993.35,60.98,97.39,222.09,0.62,492.78,269.41,,2.09,20.45,87.34,51.15,118.82,170.14,2.9,22.98,7.33,14-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Nov-2020 - 00:00,19.83,991.11,63.48,67.22,178.47,0.46,670.26,487.14,,2.76,12.15,108.68,58.33,65.29,123.5,3.32,26.28,18.96,15-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Nov-2020 - 00:00,21.32,990.54,60.85,75.91,102.63,1.74,392.5,306.37,,2.68,8.42,100.82,43.46,20.89,64.38,1.9,32.23,22.28,16-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Nov-2020 - 00:00,20.7,992.28,67.18,56.21,145.73,1.73,164.58,101.75,,1.27,5.56,71.55,24.42,9.6,34.05,0.9,20.62,7.33,17-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Nov-2020 - 00:00,19.76,990.68,64.21,105.85,288.91,1.54,151.83,86.71,,1.17,5.16,63.53,21.49,8.42,29.95,0.67,16.22,6.57,18-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Nov-2020 - 00:00,18.32,989.57,61.82,99.7,280.19,1.2,254.19,139.53,,1.37,17.15,61.78,28.95,49.12,78.0,1.26,22.44,4.15,19-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Nov-2020 - 00:00,17.73,989.93,60.26,102.37,282.6,1.01,296.39,161.8,,1.31,16.88,65.19,37.29,56.26,93.42,1.43,24.04,5.11,20-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Nov-2020 - 00:00,17.24,991.41,58.31,109.25,275.85,1.45,290.52,183.43,,1.37,9.21,70.58,31.18,21.75,52.39,1.07,23.51,4.43,21-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Nov-2020 - 00:00,16.61,991.83,54.74,110.02,280.83,2.01,266.38,152.62,,1.7,7.18,56.81,25.64,29.89,55.48,1.07,32.73,8.07,22-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Nov-2020 - 00:00,16.3,992.41,53.2,98.81,245.29,1.25,316.53,176.33,,1.47,9.3,60.12,35.58,63.32,98.84,1.53,,6.58,23-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Nov-2020 - 00:00,16.4,992.79,57.0,90.06,228.35,0.61,446.59,240.14,,2.23,15.34,71.15,51.75,109.45,146.25,3.02,32.42,6.66,24-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Nov-2020 - 00:00,16.66,992.45,60.44,57.43,175.83,0.59,536.15,305.48,,2.57,24.25,86.92,65.63,154.38,219.74,3.18,24.79,6.43,25-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Nov-2020 - 00:00,17.66,992.81,63.89,31.23,117.32,1.14,593.55,380.62,,2.95,12.04,110.6,53.26,49.03,102.24,2.17,17.86,8.32,26-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Nov-2020 - 00:00,19.22,994.8,61.12,95.3,295.59,2.04,200.64,115.32,,1.52,8.01,65.42,21.68,7.95,29.65,0.76,16.36,6.41,27-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Nov-2020 - 00:00,18.55,996.41,59.65,104.0,276.9,1.44,160.49,87.69,,1.3,6.18,50.16,23.73,11.75,35.5,0.78,16.08,6.3,28-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Nov-2020 - 00:00,18.14,995.31,56.24,103.8,242.63,1.28,241.25,133.71,,1.62,9.62,56.32,30.23,39.56,69.76,1.25,20.24,7.34,29-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Nov-2020 - 00:00,17.43,994.06,54.64,97.85,235.23,0.92,301.04,160.33,,1.58,11.55,57.66,40.81,80.53,121.26,1.89,22.34,7.21,30-Nov-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Nov-2020 - 00:00,17.13,993.09,60.54,89.02,233.21,0.78,391.0,218.71,,1.99,12.78,71.63,47.21,125.29,154.43,2.63,20.79,6.32,01-Dec-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Dec-2020 - 00:00,13.3,992.7,75.1,3.45,242.5,0.25,675.0,394.0,,2.3,23.7,94.15,72.7,296.2,368.8,5.4,2.05,3.45,02-Dec-2020 - 00:00,"Rohini, Delhi - DPCC"
