from date,SR,BP,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,SO2,to date,station
12-Oct-2020 - 00:00,,,,,,,,,,,,,,13-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Oct-2020 - 00:00,,,,,,,,,,,,,,14-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Oct-2020 - 00:00,,,,,,,,,,,,,,15-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Oct-2020 - 00:00,,,,,,,,,,,,,,16-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Oct-2020 - 00:00,,,,,,,,,,,,,,17-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Oct-2020 - 00:00,,,,,,,,,,,,,,18-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Oct-2020 - 00:00,,,,,,,,,,,,,,19-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Oct-2020 - 00:00,,,,,,,,,,,,,,20-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Oct-2020 - 00:00,,,,,,,,,,,,,,21-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Oct-2020 - 00:00,,,,,,,,,,,,,,22-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Oct-2020 - 00:00,,,,,,,,,,,,,,23-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Oct-2020 - 00:00,,,,,,,,,,,,,,24-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Oct-2020 - 00:00,,,,,,,,,,,,,,25-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Oct-2020 - 00:00,,,,,,,,,,,,,,26-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Oct-2020 - 00:00,,,,,,,,,,,,,,27-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Oct-2020 - 00:00,,,,,,,,,,,,,,28-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Oct-2020 - 00:00,,,,,,,,,,,,,,29-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Oct-2020 - 00:00,,,,,,,,,,,,,,30-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Oct-2020 - 00:00,,,,,,,,,,,,,,31-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Oct-2020 - 00:00,,,,,,,,,,,,,,01-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Nov-2020 - 00:00,,,,,,,,,,,,,,02-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Nov-2020 - 00:00,,,,,,,,,,,,,,03-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Nov-2020 - 00:00,,,,,,,,,,,,,,04-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Nov-2020 - 00:00,,,,,,,,,,,,,,05-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Nov-2020 - 00:00,,,,,,,,,,,,,,06-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Nov-2020 - 00:00,,,,,,,,,,,,,,07-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Nov-2020 - 00:00,,,,,,,,,,,,,,08-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Nov-2020 - 00:00,,,,,,,,,,,,,,09-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Nov-2020 - 00:00,,,,,,,,,,,,,,10-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Nov-2020 - 00:00,,,,,,,,,,,,,,11-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Nov-2020 - 00:00,,,,,,,,,,,,,,12-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Nov-2020 - 00:00,,,,,,,,,,,,,,13-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Nov-2020 - 00:00,19.48,998.21,101.3,24.81,-4.3,,,1.76,41.04,6.57,6.8,6.41,15.18,14-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Nov-2020 - 00:00,107.26,997.49,64.32,24.0,,,,1.91,17.94,6.46,6.65,6.4,22.31,15-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Nov-2020 - 00:00,23.67,996.16,97.8,21.62,-3.57,,,1.93,14.81,6.57,6.89,6.43,21.01,16-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Nov-2020 - 00:00,176.47,994.88,72.96,24.14,-3.58,,,1.46,28.61,6.52,6.67,6.47,18.1,17-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Nov-2020 - 00:00,6.73,994.56,69.44,20.58,-3.6,,,1.44,19.36,6.54,6.78,6.46,16.95,18-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Nov-2020 - 00:00,96.54,994.91,80.86,22.69,-3.49,,,1.68,21.68,6.62,6.84,6.44,22.25,19-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Nov-2020 - 00:00,99.38,994.27,72.32,23.18,-3.56,,,1.38,22.68,6.5,6.75,6.43,20.39,20-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Nov-2020 - 00:00,112.61,993.47,65.22,21.96,-3.45,,,0.92,21.5,6.55,6.69,6.42,18.22,21-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Nov-2020 - 00:00,115.22,993.64,61.38,21.2,-3.43,,,0.72,22.8,6.56,6.73,6.44,15.59,22-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Nov-2020 - 00:00,169.51,990.8,60.66,18.27,-3.21,,,0.62,25.32,6.68,6.72,6.4,14.85,23-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Nov-2020 - 00:00,230.57,991.11,71.4,18.57,-3.2,,,0.86,26.04,6.46,6.65,6.49,16.94,24-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Nov-2020 - 00:00,200.67,990.52,84.11,18.25,-3.26,,,1.23,29.45,6.65,6.67,6.47,17.46,25-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Nov-2020 - 00:00,8.31,990.39,109.39,14.14,-3.23,,,1.32,16.3,6.63,6.71,6.44,19.08,26-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Nov-2020 - 00:00,77.01,992.0,79.14,18.01,-3.32,,,0.85,21.97,6.5,6.71,6.48,18.69,27-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Nov-2020 - 00:00,42.49,993.17,81.96,19.06,-3.3,,,0.73,17.3,6.45,6.95,6.35,18.52,28-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Nov-2020 - 00:00,238.46,992.92,68.64,21.08,-3.37,,,0.52,25.19,6.63,6.64,6.45,13.44,29-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Nov-2020 - 00:00,439.49,995.16,48.54,25.38,-3.42,,,0.96,36.24,6.57,6.48,6.37,20.3,30-Nov-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Nov-2020 - 00:00,314.18,994.45,57.3,22.32,-3.47,,,1.48,37.56,6.54,6.68,6.42,20.94,01-Dec-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Dec-2020 - 00:00,7.75,990.8,103.05,14.29,-3.4,,,0.57,18.38,6.99,7.25,6.44,17.97,02-Dec-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
