from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
26-Feb-2020 - 00:00,39.83,125.63,44.54,10.32,54.85,12.03,7.35,0.57,71.94,0.81,1.0,1.87,27.94,49.22,,230.11,0.99,184.69,27-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Feb-2020 - 00:00,50.57,123.72,68.34,31.8,100.13,11.47,9.67,0.88,51.56,1.56,2.07,4.88,26.4,44.74,,163.31,0.83,156.6,28-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Feb-2020 - 00:00,82.18,190.48,71.41,91.33,162.82,11.11,10.57,1.37,44.81,2.96,3.24,8.83,25.12,53.86,,162.59,0.73,161.97,29-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Feb-2020 - 00:00,74.79,171.35,48.88,87.77,136.21,14.16,10.0,1.25,30.83,1.97,3.15,8.93,24.82,65.5,,160.02,0.79,162.16,01-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Mar-2020 - 00:00,48.05,101.0,23.18,12.3,35.48,22.89,6.69,0.52,31.88,0.72,0.74,2.16,24.52,75.54,,158.23,0.84,169.51,02-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Mar-2020 - 00:00,39.89,90.97,22.37,58.23,79.29,19.33,14.72,0.81,20.66,1.1,1.57,4.82,23.78,73.86,,207.07,0.67,145.42,03-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Mar-2020 - 00:00,34.07,120.8,22.03,12.77,34.8,16.38,6.31,0.48,35.58,0.58,0.52,1.68,24.31,75.29,,163.01,0.67,150.32,04-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Mar-2020 - 00:00,26.4,93.09,19.16,21.59,40.52,13.22,11.86,0.51,40.28,0.57,0.45,1.31,23.86,73.01,,187.17,0.74,168.21,05-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Mar-2020 - 00:00,26.28,84.28,21.81,13.33,35.14,11.78,24.72,0.45,30.79,0.69,0.64,1.64,23.98,74.61,,169.55,0.7,146.59,06-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Mar-2020 - 00:00,13.56,91.66,16.52,13.81,30.33,10.43,28.15,0.33,28.21,0.23,0.44,0.84,25.14,66.97,,175.82,0.69,149.41,07-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Mar-2020 - 00:00,19.37,109.25,24.65,10.62,35.27,8.84,25.84,0.41,40.05,0.4,0.33,1.08,23.63,68.69,,193.28,0.9,156.66,08-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Mar-2020 - 00:00,25.68,107.69,33.99,19.51,53.49,6.62,13.57,0.46,43.1,0.64,0.84,2.08,23.09,66.26,,194.74,0.77,151.18,09-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Mar-2020 - 00:00,34.21,123.42,35.61,11.63,47.24,7.93,12.92,0.57,43.22,0.69,0.69,2.09,23.35,74.3,,196.81,0.76,156.0,10-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
