from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
08-Apr-2020 - 00:00,14.12,4.22,7.87,23.69,2.32,0.31,1.08,0.28,0.62,26.07,41.72,3.06,308.15,482.25,0.0,18.69,43.5,35.08,09-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Apr-2020 - 00:00,15.83,4.17,9.0,23.8,5.77,0.29,1.79,0.36,0.8,30.38,46.08,2.4,307.5,458.96,0.0,26.98,42.58,33.32,10-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Apr-2020 - 00:00,15.25,4.32,8.81,26.46,8.08,0.32,1.97,0.44,0.97,30.3,43.57,2.79,280.09,435.74,0.0,30.19,60.3,33.35,11-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Apr-2020 - 00:00,16.19,5.15,9.98,28.07,11.51,0.31,2.05,0.49,1.17,31.82,42.62,2.39,240.35,520.03,0.0,31.5,79.06,30.62,12-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Apr-2020 - 00:00,13.92,4.37,8.16,27.88,16.87,0.3,1.82,0.38,0.85,32.46,41.24,3.27,307.71,459.08,0.0,22.52,56.23,33.58,13-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Apr-2020 - 00:00,13.96,4.38,8.19,27.89,8.12,0.34,2.11,0.43,0.95,32.34,40.19,3.14,299.75,459.8,0.0,29.56,71.73,35.36,14-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Apr-2020 - 00:00,18.91,4.79,11.1,28.79,7.27,0.35,2.97,0.51,1.19,32.56,39.86,2.59,146.78,470.04,0.0,39.3,89.34,33.13,15-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Apr-2020 - 00:00,19.06,4.37,10.63,25.63,10.26,0.23,2.5,0.47,1.1,33.18,32.27,2.62,120.01,441.65,0.0,38.29,85.95,36.38,16-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Apr-2020 - 00:00,18.5,4.45,10.61,26.13,11.29,0.27,2.75,0.61,1.37,36.51,33.32,2.0,278.36,460.47,0.0,43.89,97.28,39.47,17-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Apr-2020 - 00:00,14.64,4.3,8.49,27.65,13.79,0.17,1.65,0.35,0.8,30.27,37.77,2.56,204.25,259.7,0.0,24.38,65.97,33.52,18-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Apr-2020 - 00:00,14.1,4.01,7.97,25.03,19.36,0.1,0.96,0.24,0.55,25.73,45.46,3.05,153.86,366.18,0.03,19.54,65.39,33.95,19-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
19-Apr-2020 - 00:00,14.06,3.93,7.88,22.96,21.0,0.16,0.93,0.25,0.53,27.74,40.22,2.11,281.84,498.13,0.0,12.15,61.01,31.87,20-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
