from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
04-May-2020 - 00:00,,,,,,,,,,,,,,05-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,06-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-May-2020 - 00:00,968.06,46.1,60.91,197.8,28.77,733.73,1.05,13.79,3.56,7.57,10.74,3.38,,07-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-May-2020 - 00:00,,48.84,74.44,27.97,26.59,891.55,1.66,21.22,14.89,20.67,29.12,2.5,,08-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,09-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,10-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,11-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-May-2020 - 00:00,960.2,39.99,39.28,0.91,29.55,579.73,1.01,11.08,2.99,7.73,10.42,3.77,,12-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-May-2020 - 00:00,960.83,29.04,51.74,111.14,28.66,690.87,0.94,11.29,2.91,7.8,10.5,3.81,,13-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-May-2020 - 00:00,968.06,27.57,54.52,143.69,28.42,712.14,0.93,10.72,2.69,6.65,9.12,3.39,,14-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-May-2020 - 00:00,959.22,33.57,53.52,142.11,29.12,711.98,0.98,11.22,2.8,6.51,9.12,3.35,,15-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-May-2020 - 00:00,941.02,28.82,50.69,141.48,29.39,686.69,1.07,11.39,3.09,7.87,10.75,3.18,,16-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-May-2020 - 00:00,971.63,33.44,56.9,106.84,28.6,736.47,1.09,11.38,2.95,7.96,10.7,4.4,,17-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-May-2020 - 00:00,966.21,31.6,59.32,125.3,28.55,762.27,0.85,10.52,2.57,5.18,7.64,3.44,,18-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-May-2020 - 00:00,,28.83,76.43,115.27,26.55,793.61,0.92,11.05,2.5,5.66,8.01,3.45,,19-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-May-2020 - 00:00,994.25,55.51,68.23,122.48,27.47,802.73,0.88,11.25,2.65,5.8,8.39,4.02,,20-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-May-2020 - 00:00,968.95,33.85,62.45,136.08,27.66,758.88,0.7,10.69,2.83,6.14,8.75,3.52,,21-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-May-2020 - 00:00,981.64,36.33,63.92,138.89,27.79,714.27,0.85,11.0,2.88,6.5,9.23,3.77,,22-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-May-2020 - 00:00,968.38,30.05,62.49,126.64,27.97,762.76,0.78,10.87,2.8,6.31,8.87,3.51,,23-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-May-2020 - 00:00,978.56,29.93,57.81,127.73,28.65,711.68,0.81,10.61,2.55,6.02,8.39,3.76,,24-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-May-2020 - 00:00,,33.47,71.59,115.61,27.08,812.4,0.79,10.19,2.57,5.14,7.5,3.44,,25-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-May-2020 - 00:00,983.18,29.2,69.42,128.08,27.51,792.91,0.97,11.54,2.9,6.08,8.77,3.2,,26-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
