from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
11-Mar-2020 - 00:00,35.96,,39.28,5.39,32.9,21.88,15.83,61.73,0.03,0.46,0.26,20.48,78.48,2.4,161.88,127.85,747.13,0.01,-0.05,12-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Mar-2020 - 00:00,34.33,,36.75,24.24,45.98,44.16,15.38,73.7,0.0,0.0,0.0,23.83,77.62,1.76,163.68,169.8,748.37,0.0,-0.03,13-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Mar-2020 - 00:00,34.71,,29.5,7.27,31.2,22.46,12.23,43.71,0.0,0.0,0.0,21.02,85.67,3.5,144.27,95.34,749.96,0.05,-0.1,14-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Mar-2020 - 00:00,34.38,,24.81,13.51,45.66,35.19,12.37,48.64,0.0,0.0,0.0,19.85,86.39,1.55,121.61,120.69,750.26,0.0,-0.02,15-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Mar-2020 - 00:00,34.81,,31.58,6.27,33.44,22.78,11.65,54.65,0.0,0.0,0.0,20.37,86.79,1.85,114.72,135.5,751.22,0.0,-0.03,16-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Mar-2020 - 00:00,35.37,,36.88,13.68,58.81,42.4,12.22,46.63,0.0,0.0,0.0,20.99,73.28,1.74,88.28,175.47,751.67,0.0,-0.01,17-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Mar-2020 - 00:00,34.28,,41.98,10.95,53.13,46.34,16.25,53.11,0.0,0.0,0.0,22.35,66.1,1.84,133.9,201.46,751.67,0.0,0.01,18-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Mar-2020 - 00:00,34.08,,41.75,9.78,55.77,37.61,22.13,65.9,0.64,5.01,5.07,23.3,63.62,2.04,158.99,194.15,750.01,0.0,0.01,19-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Mar-2020 - 00:00,34.16,,39.58,27.89,60.42,54.79,36.13,86.79,1.19,9.74,10.22,24.68,64.22,1.36,155.87,191.03,747.31,0.0,0.0,20-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Mar-2020 - 00:00,34.64,,35.4,14.09,63.38,45.17,25.74,86.93,1.08,8.24,9.01,26.07,64.36,1.16,164.8,174.73,746.24,0.0,-0.01,21-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Mar-2020 - 00:00,34.07,,38.44,6.11,33.28,22.64,21.31,49.22,0.81,7.09,7.63,24.84,64.78,2.24,206.27,152.48,747.11,0.0,-0.03,22-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Mar-2020 - 00:00,34.13,,37.68,5.73,26.29,18.64,16.53,52.61,0.61,6.4,6.81,25.32,67.04,1.81,172.88,192.16,747.89,0.0,0.01,23-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Mar-2020 - 00:00,34.04,,45.11,4.75,22.82,15.96,17.56,65.62,0.56,6.04,6.12,26.37,63.15,1.62,131.2,196.38,747.47,0.0,-0.01,24-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Mar-2020 - 00:00,33.99,,45.34,5.8,26.95,19.05,17.67,80.54,0.56,5.85,5.83,26.93,66.57,1.61,152.23,186.95,746.57,0.0,-0.02,25-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Mar-2020 - 00:00,35.34,,39.98,3.61,12.58,9.61,15.95,56.89,0.37,3.77,3.56,28.09,61.91,2.14,99.39,191.91,745.99,0.0,-0.02,26-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Mar-2020 - 00:00,35.14,,40.84,3.76,9.88,8.26,14.39,35.03,0.31,3.87,3.84,27.68,59.19,2.95,97.1,211.78,746.97,0.0,-0.02,27-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Mar-2020 - 00:00,34.83,,26.24,3.83,10.08,8.47,17.09,41.3,0.4,5.26,5.11,21.92,82.23,2.51,124.38,24.65,749.34,0.16,-0.02,28-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Mar-2020 - 00:00,34.27,,40.76,3.52,8.66,7.47,14.19,30.94,0.49,6.33,6.0,24.21,72.74,2.91,110.15,210.64,748.9,0.0,-0.02,29-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Mar-2020 - 00:00,33.69,,45.46,3.64,7.08,6.72,13.85,25.0,0.48,6.98,6.39,25.17,60.04,3.65,77.98,194.79,747.04,0.0,-0.02,30-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Mar-2020 - 00:00,33.96,,48.8,3.75,9.52,8.09,14.77,29.66,0.49,6.8,6.15,25.44,57.62,3.01,98.61,201.44,747.43,0.0,-0.0,31-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Mar-2020 - 00:00,34.5,,51.37,3.79,12.35,9.58,15.81,38.63,0.15,2.0,1.73,26.7,54.68,2.2,102.7,204.24,746.58,0.0,-0.02,01-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Apr-2020 - 00:00,36.18,,54.9,3.86,13.34,10.23,15.78,49.28,0.0,0.0,0.0,28.92,54.66,1.63,112.57,195.98,744.98,0.0,-0.01,02-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Apr-2020 - 00:00,36.91,,47.17,3.47,10.26,8.26,13.58,34.31,0.0,0.0,0.0,27.5,55.73,2.72,74.65,211.73,745.22,0.0,-0.01,03-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Apr-2020 - 00:00,34.78,,57.38,3.53,9.02,7.66,14.79,20.69,0.0,0.0,0.0,26.38,50.13,2.87,78.71,223.38,746.88,0.0,-0.01,04-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Apr-2020 - 00:00,34.67,,63.86,3.79,8.56,7.64,15.91,30.74,0.0,0.0,0.0,26.64,49.89,2.69,104.96,280.18,747.31,0.0,0.0,05-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Apr-2020 - 00:00,36.69,,59.98,3.31,10.08,8.05,14.45,33.71,0.0,0.0,0.0,32.93,45.57,2.51,93.24,286.84,745.5,0.0,-0.03,07-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Apr-2020 - 00:00,38.14,,53.35,3.52,9.43,7.88,17.92,38.84,0.0,0.0,0.0,30.16,47.67,2.18,112.3,216.55,744.0,0.0,-0.03,08-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Apr-2020 - 00:00,43.63,,54.62,3.65,10.95,8.77,10.03,34.44,0.0,0.0,0.0,30.8,47.72,2.08,97.0,180.93,744.55,0.0,-0.04,09-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Apr-2020 - 00:00,41.93,,61.56,3.35,8.78,7.3,9.89,29.88,0.0,0.0,0.0,29.68,48.63,2.08,83.81,225.01,745.7,0.0,-0.03,10-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Apr-2020 - 00:00,41.17,,56.19,12.47,19.73,20.54,13.14,42.97,0.0,0.0,0.0,29.82,49.31,1.3,97.56,210.6,746.86,0.0,-0.01,11-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Apr-2020 - 00:00,41.97,,44.51,15.73,36.31,32.05,13.85,71.08,0.0,0.0,0.0,31.58,51.12,1.05,135.77,197.64,747.06,0.0,-0.01,12-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Apr-2020 - 00:00,43.51,,49.88,3.97,19.69,13.6,17.75,45.85,0.0,0.0,0.0,31.49,50.26,1.96,80.68,215.4,745.26,0.0,-0.04,13-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Apr-2020 - 00:00,44.14,,45.81,10.09,28.59,23.38,19.49,49.88,0.0,0.0,0.0,32.21,51.36,1.39,106.81,209.17,743.8,0.0,-0.02,14-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Apr-2020 - 00:00,42.66,,48.9,3.91,26.19,17.11,18.85,60.36,0.0,0.0,0.0,32.89,52.99,1.05,122.36,167.85,744.46,0.0,-0.01,15-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Apr-2020 - 00:00,38.18,,39.17,7.84,33.12,23.99,17.99,74.7,0.0,0.0,0.0,32.25,55.12,1.45,163.98,147.77,744.38,0.0,-0.01,16-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Apr-2020 - 00:00,37.0,,43.47,15.27,31.98,29.31,18.67,83.47,0.0,0.0,0.0,31.94,55.01,1.26,144.28,200.54,742.0,0.0,-0.02,17-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Apr-2020 - 00:00,37.64,,39.47,5.15,40.57,25.78,23.04,128.02,0.0,0.0,0.0,32.37,54.11,1.03,135.78,139.37,742.03,0.0,-0.01,18-Apr-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
