from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
20-Oct-2020 - 00:00,121.71,243.42,50.6,37.06,14.25,12.63,12.65,1.05,43.31,7.31,20.46,3.34,4.56,7.13,3.61,,47.17,348.54,0.0,21-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Oct-2020 - 00:00,108.62,217.22,56.92,44.68,19.66,16.42,4.63,1.24,37.98,11.1,24.87,4.16,6.19,9.59,3.37,,55.26,360.77,0.0,22-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Oct-2020 - 00:00,142.83,285.65,56.54,44.19,18.88,13.6,10.45,1.4,36.04,10.55,23.61,5.66,6.79,10.14,3.29,,50.86,266.04,0.0,23-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Oct-2020 - 00:00,126.63,253.29,55.57,42.3,17.54,15.1,4.1,1.19,32.41,11.27,30.0,6.09,10.24,13.13,3.62,,48.83,430.92,0.0,24-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Oct-2020 - 00:00,164.1,317.08,72.86,70.65,41.63,17.96,5.26,1.89,36.91,16.2,44.37,9.5,14.68,21.13,3.87,,55.13,295.48,0.0,25-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Oct-2020 - 00:00,169.98,339.95,51.65,37.16,13.69,19.1,4.19,1.35,42.11,12.49,33.32,5.35,8.17,13.26,3.43,,58.85,334.76,0.0,26-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Oct-2020 - 00:00,148.42,296.85,45.78,33.46,12.9,16.0,5.04,1.18,41.82,9.48,25.34,4.04,5.94,9.84,3.01,,53.01,339.45,0.0,27-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Oct-2020 - 00:00,138.91,277.84,46.7,31.93,10.38,13.41,7.67,1.13,38.91,7.07,21.17,3.81,6.41,8.77,3.44,,51.46,330.27,0.0,28-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Oct-2020 - 00:00,228.12,456.24,83.63,79.31,45.41,18.17,3.92,2.2,34.39,12.68,30.58,6.75,8.74,14.05,4.13,,47.37,386.98,0.0,29-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Oct-2020 - 00:00,152.58,268.76,56.5,46.13,21.15,19.2,6.59,1.43,36.77,13.62,28.48,6.53,8.74,13.14,3.81,,59.18,330.67,0.0,30-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Oct-2020 - 00:00,,257.85,50.84,40.4,17.25,16.75,14.17,1.21,36.96,10.38,22.72,5.38,6.18,10.39,3.44,,53.71,328.17,0.0,31-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
31-Oct-2020 - 00:00,,235.13,40.91,25.26,4.84,17.11,18.86,0.95,43.03,4.28,12.9,1.92,2.83,4.27,3.02,,34.0,467.34,0.0,01-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Nov-2020 - 00:00,,148.17,47.6,27.82,3.69,15.87,22.12,1.19,49.56,10.03,23.69,3.84,5.97,8.65,2.99,,50.52,346.13,0.0,02-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Nov-2020 - 00:00,,120.02,55.07,35.27,8.18,12.92,15.25,1.23,43.5,8.88,19.84,3.78,5.04,7.85,3.41,,48.08,295.78,0.0,03-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Nov-2020 - 00:00,206.24,221.54,78.9,86.15,57.0,22.13,13.56,1.91,24.53,21.01,29.99,7.1,10.83,15.95,3.91,,47.47,298.03,0.0,04-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Nov-2020 - 00:00,198.06,395.46,66.73,43.77,13.05,29.08,19.28,1.55,41.16,15.63,28.1,7.72,11.07,14.95,3.55,,65.73,285.95,0.0,05-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Nov-2020 - 00:00,173.01,327.4,63.22,42.16,13.07,20.12,12.69,1.51,33.6,14.17,25.35,6.24,8.21,11.61,3.82,,61.39,289.64,0.0,06-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Nov-2020 - 00:00,183.24,321.46,47.8,33.75,12.95,17.28,13.46,0.98,43.82,8.26,16.81,4.99,4.97,7.41,3.28,,55.93,355.0,0.0,07-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Nov-2020 - 00:00,213.19,374.04,93.63,113.67,82.77,18.65,14.79,2.18,48.85,16.85,41.05,11.43,14.35,23.45,3.74,,44.34,353.41,0.0,08-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Nov-2020 - 00:00,215.24,377.6,82.81,76.83,43.85,26.17,12.22,1.86,21.38,19.03,38.92,11.05,12.61,20.26,4.14,,76.11,258.03,0.0,09-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Nov-2020 - 00:00,154.18,270.5,66.06,62.82,37.31,21.54,13.83,1.32,32.79,12.25,35.29,10.98,10.39,16.91,4.0,,61.02,313.9,0.0,10-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Nov-2020 - 00:00,178.25,312.74,86.24,82.37,50.47,34.37,10.54,1.76,18.82,9.71,19.94,6.52,6.8,11.02,3.87,,65.93,219.53,0.0,11-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Nov-2020 - 00:00,205.85,325.75,82.81,94.16,65.33,41.18,10.27,2.17,6.87,3.87,13.5,3.93,3.9,6.25,4.02,,62.31,225.53,0.0,12-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Nov-2020 - 00:00,216.07,315.61,69.54,53.89,23.6,42.09,4.65,1.66,3.81,12.07,62.48,12.25,18.55,25.64,3.74,,63.13,291.49,0.0,13-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Nov-2020 - 00:00,206.15,360.82,69.86,48.41,16.8,38.98,3.81,1.58,4.31,16.4,90.22,14.58,20.8,31.22,4.04,,65.89,241.3,0.0,14-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Nov-2020 - 00:00,181.97,310.24,79.66,67.89,34.76,44.04,4.77,1.83,3.64,16.67,86.21,15.05,20.4,32.7,4.18,,65.78,275.62,0.0,15-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Nov-2020 - 00:00,133.69,209.77,49.04,28.6,5.57,35.86,5.16,0.97,18.62,10.22,76.72,11.47,15.78,28.43,2.87,,75.37,313.36,0.0,16-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Nov-2020 - 00:00,32.73,100.34,35.58,20.17,4.19,27.9,2.64,0.52,39.22,3.91,67.77,7.15,11.67,20.64,2.31,,57.91,330.39,0.03,17-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Nov-2020 - 00:00,51.43,75.55,38.32,21.92,4.46,31.46,4.11,0.52,38.62,4.78,55.3,5.81,8.45,14.4,3.34,,71.49,314.37,0.0,18-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Nov-2020 - 00:00,98.76,129.59,37.88,21.24,3.81,30.74,4.03,0.63,38.2,6.29,50.37,5.3,8.14,12.54,3.2,,84.42,364.56,0.0,19-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Nov-2020 - 00:00,132.51,178.96,37.9,20.78,3.23,30.38,6.69,0.7,56.97,6.84,41.1,4.5,6.65,10.37,2.9,,62.23,386.19,0.0,20-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Nov-2020 - 00:00,152.7,190.23,37.07,20.29,3.25,24.21,4.01,0.73,53.18,6.05,33.8,3.73,5.49,8.26,2.9,,83.42,351.9,0.0,21-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Nov-2020 - 00:00,73.24,124.16,29.87,16.23,2.77,26.85,5.07,0.4,41.7,3.81,29.97,2.57,3.69,6.0,2.26,,47.57,337.0,0.0,22-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Nov-2020 - 00:00,95.54,142.63,34.68,19.34,3.52,28.01,4.31,0.54,43.15,5.33,37.75,3.35,5.0,7.82,2.99,,65.25,282.9,0.0,23-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Nov-2020 - 00:00,138.98,240.03,64.08,43.79,14.86,37.91,5.53,1.12,20.31,10.86,48.87,6.22,8.45,13.86,3.74,,71.25,207.74,0.0,24-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Nov-2020 - 00:00,167.06,302.46,76.24,70.44,40.17,47.77,5.44,1.79,19.72,16.52,62.78,10.7,12.93,21.35,3.93,,80.46,178.13,0.0,25-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Nov-2020 - 00:00,163.19,270.81,68.57,52.91,23.3,41.73,4.96,1.5,25.89,14.78,61.94,10.67,13.41,22.27,3.31,,81.89,96.45,0.0,26-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Nov-2020 - 00:00,41.95,66.4,42.09,23.86,4.33,32.73,4.34,0.49,38.84,5.07,52.51,6.32,8.39,14.43,3.02,,81.25,153.99,0.0,27-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Nov-2020 - 00:00,62.9,103.71,43.31,25.71,5.84,30.48,3.46,0.57,41.83,6.9,46.69,5.27,7.64,11.75,3.05,,72.15,322.98,0.0,28-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Nov-2020 - 00:00,115.03,176.89,48.33,30.19,8.16,29.12,10.62,0.76,41.4,6.1,37.13,4.67,7.28,10.79,3.3,,77.58,276.48,0.0,29-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Nov-2020 - 00:00,157.2,221.71,65.1,44.58,15.4,33.42,13.0,1.26,34.89,9.52,47.62,7.67,10.53,14.88,3.9,,89.95,75.72,0.0,30-Nov-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Nov-2020 - 00:00,204.16,209.83,68.71,54.44,25.12,38.64,13.36,1.6,36.72,14.86,54.06,9.59,11.21,16.8,4.0,,80.59,261.34,0.0,01-Dec-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Dec-2020 - 00:00,,,92.66,77.89,38.77,49.13,13.14,1.48,10.25,13.3,63.09,9.56,13.0,20.47,4.17,,,,0.0,02-Dec-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
