from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
20-Feb-2020 - 00:00,37.64,87.57,59.56,163.24,28.09,704.67,113.55,0.0,2.13,0.0,0.0,37.34,35.28,4.58,22.25,32.6,2.65,0.2,0.44,0.0,21-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,26.23,69.29,56.5,169.46,27.75,704.99,111.59,0.0,2.12,0.0,0.0,36.73,32.8,5.23,21.45,29.82,2.04,0.04,0.05,0.0,22-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,21.45,68.6,51.17,172.24,27.85,704.68,102.14,0.0,1.85,0.0,0.0,31.68,39.17,5.07,24.22,30.0,1.43,0.0,0.0,0.0,23-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,18.25,57.98,51.17,174.5,27.78,704.91,110.86,0.0,1.93,0.0,0.0,35.25,32.68,4.52,20.99,30.96,1.96,0.0,0.0,0.0,24-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,23.74,70.4,51.24,165.77,28.02,722.74,129.23,0.0,1.54,0.0,0.0,39.51,32.01,5.05,20.73,30.49,2.09,0.0,0.0,0.0,25-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,33.53,92.1,53.73,150.66,27.96,737.67,155.16,0.0,1.38,0.0,0.0,37.91,33.22,4.53,21.35,31.82,2.84,0.2,0.59,0.0,26-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,44.79,121.17,52.68,161.72,28.49,712.74,87.15,0.0,1.28,0.0,0.0,42.5,40.15,4.84,25.25,30.46,7.68,0.53,2.16,0.0,27-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,30.56,100.28,42.51,165.51,28.9,713.15,67.06,0.0,1.39,0.0,0.0,42.94,41.5,4.74,25.8,29.7,6.5,0.39,1.76,0.0,28-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,36.04,98.94,54.64,164.33,28.63,712.21,84.34,-0.0,1.41,0.0,0.0,39.48,41.86,4.7,25.69,32.64,3.01,2.17,6.44,2.31,29-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,33.3,84.08,59.48,148.88,28.34,711.71,108.17,-0.0,1.64,0.0,0.0,39.61,33.29,5.0,21.77,31.4,2.29,4.2,13.66,2.81,01-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,33.0,87.83,58.74,155.14,28.31,711.81,116.59,0.0,1.46,0.0,0.0,40.14,32.84,5.0,20.72,27.92,1.88,4.13,12.58,1.66,02-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,33.12,85.81,55.25,156.39,28.46,712.12,155.36,-0.0,1.23,0.0,0.0,34.95,34.25,5.46,22.06,27.69,1.57,6.48,16.46,3.14,03-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
