from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
23-Sep-2020 - 00:00,36.17,76.25,26.35,978.31,92.64,0.75,63.6,88.34,,8.63,18.37,9.77,21.17,19.23,8.84,9.0,0.87,24-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Sep-2020 - 00:00,35.49,114.92,49.9,980.51,135.73,0.65,65.98,80.13,,12.28,16.22,8.22,25.01,20.01,17.97,8.08,0.99,25-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Sep-2020 - 00:00,36.27,164.5,67.07,979.73,195.41,0.51,60.32,90.72,,21.2,13.86,8.68,33.46,24.88,20.68,8.43,1.06,26-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Sep-2020 - 00:00,34.85,181.92,71.29,979.91,170.29,0.33,61.42,63.9,,25.31,14.21,21.12,35.85,36.29,8.08,8.05,1.12,27-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Sep-2020 - 00:00,34.86,144.96,55.04,982.54,230.45,0.39,58.26,87.73,,16.17,14.77,13.75,30.25,27.3,13.15,7.87,1.11,28-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Sep-2020 - 00:00,35.39,219.21,79.17,983.6,240.97,0.48,57.06,86.21,,17.56,16.43,16.85,35.43,32.58,9.61,8.53,1.22,29-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Sep-2020 - 00:00,35.25,219.75,81.33,983.27,251.73,0.51,59.55,80.81,,18.56,18.44,8.3,32.18,23.89,13.81,7.76,1.09,30-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Sep-2020 - 00:00,35.03,210.17,74.54,982.19,245.21,0.49,55.86,81.02,,16.44,16.63,8.96,34.66,25.74,17.03,8.39,1.02,01-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Oct-2020 - 00:00,35.12,230.39,83.59,981.67,246.32,0.44,55.68,79.06,,18.97,18.42,13.52,46.2,35.6,30.32,9.01,1.09,02-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Oct-2020 - 00:00,34.84,254.12,97.42,982.29,228.2,0.36,58.07,75.93,,17.85,23.26,8.13,46.68,31.46,70.26,11.12,1.36,03-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Oct-2020 - 00:00,34.4,262.91,108.35,983.4,233.07,0.36,56.26,73.92,,14.8,20.86,8.56,56.54,37.04,63.32,11.02,1.18,04-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Oct-2020 - 00:00,33.84,259.38,104.49,984.3,247.33,0.33,55.66,70.93,,18.63,21.48,12.95,56.98,40.86,72.94,13.06,1.32,05-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Oct-2020 - 00:00,34.37,274.61,94.23,983.79,253.68,0.45,51.91,68.0,,17.92,20.3,5.81,55.54,34.29,73.98,13.69,1.18,06-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Oct-2020 - 00:00,34.0,273.86,101.23,984.23,227.1,0.4,53.91,66.24,,23.07,23.54,14.39,62.94,45.21,63.4,13.5,1.18,07-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
