from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
30-Mar-2020 - 00:00,23.67,986.98,71.58,41.36,49.05,243.17,1.13,266.42,1.1,3.2,24.91,4.04,9.63,11.92,0.37,55.18,11.9,31-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Mar-2020 - 00:00,24.88,985.7,67.01,35.12,47.19,218.21,1.14,269.92,1.1,3.2,25.31,3.91,9.52,11.88,0.3,,12.33,01-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Apr-2020 - 00:00,25.48,984.81,62.47,32.1,50.92,226.2,0.92,269.29,1.1,3.2,24.74,5.15,11.3,13.35,0.39,,14.46,02-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Apr-2020 - 00:00,25.11,985.1,57.5,26.42,44.29,246.61,1.43,275.69,1.1,3.2,25.04,3.97,7.91,8.79,0.29,,13.3,03-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Apr-2020 - 00:00,23.63,986.58,65.45,36.18,37.65,257.1,1.03,265.75,1.1,3.2,27.69,4.12,10.99,14.34,0.3,,13.06,04-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Apr-2020 - 00:00,24.58,986.54,72.77,46.39,40.75,239.66,0.9,265.16,1.1,3.2,,4.84,13.95,18.79,0.49,,12.19,05-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Apr-2020 - 00:00,25.11,987.51,,62.65,45.19,244.97,0.64,250.84,1.1,3.2,,5.43,17.62,24.82,0.61,,18.45,06-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Apr-2020 - 00:00,28.44,985.98,,66.47,37.03,235.89,0.75,255.81,1.1,3.2,,4.84,12.94,16.91,0.55,,15.88,07-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Apr-2020 - 00:00,26.76,984.05,,31.06,39.23,223.69,1.35,283.7,1.1,3.2,,4.1,8.58,9.82,0.28,,14.64,08-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Apr-2020 - 00:00,26.56,984.66,,31.62,32.58,231.83,1.16,272.27,1.1,3.2,,4.13,8.66,9.95,0.27,,13.14,09-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Apr-2020 - 00:00,26.67,985.32,90.08,45.24,34.64,255.91,0.81,259.96,2.25,4.42,24.37,4.71,13.99,19.08,0.54,96.7,11.09,10-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Apr-2020 - 00:00,27.59,986.16,143.84,86.88,35.87,223.37,0.48,248.65,2.98,6.96,21.16,7.41,19.68,25.66,0.79,78.54,3.03,11-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Apr-2020 - 00:00,29.69,987.09,123.17,64.42,35.01,217.43,0.62,244.81,1.1,3.7,19.44,11.27,18.91,18.28,0.68,99.66,2.01,12-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Apr-2020 - 00:00,29.3,984.8,91.9,44.89,32.8,223.61,0.88,264.59,1.1,3.7,17.44,4.6,11.11,13.84,0.53,88.2,2.01,13-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Apr-2020 - 00:00,30.64,982.87,128.94,66.78,34.45,214.62,0.7,231.11,1.1,3.7,17.42,5.79,16.96,23.02,0.7,74.71,2.41,14-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Apr-2020 - 00:00,31.33,983.5,130.47,55.14,34.7,174.08,0.47,144.56,2.63,6.38,16.34,7.61,23.89,33.23,0.69,74.94,1.64,15-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Apr-2020 - 00:00,31.51,982.26,197.04,69.72,27.75,199.11,0.67,170.72,5.07,8.35,17.22,16.76,29.61,29.98,0.94,67.23,1.69,16-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Apr-2020 - 00:00,31.33,981.69,171.24,69.53,25.88,191.61,0.7,250.52,4.38,10.1,17.54,11.69,22.09,23.61,0.67,78.7,1.73,17-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Apr-2020 - 00:00,30.99,981.43,79.77,23.89,26.81,184.35,1.09,215.33,1.73,4.82,14.95,3.81,9.43,11.9,0.3,99.95,2.37,18-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Apr-2020 - 00:00,28.95,983.39,96.44,23.45,36.77,179.57,1.12,155.52,1.65,4.52,14.17,3.77,9.03,11.22,0.31,91.04,2.57,19-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
