from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
27-Mar-2020 - 00:00,27.08,82.34,9.29,13.6,4.3,21.27,11.95,0.19,46.55,1.49,2.76,1.18,28.16,69.22,,343.12,1.71,235.41,28-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Mar-2020 - 00:00,29.46,79.56,13.33,17.65,4.31,24.47,12.38,0.25,58.79,3.35,4.16,2.9,28.53,54.99,,385.39,1.71,226.47,29-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Mar-2020 - 00:00,23.75,77.17,10.69,13.54,2.85,14.96,11.63,0.21,78.85,4.11,3.67,1.53,29.01,51.83,,419.09,1.58,241.71,30-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Mar-2020 - 00:00,23.54,78.05,12.31,15.59,3.28,14.18,10.53,0.25,63.01,3.68,5.12,2.0,28.12,55.77,,375.17,1.51,245.61,31-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
31-Mar-2020 - 00:00,25.25,77.03,11.7,15.99,4.3,17.71,10.02,0.27,42.15,3.86,5.67,2.72,27.57,63.89,,412.09,1.66,247.1,01-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Apr-2020 - 00:00,19.96,70.74,9.69,13.76,4.07,16.91,5.95,0.17,46.46,2.38,3.0,2.64,27.9,65.76,,455.04,1.56,250.12,02-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Apr-2020 - 00:00,24.0,89.8,10.24,13.97,3.73,16.72,6.74,0.2,57.31,2.46,2.27,2.45,28.5,65.6,,434.48,1.66,251.9,03-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Apr-2020 - 00:00,,95.91,7.47,10.72,3.25,14.46,0.54,0.12,39.15,1.39,1.79,1.6,28.68,66.61,,430.01,1.66,244.77,04-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Apr-2020 - 00:00,,86.13,10.31,14.38,4.07,11.64,2.83,0.15,33.12,0.52,1.18,2.92,28.46,70.43,,452.1,1.48,251.44,05-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Apr-2020 - 00:00,,82.37,8.57,12.24,3.67,10.83,2.16,0.16,33.08,1.14,3.27,2.16,27.99,74.02,,451.58,1.45,246.87,06-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Apr-2020 - 00:00,,66.24,7.92,12.08,4.16,8.59,5.85,0.09,21.09,1.02,1.41,1.42,27.59,77.4,,446.76,1.49,234.81,07-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Apr-2020 - 00:00,,89.95,7.09,10.55,3.46,7.67,5.5,0.05,18.73,0.92,2.33,1.5,27.1,76.98,,457.27,1.34,244.96,08-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Apr-2020 - 00:00,,108.11,7.89,12.37,4.48,15.4,9.42,0.08,17.86,1.38,2.06,1.94,27.04,73.57,,486.5,1.5,235.85,09-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Apr-2020 - 00:00,,104.96,11.2,18.09,6.88,22.56,20.72,0.08,19.02,0.64,2.15,2.67,27.33,71.63,,478.59,1.55,214.74,10-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Apr-2020 - 00:00,,91.95,5.97,8.93,2.96,12.64,17.71,0.06,28.13,0.61,1.87,1.45,28.09,72.81,,468.45,1.6,237.13,11-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Apr-2020 - 00:00,,101.06,8.22,10.39,2.17,5.2,17.41,0.12,37.12,0.56,2.51,1.69,30.11,67.0,,508.65,1.59,260.26,12-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Apr-2020 - 00:00,,83.66,8.16,13.21,5.05,4.02,5.86,0.13,25.53,0.94,2.24,1.58,28.92,76.39,,437.19,1.32,225.05,13-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Apr-2020 - 00:00,,78.22,5.65,15.24,9.59,6.6,1.79,0.08,19.07,0.86,1.24,1.59,28.74,76.98,,441.8,1.41,199.77,14-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Apr-2020 - 00:00,,79.24,7.31,17.97,10.68,13.47,1.32,0.09,19.9,0.58,1.86,1.37,29.51,73.16,,452.02,1.59,206.29,15-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
