from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
18-Feb-2020 - 00:00,77.64,57.0,19.62,49.02,34.04,49.73,1.13,249.98,118.31,2.18,14.99,18.67,32.06,745.28,46.09,0.0,2.6,252.17,78.71,19-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Feb-2020 - 00:00,43.88,51.15,41.18,59.57,37.54,104.21,1.48,242.41,123.89,2.04,7.4,19.02,32.08,745.47,49.41,0.0,3.06,139.31,70.66,20-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Feb-2020 - 00:00,16.83,9.71,1.47,59.42,31.52,107.67,1.0,235.35,128.39,1.56,3.11,19.73,32.04,745.84,54.22,0.0,5.38,148.04,72.46,21-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Feb-2020 - 00:00,9.13,5.4,1.44,47.52,14.56,93.91,0.67,60.03,41.76,0.53,1.2,17.46,31.01,745.84,62.96,0.18,6.01,159.47,37.71,22-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Feb-2020 - 00:00,32.09,53.39,48.81,43.21,15.03,69.65,1.77,111.03,51.81,1.0,5.65,18.99,30.81,745.67,59.32,0.0,2.52,135.85,69.58,23-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Feb-2020 - 00:00,37.86,35.05,18.22,40.64,25.02,58.54,1.8,158.66,94.61,1.27,5.06,19.99,27.89,746.0,56.65,0.0,1.56,221.43,71.81,24-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Feb-2020 - 00:00,40.02,28.04,8.18,43.08,24.41,60.68,1.44,112.41,57.09,0.93,4.08,19.19,28.22,745.94,56.32,0.0,2.64,276.93,84.7,25-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Feb-2020 - 00:00,66.36,57.29,26.92,53.04,32.42,60.81,2.32,252.81,161.49,1.88,11.91,19.33,30.52,745.84,62.27,0.0,1.53,162.25,67.57,26-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Feb-2020 - 00:00,29.02,18.96,4.9,41.85,32.88,81.09,1.59,174.28,112.59,1.71,5.34,19.7,28.69,745.92,59.95,0.0,2.0,129.08,70.23,27-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Feb-2020 - 00:00,20.34,12.0,1.94,44.5,31.14,88.66,1.42,149.57,97.57,1.47,3.37,19.96,28.18,745.86,60.49,0.0,2.72,106.8,69.71,28-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Feb-2020 - 00:00,14.23,8.6,2.15,44.61,30.81,81.9,1.35,155.49,103.42,1.36,3.07,19.78,28.65,745.9,61.69,0.0,4.3,147.96,70.49,29-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Feb-2020 - 00:00,12.64,7.98,2.87,40.86,32.28,78.06,1.32,117.58,73.06,1.14,2.19,19.63,29.82,745.93,61.73,0.3,5.11,156.9,64.93,01-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Mar-2020 - 00:00,28.89,34.91,26.1,37.48,20.78,74.07,1.08,77.9,36.04,0.8,3.92,20.01,29.5,745.82,59.89,0.0,1.66,211.32,86.46,02-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Mar-2020 - 00:00,53.07,69.34,50.46,43.87,29.37,65.75,1.16,189.71,96.09,1.56,6.96,21.01,30.29,745.53,58.76,0.0,0.82,253.99,85.7,03-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
