from date,Ozone,NO,NO2,NOx,SO2,Benzene,Toluene,WS,RH,BP,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
11-Sep-2020 - 00:00,16.19,13.49,11.41,15.56,22.91,1.85,2.65,0.44,,,73.1,0.25,17.64,30.09,46.37,0.78,111.45,1.0,12-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Sep-2020 - 00:00,9.56,7.97,6.74,9.19,17.16,1.69,2.38,0.35,,,67.83,0.25,10.42,17.77,54.81,0.65,113.31,0.87,13-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Sep-2020 - 00:00,13.11,10.92,9.24,12.6,23.53,1.73,2.44,0.35,,,75.64,,14.28,24.37,52.7,0.67,117.95,0.89,14-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Sep-2020 - 00:00,8.38,6.98,5.91,8.06,15.04,1.73,2.44,0.43,,,84.56,,9.13,15.58,50.68,0.66,120.37,0.89,15-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Sep-2020 - 00:00,9.98,8.31,7.03,8.51,17.9,1.8,2.54,0.55,,,72.55,,10.87,18.54,57.3,0.69,116.16,0.92,16-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Sep-2020 - 00:00,10.43,8.69,7.36,10.03,18.73,1.8,2.47,0.52,,,68.13,,11.37,19.4,55.16,0.71,95.09,0.94,17-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Sep-2020 - 00:00,10.08,8.4,7.11,9.69,18.09,1.85,2.35,0.45,,,73.81,,10.98,18.74,55.41,0.77,71.22,0.99,18-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Sep-2020 - 00:00,12.97,10.81,9.14,12.47,23.28,1.87,2.36,0.46,,,105.29,,14.13,24.11,53.57,0.79,72.82,1.01,19-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Sep-2020 - 00:00,14.01,11.68,9.88,13.47,25.15,1.99,2.49,0.51,,,73.11,0.25,15.27,26.04,53.87,0.88,113.43,1.11,20-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Sep-2020 - 00:00,18.46,15.38,13.02,17.75,32.88,2.04,2.56,0.52,,,65.57,0.25,20.12,34.32,43.02,0.9,128.78,1.14,21-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Sep-2020 - 00:00,13.4,11.17,9.45,12.89,24.05,2.0,2.51,0.47,,,62.1,0.25,14.6,24.91,55.43,0.88,126.75,1.12,22-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Sep-2020 - 00:00,12.15,10.12,8.57,11.68,21.8,2.03,2.55,0.38,,,99.02,,13.24,22.58,52.35,0.9,124.31,1.13,23-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Sep-2020 - 00:00,10.98,9.15,7.74,7.86,19.71,2.03,2.56,0.4,,,66.51,,11.97,20.41,57.2,0.9,122.81,1.14,24-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Sep-2020 - 00:00,6.63,5.52,4.67,4.99,11.9,1.95,2.47,0.43,,,73.26,0.25,7.22,12.32,55.93,0.83,122.0,1.05,25-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Sep-2020 - 00:00,4.88,17.21,14.56,18.39,8.75,1.88,2.42,0.43,,,69.42,,22.5,38.39,57.07,0.77,122.64,0.97,26-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Oct-2020 - 00:00,14.97,13.31,9.98,23.29,6.65,0.8,,0.63,51.89,943.99,106.56,316.03,18.3,24.95,32.58,,,1.08,21-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Oct-2020 - 00:00,14.37,12.77,9.58,22.35,6.38,0.79,,0.62,76.79,944.83,116.43,0.31,17.56,23.94,23.62,,,1.07,22-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Oct-2020 - 00:00,17.06,15.16,11.37,26.53,7.58,0.77,,0.55,66.12,943.5,108.38,114.05,20.85,28.43,27.37,,,1.04,23-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Oct-2020 - 00:00,18.74,16.65,12.49,29.14,8.33,0.73,,0.47,69.37,943.73,117.57,134.65,22.9,31.11,26.2,,,0.99,24-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Oct-2020 - 00:00,23.35,20.76,15.57,36.33,10.38,0.71,,0.46,63.13,945.31,119.43,129.4,28.54,38.92,27.76,,,0.97,25-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Oct-2020 - 00:00,24.1,21.42,16.07,37.49,10.71,0.72,,0.46,76.12,947.27,120.16,128.78,29.46,40.17,23.98,,,0.98,26-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Oct-2020 - 00:00,50.8,45.15,33.86,79.02,22.58,0.75,,0.48,57.9,947.45,154.31,85.87,62.09,85.83,28.11,,,1.02,27-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Oct-2020 - 00:00,36.24,32.21,24.16,56.37,16.11,0.74,,0.48,71.32,947.72,150.14,148.09,44.29,60.4,23.86,,,1.01,28-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Oct-2020 - 00:00,39.95,35.51,26.64,62.15,17.45,0.74,,0.48,46.59,947.57,142.7,171.37,48.82,66.49,29.73,,,1.01,29-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Oct-2020 - 00:00,35.39,31.46,23.6,55.06,12.06,0.76,,0.49,28.44,947.51,122.2,354.43,37.4,59.05,34.58,,,1.03,30-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Oct-2020 - 00:00,41.91,37.25,27.94,65.19,18.63,0.66,,0.42,45.7,947.53,120.04,191.01,51.2,69.82,28.77,,,0.89,31-Oct-2020 - 00:00,"Karve Road, Pune - MPCB"
31-Oct-2020 - 00:00,30.94,27.5,20.63,48.13,13.75,0.68,,0.44,53.17,947.81,111.33,161.79,37.82,53.81,26.12,,,0.93,01-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Nov-2020 - 00:00,38.84,34.53,25.9,60.43,17.26,0.72,,0.47,56.5,948.27,111.04,154.15,47.48,64.74,26.39,,,0.98,02-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Nov-2020 - 00:00,54.3,45.75,35.28,81.02,24.8,0.71,,0.46,57.55,948.97,124.06,158.45,64.78,90.64,26.58,,,0.96,03-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Nov-2020 - 00:00,42.4,32.02,26.6,58.62,20.7,0.73,,0.5,55.88,949.17,121.65,163.9,50.18,70.97,25.97,,,1.01,04-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Nov-2020 - 00:00,30.43,24.09,20.29,44.38,15.22,0.79,,0.58,63.49,949.59,114.76,166.6,40.55,50.69,23.11,,,1.11,05-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Nov-2020 - 00:00,28.56,22.61,19.04,41.65,14.28,0.81,,0.59,54.07,949.28,104.82,172.73,38.08,47.6,24.81,,,1.13,06-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Nov-2020 - 00:00,29.4,23.29,19.61,42.89,14.71,0.77,,0.56,52.78,950.47,103.18,186.49,39.22,49.02,24.09,,,1.08,07-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Nov-2020 - 00:00,33.6,26.6,22.4,49.0,16.8,0.78,,0.58,58.69,950.94,105.15,184.68,43.52,56.0,24.13,,,1.1,08-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Nov-2020 - 00:00,32.84,26.0,21.89,47.89,16.42,0.75,,0.55,57.36,951.1,106.54,198.44,41.05,54.74,24.84,,,1.05,09-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Nov-2020 - 00:00,29.98,23.74,19.99,43.73,14.84,0.73,,0.54,53.83,950.37,116.38,213.29,37.07,49.43,23.86,,,1.03,10-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Nov-2020 - 00:00,33.88,26.82,22.58,49.4,16.93,0.77,,0.57,52.27,947.94,105.74,133.51,42.32,56.93,21.72,,,1.08,11-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Nov-2020 - 00:00,34.03,26.93,22.68,49.61,17.01,0.78,,0.59,47.99,948.39,104.81,186.43,42.53,56.71,22.33,,,1.09,12-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Nov-2020 - 00:00,19.99,17.03,14.81,31.83,11.84,0.67,,0.41,42.71,949.53,192.3,116.36,28.11,36.99,26.29,,,0.84,28-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Nov-2020 - 00:00,14.52,12.37,10.76,23.12,8.6,0.71,,0.42,56.75,949.84,136.05,49.39,20.44,26.89,23.16,,,0.89,29-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Nov-2020 - 00:00,15.29,13.03,11.33,24.35,9.06,0.72,,0.42,56.51,949.88,117.87,116.4,21.52,28.32,25.78,,,0.9,30-Nov-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Nov-2020 - 00:00,22.04,18.78,16.33,35.11,13.07,0.71,,0.39,62.34,949.75,116.3,188.22,31.03,40.83,25.82,,,0.89,01-Dec-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Dec-2020 - 00:00,24.03,20.47,17.8,38.27,14.24,0.69,,0.34,74.85,950.21,115.29,,33.82,44.5,22.39,,,0.86,02-Dec-2020 - 00:00,"Karve Road, Pune - MPCB"
