from date,Temp,RH,SR,BP,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,station
23-Apr-2020 - 00:00,21.63,54.18,82.62,974.09,0.74,129.91,,,0.0,7.95,0.57,24.5,66.06,1.87,3.73,2.81,2.81,2.81,-0.59,24-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Apr-2020 - 00:00,25.18,53.45,250.87,971.86,0.68,100.84,,,0.0,7.55,0.4,26.35,52.04,1.73,3.44,2.61,2.61,2.6,-0.54,25-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Apr-2020 - 00:00,26.94,53.47,204.56,972.48,0.76,97.03,,,0.0,8.11,0.34,31.19,27.08,2.0,4.0,3.0,3.01,3.01,-0.64,26-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Apr-2020 - 00:00,23.92,55.79,189.86,975.0,1.49,180.63,,,0.0,10.1,0.41,27.95,47.25,2.0,4.0,3.0,2.99,3.0,-0.64,27-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Apr-2020 - 00:00,24.02,56.82,242.63,977.81,1.6,180.74,,,0.0,8.0,0.46,26.83,30.55,2.0,4.0,2.99,3.0,3.0,-0.64,28-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Apr-2020 - 00:00,25.84,56.07,215.24,977.94,1.06,161.89,,,0.0,10.14,0.72,30.89,39.96,2.0,4.0,3.0,2.99,3.0,-0.64,29-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Apr-2020 - 00:00,28.31,54.83,213.77,975.12,0.62,133.64,,,0.0,10.65,0.63,31.15,67.38,2.0,4.0,3.0,3.0,3.0,-0.64,30-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-Apr-2020 - 00:00,29.51,54.24,210.96,974.36,0.68,118.31,,,0.0,8.72,0.88,31.91,90.62,2.02,4.01,3.0,2.99,2.99,-0.64,01-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-May-2020 - 00:00,29.63,54.66,217.48,972.54,0.99,133.06,,,0.0,8.32,0.98,37.61,108.98,2.01,4.0,2.99,3.0,3.0,-0.64,02-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-May-2020 - 00:00,28.04,55.27,219.64,972.19,1.68,183.53,,,0.0,12.02,0.83,42.05,44.89,2.0,4.0,2.99,2.99,3.0,-0.64,03-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-May-2020 - 00:00,25.34,56.94,167.67,973.83,1.47,167.45,,,0.0,9.65,0.55,31.7,29.5,2.01,3.99,2.99,3.01,3.0,-0.64,04-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-May-2020 - 00:00,25.0,57.13,232.13,975.66,0.86,143.27,,,0.0,7.51,0.61,20.69,17.93,2.0,4.01,3.0,3.0,2.99,-0.64,05-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-May-2020 - 00:00,28.07,55.3,235.07,974.08,0.7,89.82,,,0.0,8.03,0.93,22.02,44.85,2.0,3.99,3.0,2.99,3.0,-0.64,06-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-May-2020 - 00:00,27.27,53.79,172.42,973.34,0.75,122.83,,,0.0,8.23,0.86,21.25,53.34,1.99,3.99,3.0,3.0,3.0,-0.64,07-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-May-2020 - 00:00,27.29,53.61,248.27,973.96,0.83,156.43,,,0.0,8.6,0.79,28.87,38.29,1.99,4.0,3.0,3.01,3.0,-0.64,08-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-May-2020 - 00:00,29.02,53.77,229.5,972.84,0.72,106.81,,,0.0,34.81,0.92,45.44,80.58,2.01,4.01,3.0,3.0,2.99,-0.64,09-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-May-2020 - 00:00,30.42,54.16,222.82,973.5,0.87,160.68,,,0.0,5.06,1.05,48.93,84.41,1.99,4.0,3.0,3.0,3.0,-0.64,10-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-May-2020 - 00:00,26.12,55.25,113.38,975.15,1.42,175.66,,,0.0,6.66,1.15,45.08,57.3,2.0,4.0,3.0,3.0,2.99,-0.64,11-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-May-2020 - 00:00,26.88,54.92,204.45,975.79,1.13,160.23,,,0.0,5.06,0.74,44.59,54.76,2.0,3.99,3.0,3.0,2.99,-0.64,12-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-May-2020 - 00:00,28.31,54.41,209.26,975.08,1.09,169.1,,,0.0,5.02,0.67,49.53,57.14,2.01,4.01,3.0,3.0,3.0,-0.64,13-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-May-2020 - 00:00,27.25,55.49,104.68,973.7,0.66,103.49,,,0.0,5.28,0.63,42.12,87.67,2.0,4.0,3.0,3.01,3.01,-0.64,14-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-May-2020 - 00:00,26.82,56.08,210.64,972.89,0.81,134.12,,,0.0,5.59,0.54,32.12,58.68,1.97,3.96,2.96,2.98,2.98,-0.63,15-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-May-2020 - 00:00,27.83,53.89,242.71,972.59,0.77,92.36,,,0.0,5.87,0.61,21.51,40.89,1.99,4.0,2.99,3.01,3.01,-0.64,16-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-May-2020 - 00:00,29.35,52.7,257.59,971.12,0.73,91.97,,,0.0,5.69,0.64,44.23,53.76,1.99,4.0,3.0,3.0,3.01,-0.64,17-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-May-2020 - 00:00,28.9,53.08,196.36,969.82,0.66,71.37,,,0.0,5.4,0.84,46.27,72.62,1.99,4.0,2.99,2.99,3.0,-0.64,18-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-May-2020 - 00:00,29.16,52.18,231.14,969.0,0.66,85.75,,,0.0,5.73,1.16,41.63,56.04,2.01,4.0,3.01,3.01,3.0,-0.64,19-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-May-2020 - 00:00,29.58,51.37,238.93,968.28,0.65,102.65,,,0.0,4.65,0.8,40.74,70.43,2.0,4.01,3.0,3.0,3.0,-0.64,20-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-May-2020 - 00:00,29.39,51.23,252.75,968.02,0.72,89.86,,,0.0,5.43,0.69,49.8,47.71,2.0,4.0,3.0,2.99,3.0,-0.64,21-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-May-2020 - 00:00,30.34,51.23,260.04,966.98,0.84,72.53,,,0.0,6.85,0.66,47.16,37.92,2.0,4.0,3.0,3.0,2.99,-0.64,22-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-May-2020 - 00:00,30.68,51.72,239.84,966.85,0.71,67.44,,,0.0,5.64,0.74,35.05,66.99,2.0,4.0,2.99,2.99,3.0,-0.64,23-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
23-May-2020 - 00:00,31.8,51.18,218.96,967.83,0.95,71.23,,,0.0,7.01,0.86,27.86,61.37,2.0,4.01,3.0,3.0,3.0,-0.64,24-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-May-2020 - 00:00,32.18,51.25,235.67,968.55,0.79,81.33,,,0.0,4.97,0.66,39.03,40.4,2.0,4.0,3.0,2.99,3.0,-0.64,25-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-May-2020 - 00:00,34.21,51.62,247.2,967.97,0.9,67.79,,,0.0,4.8,0.87,43.7,40.17,2.0,4.0,3.0,3.0,3.0,-0.64,26-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-May-2020 - 00:00,35.47,51.42,239.83,966.39,0.98,73.37,,,0.0,6.18,0.9,29.03,44.88,2.0,4.0,3.0,3.0,3.01,-0.64,27-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-May-2020 - 00:00,35.87,51.33,237.1,964.72,1.07,103.57,,,0.0,6.4,0.64,45.49,39.38,2.0,4.0,3.0,3.01,2.99,-0.64,28-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-May-2020 - 00:00,31.57,54.29,183.55,966.38,1.7,181.12,,,0.0,5.6,0.55,46.33,47.12,2.01,4.0,3.0,3.01,3.01,-0.64,29-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-May-2020 - 00:00,26.06,56.99,194.39,970.02,1.49,174.52,,,0.0,5.45,0.49,34.18,27.08,2.0,3.99,3.0,3.0,3.0,-0.64,30-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-May-2020 - 00:00,26.84,56.9,230.74,971.67,0.98,186.59,,,0.0,5.5,0.63,39.71,28.73,2.0,4.0,3.0,2.99,2.98,-0.64,31-May-2020 - 00:00,"MD University, Rohtak - HSPCB"
31-May-2020 - 00:00,23.46,59.22,157.15,974.34,1.0,146.24,,,0.0,5.86,0.45,35.36,17.76,2.0,3.99,3.0,3.0,3.0,-0.64,01-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Jun-2020 - 00:00,26.52,58.07,239.6,974.38,0.72,152.73,,,0.0,5.6,0.55,25.47,32.78,2.0,3.99,3.0,3.01,3.01,-0.64,02-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Jun-2020 - 00:00,28.0,57.32,243.12,972.54,0.8,117.16,,,0.0,6.06,0.81,26.86,32.91,1.99,3.95,2.97,2.96,2.97,-0.63,03-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Jun-2020 - 00:00,29.63,55.62,222.73,970.59,0.64,125.64,,,0.0,5.64,0.48,26.41,37.65,2.0,4.02,3.0,3.0,2.99,-0.64,04-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Jun-2020 - 00:00,28.39,56.18,133.65,969.75,0.77,139.02,,,0.0,6.2,0.56,24.26,43.93,1.97,3.96,2.96,2.97,2.96,-0.63,05-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Jun-2020 - 00:00,27.28,57.57,198.83,969.78,0.87,153.95,,,0.0,6.11,0.38,21.6,43.97,1.99,4.01,3.0,3.0,3.0,-0.64,06-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Jun-2020 - 00:00,29.33,57.0,241.59,968.99,1.01,172.01,,,0.0,5.36,0.64,33.79,51.4,2.0,3.99,3.0,3.0,3.01,-0.64,07-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Jun-2020 - 00:00,28.43,57.59,179.83,969.06,1.01,164.81,,,0.0,5.76,0.65,29.03,30.37,2.0,4.01,3.0,3.0,3.01,-0.64,08-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Jun-2020 - 00:00,30.99,56.59,225.32,968.86,0.73,152.96,,,0.0,7.13,0.7,33.79,46.57,2.01,4.0,2.99,3.0,2.98,0.58,09-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Jun-2020 - 00:00,32.64,52.66,231.73,969.0,0.57,154.0,,,0.0,12.05,0.75,36.5,59.46,2.01,3.99,3.0,2.99,3.0,2.28,10-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Jun-2020 - 00:00,30.69,51.39,210.96,968.71,0.69,117.79,,,0.0,18.25,0.5,20.42,48.93,1.98,4.0,2.99,3.0,3.01,2.42,11-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Jun-2020 - 00:00,29.85,53.83,237.2,967.61,0.65,118.24,,,0.0,13.03,0.77,20.55,46.44,2.01,3.99,3.0,3.0,3.0,2.42,12-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Jun-2020 - 00:00,32.88,47.96,215.96,966.23,0.63,149.8,,,0.0,5.86,5.25,23.26,50.1,1.97,3.96,2.97,2.97,2.97,2.39,13-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Jun-2020 - 00:00,27.43,52.52,129.5,967.22,0.62,155.97,,,0.0,4.99,1.22,22.6,53.2,2.0,4.0,3.0,3.01,3.0,2.35,14-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Jun-2020 - 00:00,27.3,55.2,222.24,968.66,0.57,154.23,,,0.0,5.59,1.39,22.03,46.96,1.97,3.95,2.98,2.98,2.97,2.39,15-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Jun-2020 - 00:00,29.88,53.58,227.58,966.47,0.66,116.39,,,0.0,5.36,0.77,22.1,49.64,2.01,4.0,3.0,3.0,3.0,2.42,16-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Jun-2020 - 00:00,31.05,52.4,203.62,964.04,0.5,172.34,,,0.0,6.14,1.58,25.29,46.26,1.99,4.0,2.99,3.0,3.0,2.42,17-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Jun-2020 - 00:00,33.1,48.85,222.18,963.63,0.53,184.69,,,0.0,6.13,2.29,30.29,36.28,2.0,4.0,3.01,3.0,3.0,2.42,18-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Jun-2020 - 00:00,34.12,47.96,228.16,964.26,0.57,145.64,,,0.0,13.14,1.15,22.31,38.45,2.0,4.0,2.99,2.99,3.0,2.42,19-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Jun-2020 - 00:00,34.27,49.05,192.35,965.95,0.67,147.75,,,0.0,20.23,0.56,21.51,69.35,2.01,4.0,3.0,2.99,3.0,2.42,20-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Jun-2020 - 00:00,28.37,56.08,152.65,968.2,0.87,130.91,,,0.0,15.57,0.65,20.47,44.18,2.0,4.0,3.0,2.99,3.0,2.41,21-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Jun-2020 - 00:00,28.89,55.96,159.4,968.05,0.71,140.6,,,0.0,16.59,0.39,25.64,41.26,2.01,3.99,3.0,3.01,3.0,2.42,22-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Jun-2020 - 00:00,28.74,57.54,216.91,968.1,0.73,130.39,,,0.0,12.31,0.41,26.18,31.66,1.98,3.95,2.97,2.96,2.97,2.39,23-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
23-Jun-2020 - 00:00,30.73,56.52,216.23,969.58,0.63,225.3,,,0.0,5.35,0.6,25.76,36.73,1.98,3.97,2.98,2.97,2.98,2.39,24-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Jun-2020 - 00:00,30.43,57.78,211.99,970.54,0.47,203.65,,,0.0,11.58,1.2,24.06,32.61,1.98,3.96,2.98,2.96,2.97,2.39,25-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Jun-2020 - 00:00,30.36,57.47,180.93,968.74,0.68,118.99,33.48,21.5,5.5,8.4,0.72,17.79,26.56,1.99,4.01,3.0,2.99,3.0,2.41,26-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Jun-2020 - 00:00,30.76,58.12,169.86,967.66,0.9,114.75,49.47,35.62,27.28,11.82,0.47,16.7,37.88,2.0,4.01,3.0,2.99,3.0,2.41,27-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Jun-2020 - 00:00,32.74,58.21,184.62,966.35,1.09,97.08,40.85,21.92,21.84,11.32,0.58,14.01,52.8,1.98,4.0,2.99,3.01,3.0,2.41,28-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Jun-2020 - 00:00,33.99,57.67,211.77,965.44,1.0,101.0,23.64,18.89,31.22,9.31,0.43,12.21,85.85,2.0,3.99,3.0,3.0,3.0,2.42,29-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Jun-2020 - 00:00,33.3,56.3,189.25,967.23,0.83,121.68,51.04,15.34,53.86,6.78,0.3,14.02,55.81,1.99,4.0,3.0,3.0,2.99,2.42,30-Jun-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-Jun-2020 - 00:00,31.31,58.59,204.06,968.65,0.56,190.66,58.75,14.28,37.76,12.8,0.54,26.76,48.36,2.71,3.76,2.8,2.82,2.82,2.24,01-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Jul-2020 - 00:00,33.1,57.17,180.59,967.45,0.61,150.59,64.09,14.28,16.36,16.36,0.47,27.21,212.43,4.0,4.01,3.0,2.99,3.0,2.39,02-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Jul-2020 - 00:00,35.11,53.91,186.85,965.19,0.57,111.06,28.78,6.95,1.79,17.21,0.46,24.38,88.08,4.06,4.01,3.0,3.0,3.0,2.37,03-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Jul-2020 - 00:00,33.98,56.51,210.76,963.39,0.52,165.52,43.26,28.35,30.11,19.12,0.72,29.95,277.65,3.93,3.96,2.97,2.97,2.97,2.34,04-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Jul-2020 - 00:00,32.55,59.41,216.97,963.76,0.52,166.59,26.95,26.7,39.26,12.94,0.52,28.93,63.04,3.93,3.92,2.94,2.94,2.93,2.34,05-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Jul-2020 - 00:00,29.5,61.24,221.76,966.62,0.72,197.68,81.5,29.24,83.86,6.28,0.54,21.67,15.24,3.93,3.92,2.94,2.94,2.93,2.33,06-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Jul-2020 - 00:00,33.95,61.17,213.85,965.66,0.62,196.22,45.36,27.22,53.34,8.75,0.74,18.67,32.83,3.95,3.97,2.97,2.96,2.98,2.39,07-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Jul-2020 - 00:00,34.28,61.78,193.63,968.47,0.62,213.72,5.89,22.45,18.27,12.72,0.93,14.6,21.62,3.79,3.79,2.85,2.84,2.85,2.28,08-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Jul-2020 - 00:00,36.17,63.41,127.59,969.67,0.53,175.41,5.99,19.07,16.01,5.89,0.58,16.99,19.05,4.01,4.0,3.0,3.0,2.99,2.4,09-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Jul-2020 - 00:00,40.68,61.17,191.67,966.45,0.51,123.83,7.13,23.82,19.0,5.79,0.25,18.81,24.08,5.72,5.23,3.33,4.75,4.3,2.28,10-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Jul-2020 - 00:00,43.2,58.92,219.01,964.13,0.98,98.88,7.99,26.03,22.95,5.13,0.3,13.47,10.12,7.97,7.01,4.0,7.03,6.0,2.39,11-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Jul-2020 - 00:00,37.77,60.19,209.83,965.34,0.77,150.29,7.98,21.8,22.61,4.81,1.14,17.4,8.14,7.85,6.84,3.92,6.85,5.89,2.36,12-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Jul-2020 - 00:00,32.74,61.19,125.78,967.34,0.71,145.12,7.99,19.01,23.03,6.87,0.14,17.81,15.44,8.03,6.99,4.01,7.03,6.02,2.41,13-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Jul-2020 - 00:00,35.5,59.16,231.23,966.48,0.72,118.61,6.97,17.6,15.75,11.69,0.85,29.47,11.32,7.97,6.99,4.0,7.01,6.0,2.41,14-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Jul-2020 - 00:00,36.91,58.55,200.44,967.34,0.73,138.1,7.12,18.92,16.81,7.03,0.65,23.83,24.23,7.89,6.92,3.95,6.91,5.95,2.39,15-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Jul-2020 - 00:00,36.93,59.01,220.24,967.88,0.7,210.8,8.04,15.81,14.95,9.79,0.56,32.31,32.57,7.86,6.92,3.97,6.97,5.95,2.36,16-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Jul-2020 - 00:00,33.51,59.36,159.92,967.3,0.53,176.44,7.99,10.96,11.98,6.29,0.56,25.61,29.2,7.99,7.01,4.0,7.0,6.01,2.41,17-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Jul-2020 - 00:00,28.72,61.03,103.41,968.03,0.48,193.55,8.04,11.84,12.0,7.16,0.37,15.52,25.65,7.99,7.0,4.0,7.04,6.01,2.4,18-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Jul-2020 - 00:00,35.43,60.3,206.42,967.78,0.61,212.08,7.94,13.02,10.9,22.17,1.07,11.24,33.16,7.3,6.36,3.64,6.35,5.45,2.2,19-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Jul-2020 - 00:00,26.72,59.9,143.37,967.93,0.73,122.79,8.03,13.0,12.0,6.75,0.12,15.28,33.74,8.02,6.99,4.0,6.99,5.99,2.4,20-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Jul-2020 - 00:00,25.34,60.53,127.1,966.44,0.73,124.26,5.98,14.52,11.18,6.27,0.0,20.84,20.1,6.81,6.61,5.18,6.23,5.21,2.4,21-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Jul-2020 - 00:00,28.92,61.72,94.6,969.38,0.54,145.36,4.0,16.01,10.0,5.46,0.0,31.23,24.49,5.01,6.02,7.01,5.01,3.99,2.4,22-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Jul-2020 - 00:00,31.34,62.02,80.18,970.58,0.59,116.19,4.0,13.24,13.32,6.45,0.58,20.59,25.06,5.01,6.02,7.01,5.02,4.0,2.39,23-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
23-Jul-2020 - 00:00,35.98,59.26,209.04,969.12,0.62,103.72,4.01,11.12,8.13,7.09,0.36,30.0,32.56,4.95,5.94,6.93,4.99,3.96,2.38,24-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Jul-2020 - 00:00,35.06,61.1,169.47,972.03,0.58,148.73,,,0.0,6.13,0.0,41.51,43.4,5.0,5.99,6.99,5.03,4.0,2.4,25-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Jul-2020 - 00:00,37.14,60.38,174.11,973.52,0.51,185.55,,,0.0,6.71,0.0,30.48,29.84,5.0,6.01,7.0,5.0,4.0,2.4,26-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Jul-2020 - 00:00,38.98,59.51,193.99,973.06,0.53,130.24,,,0.0,7.1,0.0,34.47,32.85,5.0,5.98,6.99,5.01,4.0,2.41,27-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Jul-2020 - 00:00,40.53,58.58,241.58,970.44,0.83,105.71,,,0.0,5.51,0.0,41.39,32.07,5.0,6.0,7.02,5.0,4.01,2.41,28-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Jul-2020 - 00:00,42.04,56.89,218.64,968.21,0.87,98.36,,,0.0,6.38,0.0,33.86,25.66,5.01,6.02,7.01,4.99,4.0,2.41,29-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Jul-2020 - 00:00,39.02,58.01,166.95,968.12,0.79,107.98,,,0.0,7.59,0.0,28.41,25.48,4.96,5.94,6.94,4.97,3.95,2.38,30-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-Jul-2020 - 00:00,34.43,61.55,78.31,971.09,0.41,163.71,,,0.0,6.42,0.0,29.99,27.24,4.88,5.89,6.88,4.9,3.91,2.32,31-Jul-2020 - 00:00,"MD University, Rohtak - HSPCB"
31-Jul-2020 - 00:00,39.86,59.51,166.56,969.78,0.44,131.38,,,0.0,6.35,0.0,46.2,36.1,4.99,5.97,6.99,5.01,3.99,2.41,01-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Aug-2020 - 00:00,39.93,59.54,171.74,969.36,0.55,123.83,,,0.0,7.12,0.0,33.31,23.43,4.99,5.98,7.02,4.99,4.0,2.4,02-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Aug-2020 - 00:00,43.64,57.44,287.57,966.9,0.89,96.21,,,0.0,9.68,0.0,25.45,25.03,4.74,5.67,6.64,4.73,3.79,2.26,03-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Aug-2020 - 00:00,41.59,59.05,161.78,963.47,1.07,86.98,,,0.0,6.77,0.0,18.56,19.13,4.99,5.99,7.0,5.04,4.0,2.41,04-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Aug-2020 - 00:00,41.75,59.25,208.17,961.94,0.69,126.04,,,0.0,6.91,0.0,14.58,21.52,5.0,5.98,7.0,4.99,4.0,2.41,05-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Aug-2020 - 00:00,41.86,58.29,170.14,963.23,0.48,173.22,,,0.0,6.46,0.0,18.14,28.39,5.02,5.98,7.02,5.03,4.0,2.41,06-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Aug-2020 - 00:00,37.07,57.07,246.09,966.0,0.71,204.96,,,0.0,6.58,0.0,17.58,19.03,5.01,5.98,6.98,5.01,4.0,2.41,07-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Aug-2020 - 00:00,28.73,58.42,153.03,968.57,0.47,185.46,,,0.0,6.56,,28.91,20.33,5.0,5.99,6.99,5.01,3.99,2.41,08-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Aug-2020 - 00:00,30.12,59.62,185.06,965.79,0.53,119.1,3.7,2.36,1.13,6.81,,35.76,33.37,5.01,6.02,7.0,4.99,4.01,2.43,09-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Aug-2020 - 00:00,27.98,62.26,114.8,963.25,0.76,94.97,2.73,2.22,1.04,7.08,,,17.95,5.03,6.0,7.01,5.01,3.99,2.4,10-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Aug-2020 - 00:00,29.29,61.94,155.28,966.04,0.44,127.04,4.03,1.24,0.24,6.79,,24.82,32.15,5.0,5.99,6.98,4.99,4.0,2.4,11-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Aug-2020 - 00:00,29.4,61.75,133.31,967.24,0.7,106.25,,,0.0,5.56,0.0,23.48,30.95,4.99,6.02,6.97,4.99,4.0,1.46,12-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Aug-2020 - 00:00,31.27,60.11,195.04,966.01,0.97,94.09,,,0.0,5.83,0.0,23.66,19.27,4.94,5.99,6.98,5.01,3.99,0.08,13-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Aug-2020 - 00:00,27.95,62.43,43.72,965.99,0.72,150.64,6.95,14.12,6.26,14.55,0.28,18.56,17.3,5.0,5.99,6.99,5.0,3.99,0.07,14-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Aug-2020 - 00:00,32.43,61.88,147.4,964.87,0.66,210.73,8.71,23.06,17.33,5.79,0.63,13.39,23.9,5.0,5.97,7.03,5.0,4.01,0.08,15-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Aug-2020 - 00:00,33.87,61.55,163.21,964.66,0.58,142.76,8.9,25.1,19.35,7.23,0.59,16.03,25.26,5.01,5.99,7.0,4.97,4.0,0.08,16-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Aug-2020 - 00:00,34.48,61.8,184.25,965.47,0.47,117.56,11.26,24.47,25.37,6.72,0.75,17.56,25.03,4.99,6.02,7.0,5.03,4.01,0.08,17-Aug-2020 - 00:00,"MD University, Rohtak - HSPCB"
