from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,BP,PM2.5,PM10,RF,RH,SR,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Apr-2020 - 00:00,1.82,0.1,0.21,1.0,,18.17,35.38,0.0,68.27,237.29,-0.13,188.3,2.17,0.34,4.81,1.96,9.96,11.76,50.96,21.41,20-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Apr-2020 - 00:00,1.77,0.13,0.27,1.12,,23.4,35.41,0.0,82.48,150.38,-0.12,185.47,1.97,0.51,4.65,1.81,10.2,11.79,18.25,14.29,21-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Apr-2020 - 00:00,3.37,0.34,0.71,2.44,,17.21,24.41,0.12,76.33,76.68,-0.15,197.59,1.84,0.4,4.38,1.98,11.98,13.9,8.72,5.49,22-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Apr-2020 - 00:00,3.13,0.2,0.51,1.62,,20.33,29.3,0.0,79.13,166.13,-0.12,172.13,1.47,0.43,4.49,2.12,11.41,13.52,22.35,11.84,23-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Apr-2020 - 00:00,3.31,0.23,0.54,1.54,,22.16,30.92,0.0,83.26,149.91,-0.12,167.24,1.58,0.44,4.1,1.79,11.31,13.02,28.75,9.82,24-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Apr-2020 - 00:00,2.44,0.33,0.46,1.32,999.91,14.92,24.42,0.0,83.01,156.85,-0.12,186.99,1.84,0.4,4.16,1.91,10.09,11.95,35.89,8.19,25-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Apr-2020 - 00:00,2.83,0.43,0.54,1.47,,19.29,30.52,0.0,76.16,209.07,-0.12,212.75,1.55,0.45,4.3,2.02,10.52,12.53,33.73,13.39,26-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Apr-2020 - 00:00,3.21,0.19,0.37,1.31,,20.81,29.36,0.0,76.52,188.12,-0.13,190.19,1.8,0.44,4.19,2.15,10.33,12.43,55.67,8.67,27-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Apr-2020 - 00:00,3.17,0.25,0.55,1.53,,14.26,21.54,0.2,84.46,161.19,-0.12,124.2,1.74,0.42,4.03,1.94,10.95,12.9,41.05,5.01,28-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Apr-2020 - 00:00,3.51,0.37,0.76,1.78,,12.87,17.56,0.01,90.35,130.28,-0.12,149.63,1.61,0.46,3.84,1.91,10.92,12.77,39.49,4.76,29-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Apr-2020 - 00:00,4.45,0.42,0.87,2.87,,23.49,32.19,0.05,78.97,216.45,-0.11,176.97,1.59,0.47,3.87,2.17,11.22,13.37,46.58,6.9,30-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Apr-2020 - 00:00,2.73,0.31,0.49,1.45,,21.39,29.64,0.0,78.14,218.19,-0.12,203.39,1.53,0.5,3.82,1.96,11.78,13.71,45.06,11.48,01-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
01-May-2020 - 00:00,2.61,0.16,0.4,1.54,,16.16,24.64,0.0,84.91,164.01,-0.13,188.46,1.76,0.48,4.05,1.75,10.37,12.08,49.74,6.78,02-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-May-2020 - 00:00,4.76,0.23,0.64,2.58,999.9,23.3,33.62,0.04,86.81,190.14,-0.13,216.25,1.24,0.53,3.86,2.11,11.48,13.55,44.59,6.34,03-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-May-2020 - 00:00,3.85,0.21,0.57,1.94,,24.96,34.44,0.0,79.42,220.42,-0.12,230.2,1.07,0.48,3.92,1.66,10.67,12.17,50.82,7.05,04-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-May-2020 - 00:00,4.35,0.36,0.79,1.88,,29.95,45.91,0.0,84.6,184.29,-0.11,193.87,1.26,0.47,3.6,1.92,11.34,13.18,41.52,6.2,05-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-May-2020 - 00:00,3.91,0.23,0.64,1.57,,25.04,42.71,0.0,81.22,187.8,-0.11,191.55,1.58,0.41,3.66,2.06,11.21,13.26,40.94,7.44,06-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-May-2020 - 00:00,3.62,0.21,0.54,1.67,,16.66,24.25,0.24,84.31,215.42,-0.12,203.08,1.43,0.47,3.83,2.07,11.16,13.21,54.8,10.28,07-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-May-2020 - 00:00,3.46,0.2,0.65,1.66,,22.83,36.74,0.0,76.89,192.68,-0.13,182.27,1.48,0.46,3.78,2.0,11.8,13.76,56.08,10.31,08-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-May-2020 - 00:00,2.71,0.25,0.47,1.39,1000.0,19.37,33.47,0.0,75.55,205.19,-0.12,185.32,1.7,0.46,3.81,1.77,10.16,11.84,57.34,9.98,09-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-May-2020 - 00:00,2.95,0.22,0.46,1.77,,27.38,41.15,0.0,69.87,229.84,-0.11,228.55,1.46,0.51,3.64,1.41,10.54,11.87,56.43,11.75,10-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-May-2020 - 00:00,2.52,0.09,0.31,1.31,999.88,24.13,39.58,0.0,77.07,221.06,-0.12,204.74,1.58,0.45,3.48,1.42,9.86,11.18,54.61,8.11,11-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-May-2020 - 00:00,3.98,0.36,0.72,2.38,,23.83,35.37,0.0,71.96,230.88,-0.13,219.41,1.32,0.35,3.59,1.87,10.57,12.33,66.66,20.52,12-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-May-2020 - 00:00,4.53,0.23,0.65,1.9,,33.51,52.88,0.0,68.19,229.48,-0.13,233.43,1.2,0.53,3.3,1.53,11.93,13.34,65.52,14.16,13-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-May-2020 - 00:00,2.82,0.19,0.44,1.51,999.89,27.14,60.54,0.0,70.19,243.48,-0.12,202.83,1.71,0.5,3.4,1.76,10.22,11.87,47.66,11.78,14-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-May-2020 - 00:00,1.77,0.14,0.3,1.2,999.74,18.84,,0.0,77.04,233.96,-0.12,200.3,1.87,0.4,3.22,2.08,9.79,11.85,38.47,10.82,15-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-May-2020 - 00:00,1.77,0.14,0.31,1.15,999.03,15.21,,0.0,74.97,230.34,-0.12,199.03,2.08,0.38,3.29,1.68,9.57,11.14,37.98,11.2,16-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
16-May-2020 - 00:00,2.06,0.14,0.32,1.18,998.8,13.18,,0.0,76.58,228.18,-0.12,207.68,1.86,0.45,3.3,1.69,8.99,10.52,40.45,9.24,17-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
17-May-2020 - 00:00,2.22,0.13,0.33,1.22,998.51,13.41,,0.0,73.89,223.43,-0.11,210.9,1.9,0.41,3.15,1.84,9.89,11.64,39.45,9.93,18-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
18-May-2020 - 00:00,2.31,0.16,0.42,1.31,997.46,11.1,,0.0,69.92,225.47,-0.11,184.92,1.83,0.37,3.24,1.76,10.05,11.72,33.04,6.61,19-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
19-May-2020 - 00:00,2.07,0.24,0.52,1.87,996.13,11.68,,0.0,79.49,100.96,-0.14,98.31,2.2,0.46,3.17,2.11,9.81,11.88,33.31,3.65,20-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-May-2020 - 00:00,1.53,0.09,0.18,1.21,977.77,10.89,,0.0,98.2,34.67,-0.28,96.5,4.31,0.4,3.34,1.84,8.35,10.11,44.86,2.92,21-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-May-2020 - 00:00,2.38,0.14,0.36,1.18,985.35,6.8,,0.0,95.61,73.65,-0.1,263.82,3.03,0.51,3.53,1.91,7.33,9.18,43.62,3.47,22-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-May-2020 - 00:00,2.5,0.22,0.62,1.5,998.31,20.83,,0.0,85.4,242.6,-0.12,211.19,2.06,0.44,3.19,1.81,8.85,10.64,45.48,9.04,23-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-May-2020 - 00:00,1.72,0.12,0.36,1.08,999.2,31.16,73.85,0.0,85.17,237.68,-0.13,187.69,2.51,0.42,2.79,1.8,8.56,10.3,46.76,3.9,24-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-May-2020 - 00:00,1.28,0.06,0.19,0.98,993.98,22.35,50.94,0.0,85.49,189.08,-0.13,195.58,3.14,0.41,2.58,1.53,8.7,9.99,45.69,8.43,25-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-May-2020 - 00:00,1.46,0.08,0.27,1.0,999.09,20.76,45.56,0.0,84.69,130.27,-0.14,195.51,3.3,0.42,2.65,1.41,8.56,9.72,42.18,10.35,26-May-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
