from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
09-Apr-2020 - 00:00,31.11,90.32,5.65,2.52,8.17,3.43,3.75,0.27,25.03,16.39,24.61,11.1,28.08,76.1,,159.79,0.94,209.48,10-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
10-Apr-2020 - 00:00,26.04,83.8,5.48,1.25,6.73,3.2,3.57,0.26,41.76,16.53,26.13,12.53,28.68,78.35,,135.25,1.01,213.54,11-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
11-Apr-2020 - 00:00,24.07,75.4,5.22,1.48,6.69,2.87,3.76,0.29,39.26,10.29,25.89,11.97,29.35,77.75,,165.9,0.89,219.9,12-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
12-Apr-2020 - 00:00,,80.13,3.88,1.56,5.45,2.72,3.88,0.27,39.93,15.71,27.51,11.49,29.15,82.1,,344.82,1.16,203.69,13-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
13-Apr-2020 - 00:00,,,5.29,1.79,7.08,2.48,3.77,0.29,30.96,10.63,26.23,9.98,29.16,82.68,,122.75,1.08,192.64,14-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
14-Apr-2020 - 00:00,,,8.62,2.26,10.88,2.63,4.16,0.3,43.0,12.95,23.28,13.29,29.86,79.56,,211.79,0.93,214.64,15-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
15-Apr-2020 - 00:00,,,3.86,2.53,6.39,3.02,4.6,0.33,36.12,13.59,29.15,11.67,29.4,80.33,,232.94,1.12,202.97,16-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
16-Apr-2020 - 00:00,,,4.02,1.28,5.3,2.84,3.74,0.27,36.79,17.63,21.16,9.98,29.41,81.86,,192.52,1.48,204.71,17-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
17-Apr-2020 - 00:00,,,2.63,1.99,4.61,2.7,3.95,0.26,25.23,18.08,24.63,10.81,29.48,81.23,,358.46,1.05,202.84,18-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
18-Apr-2020 - 00:00,,,4.57,2.49,7.05,2.49,4.06,0.24,26.71,16.67,25.39,15.19,30.04,77.86,,162.94,0.91,213.35,19-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
19-Apr-2020 - 00:00,,,4.1,1.7,5.79,2.39,3.86,0.27,36.02,16.28,23.21,9.47,30.65,76.93,,207.85,1.1,221.77,20-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
20-Apr-2020 - 00:00,18.92,60.1,6.39,1.67,8.06,2.81,4.11,0.32,37.05,11.81,24.66,13.27,31.48,69.39,,403.56,1.22,234.14,21-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
21-Apr-2020 - 00:00,17.24,47.5,3.6,1.37,4.97,4.17,3.79,0.25,33.62,12.39,23.86,11.79,30.44,71.66,,428.54,0.94,228.66,22-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
22-Apr-2020 - 00:00,18.76,54.44,3.54,1.5,5.04,2.65,3.88,0.24,27.3,10.72,23.47,12.86,30.09,77.09,,343.57,0.83,214.51,23-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
23-Apr-2020 - 00:00,20.04,51.97,3.57,2.02,5.59,2.24,4.04,0.26,20.34,9.48,23.02,13.4,30.22,77.79,,173.13,0.87,219.29,24-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
24-Apr-2020 - 00:00,18.61,47.03,3.5,1.94,5.45,2.21,3.92,0.27,22.61,11.73,22.71,9.68,30.57,76.53,,368.1,0.83,223.03,25-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
25-Apr-2020 - 00:00,13.77,44.41,3.07,1.53,4.59,2.08,3.96,0.24,29.69,8.25,24.63,11.05,30.21,73.15,,305.5,0.83,226.44,26-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
26-Apr-2020 - 00:00,17.8,46.91,3.66,2.44,6.1,1.97,4.35,0.27,23.84,11.8,22.68,10.72,29.6,75.52,,336.03,0.84,210.59,27-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
27-Apr-2020 - 00:00,16.09,43.61,3.83,1.7,5.54,2.25,3.77,0.25,24.39,14.94,25.26,10.99,30.17,72.37,,372.21,0.85,227.54,28-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
