from date,PM2.5,PM10,NOx,SO2,CO,to date,station
09-Jul-2020 - 00:00,,,13.6,0.76,0.22,10-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Jul-2020 - 00:00,,,14.21,0.76,0.23,11-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Jul-2020 - 00:00,,,18.92,0.69,0.19,12-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Jul-2020 - 00:00,,,12.48,0.73,0.2,13-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Jul-2020 - 00:00,,,14.61,0.73,0.19,14-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Jul-2020 - 00:00,,,14.92,0.7,0.18,15-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Jul-2020 - 00:00,,,11.67,0.74,0.18,16-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Jul-2020 - 00:00,,,10.49,0.71,0.23,17-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Jul-2020 - 00:00,,,12.24,0.71,0.21,18-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Jul-2020 - 00:00,,,,0.69,0.27,19-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Jul-2020 - 00:00,,,,0.71,0.21,20-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Jul-2020 - 00:00,,,,0.68,0.17,21-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Jul-2020 - 00:00,,,,0.7,0.14,22-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Jul-2020 - 00:00,,,,0.7,0.42,23-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Jul-2020 - 00:00,,,,5.9,1.59,24-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Jul-2020 - 00:00,,,,13.35,1.89,25-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Jul-2020 - 00:00,,,,17.68,1.97,26-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Jul-2020 - 00:00,,,,25.7,1.89,27-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Jul-2020 - 00:00,,,,34.98,2.14,28-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Jul-2020 - 00:00,,,,26.72,1.9,29-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Jul-2020 - 00:00,,,,21.73,1.39,30-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Jul-2020 - 00:00,,,,27.22,1.47,31-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-Jul-2020 - 00:00,,,,26.66,1.73,01-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Aug-2020 - 00:00,,,,27.58,1.63,02-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Aug-2020 - 00:00,,,,28.35,1.5,03-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Aug-2020 - 00:00,,,,26.94,1.43,04-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Aug-2020 - 00:00,,,,25.57,1.28,05-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Aug-2020 - 00:00,,,,23.82,0.91,06-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Aug-2020 - 00:00,,,,23.13,0.81,07-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Aug-2020 - 00:00,,,,27.35,0.95,08-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Aug-2020 - 00:00,,,,40.12,1.21,09-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Aug-2020 - 00:00,,,,35.85,0.95,10-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Aug-2020 - 00:00,,,,35.9,1.09,11-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Aug-2020 - 00:00,,,,38.76,1.0,12-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Aug-2020 - 00:00,,,,35.2,0.75,13-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Aug-2020 - 00:00,,,,38.92,0.62,14-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Aug-2020 - 00:00,,,,39.58,0.49,15-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Aug-2020 - 00:00,,,,42.87,0.78,16-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Aug-2020 - 00:00,,,,44.38,0.86,17-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Aug-2020 - 00:00,,,,43.39,0.77,18-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Aug-2020 - 00:00,,,,46.9,0.8,19-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Aug-2020 - 00:00,,,,42.47,0.48,20-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Aug-2020 - 00:00,,,,42.94,0.21,21-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Aug-2020 - 00:00,,,,43.34,0.17,22-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Aug-2020 - 00:00,,,,42.94,0.17,23-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Aug-2020 - 00:00,,,,41.96,0.14,24-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Aug-2020 - 00:00,,,,39.6,0.25,25-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Aug-2020 - 00:00,,,,42.05,0.38,26-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Aug-2020 - 00:00,,,,39.95,0.4,27-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Aug-2020 - 00:00,,,,40.07,0.37,28-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Aug-2020 - 00:00,,,,41.0,0.31,29-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Aug-2020 - 00:00,,,,35.2,0.17,30-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Aug-2020 - 00:00,,,,,,31-Aug-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-Aug-2020 - 00:00,,,,,,01-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Sep-2020 - 00:00,,,,,,02-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Sep-2020 - 00:00,,,,,,03-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Sep-2020 - 00:00,,,,,,04-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Sep-2020 - 00:00,,,,,,05-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Sep-2020 - 00:00,,,,,,06-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Sep-2020 - 00:00,,,,,,07-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Sep-2020 - 00:00,,,,,,08-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Sep-2020 - 00:00,,,,,,09-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Sep-2020 - 00:00,,,,,,10-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Sep-2020 - 00:00,,,,,,11-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Sep-2020 - 00:00,,,,,,12-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Sep-2020 - 00:00,,,,,,13-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Sep-2020 - 00:00,,,,,,14-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Sep-2020 - 00:00,,,,,,15-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Sep-2020 - 00:00,,,,,,16-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Sep-2020 - 00:00,,,,,,17-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Sep-2020 - 00:00,,,,,,18-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Sep-2020 - 00:00,,,,,,19-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Sep-2020 - 00:00,,,,,,20-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Sep-2020 - 00:00,,,,,,21-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Sep-2020 - 00:00,,,,,,22-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Sep-2020 - 00:00,,,,,,23-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Sep-2020 - 00:00,,,,,,24-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Sep-2020 - 00:00,,,,,,25-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Sep-2020 - 00:00,,,,,,26-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Sep-2020 - 00:00,,,,,,27-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Sep-2020 - 00:00,,,,,,28-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Sep-2020 - 00:00,,,,,,29-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Sep-2020 - 00:00,,,,,,30-Sep-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Sep-2020 - 00:00,,,,,,01-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Oct-2020 - 00:00,,,,,,02-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Oct-2020 - 00:00,,,,,,03-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Oct-2020 - 00:00,,,,,,04-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Oct-2020 - 00:00,,,,,,05-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Oct-2020 - 00:00,,,,,,06-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Oct-2020 - 00:00,,,,,,07-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Oct-2020 - 00:00,,,,,,08-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Oct-2020 - 00:00,,,,,,09-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Oct-2020 - 00:00,,,,,,10-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Oct-2020 - 00:00,,,,,,11-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Oct-2020 - 00:00,,,,,,12-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Oct-2020 - 00:00,,,,,,13-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Oct-2020 - 00:00,,,,,,14-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Oct-2020 - 00:00,,,,,,15-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Oct-2020 - 00:00,,,,,,16-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Oct-2020 - 00:00,,,,,,17-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Oct-2020 - 00:00,,,,,,18-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Oct-2020 - 00:00,,,,,,19-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Oct-2020 - 00:00,,,,,,20-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Oct-2020 - 00:00,,,,,,21-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Oct-2020 - 00:00,,,,,,22-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Oct-2020 - 00:00,,,,,,23-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Oct-2020 - 00:00,,,,,,24-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Oct-2020 - 00:00,,,,,,25-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Oct-2020 - 00:00,,,,,,26-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Oct-2020 - 00:00,,,,,,27-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Oct-2020 - 00:00,,,,,,28-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Oct-2020 - 00:00,,,,,,29-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Oct-2020 - 00:00,,,12.42,33.4,0.38,30-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Oct-2020 - 00:00,,,10.7,8.78,0.57,31-Oct-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-Oct-2020 - 00:00,,,,,,01-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Nov-2020 - 00:00,,,,,,02-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Nov-2020 - 00:00,,,,,,03-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Nov-2020 - 00:00,,,,,,04-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Nov-2020 - 00:00,,,,,,05-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Nov-2020 - 00:00,,,,,,06-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Nov-2020 - 00:00,,,,,,07-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Nov-2020 - 00:00,,,,,,08-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Nov-2020 - 00:00,,,,,,09-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Nov-2020 - 00:00,,,,,,10-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Nov-2020 - 00:00,,,,,,11-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Nov-2020 - 00:00,,,,,,12-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Nov-2020 - 00:00,139.9,241.44,103.58,32.16,2.24,13-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Nov-2020 - 00:00,171.56,274.01,103.21,28.21,2.5,14-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Nov-2020 - 00:00,255.42,322.96,83.45,26.49,2.38,15-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Nov-2020 - 00:00,227.16,290.39,40.35,25.01,1.46,16-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Nov-2020 - 00:00,,,,,,17-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Nov-2020 - 00:00,,,,,,18-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Nov-2020 - 00:00,,,,,,19-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Nov-2020 - 00:00,,,,,,20-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Nov-2020 - 00:00,,,,,,21-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Nov-2020 - 00:00,,,,,,22-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Nov-2020 - 00:00,,,,,,23-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Nov-2020 - 00:00,,,,,,24-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Nov-2020 - 00:00,,,,,,25-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Nov-2020 - 00:00,,,,,,26-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Nov-2020 - 00:00,,,,,,27-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Nov-2020 - 00:00,,,,,,28-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Nov-2020 - 00:00,,,,,,29-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Nov-2020 - 00:00,,,,,,30-Nov-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Nov-2020 - 00:00,,,,,,01-Dec-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Dec-2020 - 00:00,,,,,,02-Dec-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
