from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
24-Oct-2020 - 00:00,169.52,30.05,0.26,74.64,43.59,82.43,0.25,2.24,179.34,41.2,192.58,98.36,2.57,3.13,1.45,1.15,1.5,728.75,30.15,11.44,25-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Oct-2020 - 00:00,181.41,30.77,0.24,25.65,28.22,35.26,0.59,0.93,270.54,37.72,117.74,57.8,2.01,2.52,1.0,0.5,1.11,726.62,27.79,9.3,26-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Oct-2020 - 00:00,166.57,30.47,0.28,43.09,30.7,49.49,0.53,1.6,99.86,36.42,171.6,90.21,2.01,2.49,1.0,0.5,1.1,724.75,27.01,8.87,27-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Oct-2020 - 00:00,159.45,29.42,0.25,91.85,55.86,102.84,0.39,2.02,111.74,46.37,286.73,118.26,1.69,2.22,0.88,0.62,1.27,724.91,29.24,12.34,28-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Oct-2020 - 00:00,160.68,28.22,0.3,101.11,61.9,113.09,0.2,2.63,151.02,41.6,257.16,110.27,1.51,2.0,0.8,0.7,1.4,725.13,29.99,10.16,29-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
29-Oct-2020 - 00:00,155.32,28.23,0.26,92.78,58.23,104.57,0.17,2.16,138.06,36.76,261.57,128.54,1.48,2.0,0.8,0.7,1.4,724.78,30.32,12.25,30-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
30-Oct-2020 - 00:00,154.74,28.73,0.16,59.49,53.02,73.76,0.24,1.7,124.07,42.33,244.72,114.78,1.72,2.19,0.69,0.63,1.25,724.45,26.32,10.92,31-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
31-Oct-2020 - 00:00,150.3,29.12,0.24,57.38,46.81,70.01,0.3,1.5,116.82,30.58,251.19,112.02,1.66,2.18,0.62,0.56,0.87,724.06,24.79,11.68,01-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Nov-2020 - 00:00,152.27,28.34,0.28,55.0,50.94,70.21,0.27,1.74,105.07,49.78,231.72,115.84,1.4,2.0,0.7,0.6,0.8,723.5,25.26,10.43,02-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Nov-2020 - 00:00,153.78,27.54,0.24,93.16,55.93,103.69,0.21,2.45,148.3,29.46,244.02,115.44,1.49,2.3,0.75,0.72,0.79,723.02,27.06,12.45,03-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Nov-2020 - 00:00,158.04,26.98,0.21,142.93,68.4,146.16,0.27,2.77,166.86,26.08,247.57,124.09,2.0,2.52,0.92,0.9,1.01,723.48,29.04,11.66,04-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Nov-2020 - 00:00,148.53,26.59,0.17,133.1,70.89,142.3,0.28,1.98,188.73,34.51,251.97,118.42,2.12,2.4,1.32,1.08,1.08,724.49,30.35,10.0,05-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Nov-2020 - 00:00,156.04,27.09,0.12,66.1,61.29,81.48,0.38,1.33,186.38,35.83,203.77,104.99,1.51,1.8,1.0,0.9,0.7,724.24,33.0,9.72,06-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Nov-2020 - 00:00,151.48,27.91,0.18,105.11,69.53,122.19,0.24,1.91,172.99,27.25,225.36,113.1,2.1,2.42,1.25,1.2,1.01,722.06,35.07,12.48,07-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Nov-2020 - 00:00,151.09,28.23,0.19,107.84,73.22,124.83,0.21,1.86,135.82,27.41,242.36,114.22,2.89,3.19,1.32,1.3,1.39,721.27,30.48,10.62,08-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Nov-2020 - 00:00,148.35,27.94,0.19,126.17,74.91,141.32,0.19,2.15,120.4,44.57,275.6,134.59,2.5,2.8,1.0,0.9,1.2,721.28,30.0,10.72,09-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Nov-2020 - 00:00,146.02,27.63,0.18,105.44,79.63,132.48,0.2,1.67,130.47,36.31,299.02,138.36,2.28,2.38,1.05,1.02,1.4,722.28,30.14,15.34,10-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Nov-2020 - 00:00,140.21,27.24,0.2,79.45,66.32,95.6,0.24,1.64,134.88,26.55,293.81,144.18,2.77,2.78,1.63,1.83,2.05,723.62,28.75,14.39,11-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Nov-2020 - 00:00,127.9,27.58,0.12,51.36,50.81,67.89,0.5,1.12,86.25,42.49,320.65,159.26,2.74,2.66,1.33,1.62,1.91,722.57,27.42,9.56,12-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Nov-2020 - 00:00,113.82,26.99,0.19,23.77,54.87,46.01,0.45,0.87,92.25,33.53,264.79,138.92,2.5,2.5,1.32,1.53,1.76,721.25,30.57,10.43,13-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Nov-2020 - 00:00,127.75,27.21,0.19,39.83,50.51,56.05,0.41,1.03,84.58,44.9,206.83,112.53,2.56,2.52,1.63,1.8,2.0,722.67,29.95,9.68,14-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
14-Nov-2020 - 00:00,133.0,27.36,0.18,83.44,62.06,98.84,0.34,2.05,139.04,35.82,235.88,119.71,2.63,3.27,2.21,2.06,2.09,725.3,33.98,13.19,15-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Nov-2020 - 00:00,132.47,27.86,0.1,56.77,60.96,79.97,0.47,1.54,196.69,36.18,259.09,148.54,3.79,4.58,3.73,3.6,3.48,726.41,36.49,10.82,16-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Nov-2020 - 00:00,131.69,26.73,0.16,49.33,35.91,59.38,0.9,1.16,68.97,46.89,243.25,117.9,3.43,3.67,2.79,2.7,2.59,724.36,36.15,14.15,17-Nov-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
