from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
22-Feb-2020 - 00:00,52.21,120.05,8.28,3.76,12.04,14.61,4.28,0.4,17.47,0.63,3.76,1.39,23.45,67.67,,287.86,0.7,165.14,23-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
23-Feb-2020 - 00:00,59.01,142.48,7.22,3.41,10.63,11.24,4.29,0.51,16.94,0.81,5.23,1.87,23.98,67.0,,294.97,0.72,168.86,24-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
24-Feb-2020 - 00:00,72.37,129.38,10.65,4.52,15.17,11.97,4.16,0.58,19.65,0.81,4.1,1.42,23.86,71.67,,303.0,0.75,171.96,25-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
25-Feb-2020 - 00:00,25.27,90.05,5.4,3.66,9.05,12.45,3.6,0.38,14.29,0.44,2.82,0.99,25.61,52.15,,290.36,0.85,211.52,26-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
26-Feb-2020 - 00:00,31.22,94.25,5.17,3.73,8.9,15.01,4.5,0.37,21.1,0.37,3.94,1.36,27.17,43.5,,323.19,0.93,160.31,27-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
27-Feb-2020 - 00:00,33.25,85.36,5.9,3.57,9.47,14.89,4.47,0.39,24.34,0.37,3.58,1.22,25.49,53.14,,300.79,0.78,178.16,28-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
28-Feb-2020 - 00:00,39.8,94.64,9.07,3.56,12.63,16.55,4.49,0.46,27.72,0.42,3.29,1.15,24.09,59.62,,341.33,0.79,152.27,29-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
29-Feb-2020 - 00:00,34.79,91.21,7.19,3.72,10.91,16.58,3.9,0.41,19.14,0.34,3.07,1.02,24.01,64.79,,333.15,0.63,161.27,01-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
01-Mar-2020 - 00:00,39.63,102.33,4.92,4.6,9.52,15.24,3.59,0.4,14.07,0.35,3.82,1.27,23.58,73.5,,329.12,0.53,162.32,02-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
02-Mar-2020 - 00:00,30.87,87.13,6.83,4.33,11.16,13.26,3.48,0.38,11.73,0.29,3.45,1.11,23.25,74.03,,347.9,0.53,155.14,03-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
03-Mar-2020 - 00:00,30.22,98.18,4.25,5.36,8.71,12.26,3.28,0.32,13.84,0.28,2.74,0.88,24.09,76.94,,366.05,0.52,170.56,04-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
04-Mar-2020 - 00:00,24.79,86.68,3.31,3.6,6.91,11.73,3.05,0.31,10.14,0.24,2.22,0.72,23.22,79.1,,318.28,0.54,169.75,05-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
05-Mar-2020 - 00:00,19.79,76.77,4.32,4.52,8.32,9.66,3.27,0.29,12.06,0.17,2.35,0.75,23.89,77.42,,353.82,0.55,176.87,06-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
06-Mar-2020 - 00:00,13.16,79.36,3.28,4.48,7.58,9.99,3.19,0.26,9.62,0.13,2.3,0.78,24.27,73.76,,298.05,0.59,172.37,07-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
07-Mar-2020 - 00:00,17.82,106.93,3.51,3.51,6.92,10.15,2.9,0.26,13.98,0.15,2.1,0.7,23.22,74.78,,350.07,0.6,177.57,08-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
08-Mar-2020 - 00:00,21.3,99.3,3.08,2.85,5.92,11.12,3.35,0.28,12.81,0.17,2.54,0.81,22.14,74.22,,370.78,0.53,172.33,09-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
09-Mar-2020 - 00:00,29.38,92.68,3.02,3.02,6.04,11.33,3.39,0.34,12.71,0.18,2.59,0.82,23.09,77.1,,372.98,0.54,182.08,10-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
10-Mar-2020 - 00:00,30.94,144.14,1.98,3.78,5.66,10.4,3.32,0.37,12.66,0.2,2.82,0.86,24.01,77.29,,333.18,0.53,176.2,11-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
11-Mar-2020 - 00:00,11.99,47.83,2.26,2.82,5.08,9.1,2.87,0.24,9.7,0.12,1.78,0.55,22.95,73.63,,409.24,0.57,186.71,12-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
12-Mar-2020 - 00:00,11.78,54.01,2.67,2.74,5.41,8.57,3.0,0.25,8.73,0.11,1.77,0.58,22.41,72.89,,379.32,0.65,180.6,13-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
13-Mar-2020 - 00:00,21.23,82.47,3.75,2.36,6.11,9.17,3.24,0.28,14.07,0.12,1.75,0.58,21.51,67.25,,362.59,0.68,169.3,14-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
14-Mar-2020 - 00:00,28.27,98.17,4.87,2.2,7.08,10.54,3.66,0.34,16.15,0.18,1.59,0.53,22.62,62.32,,408.8,0.68,172.9,15-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
15-Mar-2020 - 00:00,30.62,69.5,5.55,2.28,7.83,10.83,3.93,0.43,14.55,0.24,2.22,0.77,24.2,59.67,,369.79,0.76,174.07,16-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
16-Mar-2020 - 00:00,34.31,119.24,6.75,2.1,8.85,12.66,5.09,0.5,24.19,0.23,2.4,0.79,27.29,50.19,,364.02,0.9,184.01,17-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
17-Mar-2020 - 00:00,39.14,108.45,6.99,2.18,9.17,14.21,4.31,0.5,24.47,0.22,2.34,0.76,26.2,56.07,,352.94,0.86,168.12,18-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
18-Mar-2020 - 00:00,32.48,91.53,8.07,3.04,11.11,13.37,4.13,0.49,16.05,0.21,2.3,0.77,25.96,63.07,,385.92,0.78,180.15,19-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
