from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,SR,RF,to date,station
15-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,16-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,17-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,18-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,19-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,20-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,21-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,22-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,23-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,24-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,25-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,26-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,27-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,28-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,29-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,30-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Apr-2020 - 00:00,9.64,14.24,1.86,0.6,0.4,1.85,4.19,0.08,1.03,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,01-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-May-2020 - 00:00,12.99,18.63,2.46,0.83,1.03,2.51,5.94,0.17,1.92,5.31,5.48,5.38,5.36,5.32,11.35,3.8,122.52,60.09,57.84,0.21,02-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-May-2020 - 00:00,13.77,18.29,2.66,0.88,1.12,2.72,6.68,0.17,1.16,0.04,0.15,0.03,0.01,0.01,12.04,4.25,138.37,59.04,57.52,0.26,03-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-May-2020 - 00:00,9.94,13.27,2.67,0.91,1.09,2.72,6.66,0.15,0.76,0.04,0.11,0.03,0.02,0.01,12.56,6.39,140.26,61.87,73.87,0.04,04-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-May-2020 - 00:00,14.14,18.69,2.64,0.89,1.11,2.72,6.96,0.2,0.11,0.04,0.2,0.02,0.0,0.05,12.54,3.62,139.25,61.18,55.41,0.08,05-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-May-2020 - 00:00,16.25,24.1,2.58,0.87,1.06,2.66,6.97,0.16,5.04,0.09,0.14,0.05,0.02,0.01,11.55,5.06,140.58,49.45,86.04,0.22,06-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-May-2020 - 00:00,12.33,16.48,2.64,0.9,1.08,2.73,7.04,0.18,9.34,0.16,0.15,0.04,0.03,0.05,11.28,4.28,145.36,55.67,47.89,0.43,07-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-May-2020 - 00:00,11.96,16.89,2.64,0.92,1.06,2.69,7.39,0.18,20.42,0.05,0.17,0.05,0.02,0.05,12.82,3.8,150.73,52.14,114.85,0.02,08-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-May-2020 - 00:00,16.91,25.12,2.68,0.95,1.05,2.78,8.31,0.16,25.12,0.05,0.15,0.05,0.01,0.04,14.34,8.39,185.79,48.57,162.86,0.12,09-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-May-2020 - 00:00,21.51,32.89,2.65,0.94,1.05,2.7,8.13,0.19,23.53,0.07,0.16,0.04,0.01,0.07,13.93,4.89,142.86,53.08,117.5,0.05,10-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-May-2020 - 00:00,23.4,34.09,2.68,0.95,1.04,2.8,8.17,0.19,25.1,0.09,0.1,0.1,0.02,0.08,13.99,4.79,159.16,60.73,78.35,0.23,11-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-May-2020 - 00:00,23.06,33.9,2.59,0.9,1.03,2.66,7.8,0.2,31.07,0.09,0.1,0.07,0.01,0.1,13.17,3.94,145.89,53.73,84.7,0.08,12-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-May-2020 - 00:00,22.09,31.44,2.75,1.0,1.03,2.87,8.63,0.2,13.3,9.78,9.84,9.73,9.72,9.75,14.3,4.34,154.23,52.81,80.89,0.0,13-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-May-2020 - 00:00,29.8,42.83,2.59,0.91,1.01,2.66,7.96,0.18,21.08,0.05,0.02,0.05,0.03,0.01,13.4,5.79,174.2,57.25,58.7,0.02,14-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-May-2020 - 00:00,20.93,31.11,2.12,0.74,0.85,2.2,6.53,0.14,10.97,0.0,0.0,0.0,0.0,0.0,11.17,4.93,131.29,45.52,77.84,0.41,15-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-May-2020 - 00:00,17.11,25.25,1.9,0.66,0.73,1.97,5.95,0.13,9.04,0.0,0.0,0.0,0.0,0.0,9.66,5.09,107.62,40.34,58.68,0.0,16-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-May-2020 - 00:00,14.28,23.6,1.72,0.61,0.66,1.78,5.39,0.11,11.79,0.0,0.0,0.0,0.0,0.0,9.45,5.82,111.7,39.76,61.64,0.16,17-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-May-2020 - 00:00,16.85,30.4,2.59,0.94,0.99,2.67,8.47,0.16,16.27,0.0,0.0,0.0,0.0,0.0,14.96,6.6,159.04,55.48,101.73,0.02,18-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-May-2020 - 00:00,23.79,44.4,2.51,0.89,0.98,2.58,8.66,0.19,25.64,0.0,0.0,0.0,0.0,0.0,14.45,4.28,157.09,49.59,74.07,0.11,19-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-May-2020 - 00:00,26.69,49.28,2.73,0.98,1.05,2.82,9.29,0.22,16.04,0.07,0.06,0.02,0.0,0.0,15.83,3.88,135.99,52.74,79.35,0.02,20-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-May-2020 - 00:00,17.0,25.05,2.67,0.93,1.07,2.74,8.41,0.19,11.68,0.06,0.13,0.05,0.0,0.0,12.26,5.59,96.38,69.52,30.66,1.2,21-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-May-2020 - 00:00,3.07,4.83,2.55,0.87,1.04,2.64,7.65,0.16,,88.02,88.07,143.33,143.33,143.33,12.43,5.32,78.77,70.11,26.07,1.98,22-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-May-2020 - 00:00,9.51,13.76,2.85,1.0,1.14,2.93,8.67,0.22,2.74,157.12,157.11,219.83,219.77,219.78,14.47,4.41,145.9,75.18,38.27,0.19,23-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-May-2020 - 00:00,25.2,40.95,2.7,0.96,1.07,2.82,8.88,0.2,15.65,0.02,0.09,0.01,0.0,0.0,14.89,6.85,163.37,64.58,134.85,0.71,24-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-May-2020 - 00:00,15.27,23.94,2.65,0.94,1.02,2.74,8.66,0.15,6.01,0.0,0.01,0.0,0.0,0.0,14.73,11.2,164.89,64.56,108.22,0.28,25-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-May-2020 - 00:00,11.38,19.64,2.74,0.97,1.07,2.83,8.52,0.14,9.96,0.0,0.0,0.0,0.0,0.0,14.43,14.26,174.02,66.61,100.72,2.69,26-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-May-2020 - 00:00,7.06,11.51,2.67,0.96,1.04,2.74,8.58,0.13,7.82,0.0,0.05,0.0,0.0,0.0,14.26,10.96,177.1,63.73,132.05,1.48,27-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-May-2020 - 00:00,8.67,13.46,2.69,0.97,1.04,2.74,8.34,0.16,21.78,0.01,0.08,0.0,0.0,0.0,11.74,6.29,156.86,58.1,97.7,1.88,28-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-May-2020 - 00:00,12.66,19.59,2.65,0.93,1.05,2.73,8.5,0.24,5.15,0.03,0.19,0.05,0.0,0.02,11.61,3.91,137.59,57.8,48.94,0.24,29-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-May-2020 - 00:00,12.17,16.69,2.84,1.02,1.11,2.92,9.08,0.18,3.66,0.01,0.24,0.04,0.0,0.01,14.64,5.19,158.28,66.94,101.68,0.26,30-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-May-2020 - 00:00,12.96,20.72,2.76,0.96,1.09,2.82,8.62,0.18,2.47,0.0,0.12,0.04,0.0,0.0,14.06,4.19,153.32,65.14,67.54,0.21,31-May-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-May-2020 - 00:00,12.69,20.63,2.81,0.98,1.12,2.91,8.99,0.17,9.21,0.0,0.07,0.01,0.0,0.0,14.66,4.36,174.27,68.58,75.72,0.13,01-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Jun-2020 - 00:00,16.71,29.04,2.78,0.97,1.11,2.91,9.18,0.16,12.05,56.62,56.64,72.23,72.2,72.2,16.05,9.66,186.1,64.31,130.26,0.33,02-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jun-2020 - 00:00,19.45,31.54,2.77,0.99,1.08,2.85,9.65,0.15,16.6,0.11,0.27,0.08,0.0,0.02,16.23,10.9,188.01,58.23,191.29,0.33,03-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jun-2020 - 00:00,19.24,26.95,2.59,0.94,1.0,2.68,9.66,0.16,13.21,0.23,0.45,0.22,0.04,0.08,14.48,8.03,169.18,55.09,108.57,0.22,04-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jun-2020 - 00:00,21.31,30.1,2.79,0.99,1.09,2.89,10.99,0.18,12.08,0.26,0.55,0.32,0.11,0.14,14.44,7.61,161.6,58.97,83.3,0.35,05-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jun-2020 - 00:00,11.41,16.85,2.74,0.99,1.05,2.83,10.7,0.15,0.69,0.13,0.65,0.34,0.09,0.14,16.41,6.63,178.27,61.49,124.58,0.56,06-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jun-2020 - 00:00,14.39,18.89,2.73,1.0,1.04,2.8,10.52,0.16,2.38,0.2,0.6,0.34,0.07,0.14,15.02,5.63,179.25,66.32,88.6,1.46,07-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jun-2020 - 00:00,18.0,25.85,2.88,1.05,1.1,2.93,11.33,0.18,5.5,0.26,0.66,0.34,0.09,0.17,16.51,5.68,181.68,67.13,87.21,0.25,08-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jun-2020 - 00:00,24.23,33.27,2.69,0.97,1.04,2.76,10.67,0.21,6.64,0.44,1.09,0.75,0.25,0.24,15.02,3.64,168.5,63.34,43.09,0.0,09-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jun-2020 - 00:00,25.45,33.97,2.74,0.98,1.07,2.84,11.03,0.26,0.01,0.51,1.24,0.86,0.24,0.3,15.82,2.87,117.59,60.03,92.45,0.0,10-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jun-2020 - 00:00,8.29,12.48,2.62,0.95,1.0,2.73,10.65,0.17,,0.15,0.96,0.62,0.17,0.28,14.71,3.88,114.83,54.69,92.92,0.03,11-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jun-2020 - 00:00,4.97,10.83,2.64,0.97,1.0,2.77,10.12,0.17,16.92,0.26,0.9,0.56,0.18,0.23,15.62,2.81,143.02,64.72,59.09,0.31,12-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jun-2020 - 00:00,3.87,6.35,2.73,0.97,1.08,2.83,9.42,0.14,21.77,0.01,0.09,0.06,0.01,0.02,15.64,4.29,138.67,69.18,85.83,0.38,13-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jun-2020 - 00:00,2.96,5.6,2.65,0.92,1.04,2.72,8.9,0.11,22.88,0.01,0.07,0.06,0.01,0.02,14.86,4.0,138.99,66.25,79.82,0.22,14-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jun-2020 - 00:00,3.3,9.3,2.49,0.88,0.99,2.56,9.32,0.13,15.87,22.93,22.97,22.96,22.92,22.93,16.26,4.3,151.38,53.33,104.45,0.0,16-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jun-2020 - 00:00,4.53,10.58,2.4,0.89,0.87,2.5,9.17,0.12,14.2,0.01,0.16,0.13,0.03,0.04,14.73,2.84,138.22,58.09,73.99,0.15,17-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jun-2020 - 00:00,3.24,5.1,3.08,1.1,1.19,3.18,11.27,0.14,27.21,0.01,0.11,0.08,0.02,0.02,17.92,3.94,155.91,79.24,107.59,0.48,18-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jun-2020 - 00:00,4.65,7.1,3.1,1.12,1.2,6.22,11.34,0.15,31.75,0.01,0.08,0.06,0.02,0.04,15.97,4.26,158.87,77.91,50.91,0.82,19-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Jun-2020 - 00:00,11.6,17.29,3.02,1.09,1.16,3.12,11.93,0.21,33.58,0.01,0.11,0.1,0.04,0.04,16.31,3.68,153.32,67.76,107.5,0.01,20-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jun-2020 - 00:00,14.34,23.22,3.02,1.11,1.13,3.12,13.82,0.22,28.95,0.01,0.09,0.13,0.05,0.06,18.43,3.4,167.91,72.61,129.18,0.23,21-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jun-2020 - 00:00,4.97,8.57,2.92,1.08,1.08,3.04,12.33,0.14,26.05,0.01,0.06,0.06,0.03,0.04,17.36,5.56,160.22,71.96,129.51,0.47,22-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jun-2020 - 00:00,8.18,13.18,2.95,1.08,1.12,3.08,12.51,0.15,35.92,0.01,0.07,0.08,0.04,0.04,17.36,3.41,161.89,73.54,82.78,0.15,23-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jun-2020 - 00:00,9.84,20.89,2.97,1.08,1.13,3.08,12.62,0.13,42.63,0.01,0.03,0.05,0.04,0.04,18.23,8.55,175.79,69.8,142.21,0.04,24-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jun-2020 - 00:00,10.63,16.3,3.07,1.12,1.14,3.2,10.64,0.14,27.19,0.01,0.03,0.04,0.03,0.03,19.11,9.09,206.77,72.17,133.54,0.14,25-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jun-2020 - 00:00,9.2,15.82,2.95,1.08,1.11,3.03,5.43,0.12,11.77,0.01,0.02,0.02,0.02,0.03,15.69,10.97,182.55,69.72,94.66,2.6,26-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jun-2020 - 00:00,6.31,9.09,3.01,1.07,1.17,3.09,4.9,0.11,10.64,0.01,0.02,0.03,0.02,0.02,14.67,11.87,175.66,72.7,33.13,3.59,27-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jun-2020 - 00:00,9.59,9.86,2.91,0.99,1.16,2.95,4.84,0.17,26.24,0.01,0.05,0.03,0.02,0.02,14.76,7.12,180.75,78.12,3.71,2.52,28-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jun-2020 - 00:00,13.87,21.26,3.08,1.07,1.25,3.17,4.98,0.17,35.12,0.01,0.04,0.03,0.03,0.03,16.98,7.33,195.05,76.56,73.68,0.98,29-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jun-2020 - 00:00,9.94,14.01,3.05,1.08,1.2,3.13,5.31,0.18,9.68,0.02,0.13,0.21,0.11,0.06,16.66,3.75,166.17,74.75,87.15,0.2,30-Jun-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Jun-2020 - 00:00,14.64,21.24,2.84,1.0,1.12,2.95,5.03,0.2,7.09,0.02,0.14,0.16,0.06,0.03,15.81,3.8,156.67,68.65,45.48,0.36,01-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Jul-2020 - 00:00,14.3,22.03,3.05,1.11,1.17,3.1,4.89,0.14,16.21,0.01,0.02,0.02,0.01,0.02,16.99,7.91,183.54,64.95,121.86,0.0,02-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jul-2020 - 00:00,11.95,15.78,2.94,1.07,1.1,3.05,4.06,0.13,12.51,0.01,0.04,0.05,0.02,0.03,15.61,6.83,171.81,62.44,63.18,0.17,03-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jul-2020 - 00:00,12.28,17.09,2.84,1.05,1.05,2.92,4.12,0.19,9.46,0.02,0.12,0.12,0.05,0.05,16.86,4.9,153.7,70.67,65.6,0.26,04-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jul-2020 - 00:00,10.87,14.28,2.93,1.05,1.12,3.05,4.22,0.17,0.81,0.01,0.12,0.12,0.04,0.04,17.51,4.08,163.1,71.77,62.4,0.14,05-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jul-2020 - 00:00,3.32,6.13,2.99,1.1,1.12,3.08,4.5,0.12,2.29,0.01,0.06,0.04,0.02,0.03,17.92,3.43,168.16,74.48,98.06,0.16,06-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jul-2020 - 00:00,2.61,3.86,2.85,1.05,1.06,2.94,4.88,0.11,3.46,0.01,0.05,0.07,0.05,0.03,17.18,4.31,151.82,70.04,167.97,0.37,07-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jul-2020 - 00:00,2.38,4.07,2.65,0.99,0.96,2.75,4.59,0.11,1.26,0.01,0.05,0.06,0.02,0.03,15.86,3.17,141.84,67.56,90.43,0.06,08-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jul-2020 - 00:00,3.71,6.06,2.92,1.08,1.08,3.05,5.33,0.11,7.48,0.01,0.04,0.08,0.06,0.03,18.42,5.47,173.61,70.18,124.84,0.0,09-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jul-2020 - 00:00,4.12,6.19,2.77,1.0,1.06,2.82,4.39,0.12,15.15,0.01,0.03,0.03,0.02,0.02,14.54,6.3,162.96,71.05,22.0,3.61,10-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jul-2020 - 00:00,5.47,7.6,2.94,1.03,1.17,3.04,3.88,0.12,25.27,0.01,0.03,0.03,0.02,0.02,13.76,9.11,162.72,67.55,35.24,3.3,11-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jul-2020 - 00:00,2.93,5.7,2.78,0.96,1.12,2.88,3.71,0.14,19.23,0.02,0.07,0.04,0.03,0.04,10.92,4.14,118.87,53.95,44.0,1.49,12-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jul-2020 - 00:00,5.6,7.64,2.87,1.02,1.12,3.0,3.89,0.13,34.69,0.01,0.04,0.04,0.02,0.03,15.8,8.23,177.46,76.12,31.49,1.11,13-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jul-2020 - 00:00,10.97,14.47,2.85,1.02,1.11,2.92,3.96,0.15,18.26,0.01,0.05,0.04,0.02,0.03,16.32,4.26,159.95,70.81,44.31,0.58,14-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Jul-2020 - 00:00,7.45,13.87,2.78,1.01,1.03,2.89,4.45,0.13,6.6,0.01,0.05,0.04,0.03,0.02,16.99,2.77,157.39,67.46,95.56,0.02,15-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jul-2020 - 00:00,5.75,9.03,2.79,1.02,1.03,2.88,4.88,0.14,0.49,0.01,0.07,0.06,0.02,0.03,16.97,3.71,164.25,67.16,99.58,0.03,16-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jul-2020 - 00:00,4.56,6.02,2.6,0.96,0.95,2.69,4.49,0.1,13.09,0.01,0.03,0.03,0.01,0.02,15.56,7.01,161.52,63.47,88.15,0.24,17-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jul-2020 - 00:00,2.74,4.09,2.57,0.93,0.97,2.68,4.2,0.08,11.03,0.01,0.03,0.04,0.03,0.03,15.78,8.24,167.37,60.52,100.79,0.0,18-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jul-2020 - 00:00,3.26,,2.42,0.89,0.9,2.52,3.6,0.08,12.97,0.01,0.02,0.02,0.02,0.02,14.59,9.3,160.5,58.8,103.51,0.81,19-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Jul-2020 - 00:00,5.98,,2.91,1.04,1.14,3.01,3.82,0.13,10.24,0.01,0.03,0.02,0.02,0.02,16.35,5.91,178.14,77.39,49.61,1.31,20-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jul-2020 - 00:00,4.54,,2.92,1.06,1.12,3.05,3.56,0.16,21.42,0.01,0.08,0.06,0.03,0.02,15.73,7.19,183.4,79.99,25.35,2.68,21-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jul-2020 - 00:00,4.1,,2.94,1.0,1.2,3.04,3.22,0.13,22.4,0.01,0.03,0.03,0.03,0.03,15.47,9.5,169.8,75.59,24.09,1.93,22-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jul-2020 - 00:00,5.83,16.42,2.64,0.92,1.06,2.74,3.33,0.18,7.23,0.01,0.08,0.04,0.02,0.03,14.07,2.31,145.33,67.31,44.27,0.55,23-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jul-2020 - 00:00,4.07,7.1,2.36,0.85,0.87,2.45,3.68,0.09,8.47,0.01,0.05,0.03,0.02,0.04,11.58,2.58,94.65,50.67,55.33,0.0,24-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jul-2020 - 00:00,4.59,7.83,2.44,0.89,0.9,2.5,4.1,0.1,2.4,0.01,0.03,0.03,0.02,0.02,12.52,2.83,126.7,52.39,64.52,0.09,25-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jul-2020 - 00:00,5.97,9.17,1.89,0.68,0.68,1.96,3.28,0.09,2.75,0.01,0.04,0.03,0.01,0.02,9.58,2.03,90.95,38.9,44.88,0.03,26-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jul-2020 - 00:00,9.69,14.3,2.4,0.86,0.86,2.45,4.1,0.12,11.21,0.01,0.05,0.04,0.02,0.02,12.66,2.82,128.55,50.4,48.4,0.03,27-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jul-2020 - 00:00,12.55,16.79,2.53,0.92,0.95,2.64,4.45,0.15,9.69,0.01,0.04,0.03,0.02,0.02,12.9,2.27,138.03,56.77,27.77,0.18,28-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jul-2020 - 00:00,12.74,17.1,2.34,0.84,0.86,2.39,4.03,0.14,4.65,0.01,0.05,0.03,0.02,0.02,11.7,1.9,114.58,52.08,32.6,0.05,29-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jul-2020 - 00:00,6.45,9.56,2.19,0.79,0.82,2.25,3.61,0.1,7.96,0.01,0.03,0.03,0.02,0.02,10.96,2.35,112.34,48.44,30.04,0.12,30-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Jul-2020 - 00:00,7.49,11.95,2.45,0.89,0.94,2.52,4.38,0.1,6.4,0.01,0.04,0.04,0.03,0.03,13.54,3.87,150.35,55.81,60.33,0.07,31-Jul-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
