from date,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,station
15-Aug-2020 - 00:00,1.57,20.87,2.29,0.51,0.78,994.54,1.15,14.78,46.52,33.63,51.5,29.39,106.27,93.94,9.3,65.16,9.47,246.5,5.51,16-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Aug-2020 - 00:00,3.11,30.47,1.87,0.62,0.5,995.81,0.77,13.47,43.84,31.35,45.7,31.29,82.6,93.44,12.36,73.31,8.61,245.43,5.79,17-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Aug-2020 - 00:00,2.21,29.16,2.74,0.77,1.13,995.86,1.21,14.48,41.91,31.16,56.18,29.97,57.56,94.38,12.22,91.12,10.94,244.59,5.98,18-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Aug-2020 - 00:00,0.8,18.2,2.18,0.44,0.97,997.97,1.05,14.83,41.82,31.37,20.65,27.68,49.64,93.37,10.82,109.08,11.03,240.93,5.8,19-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Aug-2020 - 00:00,1.23,15.58,1.83,0.42,0.9,997.65,0.56,10.73,31.94,23.5,30.17,30.24,55.5,91.22,12.4,114.55,,243.46,6.13,20-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Aug-2020 - 00:00,1.08,15.51,1.87,0.42,0.88,996.86,0.62,10.37,30.02,22.3,17.1,34.85,63.55,89.21,12.97,101.55,12.65,258.75,4.76,21-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Aug-2020 - 00:00,1.13,15.43,1.94,0.45,0.91,997.61,0.68,9.81,30.99,22.14,25.82,34.71,61.94,93.14,11.83,171.78,10.88,244.1,4.2,22-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Aug-2020 - 00:00,1.0,21.32,2.66,0.58,1.09,997.99,0.5,16.77,30.92,27.51,36.82,37.78,59.3,95.76,13.09,58.63,8.71,249.31,5.76,23-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Aug-2020 - 00:00,0.87,13.87,1.34,0.28,0.63,997.48,0.51,9.63,33.74,23.56,34.13,31.78,56.9,98.93,9.83,55.14,9.98,266.48,6.78,24-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Aug-2020 - 00:00,0.47,16.66,1.41,0.41,0.74,997.24,0.57,7.98,36.43,23.64,24.78,20.19,52.52,98.4,12.69,53.53,7.23,234.18,7.8,25-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Aug-2020 - 00:00,0.49,14.26,1.64,0.41,0.8,999.8,0.52,7.88,29.16,17.79,15.29,26.49,56.57,87.79,12.12,157.78,11.57,238.32,8.81,26-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Aug-2020 - 00:00,0.73,13.31,1.52,0.34,0.76,,0.72,8.18,26.38,18.88,28.76,25.36,57.4,89.99,17.56,137.53,11.51,225.12,6.38,27-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Aug-2020 - 00:00,0.82,15.9,1.66,0.3,0.78,999.71,0.53,9.34,25.7,19.42,50.71,29.1,59.36,88.77,14.33,189.01,13.12,221.61,4.68,28-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Aug-2020 - 00:00,1.11,17.69,1.81,0.43,0.88,998.97,0.64,9.25,26.31,19.65,55.81,24.45,57.39,89.72,15.64,127.95,16.97,227.29,4.88,29-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Aug-2020 - 00:00,1.42,17.89,1.67,0.41,0.82,998.3,0.68,8.55,26.13,19.03,41.2,28.35,61.75,88.51,11.06,109.36,18.51,249.13,5.64,30-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Aug-2020 - 00:00,0.94,14.9,1.13,0.24,0.51,998.06,0.72,7.48,29.1,19.68,27.32,27.76,54.46,98.02,6.94,57.66,7.73,246.91,6.04,31-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-Aug-2020 - 00:00,1.65,21.32,2.75,0.66,1.24,998.7,0.82,10.32,34.24,24.32,38.03,18.7,47.22,95.43,11.78,112.83,9.38,229.52,4.84,01-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Sep-2020 - 00:00,1.33,29.25,3.4,0.69,1.52,,0.58,9.36,28.66,20.88,27.81,30.2,54.77,85.65,12.45,229.65,14.56,221.67,4.37,02-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Sep-2020 - 00:00,1.87,20.39,2.84,0.54,1.28,,0.86,14.67,27.0,24.01,35.74,31.12,58.24,79.91,10.64,186.71,12.04,263.03,2.41,03-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Sep-2020 - 00:00,5.83,42.7,5.64,1.47,2.52,,0.5,14.97,33.3,27.36,28.47,41.92,102.44,75.62,9.16,132.36,18.93,204.92,2.15,04-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Sep-2020 - 00:00,4.34,28.39,3.57,0.65,1.47,,0.79,6.79,38.57,23.61,50.61,37.03,72.3,71.52,13.41,172.04,18.84,198.2,2.72,05-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Sep-2020 - 00:00,5.34,51.46,6.6,1.31,2.69,,1.2,28.06,38.43,36.72,35.92,46.75,88.62,75.34,14.13,161.12,19.07,219.44,2.65,06-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Sep-2020 - 00:00,2.76,28.51,3.67,0.63,1.61,999.87,0.67,10.36,32.71,22.17,43.25,26.33,71.85,72.75,10.42,211.77,19.55,260.0,4.3,07-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Sep-2020 - 00:00,1.93,26.03,2.87,0.52,1.18,,0.99,9.9,31.8,21.94,41.68,29.76,62.07,74.42,13.14,193.16,19.81,282.44,4.42,08-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Sep-2020 - 00:00,3.7,31.63,3.53,0.53,1.85,,1.02,7.83,36.29,23.55,31.56,22.63,58.49,70.92,15.23,207.75,19.55,320.32,4.61,09-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Sep-2020 - 00:00,5.69,54.67,6.13,1.1,3.29,999.79,0.91,11.78,45.9,30.87,46.5,31.0,67.23,74.95,11.79,247.99,8.73,241.93,2.41,10-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Sep-2020 - 00:00,6.44,60.92,3.93,1.22,1.35,998.63,0.74,11.64,36.47,26.47,51.52,39.29,75.0,69.18,17.38,236.29,19.27,247.74,3.97,11-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Sep-2020 - 00:00,3.61,37.21,2.25,0.73,0.81,998.42,0.82,7.17,33.69,21.78,64.04,31.24,63.73,77.76,13.23,175.7,19.5,235.98,3.46,12-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Sep-2020 - 00:00,3.05,49.97,2.3,0.87,0.78,998.79,0.73,6.69,36.04,22.57,50.56,26.9,59.78,84.49,16.35,250.6,19.85,128.97,2.24,13-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Sep-2020 - 00:00,2.2,32.56,1.75,0.5,0.61,999.62,0.71,8.06,31.26,21.27,23.13,16.59,49.99,82.23,12.67,244.33,19.91,175.91,3.1,14-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Sep-2020 - 00:00,1.8,29.23,1.22,0.29,0.45,999.33,0.75,9.99,32.27,23.19,36.79,12.53,46.73,82.93,18.89,233.39,,218.73,4.86,15-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Sep-2020 - 00:00,4.68,30.79,1.54,0.38,0.56,999.13,0.89,11.42,35.17,25.68,47.45,20.43,50.43,82.83,11.93,222.71,19.43,199.55,3.54,16-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Sep-2020 - 00:00,3.46,27.68,1.58,0.38,0.6,999.77,0.81,8.14,31.68,21.52,50.24,23.35,58.68,81.08,12.43,217.07,19.9,269.6,3.78,17-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Sep-2020 - 00:00,5.4,38.87,1.97,0.61,0.74,999.87,0.84,12.25,32.22,24.86,31.42,30.03,55.21,81.56,15.87,237.55,19.32,299.98,4.95,18-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Sep-2020 - 00:00,3.38,33.01,1.55,0.46,0.6,999.31,0.59,13.38,39.04,28.13,22.41,46.19,51.03,78.89,15.22,241.42,19.48,273.68,4.66,19-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Sep-2020 - 00:00,3.16,41.68,1.51,0.48,0.55,998.45,0.73,10.64,37.94,26.45,25.47,26.35,63.09,77.15,19.2,253.96,19.15,238.97,3.19,20-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Sep-2020 - 00:00,2.9,32.58,1.52,0.45,0.53,998.35,0.81,8.53,35.44,23.62,33.88,26.59,64.23,83.53,20.67,263.75,18.97,204.85,3.84,21-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Sep-2020 - 00:00,1.98,25.1,1.75,0.5,0.81,996.49,0.67,7.84,35.37,23.11,42.27,20.3,57.04,81.03,27.2,243.81,19.29,146.65,5.81,22-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Sep-2020 - 00:00,9.79,33.03,2.24,3.14,1.34,995.89,0.78,6.81,39.57,24.38,40.91,36.56,81.92,72.29,19.03,260.53,18.0,176.06,5.53,23-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Sep-2020 - 00:00,5.98,44.18,2.52,0.64,1.33,997.26,0.87,13.65,45.93,32.59,36.04,57.42,101.35,88.33,14.0,250.91,,248.67,5.62,24-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Sep-2020 - 00:00,3.5,33.01,1.7,0.36,0.9,,0.63,13.16,46.98,32.74,40.13,40.9,90.4,81.46,10.4,268.35,19.87,260.07,6.04,25-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Sep-2020 - 00:00,4.25,36.34,1.68,0.33,0.91,,0.93,12.98,47.45,32.83,37.82,47.88,89.56,81.17,14.36,260.49,19.95,276.87,5.36,26-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Sep-2020 - 00:00,2.05,28.6,1.3,0.27,0.76,1000.0,0.74,12.25,41.73,29.5,43.31,41.79,87.74,80.92,16.87,253.75,,257.81,6.47,27-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Sep-2020 - 00:00,1.41,24.37,1.07,0.19,0.62,,0.57,10.84,41.67,27.92,35.97,34.91,84.31,79.03,13.19,248.57,14.06,248.13,4.32,28-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Sep-2020 - 00:00,6.15,47.66,2.88,0.55,1.3,,0.85,19.84,64.27,46.16,42.68,54.77,99.34,79.4,41.5,259.03,,199.95,3.56,29-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Sep-2020 - 00:00,4.14,34.66,2.41,0.37,1.06,,0.75,12.42,52.65,33.36,58.32,49.25,90.1,67.3,15.7,271.32,,281.51,4.3,30-Sep-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Sep-2020 - 00:00,2.15,28.24,1.99,0.36,1.1,,0.81,10.92,49.23,32.15,38.62,43.84,92.57,72.81,12.97,268.93,,265.25,4.82,01-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Oct-2020 - 00:00,2.12,23.98,1.76,0.28,1.02,,0.71,9.84,44.33,28.96,38.65,43.89,84.88,69.79,11.65,253.64,,315.3,5.16,02-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Oct-2020 - 00:00,1.2,19.66,1.22,0.19,0.72,,1.0,6.24,34.27,21.38,41.1,33.05,79.02,71.09,12.68,231.28,,240.9,6.11,03-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Oct-2020 - 00:00,2.49,25.46,1.4,0.25,0.79,,0.63,8.8,48.57,30.26,43.78,43.05,89.29,68.4,13.99,185.43,,265.54,5.33,04-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Oct-2020 - 00:00,2.9,29.64,1.49,0.23,0.83,,0.8,12.0,48.2,32.47,30.41,43.1,98.89,69.02,27.33,199.97,,308.67,5.7,05-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Oct-2020 - 00:00,2.61,40.02,2.04,0.36,1.1,,0.76,9.28,49.21,30.93,37.28,45.72,100.95,62.37,20.98,190.11,,261.47,5.88,06-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Oct-2020 - 00:00,7.93,34.88,2.22,0.42,1.2,,0.91,15.61,64.52,43.12,40.97,53.06,115.03,49.03,31.64,163.36,,157.88,4.98,07-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Oct-2020 - 00:00,4.41,37.39,2.99,0.54,1.58,,0.87,13.13,71.91,44.87,42.15,39.85,108.59,38.09,25.6,170.24,,62.86,5.76,08-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Oct-2020 - 00:00,6.56,45.11,3.35,0.66,1.7,,0.73,19.58,97.65,62.25,42.3,52.96,112.28,36.14,36.93,156.59,,96.54,4.24,09-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Oct-2020 - 00:00,4.61,56.29,4.43,0.93,2.26,,0.79,30.83,91.87,67.83,41.04,44.67,117.26,35.85,20.71,165.67,,53.28,2.96,10-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Oct-2020 - 00:00,8.2,79.15,8.41,1.51,3.72,,1.09,22.27,102.78,66.75,39.68,65.86,116.21,36.16,30.11,156.41,,105.86,3.04,11-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Oct-2020 - 00:00,5.96,64.77,6.15,1.0,2.67,999.72,0.93,12.64,95.05,54.82,49.01,62.66,114.03,39.52,27.18,145.39,0.0,135.63,3.01,12-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Oct-2020 - 00:00,6.99,80.1,6.71,1.07,2.69,998.5,0.98,21.68,101.94,65.11,41.79,70.8,112.19,40.06,22.2,144.89,0.0,126.25,2.1,13-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Oct-2020 - 00:00,9.98,106.58,11.0,2.13,4.95,999.09,0.99,17.55,110.76,67.13,35.12,70.74,137.69,36.24,24.51,144.0,,79.38,1.89,14-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Oct-2020 - 00:00,3.35,59.91,5.41,0.84,2.43,996.9,0.75,7.69,88.2,48.76,32.63,58.99,122.09,33.89,32.76,156.89,,41.14,4.18,15-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Oct-2020 - 00:00,1.85,40.24,2.65,0.3,1.25,998.83,0.75,5.22,52.78,29.64,44.04,68.73,128.57,48.92,25.98,204.15,,63.02,3.79,16-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Oct-2020 - 00:00,2.13,30.17,1.55,0.19,0.74,998.75,1.05,7.98,40.68,25.8,48.66,61.08,104.73,56.4,17.94,200.1,,112.81,1.87,17-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Oct-2020 - 00:00,6.36,52.72,2.25,0.41,1.13,999.88,0.95,10.44,57.32,35.75,38.12,63.21,115.36,68.25,24.28,145.94,,184.07,2.12,18-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Oct-2020 - 00:00,6.2,43.59,1.89,0.28,0.89,,0.88,17.1,51.46,37.87,37.38,58.56,124.92,78.43,39.96,159.94,,247.73,4.01,19-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Oct-2020 - 00:00,6.95,66.13,2.25,0.44,1.2,,1.06,20.04,49.81,39.24,34.88,70.22,147.67,73.39,30.18,120.55,,236.63,2.71,20-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Oct-2020 - 00:00,5.04,69.51,2.87,0.53,1.49,,1.02,19.28,42.91,34.73,43.25,70.27,157.04,63.88,33.17,127.55,,262.66,3.05,21-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Oct-2020 - 00:00,0.54,49.5,2.32,0.39,1.23,,1.64,8.12,22.73,17.1,51.62,55.34,130.47,60.6,20.69,149.41,,169.81,4.45,22-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Oct-2020 - 00:00,3.07,76.34,3.0,0.44,1.59,,1.12,13.64,46.66,32.63,50.7,45.75,128.26,40.08,17.96,151.73,,168.92,4.61,23-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Oct-2020 - 00:00,13.46,109.82,7.54,1.37,3.68,,2.09,67.41,85.09,89.83,41.08,75.19,205.52,29.17,25.4,140.83,,181.26,2.87,24-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Oct-2020 - 00:00,9.53,95.9,10.12,1.85,4.88,,2.22,47.22,69.37,65.18,42.04,68.83,102.98,33.89,15.45,203.07,,204.1,2.66,25-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Oct-2020 - 00:00,15.53,66.95,7.95,1.55,3.74,,1.63,27.07,92.02,65.08,43.49,76.81,,37.02,27.11,223.21,,185.76,2.16,26-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Oct-2020 - 00:00,5.84,41.57,5.42,0.77,2.71,,1.83,48.15,72.9,71.48,43.29,50.31,,34.48,12.36,218.13,,119.5,3.08,27-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Oct-2020 - 00:00,5.38,71.19,10.47,1.65,4.87,,2.26,74.27,86.6,97.67,39.21,64.56,174.42,33.37,23.99,161.16,,114.03,1.19,28-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Oct-2020 - 00:00,5.27,63.05,9.18,1.53,4.4,,1.42,31.12,100.45,72.23,43.32,64.02,130.64,32.07,34.33,132.06,,90.36,1.68,29-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Oct-2020 - 00:00,4.18,43.34,5.78,0.76,2.76,,1.49,21.65,103.83,66.8,47.65,73.38,147.29,34.62,22.3,123.77,,97.97,1.81,30-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Oct-2020 - 00:00,4.56,54.35,6.7,1.02,3.1,,1.68,34.37,77.59,63.5,34.97,72.92,135.27,35.37,23.17,129.28,,87.72,1.46,31-Oct-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-Oct-2020 - 00:00,6.02,68.09,9.5,1.45,4.2,,1.96,34.6,70.0,59.96,40.24,63.35,110.07,30.7,25.72,122.58,,80.97,1.49,01-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Nov-2020 - 00:00,4.88,53.41,7.39,1.09,3.39,,1.74,31.86,84.88,65.18,30.64,69.63,110.54,30.63,22.1,120.44,,75.0,1.23,02-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Nov-2020 - 00:00,4.83,49.32,6.7,0.97,3.15,,1.62,19.68,73.98,50.78,35.82,84.2,171.17,30.9,30.44,117.47,,61.68,1.53,03-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Nov-2020 - 00:00,5.61,57.37,7.13,1.06,3.38,,2.09,38.91,62.39,59.48,33.43,67.53,158.27,32.0,27.84,121.62,,64.86,1.76,04-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Nov-2020 - 00:00,5.4,48.11,7.92,0.99,3.64,,1.71,44.49,101.73,82.26,34.31,67.14,144.8,33.83,34.64,124.57,,51.77,2.97,05-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Nov-2020 - 00:00,6.41,60.5,6.9,1.0,3.1,,1.75,31.18,102.4,73.22,30.76,62.15,133.79,36.16,33.17,117.43,,171.87,1.26,06-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Nov-2020 - 00:00,9.57,79.36,10.95,2.01,4.97,,1.85,55.6,95.85,88.25,39.15,89.74,163.17,40.94,24.41,118.56,,68.75,1.59,07-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Nov-2020 - 00:00,5.55,64.48,8.79,1.53,4.03,,1.43,21.83,105.84,67.92,34.29,78.06,145.62,36.62,34.99,117.26,,88.37,1.07,08-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Nov-2020 - 00:00,6.05,69.9,9.14,1.93,4.04,,1.73,29.55,100.18,70.92,35.44,97.68,185.69,34.33,23.81,114.14,,81.34,1.0,09-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Nov-2020 - 00:00,5.19,62.67,7.18,1.27,3.36,,1.53,20.64,102.68,65.49,42.56,90.17,169.25,34.81,21.34,108.26,,77.01,1.33,10-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Nov-2020 - 00:00,6.24,63.21,7.41,1.35,3.5,,2.16,41.81,92.71,76.43,42.96,81.99,171.18,36.14,23.28,108.67,,73.71,1.1,11-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Nov-2020 - 00:00,7.28,71.34,9.18,1.74,4.4,,2.13,58.87,101.29,93.35,39.27,113.23,198.42,34.42,26.08,103.16,,93.14,1.29,12-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Nov-2020 - 00:00,6.03,61.45,9.11,1.53,4.24,,1.58,20.84,90.92,59.9,42.85,123.12,196.39,37.81,22.47,99.5,,67.66,1.78,13-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Nov-2020 - 00:00,4.07,35.89,4.71,0.7,2.27,,1.4,19.85,80.59,54.13,42.51,75.35,165.71,43.78,22.37,114.21,,70.45,1.76,14-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Nov-2020 - 00:00,5.08,39.75,5.62,0.84,2.79,,1.46,22.8,80.15,56.11,40.5,94.81,179.62,49.66,22.0,108.67,,107.58,1.08,15-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Nov-2020 - 00:00,4.41,28.18,4.2,0.53,2.07,,1.09,7.34,67.76,38.53,48.91,177.72,192.64,50.45,18.85,100.57,,113.73,2.84,16-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Nov-2020 - 00:00,1.75,13.11,1.52,0.15,0.84,,0.81,4.28,56.95,30.97,52.06,79.79,203.76,38.54,16.96,119.1,,69.29,4.35,17-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Nov-2020 - 00:00,5.39,11.52,0.99,0.08,0.57,,0.92,4.44,50.26,27.83,49.99,69.29,149.16,43.85,11.85,115.73,,90.07,4.72,18-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Nov-2020 - 00:00,2.58,12.29,0.68,0.06,0.41,,0.68,5.09,50.17,28.27,48.33,71.17,137.65,55.13,14.87,111.17,,151.68,4.76,19-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Nov-2020 - 00:00,1.49,31.12,0.87,0.09,0.53,,0.93,5.38,62.57,34.53,49.71,55.42,123.72,39.95,18.67,117.98,,19.18,5.79,20-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Nov-2020 - 00:00,0.9,22.15,0.67,0.08,0.42,,0.98,7.92,85.54,47.64,22.37,63.29,141.49,42.84,17.07,53.21,,45.47,3.82,21-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Nov-2020 - 00:00,,,,,,,1.04,10.37,51.52,31.46,37.66,57.44,132.4,41.14,10.84,113.26,,68.56,2.44,22-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Nov-2020 - 00:00,,,,,,,0.8,7.79,59.9,34.98,24.87,67.3,132.61,38.6,12.79,120.25,,70.75,1.9,23-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Nov-2020 - 00:00,,,,,,,1.75,35.67,107.35,78.99,29.26,82.06,206.43,41.63,20.8,114.39,,102.32,1.96,24-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Nov-2020 - 00:00,,,,,,,1.78,32.43,127.88,92.23,33.06,88.18,194.06,40.42,16.6,113.91,,87.63,1.9,25-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Nov-2020 - 00:00,,,,,,,1.62,18.09,80.43,71.73,22.87,86.37,177.91,41.57,19.56,91.29,,55.32,2.42,26-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Nov-2020 - 00:00,6.89,75.97,4.43,0.52,2.22,,1.02,6.47,62.89,35.51,31.17,74.19,155.27,47.5,22.91,100.1,,42.57,4.89,27-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Nov-2020 - 00:00,1.44,15.21,0.63,0.1,0.63,,0.64,7.7,56.64,33.37,32.67,53.37,114.81,46.54,16.8,111.91,,77.57,3.23,28-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Nov-2020 - 00:00,2.84,35.08,1.33,0.2,0.97,,0.95,9.57,74.84,43.65,29.69,45.79,114.28,40.64,17.87,117.91,,73.72,2.59,29-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Nov-2020 - 00:00,4.43,34.79,2.49,0.35,1.56,,1.33,10.25,87.33,50.25,29.96,62.38,145.51,42.54,21.69,109.55,,81.58,1.79,30-Nov-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Nov-2020 - 00:00,6.58,48.52,4.92,0.69,2.79,,1.39,17.45,93.17,58.48,30.26,69.71,159.66,46.33,33.76,109.12,,58.93,2.49,01-Dec-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Dec-2020 - 00:00,7.6,51.57,10.7,1.23,5.53,,1.69,11.09,92.73,53.51,4.13,176.4,302.27,52.99,42.68,4.8,,42.16,5.23,02-Dec-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
