from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
30-Nov-2019 - 00:00,0.0,299.58,752.48,82.27,334.42,53.43,38.4,13.03,1.02,0.18,63.99,76.19,1.3,602.86,17.81,68.29,11.72,01-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Dec-2019 - 00:00,480.99,289.03,751.19,82.8,306.05,62.2,38.36,7.24,0.73,0.15,74.78,62.23,1.29,753.62,17.1,60.07,16.11,02-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Dec-2019 - 00:00,,278.92,751.24,84.0,367.23,73.13,48.52,12.79,1.07,0.07,91.06,57.25,1.42,829.6,16.61,60.42,18.4,03-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Dec-2019 - 00:00,,249.88,750.87,87.46,418.73,76.07,60.62,25.97,1.21,0.0,86.97,53.53,1.15,762.65,16.27,69.03,24.47,04-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Dec-2019 - 00:00,,225.65,752.13,76.77,463.57,76.88,84.5,55.32,1.69,-0.03,160.95,59.29,0.8,844.65,15.55,83.5,39.76,05-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Dec-2019 - 00:00,,193.16,753.18,64.23,551.46,80.48,76.25,42.64,1.87,0.01,272.42,70.24,0.58,902.85,15.18,74.31,42.16,06-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Dec-2019 - 00:00,,291.17,752.6,70.5,429.47,67.21,49.41,17.78,1.47,0.04,159.46,73.33,0.98,869.38,16.82,30.78,22.36,07-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Dec-2019 - 00:00,478.0,222.59,752.02,71.58,421.88,59.41,66.27,43.96,1.44,0.03,155.12,74.84,0.79,753.61,16.5,43.79,22.38,08-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Dec-2019 - 00:00,466.42,253.04,751.95,70.22,590.73,69.07,90.41,67.81,1.72,0.04,174.95,67.51,0.94,758.2,16.07,56.17,37.3,09-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Dec-2019 - 00:00,,228.22,750.69,78.02,461.26,72.01,62.91,31.52,1.23,0.04,126.29,67.22,0.92,741.74,15.49,40.93,25.15,10-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Dec-2019 - 00:00,,231.42,750.13,68.08,534.01,84.75,83.05,48.33,1.7,0.03,180.95,69.79,0.78,938.9,15.16,51.22,24.2,11-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Dec-2019 - 00:00,0.0,164.9,749.62,54.12,608.13,103.29,124.02,87.42,1.88,0.03,233.27,75.15,0.7,284.2,15.05,78.48,24.23,12-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Dec-2019 - 00:00,,121.28,749.09,36.67,432.8,91.08,69.11,26.78,1.01,0.04,236.28,71.67,1.69,789.1,16.06,48.23,36.88,13-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Dec-2019 - 00:00,,186.39,749.36,31.49,276.68,45.07,27.24,4.56,0.82,0.09,67.88,89.49,1.83,899.67,15.05,21.15,4.13,14-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Dec-2019 - 00:00,493.8,209.25,752.24,48.93,349.07,51.7,36.37,11.62,0.63,0.1,51.74,84.57,0.88,882.27,14.33,23.8,8.48,15-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Dec-2019 - 00:00,,296.17,752.8,72.48,346.59,56.54,40.2,13.25,0.4,0.15,68.51,81.63,1.34,898.17,14.65,26.42,15.83,16-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Dec-2019 - 00:00,,301.52,754.4,17.44,265.2,38.08,24.33,5.49,0.39,0.13,65.21,90.93,1.79,980.09,11.69,18.02,7.28,17-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Dec-2019 - 00:00,,307.0,756.37,23.79,294.34,35.88,27.11,10.4,0.57,0.06,68.94,86.6,1.63,929.81,11.25,21.72,4.38,18-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Dec-2019 - 00:00,,223.26,755.02,73.47,326.11,53.23,36.87,11.25,0.75,0.03,114.34,81.27,1.33,970.15,11.79,30.07,10.64,19-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Dec-2019 - 00:00,,124.05,753.06,45.79,493.04,69.47,77.09,50.9,1.37,0.03,196.52,90.14,0.94,,10.23,49.95,25.38,20-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Dec-2019 - 00:00,,239.24,755.51,52.1,633.57,92.14,86.4,47.7,1.58,0.11,305.53,80.11,1.09,,11.9,64.02,44.91,21-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Dec-2019 - 00:00,,300.15,754.0,58.34,438.74,67.05,55.53,25.54,0.96,0.14,234.79,84.66,1.56,,13.15,47.16,28.89,22-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Dec-2019 - 00:00,,312.93,752.59,35.57,312.45,40.59,26.41,6.46,0.75,0.19,137.03,91.22,2.02,,11.02,29.68,3.87,23-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Dec-2019 - 00:00,,282.5,752.1,48.55,363.48,42.48,31.94,12.12,0.89,0.14,151.04,86.46,1.47,,9.93,31.63,2.15,24-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Dec-2019 - 00:00,,193.01,752.06,55.17,468.11,68.51,54.82,23.69,1.08,0.11,260.07,82.73,1.11,,10.69,46.67,14.48,25-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Dec-2019 - 00:00,,312.03,751.78,55.6,309.11,41.19,30.54,11.22,0.63,0.18,163.7,87.94,1.94,,8.94,26.98,17.33,26-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Dec-2019 - 00:00,,270.83,751.84,51.84,321.6,46.5,30.44,7.63,0.71,0.14,185.1,80.26,2.07,,8.81,30.89,11.23,27-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Dec-2019 - 00:00,18.68,195.15,751.59,56.85,303.97,53.99,35.67,9.25,0.93,0.11,261.52,75.48,1.65,23.79,8.88,34.92,18.24,28-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Dec-2019 - 00:00,0.0,193.86,754.5,46.97,281.91,53.22,47.92,25.07,1.2,0.12,262.27,90.12,1.34,1.77,7.34,40.6,30.81,29-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Dec-2019 - 00:00,,155.76,751.78,63.84,366.83,62.29,40.07,9.32,1.08,0.11,283.42,81.74,1.43,,8.95,35.75,31.6,30-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Dec-2019 - 00:00,,127.07,751.71,19.53,432.7,67.66,64.05,35.79,1.42,0.11,309.32,98.61,1.53,,6.93,46.4,53.08,31-Dec-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Dec-2019 - 00:00,,142.56,751.84,6.4,204.4,43.33,27.81,6.41,0.66,0.13,278.0,94.38,2.77,896.9,6.48,25.7,45.48,01-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
