from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
20-Mar-2019 - 00:00,,152.76,748.37,115.45,378.07,66.29,48.9,17.74,1.11,-0.23,101.78,29.69,2.6,,24.54,15.8,49.62,21-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Mar-2019 - 00:00,,67.35,749.85,135.78,280.4,35.4,22.33,4.75,1.08,-0.14,127.11,31.5,2.13,948.41,23.95,16.26,35.5,22-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Mar-2019 - 00:00,,257.7,750.72,157.19,234.75,29.88,18.54,3.61,0.5,-0.07,50.67,26.27,3.27,973.06,22.85,16.08,24.8,23-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Mar-2019 - 00:00,,324.63,750.35,151.72,244.07,35.58,21.5,3.59,0.61,-0.23,56.22,28.75,3.78,959.7,23.0,16.65,20.09,24-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Mar-2019 - 00:00,,180.84,749.63,143.42,261.67,39.19,24.78,5.32,0.69,-0.33,56.33,31.06,3.13,,23.72,17.28,27.25,25-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Mar-2019 - 00:00,,209.06,749.8,131.35,252.7,38.66,23.78,4.43,0.6,-0.18,72.15,43.46,3.07,297.32,22.45,16.54,24.6,26-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Mar-2019 - 00:00,,293.75,750.41,148.91,284.19,47.75,29.21,5.26,0.58,0.08,74.39,39.37,2.63,,22.93,16.04,19.57,27-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Mar-2019 - 00:00,,234.2,750.69,133.12,343.12,57.58,36.65,8.13,0.72,0.17,78.79,32.0,2.38,,24.2,16.02,16.51,28-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Mar-2019 - 00:00,,202.62,749.77,134.85,511.99,73.48,54.72,20.3,1.09,0.27,131.22,39.44,1.43,,25.73,13.79,18.59,29-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Mar-2019 - 00:00,,131.89,748.4,130.21,477.79,71.92,54.03,20.47,1.12,0.13,188.0,50.29,1.8,,27.39,14.69,18.7,30-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Mar-2019 - 00:00,,144.39,747.93,129.58,351.43,58.76,36.68,7.39,0.86,-0.01,161.76,43.84,1.77,,28.85,15.12,23.84,31-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
