from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,RF,WS,WD,to date,station
24-Apr-2019 - 00:00,32.91,93.61,15.04,25.74,10.7,3.72,18.08,0.37,6.27,22.22,49.04,16.34,20.63,8.28,211.75,28.32,,0.75,202.72,25-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Apr-2019 - 00:00,34.11,95.93,7.39,13.0,5.6,3.81,13.63,0.51,23.2,9.23,16.08,3.77,3.51,2.08,235.6,43.33,,1.01,231.14,26-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Apr-2019 - 00:00,36.44,109.08,5.06,8.65,3.59,3.41,10.4,0.3,22.39,8.99,15.28,3.5,3.86,2.69,301.5,54.21,,0.79,245.01,27-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Apr-2019 - 00:00,46.74,132.45,8.75,20.62,11.87,2.39,15.79,0.66,13.42,,,,,,246.88,41.92,,0.79,233.54,28-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Apr-2019 - 00:00,51.22,146.72,9.3,21.56,12.26,2.69,13.64,0.73,12.32,26.81,6.25,1.53,0.76,0.84,253.43,52.86,,0.67,237.69,29-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Apr-2019 - 00:00,49.27,137.52,9.24,13.65,4.41,4.12,19.36,0.43,13.92,5.64,20.03,2.5,2.37,3.8,251.59,52.13,,1.4,232.04,30-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Apr-2019 - 00:00,48.87,160.48,10.11,13.41,3.31,7.03,22.73,0.4,18.84,2.47,11.74,1.25,1.08,2.66,246.25,46.96,,1.77,215.84,01-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-May-2019 - 00:00,68.31,259.23,11.05,14.4,3.35,7.82,13.54,0.41,21.48,2.65,9.2,1.1,0.89,2.43,226.39,53.2,,1.66,211.54,02-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-May-2019 - 00:00,51.05,165.42,11.48,15.34,3.86,7.6,14.65,0.39,23.66,3.03,6.5,0.51,1.9,1.16,228.98,53.44,,1.33,212.15,03-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-May-2019 - 00:00,44.53,137.19,8.47,11.71,3.24,7.6,11.15,0.33,20.09,2.68,9.38,0.7,1.44,1.5,226.96,56.13,,1.7,209.02,04-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-May-2019 - 00:00,46.58,123.43,5.12,8.2,3.08,9.81,10.74,0.38,18.84,2.09,11.41,0.91,1.0,1.89,223.66,53.98,,1.96,197.66,05-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-May-2019 - 00:00,38.66,114.02,3.16,6.37,3.21,18.26,9.39,0.47,26.66,2.28,13.86,1.19,1.14,2.09,229.07,52.76,,1.53,207.86,06-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-May-2019 - 00:00,36.96,108.21,4.57,8.49,3.92,17.97,10.62,0.54,15.37,3.27,14.53,1.34,1.32,2.86,235.06,50.29,,1.21,208.03,07-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-May-2019 - 00:00,32.92,110.38,6.04,9.52,3.48,15.44,19.31,0.46,13.76,2.61,10.24,0.87,1.11,2.04,229.09,46.27,,1.52,233.5,08-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-May-2019 - 00:00,34.64,108.87,6.19,9.66,3.47,9.29,27.32,0.46,17.55,2.78,14.79,1.03,1.19,2.13,246.74,50.81,,1.73,219.37,09-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-May-2019 - 00:00,30.06,79.99,4.63,7.53,2.9,9.98,24.03,0.38,18.71,2.15,14.53,0.82,0.73,1.68,223.1,51.7,,1.89,211.49,10-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-May-2019 - 00:00,24.71,77.04,4.15,7.03,2.89,8.64,16.75,0.31,12.37,1.77,13.94,0.61,0.56,1.42,238.61,50.9,,1.83,221.15,11-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-May-2019 - 00:00,30.76,96.36,4.07,6.79,2.72,9.94,10.4,0.25,20.51,1.9,14.44,0.83,0.82,1.72,229.26,56.38,,1.66,209.77,12-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-May-2019 - 00:00,37.77,131.5,4.27,7.44,3.16,9.95,10.98,0.22,27.83,1.94,13.66,0.54,0.48,1.34,222.86,55.37,,1.52,228.93,13-May-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
