from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Temp,RH,WS,WD,VWS,SR,RF,PM10,PM2.5,to date,BP,station
12-Apr-2019 - 00:00,32.95,8.55,7.24,40.08,0.57,0.52,12.32,2.4,0.73,1.27,0.99,0.24,29.14,72.21,2.31,165.0,-0.03,216.17,0.0,70.66,29.37,13-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
13-Apr-2019 - 00:00,35.46,7.47,7.29,42.77,0.41,0.57,19.42,2.97,0.61,1.28,2.3,0.26,29.3,64.4,2.61,139.87,-0.04,242.38,0.0,86.83,35.46,14-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
14-Apr-2019 - 00:00,25.93,10.93,5.91,31.83,0.39,0.48,19.26,1.84,0.23,0.7,2.9,0.16,29.46,69.69,2.47,177.53,-0.01,229.47,0.0,82.58,32.08,15-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
15-Apr-2019 - 00:00,35.06,12.14,6.64,41.83,0.23,0.49,14.21,1.46,0.19,0.61,3.11,0.12,30.04,72.86,2.52,181.73,-0.0,233.81,0.0,88.11,37.18,16-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
16-Apr-2019 - 00:00,30.52,10.26,5.83,36.34,0.38,0.63,22.16,2.91,0.48,0.99,1.44,0.22,30.28,67.73,2.65,143.12,-0.02,207.33,0.0,101.52,39.72,17-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
17-Apr-2019 - 00:00,71.73,12.85,6.39,78.07,5.93,0.85,27.14,3.5,1.06,1.81,2.54,0.45,29.33,53.77,2.75,221.05,-0.04,217.32,0.0,144.04,60.44,18-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
18-Apr-2019 - 00:00,96.77,13.27,15.47,112.32,53.46,1.01,25.54,7.16,1.52,2.78,1.31,0.54,29.14,45.77,2.23,243.1,-0.01,246.24,0.0,188.33,77.37,19-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
19-Apr-2019 - 00:00,83.17,14.58,8.02,91.13,50.07,1.01,25.02,5.51,2.28,3.08,1.05,0.64,28.19,52.15,2.86,252.92,-0.03,146.87,0.0,157.54,65.24,20-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
20-Apr-2019 - 00:00,65.86,13.2,6.08,71.87,41.13,0.72,35.23,3.39,0.99,1.74,1.68,0.34,28.82,48.26,2.64,249.0,-0.01,256.94,0.0,114.82,50.23,21-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
21-Apr-2019 - 00:00,44.01,14.59,6.18,50.17,11.37,0.49,24.36,1.93,0.51,0.92,3.97,0.19,28.55,61.58,2.93,212.52,-0.02,253.63,0.04,94.44,36.22,22-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
22-Apr-2019 - 00:00,60.92,14.84,7.86,68.74,18.93,0.68,29.64,3.66,1.95,2.39,1.07,0.56,27.35,62.18,2.41,149.4,-0.01,250.05,0.0,89.35,39.6,23-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
23-Apr-2019 - 00:00,47.25,15.53,5.06,52.31,11.84,0.61,31.04,2.93,0.79,1.38,2.89,0.27,30.13,55.45,2.31,183.85,0.01,259.49,0.0,81.11,39.39,24-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
24-Apr-2019 - 00:00,46.17,17.22,8.36,54.55,9.99,0.53,17.37,2.97,0.63,1.07,2.78,0.21,30.46,58.66,2.21,178.96,-0.01,256.12,0.0,98.07,33.29,25-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
25-Apr-2019 - 00:00,36.63,12.19,8.11,44.73,5.54,0.5,14.43,2.21,0.36,0.8,3.53,0.2,30.22,64.8,2.54,198.79,-0.01,258.22,0.0,93.52,33.18,26-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
26-Apr-2019 - 00:00,38.38,9.45,8.57,46.94,1.25,0.47,15.76,1.79,0.36,0.7,4.51,0.14,30.25,66.59,2.55,196.46,-0.02,267.23,0.0,106.92,37.37,27-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
27-Apr-2019 - 00:00,36.4,8.19,7.14,43.53,0.6,0.53,15.0,1.59,0.34,0.66,4.42,0.13,31.12,67.58,2.76,202.77,-0.01,237.54,0.0,115.11,42.69,28-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
28-Apr-2019 - 00:00,23.18,7.63,5.62,28.8,0.72,0.46,15.43,1.16,0.19,0.38,1.39,0.07,31.34,68.02,2.94,196.31,-0.02,249.23,0.0,93.58,32.22,29-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
29-Apr-2019 - 00:00,21.7,8.7,8.47,30.17,0.88,0.48,8.1,1.37,0.18,0.34,2.88,0.06,30.68,68.81,2.98,195.52,-0.03,257.4,0.0,89.01,28.95,30-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
30-Apr-2019 - 00:00,22.87,9.5,6.49,29.35,0.41,0.4,6.44,1.3,0.2,0.42,0.92,0.08,30.48,62.36,2.97,200.92,-0.04,257.97,0.0,74.69,20.93,01-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
01-May-2019 - 00:00,20.96,8.65,5.62,26.56,0.5,0.34,6.42,1.24,0.08,0.27,1.57,0.05,30.68,64.75,2.74,189.74,-0.02,244.67,0.0,52.14,16.34,02-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
02-May-2019 - 00:00,24.24,8.82,7.59,31.74,0.47,0.39,7.21,3.42,3.76,0.3,0.57,0.1,30.07,67.51,3.11,158.12,-0.05,138.99,0.0,62.86,19.28,03-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
03-May-2019 - 00:00,29.04,8.18,7.22,35.93,0.45,0.47,12.42,2.15,6.5,0.17,0.43,0.07,26.95,81.17,4.37,112.45,-0.21,46.08,0.22,52.2,22.68,04-May-2019 - 00:00,998.51,"Ghusuri, Howrah - WBPCB"
04-May-2019 - 00:00,56.55,5.93,14.63,71.17,9.16,1.16,10.13,3.82,7.31,1.71,1.88,0.36,25.41,85.75,2.3,259.89,-0.14,120.71,0.11,83.76,38.2,05-May-2019 - 00:00,997.56,"Ghusuri, Howrah - WBPCB"
05-May-2019 - 00:00,50.15,5.2,18.67,68.77,2.71,0.64,11.89,4.0,5.29,0.84,1.53,0.32,29.04,76.61,0.88,190.72,-0.0,235.01,0.0,117.3,52.96,06-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
06-May-2019 - 00:00,23.65,6.69,4.17,27.82,0.43,0.47,24.95,1.48,2.46,0.14,0.36,0.07,30.89,70.83,1.05,213.77,-0.01,253.47,0.0,101.31,45.84,07-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
07-May-2019 - 00:00,34.85,6.09,4.95,39.8,0.41,0.55,24.16,2.04,3.47,0.29,0.63,0.13,30.93,72.3,0.98,196.46,-0.0,261.64,0.0,116.31,54.24,08-May-2019 - 00:00,999.01,"Ghusuri, Howrah - WBPCB"
08-May-2019 - 00:00,45.08,4.56,6.75,51.82,0.48,0.62,17.77,2.05,3.11,0.41,0.65,0.11,31.28,76.2,0.98,196.61,-0.01,257.1,0.0,142.85,61.93,09-May-2019 - 00:00,997.88,"Ghusuri, Howrah - WBPCB"
09-May-2019 - 00:00,36.27,4.78,6.22,42.47,0.72,0.59,20.85,1.98,3.15,0.35,0.56,0.1,31.46,77.03,1.0,196.04,-0.0,249.33,0.0,134.66,62.82,10-May-2019 - 00:00,997.04,"Ghusuri, Howrah - WBPCB"
10-May-2019 - 00:00,30.39,4.8,5.38,35.73,0.69,0.55,25.84,1.73,2.96,0.2,0.49,0.09,31.51,76.88,0.99,187.63,-0.01,249.2,0.0,127.67,57.49,11-May-2019 - 00:00,998.93,"Ghusuri, Howrah - WBPCB"
11-May-2019 - 00:00,29.08,4.52,5.73,34.79,0.63,0.49,20.36,1.54,3.17,0.18,0.62,0.09,31.24,73.64,1.12,193.88,-0.02,259.85,0.0,126.27,42.24,12-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
12-May-2019 - 00:00,23.86,4.95,5.14,28.98,0.45,0.49,17.39,1.15,2.55,0.12,0.36,0.07,31.18,73.9,1.14,193.13,-0.02,231.21,0.0,110.93,37.25,13-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
13-May-2019 - 00:00,22.99,4.73,5.87,28.74,0.51,0.47,18.01,1.63,3.54,0.19,0.48,0.1,30.44,74.25,1.06,173.85,-0.02,202.75,0.06,103.6,33.72,14-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
14-May-2019 - 00:00,38.87,4.54,8.7,47.3,0.71,0.53,18.83,2.8,5.16,0.29,0.73,0.15,28.83,68.47,0.99,159.97,-0.03,228.56,0.0,71.68,29.01,15-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
15-May-2019 - 00:00,40.39,4.86,7.9,48.28,0.95,0.51,14.94,3.19,4.31,0.36,0.77,0.14,30.15,68.7,0.7,179.47,-0.01,234.7,0.0,92.53,32.73,16-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
16-May-2019 - 00:00,42.42,4.83,9.15,51.56,0.99,0.52,19.91,3.04,3.95,0.4,0.82,0.16,30.91,68.15,0.65,189.26,-0.01,265.79,0.0,103.75,36.06,17-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
17-May-2019 - 00:00,29.68,5.09,6.57,36.22,0.53,0.47,18.2,1.68,2.83,0.17,0.48,0.09,31.31,76.09,0.77,181.82,-0.01,245.59,0.0,99.5,34.48,18-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
18-May-2019 - 00:00,20.13,5.66,4.89,25.01,0.5,0.43,17.56,1.63,3.01,0.27,0.6,0.12,31.62,75.4,0.83,188.95,-0.01,234.59,0.0,101.68,35.57,19-May-2019 - 00:00,999.9,"Ghusuri, Howrah - WBPCB"
19-May-2019 - 00:00,23.32,5.31,5.42,28.71,0.52,0.52,22.1,1.45,2.23,0.14,0.41,0.08,31.2,72.01,0.68,172.28,-0.01,189.88,0.04,114.45,37.58,20-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
20-May-2019 - 00:00,28.63,4.4,7.92,36.54,3.4,0.46,12.65,1.5,3.2,0.19,0.52,0.1,31.31,74.95,0.91,195.3,-0.02,217.57,0.0,95.06,33.72,21-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
21-May-2019 - 00:00,26.7,4.67,6.2,32.88,0.54,0.41,10.5,1.36,7.73,0.22,0.53,0.11,31.23,73.81,0.84,193.22,-0.02,252.7,0.0,83.23,29.23,22-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
22-May-2019 - 00:00,26.11,6.65,6.13,32.24,0.48,0.47,9.7,1.53,15.45,0.33,0.69,0.16,31.37,72.15,1.08,186.77,-0.03,227.56,0.0,102.14,32.72,23-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
23-May-2019 - 00:00,21.5,10.54,5.14,26.64,0.81,0.4,13.34,1.58,16.88,0.3,0.67,0.16,30.07,69.74,1.22,155.57,-0.06,205.21,0.0,79.55,25.22,24-May-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
24-May-2019 - 00:00,24.78,11.73,5.52,30.29,0.97,0.41,10.78,1.62,20.8,0.58,0.92,0.21,31.15,69.37,0.95,196.72,-0.02,230.53,0.0,87.67,26.73,25-May-2019 - 00:00,999.12,"Ghusuri, Howrah - WBPCB"
25-May-2019 - 00:00,24.62,12.56,5.32,29.93,0.8,0.48,11.13,2.74,21.92,0.55,1.04,0.24,28.75,77.87,1.15,178.07,-0.03,141.37,0.12,73.55,22.07,26-May-2019 - 00:00,998.11,"Ghusuri, Howrah - WBPCB"
26-May-2019 - 00:00,25.65,12.3,5.45,31.1,0.75,0.49,11.85,2.27,21.59,0.58,1.09,0.25,30.19,75.84,0.76,185.26,-0.0,227.32,0.0,78.93,28.36,27-May-2019 - 00:00,998.73,"Ghusuri, Howrah - WBPCB"
27-May-2019 - 00:00,21.05,12.18,4.48,25.51,0.9,0.43,10.99,1.87,29.13,0.66,1.11,0.27,31.39,74.01,0.87,186.16,-0.01,251.95,0.0,78.71,31.06,28-May-2019 - 00:00,998.76,"Ghusuri, Howrah - WBPCB"
28-May-2019 - 00:00,21.65,13.1,4.69,26.34,1.03,0.48,9.46,2.09,37.07,0.91,1.34,0.33,31.3,72.0,0.94,178.69,-0.02,252.76,0.0,82.68,30.05,29-May-2019 - 00:00,998.71,"Ghusuri, Howrah - WBPCB"
29-May-2019 - 00:00,20.49,14.11,4.32,24.8,0.85,0.51,11.61,3.05,40.42,1.01,1.45,0.36,31.65,69.61,0.85,176.9,-0.01,255.34,0.0,89.48,29.26,30-May-2019 - 00:00,998.0,"Ghusuri, Howrah - WBPCB"
30-May-2019 - 00:00,20.21,13.83,4.65,24.86,0.85,0.43,8.26,2.23,41.34,1.06,1.44,0.36,31.2,72.95,0.94,182.02,-0.01,244.23,0.0,84.86,30.83,31-May-2019 - 00:00,997.94,"Ghusuri, Howrah - WBPCB"
31-May-2019 - 00:00,19.28,16.2,4.72,24.0,0.78,0.46,6.21,2.23,39.02,0.95,1.4,0.35,30.45,70.68,1.31,161.42,-0.05,208.16,0.0,82.7,23.37,01-Jun-2019 - 00:00,999.0,"Ghusuri, Howrah - WBPCB"
01-Jun-2019 - 00:00,22.35,17.53,4.43,26.78,0.94,0.56,9.69,2.53,41.89,1.08,1.54,0.38,30.96,67.16,0.8,176.99,-0.01,223.84,0.0,93.47,33.29,02-Jun-2019 - 00:00,999.02,"Ghusuri, Howrah - WBPCB"
02-Jun-2019 - 00:00,17.97,17.79,4.69,22.66,0.77,0.48,8.47,1.42,37.31,0.81,1.27,0.32,28.43,78.57,1.19,167.55,-0.04,153.41,0.11,76.66,24.4,03-Jun-2019 - 00:00,999.79,"Ghusuri, Howrah - WBPCB"
03-Jun-2019 - 00:00,31.45,16.87,4.51,35.95,2.62,0.79,21.18,2.44,24.67,0.7,1.32,0.31,29.2,69.49,0.71,192.48,-0.02,214.03,0.0,79.59,33.36,04-Jun-2019 - 00:00,999.47,"Ghusuri, Howrah - WBPCB"
04-Jun-2019 - 00:00,25.96,14.06,5.77,31.73,0.37,0.42,15.56,1.59,4.1,0.31,0.71,0.13,30.22,72.99,0.92,200.14,-0.01,177.78,0.0,65.83,26.7,05-Jun-2019 - 00:00,998.82,"Ghusuri, Howrah - WBPCB"
05-Jun-2019 - 00:00,37.84,14.91,8.89,46.69,0.41,0.51,11.12,1.8,4.49,0.32,0.73,0.14,27.81,83.27,0.99,164.44,-0.03,64.77,0.02,63.58,23.94,06-Jun-2019 - 00:00,998.01,"Ghusuri, Howrah - WBPCB"
06-Jun-2019 - 00:00,22.77,8.11,5.65,28.37,0.35,0.51,15.05,1.76,5.69,0.28,0.71,0.13,28.43,80.7,1.03,112.33,-0.09,193.85,0.0,50.68,24.27,07-Jun-2019 - 00:00,998.81,"Ghusuri, Howrah - WBPCB"
07-Jun-2019 - 00:00,23.55,6.74,4.97,28.4,11.86,0.46,18.94,1.89,3.79,0.16,0.48,0.1,28.32,78.64,1.74,110.54,-0.08,116.03,0.0,46.37,16.91,08-Jun-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
08-Jun-2019 - 00:00,32.99,7.38,21.39,51.29,0.4,0.45,14.88,1.38,3.66,0.15,0.5,0.1,29.92,68.96,1.98,104.53,-0.05,223.99,0.0,44.52,14.2,09-Jun-2019 - 00:00,998.77,"Ghusuri, Howrah - WBPCB"
09-Jun-2019 - 00:00,28.49,4.42,5.19,33.67,0.31,0.5,17.44,1.49,1.48,0.26,0.54,0.11,31.17,68.42,2.34,191.23,-0.02,198.27,0.0,73.78,29.76,10-Jun-2019 - 00:00,996.93,"Ghusuri, Howrah - WBPCB"
10-Jun-2019 - 00:00,17.33,4.54,5.61,22.89,0.35,0.44,20.01,1.94,4.48,0.15,0.45,0.09,31.45,68.94,2.11,163.62,-0.02,190.74,0.0,77.46,28.28,11-Jun-2019 - 00:00,995.8,"Ghusuri, Howrah - WBPCB"
11-Jun-2019 - 00:00,17.36,4.32,4.55,21.9,0.27,0.44,21.63,1.63,3.47,0.1,0.35,0.07,31.52,67.11,2.67,152.68,-0.05,233.06,0.0,74.96,25.71,12-Jun-2019 - 00:00,995.66,"Ghusuri, Howrah - WBPCB"
12-Jun-2019 - 00:00,18.02,4.94,5.48,23.46,0.33,0.45,20.18,2.12,8.7,0.3,0.72,0.26,31.26,71.2,2.79,146.87,-0.07,208.18,0.1,83.03,27.12,13-Jun-2019 - 00:00,995.9,"Ghusuri, Howrah - WBPCB"
13-Jun-2019 - 00:00,39.36,4.15,4.96,44.3,0.32,0.8,30.82,2.99,7.96,0.64,0.99,0.22,30.23,66.91,1.74,211.72,-0.0,227.5,0.01,81.83,35.56,14-Jun-2019 - 00:00,995.06,"Ghusuri, Howrah - WBPCB"
14-Jun-2019 - 00:00,28.67,1.72,4.29,32.95,0.57,0.63,32.22,2.45,6.25,0.42,0.79,0.18,32.04,67.45,1.88,176.33,-0.02,216.63,0.11,111.12,50.37,15-Jun-2019 - 00:00,993.7,"Ghusuri, Howrah - WBPCB"
15-Jun-2019 - 00:00,36.31,10.19,4.9,41.21,1.04,0.52,20.94,2.68,7.23,0.3,0.89,0.19,29.77,74.02,1.9,164.32,-0.01,122.94,0.0,93.23,44.35,16-Jun-2019 - 00:00,994.29,"Ghusuri, Howrah - WBPCB"
16-Jun-2019 - 00:00,35.79,8.41,6.38,42.17,10.91,0.5,22.38,1.42,5.75,0.19,0.53,0.12,31.52,66.87,1.76,186.97,-0.0,245.29,0.0,128.41,47.26,17-Jun-2019 - 00:00,994.19,"Ghusuri, Howrah - WBPCB"
17-Jun-2019 - 00:00,49.06,7.62,6.81,55.84,10.9,0.75,21.8,0.99,4.77,0.69,1.27,0.32,31.44,68.45,1.71,199.29,0.01,123.14,0.0,180.36,67.45,18-Jun-2019 - 00:00,994.48,"Ghusuri, Howrah - WBPCB"
18-Jun-2019 - 00:00,42.63,7.71,7.08,49.57,0.93,0.65,17.39,3.16,6.4,0.52,1.24,0.27,30.25,76.2,2.12,145.17,-0.05,170.46,0.2,140.38,64.79,19-Jun-2019 - 00:00,995.01,"Ghusuri, Howrah - WBPCB"
19-Jun-2019 - 00:00,35.25,7.61,5.15,40.31,0.73,0.66,26.34,3.89,8.54,0.44,1.12,0.25,30.95,72.76,1.79,136.62,-0.02,249.21,0.14,163.98,72.41,20-Jun-2019 - 00:00,995.25,"Ghusuri, Howrah - WBPCB"
20-Jun-2019 - 00:00,37.74,7.75,5.74,43.47,0.37,0.64,13.13,2.84,7.4,0.8,1.63,0.35,30.44,70.41,2.03,145.88,-0.04,204.33,0.01,128.39,63.82,21-Jun-2019 - 00:00,996.53,"Ghusuri, Howrah - WBPCB"
21-Jun-2019 - 00:00,27.18,8.44,5.59,32.77,0.16,0.54,12.38,2.68,8.67,0.34,0.81,0.18,28.74,79.29,2.36,107.28,-0.08,118.88,0.05,75.79,36.31,22-Jun-2019 - 00:00,996.36,"Ghusuri, Howrah - WBPCB"
22-Jun-2019 - 00:00,24.36,8.63,5.37,29.76,0.44,0.46,15.63,2.33,7.46,0.21,0.66,0.15,29.42,73.78,2.18,154.52,-0.04,222.2,0.05,62.97,28.74,23-Jun-2019 - 00:00,997.88,"Ghusuri, Howrah - WBPCB"
23-Jun-2019 - 00:00,21.98,9.19,6.0,27.98,0.65,0.37,11.2,1.94,6.56,0.17,0.6,0.13,30.11,70.01,1.93,165.89,-0.01,214.65,0.01,65.34,25.64,24-Jun-2019 - 00:00,999.07,"Ghusuri, Howrah - WBPCB"
24-Jun-2019 - 00:00,29.89,10.21,6.35,35.82,24.1,0.4,12.02,1.62,5.4,0.26,0.68,0.15,30.68,69.5,1.65,192.0,0.0,211.67,0.03,84.28,37.49,25-Jun-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
25-Jun-2019 - 00:00,25.5,9.88,6.41,31.86,0.6,0.36,8.06,1.46,6.7,0.31,0.67,0.14,31.05,68.16,2.13,204.98,-0.01,245.44,0.0,73.55,32.83,26-Jun-2019 - 00:00,999.75,"Ghusuri, Howrah - WBPCB"
26-Jun-2019 - 00:00,25.16,9.03,8.53,33.69,0.44,0.39,6.87,1.32,7.76,0.33,0.65,0.13,31.03,67.2,2.64,200.9,-0.03,260.88,0.0,96.85,33.29,27-Jun-2019 - 00:00,997.9,"Ghusuri, Howrah - WBPCB"
27-Jun-2019 - 00:00,28.21,8.79,9.69,37.9,0.44,0.4,9.33,1.37,7.07,0.3,0.68,0.14,30.87,69.81,2.41,198.51,-0.03,201.75,0.0,102.28,35.05,28-Jun-2019 - 00:00,995.55,"Ghusuri, Howrah - WBPCB"
28-Jun-2019 - 00:00,31.8,8.05,4.83,36.62,0.45,0.48,22.62,2.07,7.04,0.43,0.85,0.18,29.62,74.63,2.45,198.43,-0.0,122.78,0.02,76.01,42.86,29-Jun-2019 - 00:00,994.31,"Ghusuri, Howrah - WBPCB"
29-Jun-2019 - 00:00,41.86,6.93,6.15,48.0,0.34,0.73,20.71,1.15,4.49,0.17,0.61,0.12,29.42,79.78,1.97,172.53,-0.01,134.92,0.11,108.17,67.6,30-Jun-2019 - 00:00,993.67,"Ghusuri, Howrah - WBPCB"
30-Jun-2019 - 00:00,46.75,6.47,10.95,57.7,0.17,0.84,9.62,,,,,,28.58,80.42,1.99,155.39,-0.02,167.74,0.01,101.03,71.06,01-Jul-2019 - 00:00,993.59,"Ghusuri, Howrah - WBPCB"
01-Jul-2019 - 00:00,26.97,7.44,7.68,34.65,1.0,0.51,9.83,0.48,4.7,0.38,0.79,0.37,28.82,79.38,3.73,100.0,-0.14,211.29,0.0,67.59,41.74,02-Jul-2019 - 00:00,991.62,"Ghusuri, Howrah - WBPCB"
02-Jul-2019 - 00:00,26.87,8.25,5.38,32.22,2.41,0.51,21.2,4.05,6.34,0.52,1.12,0.22,28.25,83.33,4.35,119.5,-0.15,161.41,0.12,54.76,39.65,03-Jul-2019 - 00:00,992.61,"Ghusuri, Howrah - WBPCB"
03-Jul-2019 - 00:00,31.08,8.31,5.26,36.27,2.33,0.53,30.62,4.43,7.64,0.53,1.11,0.21,28.77,78.66,2.79,170.65,-0.01,174.84,0.01,63.82,35.34,04-Jul-2019 - 00:00,994.67,"Ghusuri, Howrah - WBPCB"
04-Jul-2019 - 00:00,35.52,7.97,5.02,40.49,3.42,0.59,31.39,4.29,6.31,0.54,1.01,0.19,30.12,73.39,2.67,199.76,-0.0,192.72,0.01,109.96,49.65,05-Jul-2019 - 00:00,993.62,"Ghusuri, Howrah - WBPCB"
05-Jul-2019 - 00:00,32.44,7.5,5.74,38.18,3.89,0.59,23.94,5.13,10.83,0.6,1.25,0.24,29.1,78.09,3.03,135.84,-0.05,141.19,0.07,93.71,48.2,06-Jul-2019 - 00:00,990.99,"Ghusuri, Howrah - WBPCB"
06-Jul-2019 - 00:00,42.88,6.88,7.8,50.67,3.53,0.7,17.54,7.21,10.05,1.05,1.98,0.34,27.77,85.89,2.74,228.27,0.0,113.45,0.05,109.57,59.5,07-Jul-2019 - 00:00,989.35,"Ghusuri, Howrah - WBPCB"
07-Jul-2019 - 00:00,30.02,7.45,7.18,37.19,3.96,0.46,16.73,4.79,7.71,0.71,1.16,0.23,28.39,78.35,2.95,211.67,-0.02,110.79,0.0,84.12,34.23,08-Jul-2019 - 00:00,991.98,"Ghusuri, Howrah - WBPCB"
08-Jul-2019 - 00:00,26.44,7.45,4.57,30.99,4.02,0.38,21.53,1.83,2.77,2.0,0.71,0.29,29.42,77.43,2.99,200.6,-0.02,162.76,0.03,86.08,34.94,09-Jul-2019 - 00:00,994.26,"Ghusuri, Howrah - WBPCB"
09-Jul-2019 - 00:00,27.04,7.53,4.62,31.66,4.05,0.41,21.79,2.7,15.49,0.56,0.96,0.25,29.98,76.07,3.06,197.96,-0.03,194.78,0.0,94.27,35.68,10-Jul-2019 - 00:00,994.72,"Ghusuri, Howrah - WBPCB"
10-Jul-2019 - 00:00,43.38,6.33,12.66,56.03,3.63,0.64,17.21,2.38,37.55,1.1,1.63,0.44,29.3,78.05,2.9,207.27,-0.02,161.97,0.07,141.97,46.44,11-Jul-2019 - 00:00,994.88,"Ghusuri, Howrah - WBPCB"
11-Jul-2019 - 00:00,41.09,6.77,10.25,51.29,3.68,0.66,18.68,2.63,39.68,1.2,1.76,0.46,29.16,79.56,2.75,203.32,-0.02,90.23,0.0,137.02,50.03,12-Jul-2019 - 00:00,997.1,"Ghusuri, Howrah - WBPCB"
12-Jul-2019 - 00:00,37.45,6.94,7.45,44.9,3.8,0.59,26.51,2.15,38.54,1.05,1.65,0.43,29.55,77.47,2.91,202.48,-0.0,136.81,0.0,123.01,55.41,13-Jul-2019 - 00:00,998.55,"Ghusuri, Howrah - WBPCB"
13-Jul-2019 - 00:00,36.01,6.68,6.59,42.59,3.94,0.53,34.04,1.9,42.53,1.2,1.71,0.44,30.4,75.22,3.25,213.3,-0.01,191.97,0.0,134.49,52.59,14-Jul-2019 - 00:00,997.79,"Ghusuri, Howrah - WBPCB"
14-Jul-2019 - 00:00,31.31,7.08,5.11,36.43,3.7,0.48,41.25,1.73,44.94,1.14,1.63,0.43,31.22,69.81,3.24,215.33,0.0,217.53,0.0,132.85,50.29,15-Jul-2019 - 00:00,995.97,"Ghusuri, Howrah - WBPCB"
15-Jul-2019 - 00:00,44.31,6.13,5.85,50.16,3.16,0.6,36.41,2.47,43.11,1.26,1.85,0.48,31.62,67.82,3.08,217.86,0.0,182.71,0.0,160.54,62.24,16-Jul-2019 - 00:00,995.2,"Ghusuri, Howrah - WBPCB"
16-Jul-2019 - 00:00,53.07,5.79,12.51,65.59,2.77,1.06,32.12,4.5,38.48,1.77,2.67,0.61,29.78,73.0,2.08,200.0,0.0,152.96,0.01,175.8,74.69,17-Jul-2019 - 00:00,996.87,"Ghusuri, Howrah - WBPCB"
17-Jul-2019 - 00:00,44.82,5.88,21.81,66.61,3.04,0.82,25.55,5.83,40.69,2.01,3.36,0.77,31.15,67.37,1.88,157.47,0.01,241.48,0.0,168.82,87.44,18-Jul-2019 - 00:00,996.72,"Ghusuri, Howrah - WBPCB"
18-Jul-2019 - 00:00,32.49,7.24,7.79,40.19,3.43,0.59,21.4,2.82,39.17,1.18,1.9,0.46,31.17,69.41,1.23,175.42,0.06,210.97,0.0,160.78,69.92,19-Jul-2019 - 00:00,996.66,"Ghusuri, Howrah - WBPCB"
19-Jul-2019 - 00:00,19.28,6.37,5.49,24.75,3.46,0.39,19.39,2.56,32.25,0.77,1.32,0.34,30.72,67.76,1.56,129.16,0.08,208.96,0.0,85.72,27.51,20-Jul-2019 - 00:00,997.7,"Ghusuri, Howrah - WBPCB"
20-Jul-2019 - 00:00,18.29,2.49,6.0,24.28,3.63,0.38,20.46,2.21,36.0,0.87,1.37,0.36,30.53,69.99,1.04,158.9,0.05,208.23,0.0,105.33,34.77,21-Jul-2019 - 00:00,999.23,"Ghusuri, Howrah - WBPCB"
21-Jul-2019 - 00:00,22.33,1.53,6.92,29.21,3.99,0.37,20.71,1.4,40.06,0.93,1.37,0.38,30.47,72.24,0.89,187.77,0.04,209.45,0.02,97.11,34.65,22-Jul-2019 - 00:00,999.3,"Ghusuri, Howrah - WBPCB"
