from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
