from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
22-Sep-2019 - 00:00,87.79,17.46,199.82,77.71,54.75,20.11,21.03,27.3,12.07,25.44,0.51,0.08,0.0,28.46,19.16,6.63,1.03,25.74,7.5,8.3,23-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
23-Sep-2019 - 00:00,203.97,18.81,247.86,69.6,70.66,19.15,36.17,34.46,27.0,26.84,0.45,0.08,0.0,32.0,15.95,6.72,1.19,28.2,7.41,7.35,24-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
24-Sep-2019 - 00:00,331.51,22.08,249.41,69.29,65.95,21.05,74.35,49.91,21.72,27.07,1.17,0.09,0.0,48.97,21.72,6.21,1.28,32.7,8.88,9.33,25-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
25-Sep-2019 - 00:00,322.46,16.65,236.86,67.25,83.32,9.28,27.51,22.02,25.51,26.29,0.77,0.09,0.0,38.66,25.59,4.38,0.91,26.95,7.89,7.46,26-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
26-Sep-2019 - 00:00,265.11,17.26,232.22,66.93,68.1,31.54,44.64,46.91,26.63,25.42,0.86,0.06,0.0,28.54,19.21,3.96,0.85,32.05,6.78,7.05,27-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
27-Sep-2019 - 00:00,271.97,16.87,211.91,67.22,53.79,27.02,49.64,47.8,25.97,25.43,0.71,0.06,0.0,35.18,12.6,4.1,0.83,31.51,7.65,6.43,28-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
28-Sep-2019 - 00:00,270.73,20.16,195.39,68.44,63.19,33.38,54.51,55.43,25.24,24.97,0.77,0.09,0.0,33.7,13.08,3.89,1.09,34.52,8.8,8.14,29-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
29-Sep-2019 - 00:00,208.89,15.31,219.57,70.41,54.47,19.52,48.61,41.3,27.41,24.6,0.53,0.06,0.0,27.55,13.82,4.04,0.96,28.64,6.94,6.08,30-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
30-Sep-2019 - 00:00,272.86,17.27,262.59,68.35,69.84,31.66,62.89,58.46,27.96,25.22,1.08,0.07,0.0,42.09,10.36,4.56,1.25,32.48,7.32,7.02,01-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
01-Oct-2019 - 00:00,268.91,15.9,260.32,69.6,61.64,30.73,64.06,57.91,27.19,25.11,0.94,0.07,0.0,45.07,9.79,4.38,1.47,29.77,6.85,6.44,02-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
02-Oct-2019 - 00:00,218.5,16.9,269.91,66.7,63.84,47.55,67.17,72.7,45.36,25.39,1.08,0.1,0.0,48.93,12.02,5.22,1.4,32.97,7.51,7.23,03-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
03-Oct-2019 - 00:00,218.61,24.33,267.67,66.35,63.1,58.41,87.99,92.99,45.63,25.39,1.77,0.13,0.33,62.52,13.87,5.32,2.03,44.07,10.57,9.86,04-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
04-Oct-2019 - 00:00,107.32,17.33,252.49,70.07,66.88,27.36,77.55,62.69,43.6,23.84,0.96,0.14,0.0,42.52,8.03,4.76,2.3,45.44,8.06,8.65,05-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
05-Oct-2019 - 00:00,203.52,19.05,265.66,60.79,58.15,65.36,79.78,93.47,41.63,24.04,1.4,0.15,0.0,42.86,24.04,5.39,2.31,45.37,8.89,8.83,06-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
06-Oct-2019 - 00:00,225.16,20.48,240.6,61.53,65.67,32.03,81.13,68.28,56.88,24.32,1.52,0.12,0.0,60.64,28.56,4.64,2.29,53.33,10.05,10.02,07-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
07-Oct-2019 - 00:00,195.79,13.57,284.29,61.05,58.1,12.49,79.02,51.53,50.66,24.25,0.87,0.23,0.0,55.96,27.18,4.19,1.73,39.65,6.53,6.95,08-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
08-Oct-2019 - 00:00,271.71,14.55,282.11,58.97,58.95,47.26,73.71,76.56,55.37,23.64,0.78,0.21,0.0,51.23,29.06,4.45,1.64,36.54,6.57,6.49,09-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
09-Oct-2019 - 00:00,364.51,31.37,257.89,60.31,55.56,117.91,99.41,146.54,43.25,24.05,2.79,0.11,0.0,96.28,34.93,4.5,4.24,58.47,13.3,13.19,10-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
10-Oct-2019 - 00:00,369.21,25.68,256.01,59.06,51.79,130.23,91.59,152.28,52.53,24.41,2.28,0.09,0.0,101.72,39.61,3.66,5.66,35.71,12.38,12.13,11-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
11-Oct-2019 - 00:00,337.75,25.75,259.31,59.25,53.9,42.26,68.91,70.09,66.31,23.94,2.86,0.1,0.0,109.54,42.98,2.97,5.36,33.0,12.79,11.83,12-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
12-Oct-2019 - 00:00,322.07,30.76,204.79,62.54,48.18,54.12,71.22,79.88,66.29,24.27,3.83,0.1,0.0,114.69,45.86,3.11,5.89,57.32,16.01,14.88,13-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
13-Oct-2019 - 00:00,318.19,38.17,259.3,61.93,47.68,71.62,73.17,95.8,68.93,23.95,4.34,0.11,0.0,126.28,50.62,3.43,6.48,37.43,19.82,17.61,14-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
14-Oct-2019 - 00:00,322.02,43.35,261.61,62.63,47.75,77.92,78.05,104.2,64.71,24.11,4.71,0.11,0.0,119.61,53.13,3.5,5.68,34.23,19.62,19.72,15-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
15-Oct-2019 - 00:00,374.48,58.82,259.08,62.55,48.24,94.46,92.22,124.05,67.8,24.48,4.79,0.11,0.0,146.12,58.95,3.92,6.74,33.79,25.86,28.68,16-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
16-Oct-2019 - 00:00,377.76,41.33,261.1,63.77,45.64,35.46,67.88,64.17,53.69,24.47,2.39,0.09,0.0,159.89,41.42,2.09,5.0,31.62,17.94,20.55,17-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
17-Oct-2019 - 00:00,366.22,33.79,230.9,62.15,45.51,27.11,58.49,52.51,45.74,24.22,1.7,0.1,0.0,127.43,38.08,1.68,4.24,49.3,14.81,17.05,18-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
18-Oct-2019 - 00:00,298.68,23.75,192.93,56.34,43.87,11.99,43.37,32.0,50.97,24.42,1.1,0.1,0.0,105.07,32.17,1.47,3.16,42.48,10.67,11.49,19-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
19-Oct-2019 - 00:00,309.24,32.9,227.09,56.93,46.72,52.22,77.33,82.33,54.71,23.77,1.49,0.09,0.0,93.36,46.82,2.53,4.98,32.22,14.9,15.49,20-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
20-Oct-2019 - 00:00,364.23,31.66,277.6,56.78,48.83,51.39,66.09,75.91,60.91,23.13,1.54,0.15,0.0,119.08,44.96,2.68,4.81,44.61,13.11,16.06,21-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
21-Oct-2019 - 00:00,477.18,30.37,263.81,55.48,47.38,58.75,74.75,86.32,51.39,22.32,1.9,0.19,0.0,160.85,48.02,3.91,12.98,48.17,13.69,15.78,22-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
22-Oct-2019 - 00:00,412.83,26.28,269.15,53.46,43.4,34.1,62.46,60.18,47.17,21.93,1.26,0.22,0.0,110.84,40.36,4.11,4.98,51.88,14.44,12.58,23-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
23-Oct-2019 - 00:00,346.19,38.57,274.41,55.02,44.33,88.02,88.32,116.5,47.51,22.23,1.96,0.16,0.0,141.21,56.85,5.64,6.44,33.43,20.26,18.44,24-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
24-Oct-2019 - 00:00,521.21,80.62,212.56,62.0,39.41,157.16,121.04,189.49,40.57,25.23,4.34,0.1,0.0,184.27,78.72,7.43,10.87,21.38,38.6,39.52,25-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
25-Oct-2019 - 00:00,502.36,47.79,218.96,60.84,37.6,74.02,78.78,100.66,26.66,24.98,2.57,0.08,0.0,149.9,52.42,5.29,6.37,50.25,23.45,21.94,26-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
26-Oct-2019 - 00:00,506.35,51.31,264.75,63.97,32.72,66.15,73.93,91.81,34.01,24.89,2.65,0.1,0.0,161.83,49.83,5.24,7.28,78.57,25.16,27.87,27-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
27-Oct-2019 - 00:00,362.5,36.65,268.78,59.12,35.53,36.49,53.39,57.34,48.93,24.84,1.91,0.14,0.0,202.01,39.27,5.23,6.02,55.35,18.76,17.77,28-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
28-Oct-2019 - 00:00,473.34,24.75,266.69,61.49,33.09,29.85,55.67,53.22,41.18,24.64,1.55,0.11,0.0,300.82,28.2,5.68,4.81,33.88,10.98,10.6,29-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
29-Oct-2019 - 00:00,503.55,36.77,274.24,66.17,28.84,59.26,75.21,86.98,22.81,24.51,2.36,0.11,0.0,274.53,38.0,5.73,7.02,63.59,16.89,16.11,30-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
30-Oct-2019 - 00:00,548.34,50.15,275.88,62.23,32.46,103.05,94.16,131.94,30.37,25.44,3.21,0.13,0.0,286.47,51.15,6.44,8.75,91.8,24.54,25.3,31-Oct-2019 - 00:00,"Sirifort, Delhi - CPCB"
31-Oct-2019 - 00:00,550.02,71.17,259.66,65.03,32.82,142.82,115.41,174.88,27.84,24.62,4.35,0.12,0.0,292.84,64.01,7.13,10.3,122.63,29.77,37.79,01-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
01-Nov-2019 - 00:00,662.39,57.96,226.3,64.18,30.15,75.54,107.91,115.52,28.69,25.2,3.56,0.09,0.0,407.45,46.73,5.57,10.15,104.0,25.41,32.9,02-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
02-Nov-2019 - 00:00,507.54,32.32,278.12,64.24,27.32,35.96,65.49,63.25,22.54,24.83,2.0,0.17,0.0,324.38,31.14,4.55,6.56,62.89,14.21,15.74,03-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
03-Nov-2019 - 00:00,670.92,25.33,274.75,68.26,29.72,19.4,52.05,42.97,23.67,24.23,2.54,0.16,0.0,575.39,25.19,4.31,7.38,53.38,11.3,11.84,04-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
04-Nov-2019 - 00:00,386.49,22.86,272.89,61.69,34.98,21.93,51.73,44.82,35.39,24.58,1.4,0.19,0.0,238.48,25.74,4.38,4.8,47.65,9.67,10.06,05-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
05-Nov-2019 - 00:00,353.83,19.73,277.62,56.38,29.36,28.58,48.99,47.47,44.53,24.17,1.14,0.22,0.0,175.42,26.54,4.44,3.76,43.82,8.11,8.63,06-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
06-Nov-2019 - 00:00,254.98,40.57,236.32,56.02,29.0,48.4,63.25,71.29,27.69,24.05,1.8,0.08,0.0,100.63,33.69,4.95,5.09,68.19,14.56,26.87,07-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
07-Nov-2019 - 00:00,310.64,32.22,223.29,71.98,23.66,37.59,54.73,58.93,17.56,22.17,1.76,0.12,0.02,207.17,30.0,4.75,6.54,74.6,13.79,17.79,08-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
08-Nov-2019 - 00:00,300.66,44.42,225.27,65.24,39.69,74.31,78.19,100.6,28.63,23.79,2.16,0.08,0.0,161.27,42.1,5.72,8.23,90.0,20.01,22.06,09-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
09-Nov-2019 - 00:00,258.2,37.2,250.23,59.68,30.99,39.54,53.45,59.81,33.29,23.49,1.61,0.17,0.0,146.07,30.19,4.99,6.96,87.03,13.6,19.89,10-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
10-Nov-2019 - 00:00,326.73,28.04,246.98,53.33,35.95,25.17,50.64,46.85,42.03,22.71,1.42,0.12,0.0,195.19,26.34,4.74,5.2,60.04,10.58,14.7,11-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
11-Nov-2019 - 00:00,423.76,34.97,256.57,56.13,37.29,73.63,81.97,102.02,41.86,22.31,2.1,0.11,0.0,249.5,42.6,5.78,7.51,70.18,12.8,16.39,12-Nov-2019 - 00:00,"Sirifort, Delhi - CPCB"
