from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
04-May-2019 - 00:00,14.18,97.4,18.64,13.07,2.08,10.9,6.54,0.0,85.48,0.0,205.61,0.86,29.96,05-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-May-2019 - 00:00,,,0.0,,0.0,,,0.0,29.96,-17.48,120.22,0.79,24.66,06-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-May-2019 - 00:00,,,0.0,,0.0,,,0.0,115.44,43.65,199.63,0.92,33.58,07-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-May-2019 - 00:00,,,0.0,,0.0,,,0.0,160.14,75.62,193.73,0.75,31.99,08-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-May-2019 - 00:00,,,0.0,,0.0,,,0.0,197.51,84.73,188.82,0.76,32.91,09-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-May-2019 - 00:00,29.05,80.6,23.01,19.06,1.54,21.75,6.6,0.0,186.48,71.83,206.38,0.68,34.03,10-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-May-2019 - 00:00,25.7,110.29,23.74,45.48,0.94,5.05,6.75,0.0,219.95,79.7,184.39,0.76,33.34,11-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-May-2019 - 00:00,,,0.0,,0.0,,,0.0,172.46,52.31,216.55,0.79,33.35,12-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-May-2019 - 00:00,21.44,52.01,22.89,26.49,1.68,28.26,6.87,0.0,116.58,32.28,229.87,0.81,32.66,13-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-May-2019 - 00:00,22.25,43.86,32.77,17.98,2.86,21.14,6.71,0.0,136.31,62.31,192.37,0.56,32.69,14-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-May-2019 - 00:00,20.14,35.94,11.83,18.06,1.03,11.43,6.62,0.0,122.67,32.39,239.82,0.8,32.24,15-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-May-2019 - 00:00,,,0.0,,0.0,,,0.0,150.89,69.15,210.5,0.62,32.44,16-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-May-2019 - 00:00,,,0.0,,0.0,,,0.0,92.25,44.21,252.34,0.9,32.12,17-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-May-2019 - 00:00,,,0.0,,0.0,,,0.0,137.83,43.24,208.64,0.67,32.49,18-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-May-2019 - 00:00,,,0.0,,0.0,,,0.0,168.42,74.5,176.69,0.53,33.64,19-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
