from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
08-Mar-2019 - 00:00,108.64,59.81,19.05,44.95,64.0,1.03,,23.22,4.15,0.0,61.19,3.04,09-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
09-Mar-2019 - 00:00,94.98,51.74,10.77,34.88,45.66,0.86,,21.24,3.08,0.0,41.49,2.21,10-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
10-Mar-2019 - 00:00,88.74,47.72,13.39,35.45,48.84,0.94,,27.51,2.93,0.0,37.37,2.46,11-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
11-Mar-2019 - 00:00,129.34,66.85,16.34,47.57,63.91,1.08,,26.85,4.32,0.0,41.94,1.08,12-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
12-Mar-2019 - 00:00,83.72,42.39,6.85,33.03,39.89,0.81,,23.01,2.39,0.0,36.78,1.75,13-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
13-Mar-2019 - 00:00,147.66,70.1,15.19,52.34,67.52,1.14,,19.88,4.45,0.0,55.82,4.17,14-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
14-Mar-2019 - 00:00,127.71,76.7,21.86,45.31,67.18,1.2,,17.01,5.46,0.0,59.28,1.75,15-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
15-Mar-2019 - 00:00,86.05,50.88,14.39,31.61,46.0,0.9,,19.0,3.12,0.23,36.32,1.39,16-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
16-Mar-2019 - 00:00,77.64,42.15,5.3,25.67,30.97,0.83,,12.79,2.21,2.55,35.18,1.43,17-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
17-Mar-2019 - 00:00,104.98,61.08,10.07,33.46,43.53,0.97,,12.68,3.47,0.53,47.0,1.25,18-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
18-Mar-2019 - 00:00,114.14,75.11,15.82,37.27,53.1,1.07,,25.88,4.02,2.34,38.94,1.38,19-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
19-Mar-2019 - 00:00,136.23,73.48,28.16,48.86,77.03,1.23,,24.28,4.61,4.3,46.89,1.07,20-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
20-Mar-2019 - 00:00,139.4,69.52,21.44,45.5,66.94,1.19,,24.16,4.34,4.75,41.15,0.99,21-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
21-Mar-2019 - 00:00,138.41,90.4,10.05,29.14,39.18,1.28,,26.93,4.96,6.64,30.7,1.17,22-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
22-Mar-2019 - 00:00,67.74,28.75,5.09,21.92,27.01,0.73,,29.04,1.62,2.89,24.27,1.04,23-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
23-Mar-2019 - 00:00,72.36,34.81,4.82,21.39,26.21,0.75,,31.74,2.19,3.22,23.07,1.24,24-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
24-Mar-2019 - 00:00,80.91,39.63,5.74,23.98,29.72,0.79,,24.98,2.52,2.76,27.66,1.26,25-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
25-Mar-2019 - 00:00,86.49,47.94,6.08,24.89,30.98,0.87,,21.58,3.27,2.66,28.32,1.37,26-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
26-Mar-2019 - 00:00,89.46,51.01,6.67,26.86,33.53,0.93,,24.38,3.36,3.11,33.7,0.99,27-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
27-Mar-2019 - 00:00,91.46,48.89,11.26,31.89,43.15,1.03,,27.08,3.74,4.68,37.73,1.08,28-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
28-Mar-2019 - 00:00,136.09,67.92,34.3,50.87,85.17,1.55,,29.82,5.4,6.36,54.67,1.75,29-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
29-Mar-2019 - 00:00,136.95,69.96,26.99,45.83,72.83,1.52,,26.98,5.43,5.31,60.35,1.8,30-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
30-Mar-2019 - 00:00,135.02,76.72,11.04,36.2,47.24,1.23,,32.11,4.23,2.74,45.09,0.8,31-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
31-Mar-2019 - 00:00,92.19,44.18,15.87,26.74,42.61,0.87,,29.05,0.0,2.47,28.17,0.73,01-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
01-Apr-2019 - 00:00,90.12,43.87,19.99,28.98,48.97,0.83,,34.58,1.32,1.45,16.48,0.62,02-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
02-Apr-2019 - 00:00,108.45,52.85,56.81,77.86,103.05,1.06,,33.43,3.92,3.67,0.52,1.15,03-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
03-Apr-2019 - 00:00,104.97,60.43,91.82,89.06,131.3,1.18,,31.18,3.38,1.94,7.98,0.67,04-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
04-Apr-2019 - 00:00,128.53,72.9,18.69,52.07,70.76,1.49,,34.59,5.01,1.83,6.44,0.64,05-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
05-Apr-2019 - 00:00,141.48,82.44,18.28,51.74,70.01,1.52,,41.39,4.84,2.21,7.55,0.73,06-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
06-Apr-2019 - 00:00,162.82,61.55,17.82,42.77,60.6,1.31,,29.06,4.46,1.5,6.72,0.68,07-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
07-Apr-2019 - 00:00,253.56,107.92,19.65,39.93,59.57,1.48,,28.95,0.6,0.77,0.13,0.63,08-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
08-Apr-2019 - 00:00,167.9,57.34,8.68,33.54,42.22,1.06,,29.17,0.0,0.84,1.26,0.4,09-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
09-Apr-2019 - 00:00,123.87,52.74,15.13,44.69,59.83,1.51,,36.83,0.0,1.85,2.41,0.45,10-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
10-Apr-2019 - 00:00,145.92,64.28,22.75,47.08,69.83,2.35,,30.03,0.0,3.0,9.59,0.66,11-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
11-Apr-2019 - 00:00,128.13,46.41,7.28,34.97,42.25,1.59,,30.55,0.0,1.42,9.28,0.57,12-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
12-Apr-2019 - 00:00,143.79,42.43,6.49,31.23,37.72,1.59,,31.08,0.0,1.01,4.07,0.52,13-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
13-Apr-2019 - 00:00,89.81,35.22,12.45,31.56,44.01,1.54,,29.24,0.0,1.13,8.59,0.52,14-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
14-Apr-2019 - 00:00,93.04,35.32,14.64,29.0,43.47,1.41,,27.86,0.0,0.98,7.8,0.45,15-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
