from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
02-Mar-2019 - 00:00,20.13,51.63,,9.34,9.9,19.24,9.03,0.0,19.18,4.3,6.11,2.56,14.38,227.17,149.23,0.83,78.2,03-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Mar-2019 - 00:00,19.22,43.29,,10.81,12.25,23.06,7.79,0.1,20.17,3.49,6.03,2.52,15.02,313.44,218.61,0.6,91.36,04-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Mar-2019 - 00:00,24.01,56.72,,8.49,16.42,24.94,6.13,0.21,17.4,4.41,6.03,2.57,12.11,254.2,301.0,0.73,97.99,05-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Mar-2019 - 00:00,38.9,86.91,,13.01,18.58,29.34,12.16,0.52,29.99,1.5,2.12,3.77,,125.0,,,,06-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Mar-2019 - 00:00,47.79,114.78,,13.24,19.27,32.2,11.73,0.43,31.98,1.29,1.73,4.32,17.93,128.24,251.98,0.33,56.95,07-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Mar-2019 - 00:00,72.34,122.58,,11.37,14.28,22.45,10.03,0.46,30.19,1.39,1.76,4.71,18.48,322.92,221.12,0.49,59.48,08-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Mar-2019 - 00:00,45.83,83.49,,7.31,7.16,12.6,19.8,0.72,21.22,1.06,1.74,4.25,17.03,264.42,267.06,0.45,63.44,09-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Mar-2019 - 00:00,37.93,67.67,,45.28,23.94,43.6,36.08,0.62,32.88,1.36,1.86,4.45,17.9,353.39,293.95,0.69,62.33,10-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Mar-2019 - 00:00,67.48,106.5,,11.2,8.11,19.28,11.87,0.84,32.9,2.61,2.15,5.89,19.31,360.12,223.78,0.48,49.35,11-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Mar-2019 - 00:00,36.72,61.01,2.35,11.26,10.71,21.71,8.4,0.66,26.64,2.12,2.1,5.4,16.12,272.69,107.81,1.36,75.65,12-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Mar-2019 - 00:00,38.31,80.86,,12.64,11.91,23.92,9.69,0.83,32.59,2.79,2.1,7.87,17.83,361.06,256.99,0.46,65.64,13-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Mar-2019 - 00:00,70.93,116.34,,19.5,20.82,39.3,13.13,0.7,36.48,4.08,2.15,10.95,18.02,347.88,181.92,0.62,62.79,14-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
