from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-May-2019 - 00:00,0.63,0.97,0.19,0.48,757.63,214.0,61.76,0.0,10.82,232.96,35.02,6.12,254.95,0.97,0.78,31.94,14.49,17.02,31.16,37.24,12.62,08-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-May-2019 - 00:00,0.37,0.37,0.22,0.25,757.56,258.99,79.2,0.0,13.97,232.69,34.97,4.41,287.63,1.3,0.66,26.65,11.72,14.84,26.56,34.93,16.65,09-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-May-2019 - 00:00,0.23,0.16,0.21,0.15,757.48,241.57,95.59,0.0,15.71,233.14,34.54,4.13,287.07,1.35,0.4,24.67,10.46,14.25,24.7,40.03,10.45,10-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-May-2019 - 00:00,0.21,0.08,0.29,0.18,757.34,122.94,69.97,0.0,18.68,241.68,33.17,6.39,273.89,1.33,0.55,25.15,10.86,14.44,25.28,50.16,11.99,11-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-May-2019 - 00:00,0.32,0.21,0.21,0.2,757.72,126.17,80.24,0.0,22.39,249.86,33.28,6.47,274.19,0.97,0.49,27.08,11.36,15.83,26.99,55.24,11.42,12-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-May-2019 - 00:00,0.49,0.7,0.11,0.31,757.96,274.19,77.74,0.0,27.17,232.87,32.15,5.75,238.06,1.23,0.63,28.99,11.86,16.98,28.83,63.3,11.83,13-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-May-2019 - 00:00,0.37,0.47,0.12,0.22,758.0,114.55,64.86,0.05,27.21,268.23,32.76,4.67,258.1,1.31,0.51,26.47,10.5,16.05,26.56,70.11,15.18,14-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-May-2019 - 00:00,0.57,0.92,0.22,0.43,757.65,135.13,67.91,0.02,36.76,285.56,30.53,4.23,264.55,1.14,0.67,28.75,11.2,17.43,28.62,57.33,11.98,15-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-May-2019 - 00:00,1.02,1.03,0.52,0.58,756.98,334.72,115.18,0.33,26.39,239.99,33.37,5.88,205.65,0.87,0.82,32.84,13.89,18.37,32.22,37.31,11.78,16-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-May-2019 - 00:00,0.44,0.23,0.25,0.18,757.31,248.14,104.6,0.01,29.76,277.21,32.18,3.61,262.43,1.35,0.51,25.47,10.45,15.22,25.67,57.73,11.52,17-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-May-2019 - 00:00,0.25,0.24,0.22,0.18,757.06,299.47,89.31,0.0,38.14,268.42,29.46,4.34,261.78,1.37,0.58,25.26,10.42,17.86,24.97,54.89,10.49,18-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-May-2019 - 00:00,0.14,0.04,0.14,0.08,756.49,80.27,60.04,0.0,47.38,276.86,28.66,4.02,295.83,1.68,0.49,24.92,10.76,14.96,25.31,74.21,12.11,19-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-May-2019 - 00:00,0.77,0.59,0.63,0.51,757.36,92.25,45.24,0.0,27.41,263.85,32.59,7.22,278.97,0.83,0.81,30.08,13.0,16.85,29.85,62.67,14.2,20-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-May-2019 - 00:00,0.88,0.48,1.12,0.62,756.92,106.67,46.62,0.0,24.71,246.52,33.56,7.18,245.69,0.76,0.67,32.45,13.6,18.39,31.99,49.07,12.02,21-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-May-2019 - 00:00,0.76,0.26,0.83,0.41,757.09,123.03,40.75,0.0,25.5,225.61,34.03,5.9,252.24,0.87,0.72,28.52,11.24,17.13,28.36,52.2,13.2,22-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-May-2019 - 00:00,0.89,0.78,0.45,0.49,757.16,100.48,43.47,0.0,32.77,255.16,33.55,5.48,228.54,0.78,0.59,29.01,11.57,17.26,28.83,45.91,14.86,23-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-May-2019 - 00:00,1.27,0.74,0.45,0.43,756.89,102.27,39.74,0.0,34.67,247.09,33.91,5.78,219.14,1.02,0.65,28.86,13.45,15.68,29.13,44.29,17.27,24-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-May-2019 - 00:00,1.33,1.31,0.17,1.23,756.82,121.34,64.33,0.0,33.75,252.45,33.45,5.35,255.71,1.41,0.59,25.67,11.52,14.41,25.94,67.79,14.8,25-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-May-2019 - 00:00,0.24,0.28,0.07,0.16,757.23,96.4,59.41,0.0,27.36,273.01,33.82,2.5,275.67,1.09,0.51,24.16,9.89,14.56,24.4,76.59,13.06,26-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-May-2019 - 00:00,0.36,0.39,0.07,0.21,757.47,119.79,41.48,0.0,20.94,257.17,35.33,3.08,234.08,0.93,0.54,26.85,10.49,16.19,26.68,66.77,12.48,27-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-May-2019 - 00:00,0.59,0.82,0.07,0.43,757.57,133.04,46.23,0.0,16.63,260.74,36.71,3.86,254.39,0.91,0.6,30.17,11.83,17.79,29.62,41.93,13.84,28-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-May-2019 - 00:00,0.61,0.95,0.03,0.44,757.82,86.39,46.9,0.0,12.36,247.97,37.11,4.37,268.28,0.78,0.73,29.18,10.39,18.22,28.6,58.17,13.7,29-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-May-2019 - 00:00,0.72,1.21,0.05,0.6,739.63,108.03,48.07,0.0,13.52,254.61,37.76,5.2,282.11,0.86,0.63,31.12,12.46,18.02,30.48,33.29,13.44,30-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-May-2019 - 00:00,0.26,0.33,0.1,0.25,725.24,117.2,60.86,0.0,16.28,246.88,37.73,4.69,294.41,1.21,0.42,27.76,11.62,16.06,27.68,34.63,13.69,31-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-May-2019 - 00:00,0.54,0.73,0.16,0.46,724.91,141.95,60.9,0.0,18.02,226.54,36.95,5.63,270.39,0.99,0.52,28.75,11.38,17.03,28.42,39.67,17.75,01-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Jun-2019 - 00:00,0.63,1.03,0.03,0.44,725.67,133.12,60.82,0.0,18.5,254.69,37.96,4.97,278.08,1.17,0.47,28.24,11.52,16.31,27.83,41.51,14.12,02-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jun-2019 - 00:00,0.79,1.09,0.04,0.5,725.3,158.79,55.96,0.0,17.02,251.52,38.29,3.4,278.39,1.33,0.65,28.48,12.51,15.6,28.11,59.61,18.89,03-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jun-2019 - 00:00,0.78,1.09,0.03,0.52,725.59,221.91,66.33,0.0,14.86,251.54,38.7,3.37,274.84,1.08,0.53,27.32,11.68,15.4,27.08,55.0,14.94,04-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jun-2019 - 00:00,0.31,0.38,0.04,0.17,725.4,255.06,68.88,0.0,14.49,240.85,38.87,1.74,277.66,1.59,0.42,23.56,9.1,14.43,23.52,54.98,17.35,05-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jun-2019 - 00:00,0.27,0.33,0.03,0.17,724.81,237.22,67.18,0.0,22.37,249.21,38.17,2.26,294.93,1.47,0.38,23.48,10.0,13.61,23.61,45.01,13.53,06-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jun-2019 - 00:00,0.45,0.48,0.04,0.26,725.12,152.45,66.78,0.0,15.65,243.04,38.03,2.86,294.15,1.45,0.37,24.65,10.24,14.37,24.61,65.64,13.48,07-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jun-2019 - 00:00,0.94,0.96,0.02,0.43,725.44,169.54,70.27,0.0,23.7,243.03,36.65,3.51,197.3,1.36,0.61,26.05,10.81,15.25,26.06,93.35,15.43,08-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jun-2019 - 00:00,1.02,1.09,0.03,0.46,725.24,108.85,63.94,0.0,22.22,248.32,38.14,3.02,189.97,1.38,0.61,25.49,10.17,15.29,25.46,108.5,14.58,09-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jun-2019 - 00:00,1.11,1.79,0.01,0.53,725.82,113.07,47.66,0.0,11.19,244.29,39.68,4.54,231.45,0.88,0.83,28.81,10.56,17.67,28.23,82.17,14.1,10-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jun-2019 - 00:00,0.61,0.82,0.02,0.4,725.42,156.66,62.71,0.0,13.13,247.06,39.33,3.02,280.74,1.35,0.5,53.06,10.41,24.73,34.24,55.85,18.12,11-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Jun-2019 - 00:00,0.67,0.88,0.05,0.44,724.95,121.41,53.48,0.0,19.88,231.66,37.27,3.03,253.25,1.1,0.54,83.74,14.36,38.16,52.52,49.94,15.72,12-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Jun-2019 - 00:00,0.84,0.94,0.01,0.46,725.16,71.9,32.57,0.05,33.36,241.06,34.48,3.3,239.58,1.22,0.45,74.94,11.54,40.75,52.28,46.97,9.96,13-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Jun-2019 - 00:00,0.62,0.79,0.03,0.4,730.73,51.83,18.83,0.01,42.91,263.5,31.72,2.44,217.87,1.48,0.68,82.12,8.67,39.28,47.94,55.51,9.81,14-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Jun-2019 - 00:00,0.37,0.22,0.14,0.22,723.13,91.38,35.5,0.0,37.04,297.8,34.13,2.03,279.61,1.07,0.46,88.86,10.86,35.47,46.32,56.85,12.18,15-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Jun-2019 - 00:00,0.32,0.37,0.1,0.23,724.36,102.63,43.14,0.0,39.69,250.46,33.96,2.66,267.07,1.13,0.53,95.35,13.07,32.62,45.7,52.65,14.3,16-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Jun-2019 - 00:00,0.35,0.56,0.09,0.31,,87.79,40.06,0.1,62.77,218.38,29.67,2.75,289.76,1.3,0.7,96.63,15.96,28.74,44.65,26.12,16.68,17-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Jun-2019 - 00:00,0.45,0.53,0.21,0.37,722.52,99.13,42.97,0.0,57.1,354.59,30.98,3.18,223.73,1.33,0.54,118.55,20.99,33.5,54.48,30.9,14.41,18-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Jun-2019 - 00:00,0.61,1.07,0.09,0.52,722.79,141.03,27.7,0.27,68.83,235.12,27.58,4.2,138.5,1.09,0.71,97.18,30.49,38.13,67.41,33.33,12.11,19-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Jun-2019 - 00:00,0.33,0.6,0.13,0.2,722.78,47.96,26.21,0.0,66.4,311.75,27.43,4.66,154.98,1.11,0.57,37.47,22.44,29.83,52.27,51.4,14.68,20-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Jun-2019 - 00:00,0.44,0.47,0.23,0.0,724.68,70.69,30.11,0.0,54.97,325.67,30.77,3.87,196.25,0.72,0.73,21.76,16.91,25.27,42.18,51.09,15.59,21-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Jun-2019 - 00:00,0.63,0.85,0.38,0.01,725.64,109.54,40.22,0.03,53.33,296.12,31.2,3.67,266.95,1.13,0.84,11.76,9.13,21.38,30.49,50.16,21.18,22-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Jun-2019 - 00:00,0.77,1.08,0.43,0.01,724.59,126.94,47.47,0.0,40.03,344.46,34.3,3.81,247.49,1.02,0.89,11.74,8.71,21.56,30.23,64.64,19.91,23-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Jun-2019 - 00:00,0.44,0.48,0.22,0.01,724.07,89.92,40.34,0.12,43.14,281.34,33.27,3.08,142.19,1.22,0.88,13.56,3.1,17.8,20.9,87.03,36.1,24-Jun-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
