from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
01-Mar-2019 - 00:00,21.62,14.42,17.05,,35.34,0.84,3.49,4.9,6.65,0.07,67.4,2.63,305.45,479.02,0.0,29.25,87.72,49.66,02-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Mar-2019 - 00:00,31.99,22.71,24.84,31.78,32.38,0.66,4.94,5.38,7.34,0.05,83.02,1.72,145.91,84.04,0.0,40.12,109.16,31.46,03-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Mar-2019 - 00:00,31.25,23.29,24.06,27.4,36.5,0.12,2.06,4.24,5.45,0.05,77.86,1.96,213.28,365.25,0.0,17.76,58.51,42.05,04-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Mar-2019 - 00:00,25.6,17.86,21.57,22.72,43.6,0.25,4.15,4.75,7.06,0.07,81.45,2.09,275.12,350.63,0.0,24.82,74.2,35.01,05-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Mar-2019 - 00:00,19.38,11.11,20.05,19.59,47.76,0.28,3.78,4.73,6.91,0.07,75.9,2.38,289.4,489.86,0.0,30.23,87.79,49.95,06-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Mar-2019 - 00:00,18.85,9.38,21.68,18.93,51.54,0.26,4.44,5.44,7.92,0.08,68.45,2.79,291.09,503.21,0.0,40.56,110.56,53.9,07-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Mar-2019 - 00:00,18.84,7.58,24.43,19.34,51.73,0.2,3.71,5.29,7.18,0.09,63.03,2.6,304.36,503.29,0.0,33.53,98.21,59.95,08-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Mar-2019 - 00:00,18.33,6.69,24.81,21.76,52.51,0.24,3.67,4.87,6.83,0.07,64.0,2.37,280.14,238.63,0.0,35.51,101.69,47.67,09-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Mar-2019 - 00:00,19.8,9.51,23.3,25.86,58.16,0.24,4.57,5.02,6.79,0.08,65.01,2.55,295.14,507.45,0.0,35.02,99.84,57.98,10-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Mar-2019 - 00:00,25.46,12.68,29.27,23.24,64.2,0.24,4.12,5.14,7.43,0.09,61.65,2.11,267.99,496.2,0.0,42.58,134.26,59.96,11-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Mar-2019 - 00:00,24.74,10.67,30.97,21.76,56.73,0.16,3.02,4.93,6.53,0.05,68.41,2.71,116.76,86.85,0.0,30.25,91.06,46.38,12-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Mar-2019 - 00:00,23.56,11.61,27.28,25.4,57.43,0.27,3.67,4.17,6.36,0.07,57.62,2.42,256.57,522.94,0.0,23.89,85.14,53.07,13-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Mar-2019 - 00:00,33.05,19.18,17.51,28.99,69.61,0.28,3.04,3.25,4.67,0.04,73.87,1.5,215.31,127.54,0.0,43.99,169.65,19.77,14-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Mar-2019 - 00:00,24.12,10.84,16.64,20.37,31.88,0.27,1.97,3.36,6.11,0.04,75.84,1.61,211.78,178.88,-0.0,11.93,60.12,33.58,15-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Mar-2019 - 00:00,25.35,13.47,27.83,25.98,46.77,0.43,3.37,5.35,7.67,0.07,65.22,2.59,302.13,342.47,0.0,25.21,77.69,43.4,16-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Mar-2019 - 00:00,19.2,8.78,23.28,27.02,40.83,0.44,3.88,4.93,7.13,0.06,68.26,2.55,288.19,462.63,0.0,33.64,101.33,59.39,17-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Mar-2019 - 00:00,20.8,9.53,25.16,28.9,53.87,0.45,3.5,4.49,5.93,0.07,60.84,2.27,286.47,545.26,0.0,38.58,107.17,70.13,18-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Mar-2019 - 00:00,23.15,10.04,28.91,27.71,54.92,0.47,3.97,4.81,7.51,0.08,55.62,2.03,280.97,526.88,0.0,38.88,115.55,66.42,19-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
19-Mar-2019 - 00:00,23.75,11.04,28.5,32.34,45.72,0.46,4.24,5.07,8.09,0.08,58.6,2.28,253.66,515.49,0.0,35.62,114.32,58.73,20-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
