from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
24-Feb-2019 - 00:00,30.96,765.31,28.29,122.98,48.93,0.0,0.11,58.52,121.64,0.57,18.1,40.81,62.13,21.3,1.82,0.86,62.73,25-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Feb-2019 - 00:00,36.7,765.27,26.83,107.48,55.41,0.0,0.09,87.59,122.73,0.56,14.96,54.91,81.55,26.74,1.97,1.0,58.23,26-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Feb-2019 - 00:00,26.61,765.25,27.06,134.34,65.27,0.0,0.11,79.46,112.45,0.51,8.06,45.84,70.1,24.24,1.67,0.53,45.02,27-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Feb-2019 - 00:00,22.79,765.14,25.65,164.64,71.0,0.0,0.1,54.13,111.55,0.64,7.79,56.26,74.47,18.21,1.75,0.79,37.23,28-Feb-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Feb-2019 - 00:00,48.84,765.76,26.12,165.96,59.51,0.0,0.26,85.7,,0.77,10.0,55.38,69.85,14.47,1.9,1.12,50.09,01-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
01-Mar-2019 - 00:00,42.5,764.91,25.77,155.36,52.44,0.0,0.12,48.47,181.25,0.73,17.72,91.06,130.83,39.76,2.4,2.6,65.52,02-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Mar-2019 - 00:00,48.46,764.71,26.28,148.83,65.74,0.0,0.24,148.09,196.31,0.75,14.76,107.65,140.83,33.17,2.72,2.92,73.17,03-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Mar-2019 - 00:00,15.81,766.05,26.53,158.16,71.13,0.0,0.15,153.73,59.79,0.75,7.52,35.72,48.24,12.51,1.64,0.42,63.27,04-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Mar-2019 - 00:00,17.22,765.51,26.52,162.12,74.57,0.0,0.28,87.73,83.71,0.79,7.72,41.89,49.17,7.28,1.64,0.36,73.77,05-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Mar-2019 - 00:00,22.06,765.31,26.53,160.21,68.04,0.0,0.23,156.07,125.7,0.76,6.85,29.93,35.56,5.63,1.55,0.31,76.72,06-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Mar-2019 - 00:00,23.56,766.3,25.72,152.32,66.42,0.0,0.16,140.24,90.9,0.75,7.09,37.17,47.49,10.32,1.67,0.38,80.69,07-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Mar-2019 - 00:00,25.46,765.61,25.85,163.87,68.58,0.0,0.13,92.08,104.24,0.74,7.23,41.24,56.92,15.68,1.76,0.61,80.61,08-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Mar-2019 - 00:00,29.99,766.51,26.58,155.27,62.57,0.0,0.13,81.24,109.85,0.74,8.48,44.69,63.79,19.09,1.9,0.81,80.63,09-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Mar-2019 - 00:00,37.16,767.15,29.12,213.65,52.44,0.0,0.1,102.52,140.52,0.77,10.51,50.97,69.63,18.66,2.13,1.08,90.82,10-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Mar-2019 - 00:00,29.88,766.69,27.91,160.62,55.98,0.0,0.18,72.05,152.6,0.75,9.51,48.12,65.13,17.01,1.88,1.02,60.76,11-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Mar-2019 - 00:00,22.65,767.91,26.79,157.18,69.66,0.0,0.33,132.35,126.13,0.76,7.09,39.9,48.51,8.59,1.63,0.53,46.14,12-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
12-Mar-2019 - 00:00,21.29,768.03,26.98,157.43,69.91,0.0,0.33,85.76,91.34,0.75,6.78,36.39,45.58,9.18,1.55,0.37,62.67,13-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Mar-2019 - 00:00,23.09,768.57,26.53,155.39,66.06,0.0,0.17,91.48,90.42,0.77,7.37,36.52,47.41,10.89,1.57,0.38,97.92,14-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Mar-2019 - 00:00,21.54,768.61,26.69,156.36,63.01,0.0,0.3,118.65,99.22,0.77,5.0,42.46,57.26,14.79,1.64,0.5,67.73,15-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Mar-2019 - 00:00,28.4,767.46,28.24,158.92,53.17,0.0,0.2,73.27,113.59,0.76,4.3,43.48,61.81,18.33,1.74,0.63,85.74,16-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Mar-2019 - 00:00,40.55,766.46,27.24,149.25,57.72,0.0,0.11,85.15,164.65,0.78,6.11,62.8,88.14,25.34,2.2,1.38,89.21,17-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Mar-2019 - 00:00,37.23,766.57,27.4,144.05,67.12,0.0,0.11,85.2,130.87,0.76,4.16,48.55,69.48,20.93,1.98,0.89,87.04,18-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Mar-2019 - 00:00,41.07,766.03,28.07,154.23,58.55,0.0,0.21,65.77,145.3,0.76,5.93,58.59,82.44,23.83,2.25,1.15,85.81,19-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Mar-2019 - 00:00,34.13,764.85,27.73,155.71,63.14,0.0,0.13,162.46,135.58,0.76,6.97,85.98,104.98,19.0,2.3,1.48,57.96,20-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Mar-2019 - 00:00,28.12,765.02,26.94,157.45,73.95,0.0,0.17,232.28,96.1,0.73,4.39,54.25,64.85,10.6,1.82,0.85,67.14,21-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Mar-2019 - 00:00,17.18,766.86,27.33,227.13,71.97,0.0,0.17,162.09,73.52,0.8,3.03,40.35,43.46,3.26,1.53,0.35,52.89,22-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Mar-2019 - 00:00,18.56,766.95,26.9,176.96,70.63,0.0,0.1,133.32,65.92,0.74,3.12,47.22,54.8,7.63,1.45,0.36,36.25,23-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Mar-2019 - 00:00,34.6,766.04,29.18,174.08,61.23,0.0,0.22,53.33,128.25,0.78,4.34,51.85,63.15,11.35,1.43,0.91,53.31,24-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Mar-2019 - 00:00,47.73,764.58,30.76,152.72,53.14,0.0,0.14,78.71,180.97,0.77,5.25,67.77,88.82,21.04,,1.57,64.71,25-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Mar-2019 - 00:00,53.91,764.13,32.3,156.75,45.56,0.0,0.15,68.91,203.83,0.75,4.75,85.82,121.17,35.33,1.71,1.88,49.64,26-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Mar-2019 - 00:00,41.85,765.16,31.65,171.59,57.08,0.0,0.13,83.56,158.04,0.76,1.03,38.9,60.4,21.5,1.69,1.13,35.52,27-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Mar-2019 - 00:00,33.81,766.78,29.66,165.46,73.12,0.0,0.22,180.49,122.98,0.75,27.51,26.62,36.68,10.09,1.6,0.61,30.03,28-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
28-Mar-2019 - 00:00,32.02,765.95,29.43,180.02,71.92,0.0,0.15,175.38,104.16,0.74,40.86,27.45,36.76,9.31,1.59,1.14,32.34,29-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
29-Mar-2019 - 00:00,30.66,764.67,30.29,199.02,70.99,0.0,0.14,162.86,104.04,0.74,28.91,20.5,26.08,5.6,1.5,0.58,22.42,30-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
30-Mar-2019 - 00:00,23.71,764.62,29.18,211.1,76.17,0.0,0.11,193.82,88.52,0.76,28.9,26.28,32.19,5.98,1.49,0.72,16.99,31-Mar-2019 - 00:00,"Bandra, Mumbai - MPCB"
31-Mar-2019 - 00:00,18.79,765.38,29.53,212.47,74.46,0.0,0.16,160.75,91.67,0.76,28.2,26.78,31.91,5.25,1.46,0.43,14.44,01-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
